4762 0 Thu Mar 29 15:47:25 -0700 2018
10769 0 Tue Feb 27 17:53:04 -0800 2018
5147 5 Tue Feb 13 20:00:47 -0800 2018
13793 4 Tue Feb 13 19:57:37 -0800 2018
1547 5 Tue Feb 13 19:55:02 -0800 2018
42297 5 Tue Feb 13 19:20:11 -0800 2018
42298 5 Tue Feb 13 19:20:08 -0800 2018
2057 5 Tue Feb 13 19:20:01 -0800 2018
42299 5 Tue Feb 13 19:19:46 -0800 2018
42300 5 Tue Feb 13 19:19:40 -0800 2018
954 5 Tue Feb 13 19:19:29 -0800 2018
6409 5 Tue Feb 13 19:19:19 -0800 2018
921 5 Tue Feb 13 19:19:10 -0800 2018
4574 5 Tue Feb 13 19:19:07 -0800 2018
24314 5 Tue Feb 13 19:18:56 -0800 2018
33193 5 Tue Feb 13 19:18:41 -0800 2018
15274 5 Tue Feb 13 19:18:25 -0800 2018
12183 5 Tue Feb 13 19:18:17 -0800 2018
6377 5 Tue Feb 13 19:18:14 -0800 2018
11961 5 Tue Feb 13 19:18:05 -0800 2018
17797 5 Tue Feb 13 19:13:12 -0800 2018
42301 5 Tue Feb 13 19:12:23 -0800 2018
42302 5 Tue Feb 13 19:10:49 -0800 2018
