timestamp,tweet_text
,I love to read BOOKS!!  I love to talk about BOOKS!!,
2019-11-13 15:31:50,"77% done with The Folcroft Ghosts, by Darcy Coates https://t.co/lzvzsK4EoP"
2019-11-13 08:47:04,RT @ninsthewriter: Live #life to the fullest! https://t.co/Z5129ioVDN
2019-11-13 08:32:33,I have been so emotionally hurt tonight 😢  I feel so alone... it feels like no one is in my corner...  I trying to… https://t.co/ofmyrZqfZR
2019-11-13 02:36:30,RT @kaitgosi: happy one year to my blog! here's a giveaway to celebrate 🥳 🔥 win pre-orders for any two 2020 release by an author of color…
2019-11-12 19:31:31,"68% done with The Folcroft Ghosts, by Darcy Coates https://t.co/ayCQ7F383u"
2019-11-12 19:06:04,RT @Danika_Stone: #TuesdayMotivation https://t.co/CF6KChPbGT
2019-11-12 19:05:39,@dawnkurtagich I am currently reading Gone by Nightfall by @deegarretson
2019-11-12 19:04:15,"@HastingSamantha We eat at 6pm usually, I don't think anyone in my family would eat Thanksgiving dinner if it was that early!"
2019-11-11 20:10:52,@deegarretson Thank you so much for sending it to me!!!
2019-11-11 18:49:03,@deegarretson I want to read All is Fair too!  I am loving Gone by Nightfall right now ❤💖
2019-11-11 18:47:54,@Class2K19Books @KellyCoon106 Carnations 🌹 https://t.co/hJiE0y5IQy
2019-11-11 18:46:18,"RT @Class2K19Books: FLASH GIVEAWAY! Follow us, @KellyCoon106, and RT for a chance to win a signed copy of GRAVEMAIDENS! For a bonus entry,…"
2019-11-11 18:44:32,"RT @hellochelly: I'm giving away a TON of great ARCs 📚 RT + follow to enter. US only, open till 11/15. Good luck! 🎉  BONUS! If you win and…"
2019-11-11 18:43:03,RT @TheCleverReader: OMG! I hit 3k followers here on Twitter!! I am going to celebrate by running a #Giveaway   RT/F by midnight 11/17 to w…
2019-11-11 07:11:39,"On page 65 of 304 of Gone by Nightfall, by Dee Garretson https://t.co/tao1jdQkwk"
2019-11-10 20:41:11,@alechiawrites Sounds incredible!  I'll be first in line!
2019-11-10 20:39:54,@Danika_Stone You even look so stylish when shoveling snow 😮🌨❄  Way to go on your duel shoveling talent! https://t.co/XuY0bHyYrX
2019-11-10 20:05:40,"59% done with The Folcroft Ghosts, by Darcy Coates https://t.co/CVtFFuOqzd"
2019-11-10 06:47:00,"On page 31 of 304 of Gone by Nightfall, by Dee Garretson https://t.co/zwHZNQKV7K"
2019-11-10 02:41:45,If you're having a bad day...  Just look at these cuties 💞 https://t.co/bm55FM6iMT
2019-11-09 22:19:26,"2 of 5 stars to In a Dark, Dark Wood by Ruth Ware https://t.co/exQGJd0T5H"
2019-11-09 18:04:33,RT @chelscrazy4book: Since you bookworms are always super supportive I figured you might be able to get me to my goal of 500 followers by 2…
2019-11-09 17:34:49,"47% done with The Folcroft Ghosts, by Darcy Coates https://t.co/HVLzC9dCpb"
2019-11-09 08:58:13,5 of 5 stars to Superman by Matt de la Pena https://t.co/bCOqej9QxS
2019-11-08 15:31:54,"38% done with The Folcroft Ghosts, by Darcy Coates https://t.co/8v6fNSyJLU"
2019-11-08 15:08:17,@LizLim Gorgeous ❤
2019-11-08 06:23:06,"On page 203 of 288 of Superman, by Matt de la Pena https://t.co/KHGlAmEJVw"
2019-11-07 23:59:55,RT @kurestinarmada: THE IMPOSSIBLE CONTRACT by @KA_Doore comes out next week (Nov 12!!) and I want to celebrate! 🎉🎉 I have two beautiful ma…
2019-11-07 18:01:18,"32% done with The Folcroft Ghosts, by Darcy Coates https://t.co/kxS5DsBRfv"
2019-11-07 08:13:19,"On page 179 of 288 of Superman, by Matt de la Pena https://t.co/MfDlTBDcm1"
2019-11-07 07:27:36,@BobbyCasto Papillon 🐕❤ https://t.co/4UKU4ZWiCy
2019-11-07 07:14:51,@ErinBeatyWrites Positive vibes ☯☮ https://t.co/NBXribETMf
2019-11-06 23:25:50,@SerenaValentino I cannot wait for this!!  I love your villain series 🖤
2019-11-06 15:32:07,"25% done with The Folcroft Ghosts, by Darcy Coates https://t.co/5qQ34YecP4"
2019-11-06 06:47:07,"On page 120 of 288 of Superman, by Matt de la Pena https://t.co/mYruHIA7o3"
2019-11-06 05:58:42,"RT @wordsgremlin: It's been one week since GRAVEMAIDENS by @KellyCoon106 hit shelves, which means it's time for...  A GIVEAWAY! 😱   🦋 RT +…"
2019-11-06 05:56:52,"RT @auburn_edge: This is pretty much me. Books, star wars, and kids. I have a terrible sense of humor and find things most people don't fin…"
2019-11-06 00:08:50,"RT @alexadonne: ARC GIVEAWAY! Faded royalty, futuristic courtship, &amp; Jane Austen feels! THE STARS WE STEAL is perfect for romance fans who…"
2019-11-05 23:33:32,@Danika_Stone Oh no!  Stay warm Friend! 🔥
2019-11-05 23:31:44,#Sweepstakes #rougeprincess https://t.co/EWsmg06VW7
2019-11-05 23:30:59,"RT @SwoonReads: 🚨🚨🚨SWEEPSTAKES🚨🚨🚨  Enter to win a copy of @br_myers gender-swapped, sci-fi retelling of Cinderella! To enter: follow + retw…"
2019-11-05 23:27:05,RT @br_myers: If a space opera version of Cinderella is your thing enter below❤️ https://t.co/dGwIsRAc9P
2019-11-05 17:57:33,RT @aishacs: YES NO MAYBE SO comes out three months from today! Want to win a double-signed ARC? RT this tweet by 11/8 @ 8:30pmESTz Intl ok…
2019-11-05 17:37:30,"16% done with The Folcroft Ghosts, by Darcy Coates https://t.co/NECWffvnMg"
2019-11-05 17:21:47,@SGarberGirl @Flatironbooks @goodreads Fingers crossed Finale wins!! https://t.co/N6THBS4ymW
2019-11-05 17:19:50,@SheaErnshaw Happy Book Birthday 🎉🎉🎉😆
2019-11-05 17:18:03,@marissa_meyer Happy Book Birthday 🎉🎉🎉❤
2019-11-05 17:16:26,RT @FierceReads: Can’t wait til January to read DARK AND DEEPEST RED? Good thing we’re giving away 5 ARCs right now!  Follow+RT to enter to…
