timestamp,tweet_text
,"May 3, 1991 I hit the darkest point in my life. I knew I could not go on the way things were. That is when this journey started.",
2019-11-09 22:11:58,5 of 5 stars to Love Life by Kobi Yamada https://t.co/jE6IB0MMgA
2019-11-09 18:20:30,5 of 5 stars to Against Medical Advice by Hal Friedman https://t.co/bLY6Oisofe
2019-11-08 22:42:27,"Checking out ""5 Really Bad Consequences of Chronic Boredom"" on The Good Life Mall: https://t.co/RrQ2y2DOxn"
2019-11-05 19:28:45,1 of 5 stars to Hidden Christmas by Timothy J. Keller https://t.co/3II7tfUXk3
2019-11-02 17:10:11,4 of 5 stars to The Time Keeper by Mitch Albom https://t.co/14h9SUo4Hn
2019-10-31 13:46:58,3 of 5 stars to Celebrations by Maya Angelou https://t.co/GDKDLX8Tnd
2019-10-30 11:37:37,Dustin White Scholarship 2019 https://t.co/D4KCuNicY5 via @YouTube
2019-10-26 18:44:45,"2 of 5 stars to The Time Machine, with eBook by H.G. Wells https://t.co/jGG1ci5htj"
2019-10-19 18:56:18,4 of 5 stars to Freedom by Jaycee Dugard https://t.co/e6ZTEVzsck
2019-10-16 01:19:58,5 of 5 stars to Defiance by Nechama Tec https://t.co/xzfYSkzlAI
2019-10-16 00:48:23,5 of 5 stars to A Lion Called Christian by Anthony Bourke https://t.co/ajdLtDsinr
2019-10-05 11:12:02,"Checking out ""Worm Gets Ideas"" on The Good Life Mall: https://t.co/cb0bzgvqU2"
2019-10-01 01:18:43,"Checking out ""Worm Gets Ideas"" on The Good Life Mall: https://t.co/cb0bzgvqU2"
2019-09-26 04:08:37,"Checking out ""Worm Gets Ideas"" on The Good Life Mall: https://t.co/cb0bzgvqU2"
2019-09-23 11:43:23,"Checking out ""Bad Habits Affect the Outcome of Your Efforts"" on The Good Life Mall: https://t.co/cAdpiIUUEt"
2019-09-23 11:42:00,https://t.co/2T0WzAyT7W
2019-09-01 05:29:37,"Checking out ""Travel Journal Ideas and Tips"" on The Good Life Mall: https://t.co/EgaPnlorax"
2019-08-31 02:29:27,"4 of 5 stars to Girl, Stop Apologizing by Rachel Hollis https://t.co/6rsyIjzVwZ"
2019-08-31 01:54:38,5 of 5 stars to Willie Mays by James S. Hirsch https://t.co/prBYeA4AXC
2019-08-29 11:36:41,"Checking out "" Make Journaling Part of Your Daily Routine"" on The Good Life Mall: https://t.co/yuSZmNOt61"
2019-08-27 01:55:31,"Checking out ""Journaling to Help with Stress"" on The Good Life Mall: https://t.co/dpaUrkTtYS"
2019-08-26 02:55:06,"Checking out ""Journaling to Help Combat Loneliness"" on The Good Life Mall: https://t.co/RfplzBPmpA"
2019-08-24 21:39:07,"Checking out ""Reaping the Benefits of a Gratitude Journal"" on The Good Life Mall: https://t.co/7iPn2Wg6Dl"
2019-08-22 20:34:01,"Checking out ""How to Get Started Writing a Journal"" on The Good Life Mall: https://t.co/NSNRTdsyRT"
2019-08-03 20:03:55,5 of 5 stars to Born Standing Up by Steve Martin https://t.co/Frb2i3lKRb
2019-08-03 02:33:34,"Checking out ""Better Thoughts For Better Behavior"" on The Good Life Mall: https://t.co/tqNAnhQXhL"
2019-07-28 18:05:47,"Checking out ""Why Taking Risks Makes Your Stronger "" on The Good Life Mall: https://t.co/WOuAs8Lfip"
2019-07-26 03:55:47,"Checking out ""Anxiety Disorders 101"" on The Good Life Mall: https://t.co/FDwOU4OfWt"
2019-07-22 12:06:33,Your Internal Dialogue What Does It Tell You https://t.co/BCCzNBOqEn
2019-07-21 13:40:09,"Checking out ""Self-Doubt is Meant to Prevent Pain and Disappointment"" on The Good Life Mall: https://t.co/HPAjHe1qog"
2019-07-19 03:39:07,"Checking out ""What Makes People Happy"" on The Good Life Mall: https://t.co/B2DR3zEi6X"
2019-07-05 04:32:48,"Checking out ""4 Ways To Stay Mentally Fit"" on The Good Life Mall: https://t.co/9ehZgjBr8G"
2019-07-03 02:34:26,"Checking out ""Indicators That Show You Care Too Much"" on The Good Life Mall: https://t.co/BVatNg9syv"
