timestamp,tweet_text
,"Mystery author, avid reader, cat parent, Chicago Cubs fan, music lover, 1980s fangirl, loves film photography with my vintage Nikon FM",
2019-11-10 09:59:35,5 of 5 stars to Clean Sweep by Christy Barritt https://t.co/HqZmLUWoiN
2019-11-09 18:28:32,5 of 5 stars to Clean Getaway by Christy Barritt https://t.co/gnf0CDTk1m
2019-11-08 12:21:13,3 of 5 stars to Gunpowder Chowder by Lyndsey Cole https://t.co/87AW6lnpjP
2019-11-06 17:47:33,5 of 5 stars to Cunning Attractions by Christy Barritt https://t.co/scMEipU9gH
2019-11-06 17:16:30,"On page 100 of Bitter Brew, by G.A. McKevett https://t.co/ZSHzxMVUGt"
2019-11-03 17:17:44,5 of 5 stars to Organized Grime by Christy Barritt https://t.co/y7M0x0b7vy
2019-11-01 19:09:14,5 of 5 stars to Baked to Death by Dean A. James https://t.co/Tku8EEqgKk
2019-10-29 20:30:10,5 of 5 stars to Nogged Off by Barbara Ross https://t.co/KtOAz0bUFd
2019-10-27 05:07:40,5 of 5 stars to Faked to Death by Dean A. James https://t.co/0AzvOZON82
2019-10-22 21:06:45,5 of 5 stars to Rice Side Dish 365 by Amelia Vega https://t.co/gD9eZ062bn
2019-10-17 04:24:38,5 of 5 stars to ChoirMaster by Michael Craft https://t.co/7x6ETokicT
2019-09-29 21:34:23,5 of 5 stars to Against the Claw by Shari Randall https://t.co/M39sCfbaRe
2019-09-08 19:43:10,"Volunteers from store 212, Kenosha, Wisconsin at the American Cancer Society's Bark for Life event. #lifeatkohls… https://t.co/TdQppDaPdE"
2019-08-19 02:20:25,"5 of 5 stars to Curses, Boiled Again! by Shari Randall https://t.co/HfMLihveiF"
2019-08-16 05:00:12,5 of 5 stars to Steamed Open by Barbara Ross https://t.co/DTtjw6DMbF
2019-08-01 14:12:08,4 of 5 stars to Murder Vows by Gillian Larkin https://t.co/UlqHqWQr5j
2019-07-28 18:04:28,5 of 5 stars to A Plain Vanilla Murder by Susan Wittig Albert https://t.co/6vA5pTPdjA
2019-07-24 14:51:36,5 of 5 stars to The Pawful Truth by Miranda James https://t.co/vLULXJ83Lb
2019-07-20 02:30:05,"On page 100 of Bitter Brew, by G.A. McKevett: I thoroughly enjoyed this entry to the ser... https://t.co/cyUvrvd0Xc"
2019-07-07 04:29:23,5 of 5 stars to Meerkats and Murder by Leslie Langtry https://t.co/H9YXNwvDeu
2019-07-02 04:10:04,5 of 5 stars to Claws for Concern by Miranda James https://t.co/N2k5Hvhznf
2019-06-28 03:59:28,4 of 5 stars to Murder In The Heartland by M. William Phelps https://t.co/4yn6IhyaPG
2019-06-15 06:02:51,2 of 5 stars to Murdered Actresses by Sarah Thomerson https://t.co/bZd5QNQvqj
2019-06-09 06:09:26,5 of 5 stars to By Any Means Necessary by Rebekah Thonginh Ross https://t.co/xqmvWT6Iwq
2019-06-08 02:50:15,"RT @ADavisODell: Pride Day at Kohl's.  Kenosha, Wisconsin store.  #kohlspride https://t.co/vwGoVaB8mP"
2019-06-08 02:14:56,"Pride Day at Kohl's.  Kenosha, Wisconsin store.  #kohlspride https://t.co/vwGoVaB8mP"
2019-04-15 05:32:58,5 of 5 stars to Merit Badge Murder by Leslie Langtry https://t.co/ZJyT9Q3YDe
2019-04-02 05:40:54,5 of 5 stars to The Effective Plant-Based Air Fryer C... by Chef Effect https://t.co/vYJa51U16E
2019-04-01 17:42:51,3 of 5 stars to The Fast and the Furriest by Sofie Ryan https://t.co/KOD3O7Mlpx
2019-01-16 00:45:53,5 of 5 stars to Bitch Slap by Michael Craft https://t.co/Zj5FGhNMri
2019-01-11 22:06:46,5 of 5 stars to Hot Spot by Michael Craft https://t.co/48G62EFJMl
2019-01-07 03:26:01,5 of 5 stars to Body Language by Michael Craft https://t.co/wxNhcNadqc
2018-12-06 01:34:11,5 of 5 stars to Eye Contact by Michael Craft https://t.co/DFTB8ImD9g
2018-12-04 10:46:39,4 of 5 stars to Flight Dreams by Michael Craft https://t.co/T2GqF5pSfo
2018-11-20 03:18:09,5 of 5 stars to Inside Dumont by Michael Craft https://t.co/rXYYRUWYPZ
2018-11-11 00:59:39,5 of 5 stars to FlabberGassed by Michael Craft https://t.co/l5o9IUdsGd
2018-11-09 01:21:52,5 of 5 stars to FlabberGassed by Michael Craft https://t.co/l5o9IUdsGd
2018-06-08 14:04:18,"RT @inihelene: ""As you move through life and this world you change things slightly, you leave marks behind, however small. In return, life…"
2018-06-08 13:58:37,"RT @neiltyson: A friend of @StarTalkRadio.  A friend of Food &amp; Culture.  A friend to us all. Anthony Bourdain, RIP.  (1956-2018). https://t…"
2018-03-24 02:49:41,Drumroll please: It's Sir Ringo as ex-Beatle knighted https://t.co/ZEtFCvFwp0
2018-03-18 05:04:34,1 of 5 stars to The Spoiled Brat Killer by Larry Maravich https://t.co/xTCLgTElkW
2018-03-17 17:31:00,5 of 5 stars to Small Sacrifices by Ann Rule https://t.co/0JapBvaIQp
2018-03-11 16:35:45,5 of 5 stars to While She Slept by Marion Collins https://t.co/okCZibbIIV
2018-03-11 06:37:15,5 of 5 stars to Death in an English Cottage by Sara Rosett https://t.co/QMVFHESDRj
2018-03-03 08:28:28,5 of 5 stars to One Hex of a Wedding by Yasmine Galenorn https://t.co/N4a4ajlX7X
2018-03-03 04:25:05,1 of 5 stars to The Spoiled Brat Killer by Larry Maravich https://t.co/xTCLgTElkW
2018-02-23 19:42:31,3 of 5 stars to The Palm Beach Murder by Marion Collins https://t.co/yL6nGtGTjO
2018-02-14 00:16:42,5 of 5 stars to A Decadent Way To Die by G.A. McKevett https://t.co/sRgWmZxQEk
2018-02-09 23:27:49,4 of 5 stars to Fatal Charm by Carlton Smith https://t.co/XVooU3sbVD
2018-01-27 01:40:00,5 of 5 stars to My Sweet Angel by John Glatt https://t.co/0toEkFgGrX
2018-01-20 19:29:00,3 of 5 stars to Formula for Murder by Diana Orgain https://t.co/LZsEKUlMrP
2018-01-13 21:35:50,5 of 5 stars to She Wanted It All by Kathryn Casey https://t.co/YiUfn82Pyv
2017-10-13 01:38:33,Tom Fuchs Memorial Fund https://t.co/lt9dvX1sw3
2017-10-13 00:54:56,5 of 5 stars to Corpse Suzette by G.A. McKevett https://t.co/PqRGBa3nCe
2017-09-08 00:43:35,4 of 5 stars to Ghost of a Chance by Yasmine Galenorn https://t.co/o1bqov07Rf
2017-08-31 00:57:48,4 of 5 stars to Ghost of a Chance by Yasmine Galenorn https://t.co/uH31guYDX8
2017-08-22 02:15:15,5 of 5 stars to The Last Chance Olive Ranch by Susan Wittig Albert https://t.co/aUms3hCh9J
2017-08-06 07:02:55,3 of 5 stars to 52 Steps To Murder by Steve Demaree https://t.co/rt6vJMtexn
2017-07-21 23:22:19,3 of 5 stars to Murder at the Book Fair by Steve Demaree https://t.co/Qg7MAVkeHY
2017-06-09 01:33:38,5 of 5 stars to The Monet Murders by Josh Lanyon https://t.co/SjuTu2Ygdn
