timestamp,tweet_text
,Author; counselor/wellcoach; tai chi/qigong/assoc. wellness philos/arts; meditation/guided imag. https://t.co/UdJqK0iwDn,
2019-11-13 16:23:48,RT @LisaDMeyer: @JessSFrankel @EmmyRBennett @RoseMontague @AuthorEllie @luna_selas @SableAradia @JIRogers_Author @devin_salesman @wgevans @…
2019-11-13 16:23:35,RT @judehaste_write: #NewRelease #excerpt Welcome to Sochi #comedy https://t.co/yPKdRYM7RZ &amp; https://t.co/hVBmbJ9I8I https://t.co/AKGQgNWflS
2019-11-13 16:23:32,RT @Raymond_Norman: 'an amazing book...especially for young teens struggling to find themselves.'  The Fourth Liner by @uncensored_ant.  #F…
2019-11-13 16:23:28,RT @Pat_McDermott: A singing session in the pub leaves Andy in need of a break. He invites Suzanne to step outside with him. Would she hit…
2019-11-13 16:23:26,RT @danielkemp6: BOTH KINDLES—in the Heirs and Descendants Series for ONLY—£3.98 Or $5.98 (a third novel coming next year) #Murder #Mystery…
2019-11-13 16:23:23,RT @JoyceDeBacco: https://t.co/m2wRk9Bk7B Series is complete at 4 books and #Free with #KindleUnlimited “Great start to a new series! The S…
2019-11-13 16:22:47,RT @FrostieMoss: Missing Greece? Dreaming of Corfu? Next best thing to a plane ticket: https://t.co/ni9ciULDox #Greece #Kindleunlimited #Gr…
2019-11-13 16:22:42,"RT @FrostieMoss: A 5-star review from Readers' Favorite for Greek paranormal romance, The Amulet https://t.co/JjpVTRWTqE #reviews #booklove…"
2019-11-13 16:22:25,"RT @SSBazinet: 🎁 C o m i n g  S o o n! 🎁  HOLIDAY🎄HICCUPS  What’s Gloria going to do?   Pots are bubbling over,     her gravy's on the floo…"
2019-11-13 16:22:14,RT @jeanleesworld: #NaNoWriMo2019 #WritingLog: #writing a 5th #chapter https://t.co/g3pwAXyYss https://t.co/OMu4NRfd13
2019-11-13 16:21:45,RT @Inessa_ie: The Stranger https://t.co/FU7PVfh6Rh via @KevinCo34737852
2019-11-13 16:21:42,RT @Inessa_ie: Silent Payback Tour https://t.co/sGznBGN5ax via @KevinCo34737852
2019-11-13 16:21:37,RT @Inessa_ie: November https://t.co/kHC6MuVF6Y https://t.co/JfHLDI3BmH
2019-11-13 16:21:22,"RT @dlhampton: My gut-wrenchingly honest, can't-put-it-down memoir is now available.  You'll laugh. You'll cry. You'll be glad it's not you…"
2019-11-13 16:21:03,RT @MartaMariaMA: Practicing #Mindfulness every day can train your brain to Dissolve Fear - Harvard Research | #Neuroscience https://t.co/8…
2019-11-13 16:20:38,RT @FDS_NaturallyMe: One individual broke a code of silence while a group of friends unravels an unknown realm.   The Wizard's Estate: Let…
