timestamp,tweet_text
,"I'm Ava, an #indieauthor who writes sexy stories of the science fiction kind. I follow writers and adore the #writingcommunity. Oh and I love my cats. 😺🛸",
2019-11-13 04:13:52,@AnnaMonroe1212 @_TheBlackLion_ Thanks Anna!!!
2019-11-13 04:10:18,@My3Rivers @nikkihrose *hug*
2019-11-13 04:10:11,RT @My3Rivers: @AvaLeeMosley @nikkihrose I don't know what I write. I just have words stuck in my head! I feel like I need to write. I have…
2019-11-13 04:09:10,@LordtBlackwell Thanks! I thought something was fishy...
2019-11-13 04:08:27,Hah! That sounds awesome.😂 https://t.co/v1wLYdGhCw
2019-11-13 04:07:55,@lightscamerach1 Thanks!
2019-11-13 04:06:51,@thesimplerman @neilwalkerwrote Ooooo
2019-11-13 04:06:24,@thesimplerman ❤️❤️❤️
2019-11-13 04:04:55,@kayettelamane That cat is awesome!!!
2019-11-13 04:03:50,Let's give Shyrel a #writerlift! https://t.co/VscMlGdFi7
2019-11-13 04:01:34,@TheRealCKrupa Thanks Chris!
2019-11-13 04:00:38,@eep13 Stabbed through the heart with horror? Perfect.
2019-11-12 21:58:47,@WendyHewlett Thanks Wendy!
2019-11-12 21:58:08,@LordtBlackwell yay :)
2019-11-12 21:53:12,RT @JDRFredriks: @AvaLeeMosley New to twitter but I write fantasy novels with a silly sense of humour. A food delivery Dwarf named Uba and…
2019-11-12 21:52:51,@AnnaMonroe1212 @_TheBlackLion_ Or do you mean some kind of overlay?
2019-11-12 21:52:41,@AnnaMonroe1212 @_TheBlackLion_ You mean different colors? I was just going for blue cos scifi :)
2019-11-12 21:51:53,"Okay I think this is sexier, but still might change it tomorrow.🤔 https://t.co/OmwiMFpSZP"
2019-11-12 21:27:44,@IainDawson6 It's not live yet :D
2019-11-12 21:24:58,@_TheBlackLion_ Thank you!
2019-11-12 21:24:52,@_TheBlackLion_ Yep... I am trying but it always goes more scifi than erotica.
2019-11-12 21:20:17,"@_TheBlackLion_ Does it look erotic enough... I'm struggling, lol"
2019-11-12 21:18:16,I'm working on my website... what do you guys think so far?🤔 https://t.co/DTbYQZPis0
2019-11-12 21:13:34,RT @nknightwrites: New cover! #bookstoread #BookWorm https://t.co/JDyZPCaJuG
2019-11-12 21:13:26,"@nknightwrites Different pen names, readers want more of the same :)"
