timestamp,tweet_text
,,
2019-11-13 15:07:06,"On page 210 of 410 of Autoboyography, by Christina Lauren https://t.co/agK2E1aWpd"
2019-11-11 19:53:56,"On page 154 of 410 of Autoboyography, by Christina Lauren https://t.co/O8ul9gJrR7"
2019-11-10 19:45:12,"On page 94 of 410 of Autoboyography, by Christina Lauren: Read while listening to the au... https://t.co/YUJN68GUHC"
2019-11-09 15:23:48,I read Aristotle and Dante Discover the Secr... by Benjamin Alire Sáenz https://t.co/Hq7tDskpAO
2019-11-06 06:38:21,4 of 5 stars to The Winter Ghosts by Kate Mosse https://t.co/GZuzqFMbFu
2019-11-04 21:02:34,4 of 5 stars to The Winter Ghosts by Kate Mosse https://t.co/GZuzqFMbFu
2019-11-03 04:54:07,"On page 205 of 253 of The Winter Ghosts, by Kate Mosse: I wanted to read something spook... https://t.co/5oHabMOuSX"
2019-10-22 18:26:15,3 of 5 stars to Pumpkin and Spice by Abby Knox https://t.co/p9VlTHQD74
2019-10-22 16:28:42,3 of 5 stars to Pumpkin and Spice by Abby Knox https://t.co/b2lSu4JmDm
2019-10-20 13:58:27,4 of 5 stars to To Night Owl From Dogfish by Holly Goldberg Sloan https://t.co/7TO2CUAAVQ
2019-10-19 11:55:30,4 of 5 stars to Field Notes on Love by Jennifer E. Smith https://t.co/lNfx4qTxfg
2019-10-18 21:30:26,4 of 5 stars to Field Notes on Love by Jennifer E. Smith https://t.co/rx3V3ufhrH
2019-10-12 09:29:30,"4 of 5 stars to Always and Forever, Lara Jean by Jenny Han https://t.co/f6ZMpgpvL3"
2019-10-11 10:46:18,4 of 5 stars to P.S. I Still Love You by Jenny Han https://t.co/XBQZXRV7xa
2019-10-11 10:01:48,4 of 5 stars to Checked Out by Elizabeth Spann Craig https://t.co/gFCduYLh2a
2019-10-11 09:29:29,4 of 5 stars to P.S. I Still Love You by Jenny Han https://t.co/0hHwfcY6QF
2019-10-10 14:58:38,5 of 5 stars to The Bookish Life of Nina Hill by Abbi Waxman https://t.co/Kl7py6MLqF
2019-10-10 08:15:54,5 of 5 stars to The Bookish Life of Nina Hill by Abbi Waxman https://t.co/0tljKoMstg
2019-10-08 08:59:04,"5% done with The Soul of an Octopus, by Sy Montgomery: An interesting read, for now, you... https://t.co/AZsdJKqYzC"
2019-10-06 15:03:10,4 of 5 stars to Checked Out by Elizabeth Spann Craig https://t.co/K0xChHFkwo
2019-10-03 21:19:00,"On page 53 of 244 of Checked Out, by Elizabeth Spann Craig https://t.co/Y6tg4LYl2R"
2019-10-03 16:22:22,4 of 5 stars to Marigolds and Murder by London Lovett https://t.co/uAsXM2Lo3e
2019-10-03 14:19:17,4 of 5 stars to Marigolds and Murder by London Lovett https://t.co/sSjVoQDb3r
