timestamp,tweet_text
,"EMILY | Creepy reads, wine & cheese. Will probably try to talk to you about dogs or Vanderpump Rules. (She/her) #ladiesofhorrorfiction",
2019-11-13 04:08:12,Noelle has the Christmas cheesiness I need 🎄  #DisneyPlus https://t.co/8231CX0MOT
2019-11-13 00:32:15,@Toni_The_Reader https://t.co/EPHmu3IJ1C
2019-11-13 00:13:45,"I'll be rewatching Lizzie McGuire for the foreseeable future; bye, y'all https://t.co/MhXqclNKAm"
2019-11-13 00:08:01,So many @astrangerdream_ bookmarks!  Use HAPPY10 for 10% off ♥️ https://t.co/mDJAFUkDx5
2019-11-12 21:51:14,RT @LOHFiction: Exciting news! We are adding a YA category to the 2019 #lohfawards ! If you're a YA author who identifies as a woman &amp; has…
2019-11-12 14:30:26,"RT @HillaryMonahan: Two horror tropes that NEED TO GO AWAY FOREVER NO REALLY FOREVER:  Mystic evil gypsies and curses. ""Buried on an Indian…"
2019-11-11 16:18:36,RT @howlinglibrary: Check out this awesome list Amy wrote of queer horror recs! 😍  https://t.co/Etg18YuYYC https://t.co/CLh3bigyyi
2019-11-11 16:15:11,@howlinglibrary The Luminous Dead - Caitlin Starling Osgood as Gone - Cooper S. Beckett When I Arrived at the Castl… https://t.co/xJuAyaGcbi
2019-11-11 16:09:45,I loooove the Hogwarts house editions from BookDepository 😍 https://t.co/57sg5w1jo8
2019-11-10 22:46:28,Books I love that have been nominated for a GoodReads Choice Award this year 😍.   A couple are missing from the pho… https://t.co/1vj8W9ckqK
2019-11-10 19:25:38,Buddy reading Dark Carnival with @tracy_reads79! Thank you to @JoannaPary for sending me a copy! https://t.co/hlufDRMUWL
2019-11-10 16:54:09,@MadeleineSwann Yes!!
2019-11-10 04:57:58,@ELemonDesign Ooooooohhhh
2019-11-10 01:01:55,@tracy_reads79 @finding_montauk Oh yes hello
2019-11-10 01:00:42,"RT @BowtiesBooks: Also if u are a non-binary spectrum (genderfluid, agender, genderqueer, etc) Booktuber or bookstagrammer and want to be a…"
2019-11-10 00:57:04,@HightowerLaurel It's the best!
2019-11-10 00:56:56,@cherylwlow So good!!
2019-11-10 00:11:26,@tracy_reads79 Thanks! ♥️
2019-11-09 23:29:36,@Traceyannthomp It's great!
2019-11-09 23:25:05,"@EdwardLorn I loved it! I thought it was creative and entertaining. My review, in case this helps:  https://t.co/SmugOVMIPP"
2019-11-09 23:22:43,Fall colors bookstack! I loved all of these books 😍 https://t.co/U1NrjmAU47
