timestamp,tweet_text
,"blogger, reviewer, storyteller, foodie, good things sharer https://t.co/BCQB1QylHG; @HallmarkPublish
reviewer; #HallmarkHallofFame cherisher",
2019-11-14 13:44:33,Enter the Trouble Series Giveaway! Designed for readers of small town romance! #giveaway #win https://t.co/2BI8yGG0n1
2019-11-14 00:26:29,It’s the kind of Texas night where anything can happen — even love. A TEXAS KIND OF CHRISTMAS by @JodiThomas… https://t.co/F9nIpR7q3l
2019-11-13 18:08:35,RT @BookedSolidVAC: #Giveaway ~ Join the Holiday #Hallmark Author Party! #WIN Gift Card! #SweetRomance #books #readers #Hallmarkies https:/…
2019-11-13 17:46:06,#Giveaway ~ Join the Holiday #Hallmark Author Party! #WIN Gift Card! #SweetRomance #books #readers #Hallmarkies https://t.co/TMX1evN2Ij
2019-11-13 04:51:28,"RT @BookedSolidVAC: ""The 4-Week Fast Metabolism Diet Plan: 100 Recipes to Reset Your Metabolism and Lose Weight""--Ready to eat smarter? The…"
2019-11-13 04:51:21,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""The 4-Week Fast Metabolism Diet Plan: 100 Recipes... https://t.co/RyaFOyZCdY"
2019-11-13 04:51:16,RT @BookedSolidVAC: Reviewed The 4-Week Fast Metabolism Diet Plan: 100 Recipes to Reset Your Metabolism and Lose Weight by April Murray… ht…
2019-11-13 04:50:55,RT @BookedSolidVAC: Capitol White: A Donnie Brasco Novel Audible Originals https://t.co/w1P2Lb473Q via @amazon
2019-11-13 04:50:51,RT @BookedSolidVAC: Capitol White: A Donnie Brasco Novel by Joe Pistone https://t.co/6JuNhuQOIO via @goodreads
2019-11-13 04:47:06,Capitol White: A Donnie Brasco Novel by Joe Pistone https://t.co/6JuNhuQOIO via @goodreads
2019-11-13 04:42:30,Capitol White: A Donnie Brasco Novel Audible Originals https://t.co/w1P2Lb473Q via @amazon
2019-11-12 23:19:01,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""Bitter Root Mysteries Series""--from author C. J. ... https://t.co/mPJYi7xsM1"
2019-11-12 23:18:57,"RT @BookedSolidVAC: ""Bitter Root Mysteries Series""--from author C. J. Carmichael--set in Lost Trail, Montana where the bitter roots of hatr…"
2019-11-12 23:18:35,"""Bitter Root Mysteries Series""--from author C. J. Carmichael--set in Lost Trail, Montana where the bitter roots of… https://t.co/FW9RDdMnMN"
2019-11-12 23:15:54,"Booked Solid with Virginia C: ""Bitter Root Mysteries Series""--from author C. J. ... https://t.co/mPJYi7xsM1"
2019-11-12 22:21:38,Reviewed The 4-Week Fast Metabolism Diet Plan: 100 Recipes to Reset Your Metabolism and Lose Weight by April Murray… https://t.co/yKBaVrEQ9d
2019-11-12 22:10:39,"Booked Solid with Virginia C: ""The 4-Week Fast Metabolism Diet Plan: 100 Recipes... https://t.co/RyaFOyZCdY"
2019-11-12 22:09:48,"""The 4-Week Fast Metabolism Diet Plan: 100 Recipes to Reset Your Metabolism and Lose Weight""--Ready to eat smarter?… https://t.co/lXsVlRF4FT"
2019-11-12 20:45:37,"RT @BookedSolidVAC: WHOO-HOO!!! WAY TO GO, MISS CAROLYN!!! https://t.co/tOPmbnGMjm"
2019-11-12 20:45:30,RT @BookedSolidVAC: The Family Journal by Carolyn Brown https://t.co/Nn2t9Oj9hP via @amazon
2019-11-12 20:45:25,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""WILD ROSE RANCH SERIES""--contemporary western rom... https://t.co/ie6bZ0OWWO"
2019-11-12 20:45:19,"RT @BookedSolidVAC: ""WILD ROSE RANCH SERIES""--contemporary western romance from author Jennifer Ryan--breathtaking love stories and a touch…"
2019-11-12 20:45:01,"""WILD ROSE RANCH SERIES""--contemporary western romance from author Jennifer Ryan--breathtaking love stories and a t… https://t.co/L6fsu7p7Kn"
2019-11-12 20:43:04,"Booked Solid with Virginia C: ""WILD ROSE RANCH SERIES""--contemporary western rom... https://t.co/ie6bZ0OWWO"
2019-11-12 20:10:40,The Family Journal by Carolyn Brown https://t.co/Nn2t9Oj9hP via @amazon
2019-11-12 20:06:09,"WHOO-HOO!!! WAY TO GO, MISS CAROLYN!!! https://t.co/tOPmbnGMjm"
2019-11-12 20:04:33,"CONGRATULATIONS TO AUTHOR CAROLYN BROWN ON HER 100TH PUBLISHED BOOK!!! ""THE FAMILY JOURNAL"" @CarolynBrown… https://t.co/v3FAb0GHCd"
2019-11-12 19:31:19,RT @thecarolynbrown: Got plans tomorrow? #TheFamilyJournal is out in less than 24 hours!!! https://t.co/cJtoL9zKxJ
2019-11-12 19:31:10,RT @thecarolynbrown: Thank all of you for serving our country and paying the price for our freedom. We come from a long line of folks who h…
2019-11-12 19:31:02,RT @thecarolynbrown: The day is finally here! I woke up this morning to fantastic reviews already on Amazon. I have the best readers in the…
2019-11-12 19:30:26,"RT @stone4031: While at breakfast l, Carolyn Brown walked by (her 100th book is out this year). She talked with us for a bit and I asked fo…"
2019-11-12 19:30:11,RT @AdmirandH: Cannot wait!!! Congrats Carolyn Brown on your gorgeous cover and releasing your 100th book on November 12th!! https://t.co/V…
2019-11-12 19:29:11,"RT @JonDLand: ""CAPITOL WHITE picks up the Donnie Brasco story 5 years after the sensational mob case that left him a marked man with a pric…"
2019-11-12 17:30:48,Updated review The 30-Minute Ayurvedic Cookbook by Danielle Martin on LibraryThing https://t.co/cqZ6CW6FCj
2019-11-12 17:19:26,"RT @BookedSolidVAC: ""The 30-Minute Ayurvedic Cookbook: Healing Recipes for Total Wellness""--bring balance back to your body with simple, th…"
2019-11-12 17:19:18,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""The 30-Minute Ayurvedic Cookbook: Healing Recipes... https://t.co/ho8ssJ3cEq"
2019-11-12 17:16:46,"Booked Solid with Virginia C: ""The 30-Minute Ayurvedic Cookbook: Healing Recipes... https://t.co/ho8ssJ3cEq"
2019-11-12 17:16:14,"""The 30-Minute Ayurvedic Cookbook: Healing Recipes for Total Wellness""--bring balance back to your body with simple… https://t.co/O3AfxzqAEN"
2019-11-12 15:16:20,RT @BookedSolidVAC: especially when you have it in your heart...I try to carry it in my heart all year long...  https://t.co/2e3cNF3SWc  ht…
2019-11-12 15:15:12,especially when you have it in your heart...I try to carry it in my heart all year long...  https://t.co/2e3cNF3SWc… https://t.co/21dd53H2I3
2019-11-12 15:05:10,"RT @GreggMcBride: Hello, princess 👑 https://t.co/2cfJVtcT5R"
2019-11-12 15:05:00,RT @BeccaGuido: Great Day 2 At @AFMOFFICIAL #AFM #AmericanFilmMarket @homelessashes #SittingUnderTheChestnutTree @zammit_marc @Aptitude_Fil…
2019-11-12 15:04:50,RT @GreggMcBride: Precisely 🍂 ☕️ https://t.co/pvQnQSephi
2019-11-12 15:04:33,RT @GreggMcBride: fallicious advice. 🍂 https://t.co/dZbSw3RB4g
2019-11-12 15:04:16,RT @GreggMcBride: Sending a #VeteransDay shout out to my Air Force officer dad and to all of the other brave vets who’ve sacrificed so much…
2019-11-12 15:03:54,"RT @FlamingTornado1: @GreggMcBride Eugene is warming up to the kittens &amp; starting to play with them. An orphan raised w/senior cats, he did…"
2019-11-12 15:03:36,RT @BeccaGuido: @SimoneLabarga @HectorEBH @LewTempleActor @RitchiEdwards @guirivaud @AngelaDixonAct @Dean_Maskell @andrewleepotts @KirstyJC…
2019-11-12 15:02:48,RT @CassCarterBooks: It's a Very Merry Giveaway from the Hallmark Authors! Enter to win a $150 Amazon gift card! 🎄 #Hallmarkies #Hearties #…
2019-11-12 15:02:00,RT @GreggMcBride: Shades of autumn. Even here amidst the 80 degree temperatures of Los Angeles. 🍂 https://t.co/B23kYPuZn8
2019-11-12 15:01:01,"RT @BrendanKLieb: It's return to the #Twitterbakealong, and this week is scones. This morning I made #cranberry &amp; #orange #scones that are…"
2019-11-12 15:00:48,"RT @BrendanKLieb: I don't have much time to bake today, so I just made a small cake. This is a dark chocolate, espresso &amp; cherry cake that'…"
2019-11-12 14:59:19,"RT @BrendanKLieb: I've seen Tina Turner in concert so many times that I lost count, and there's no one who compares to the sheer power and…"
2019-11-12 14:59:01,"RT @BrendanKLieb: A freshly baked batch of pumpkin, spinach, chili &amp; cheese savoury muffins have just come out of my oven. It's a very sill…"
2019-11-12 14:58:54,RT @BrendanKLieb: Dessert this evening is a flourless chocolate torte. This one is a dark chocolate &amp; ginger torte that's topped with spice…
2019-11-12 14:58:47,"RT @BrendanKLieb: Today was a day to play with a few baking ideas for Thanksgiving dinner.  These are spiced pumpkin cakes, which I topped…"
2019-11-12 14:58:33,RT @BrendanKLieb: This is my spiced pumpkin &amp; cranberry relish cake unwrapped.  😊🎃 https://t.co/FDQEuo4B8A
2019-11-12 14:58:17,RT @BrendanKLieb: 😍😍 https://t.co/JAvxdJMG79
2019-11-12 14:57:58,RT @BrendanKLieb: My father was German &amp; every New Year's Day he would visit a wonderful baker &amp; buy a New Year's Day Bread. I'm not really…
2019-11-12 14:57:28,"RT @BrendanKLieb: It's homemade pizza day in my home. This one is topped with homemade sundried tomato marina, garlic, Parmesan, mozzarella…"
2019-11-12 14:57:18,"RT @BrendanKLieb: Halloween has passed, so that means it's time for horrifying #Thanksgiving cakes to start popping up in grocery store bak…"
2019-11-12 14:57:07,"RT @BrendanKLieb: It was 70 yesterday, but this morning it is snowing, very windy and 18 degrees. Hello, winter! 😊❄️☃️ Happy Tuesday!  http…"
2019-11-12 14:08:29,"RT @BookedSolidVAC: ""Charles Lenox Mysteries Series""--by Charles Finch--Charles Lenox, Victorian gentleman and amateur sleuth is often call…"
2019-11-12 14:08:18,"""Charles Lenox Mysteries Series""--by Charles Finch--Charles Lenox, Victorian gentleman and amateur sleuth is often… https://t.co/cpmNTUPr0y"
2019-11-12 14:01:15,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""Charles Lenox Mysteries Series""--by Charles Finch... https://t.co/inGoaUVgip"
2019-11-12 13:48:54,"Booked Solid with Virginia C: ""Charles Lenox Mysteries Series""--by Charles Finch... https://t.co/inGoaUVgip"
2019-11-12 13:43:43,RT @BookedSolidVAC: Want to win LOVE LETTERING [ARC]? I just entered to win and you can too. https://t.co/iQGPVXkYQZ
2019-11-12 13:43:37,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""The Great Blue Hills of God: A Story of Facing Lo... https://t.co/57XaP0wIFp"
2019-11-12 13:43:33,"RT @BookedSolidVAC: ""The Great Blue Hills of God: A Story of Facing Loss, Finding Peace, and Learning the True Meaning of Home""--by Kreis B…"
2019-11-12 13:43:11,"""The Great Blue Hills of God: A Story of Facing Loss, Finding Peace, and Learning the True Meaning of Home""--by Kre… https://t.co/Q4oAPv9nAI"
2019-11-12 13:38:59,"Booked Solid with Virginia C: ""The Great Blue Hills of God: A Story of Facing Lo... https://t.co/57XaP0wIFp"
2019-11-12 01:05:03,Want to win LOVE LETTERING [ARC]? I just entered to win and you can too. https://t.co/iQGPVXkYQZ
2019-11-11 21:11:15,"RT @BookedSolidVAC: ""Fall of Poppies: Stories of Love and the Great War""--Top voices in historical fiction deliver an unforgettable collect…"
2019-11-11 21:11:09,"RT @BookedSolidVAC: Booked Solid with Virginia C: ""Fall of Poppies: Stories of Love and the Great Wa... https://t.co/X7V28bQc8b"
2019-11-11 21:09:31,"Booked Solid with Virginia C: ""Fall of Poppies: Stories of Love and the Great Wa... https://t.co/X7V28bQc8b"
2019-11-11 21:08:52,"""Fall of Poppies: Stories of Love and the Great War""--Top voices in historical fiction deliver an unforgettable col… https://t.co/HY24uKiMGP"
2019-11-11 20:38:16,RT @BookedSolidVAC: Booked Solid with Virginia C: Long Ago and Far Away: Reminiscences of Robert Sam... https://t.co/b8eS0XEsZT
2019-11-11 20:38:08,RT @BookedSolidVAC: Long Ago and Far Away: Reminiscences of Robert Sams of his 27 months aboard the USS Cambria APA-36 during the Pacific C…
2019-11-11 20:37:40,Long Ago and Far Away: Reminiscences of Robert Sams of his 27 months aboard the USS Cambria APA-36 during the Pacif… https://t.co/z9E7yGHZG0
2019-11-11 20:35:33,Booked Solid with Virginia C: Long Ago and Far Away: Reminiscences of Robert Sam... https://t.co/b8eS0XEsZT
2019-11-11 20:24:05,"RT @BookedSolidVAC: A True Story of American Valor: ""RED PLATOON"" by Medal of Honor recipient Clinton L. Romesha https://t.co/z2Vizcbfvi ht…"
2019-11-11 20:23:57,"RT @BookedSolidVAC: Booked Solid with Virginia C: A True Story of American Valor: ""RED PLATOON"" by M... https://t.co/drCTlJAtDY"
