timestamp,tweet_text
,I watch too many tv shows and I read too many books. she/they,
2019-11-09 20:10:49,RT @kzabrekker: that the people i consider my friends do not consider me theirs https://t.co/u3X3S52MdO
2019-11-09 19:05:26,RT @nickyhemmick: do yourself a favor and read crier's war
2019-11-09 18:53:37,4 of 5 stars to Now Entering Addamsville by Francesca Zappia https://t.co/tkWwJnm4iR
2019-11-09 16:28:43,RT @h0egenic: the year is 1997. i dont exist yet. Iife is good
2019-11-08 23:59:06,"RT @MissDahlELama: GIVEAWAY ALERT! Sunday will be two months since HIS HIDEOUS HEART came into the world 🖤 If you haven’t read it yet, or j…"
2019-11-08 13:07:23,"RT @anarrozz: me, everyday before the book is out: omgomgomg i cannot wAIT to read this book!!! *preorder*  book: *is out*  me: https://t.c…"
2019-11-07 16:40:52,RT @cblee_cblee: THE GRIEF KEEPER by @magpiewrites   ✨undocumented marisol undertakes a shady experiment to save her sister and herself ✨th…
2019-11-07 16:40:39,RT @cblee_cblee: LAURA DEAN KEEPS BREAKING UP WITH ME by @marikotamaki @hirosemaryhello ! ✨beautiful queer graphic novel on life and love ✨…
2019-11-07 16:40:22,RT @cblee_cblee: #HowToBeRemyCameron by @julianw_writes !! ✨ remy is the SWEETEST and your new best friend ✨ finding the courage to be your…
2019-11-07 15:26:58,3 of 5 stars to The Foxhole Court by Nora Sakavic https://t.co/Ut0VORzaA8
2019-11-07 15:23:51,RT @CatIsReading: ✨🦢GIVEAWAY🦢✨ • Blanca &amp; Roja by @LaAnnaMarie  • I accidentally ordered two of these so I thought I’d give one away  • Mus…
2019-11-07 15:23:26,@HelemaalJudCute Oh thankss!!
2019-11-02 22:33:58,"On page 173 of 368 of Now Entering Addamsville, by Francesca Zappia https://t.co/s0l8HL57mF"
2019-10-31 22:51:58,"61% done with The Foxhole Court, by Nora Sakavic https://t.co/kJRHDKZdXV"
2019-10-31 20:50:48,RT @B0RE0: the entire emo community right now  #mychemicalromance https://t.co/DrhLrXDGTn
2019-10-31 20:26:13,RT @recklessmegs: Me finding out MCR are getting back together vs finding out the show is in LA #mychemicalromance https://t.co/gpwpj91AKY
2019-10-31 20:20:42,RT @Galswells: This reunion got me like #mychemicalromance https://t.co/4t91hShwXs
2019-10-31 20:19:56,RT @67_vampirates: my life                                     my life  since                                        after 2k13…
2019-10-31 20:19:52,RT @spacebinnie: MCR IS GETTING BACK TOGETHER EMO TWITTER RISE #mychemicalromance https://t.co/U76a6GVZ1p
2019-10-31 16:15:07,Do I have a lot of unread books already? Oh yes absolutely. But did I still buy the percy jackson box set just beca… https://t.co/lExTyuwmMO
2019-10-31 14:57:15,RT @bookish_heights: 🎃HALLOWEEN BOOK GIVEAWAY!👻  Win one of the books pictured! (Your choice😊)  To enter: -Follow &amp; RT -INTL as long as Boo…
2019-10-31 14:20:36,RT @AwwwwCats: Love at First Sight https://t.co/9kTgTW7njV
2019-10-30 22:19:35,"RT @SG_Marsh: So I’m thinking we need a Halloween giveaway—my fav holiday! 🎃 RT &amp; follow to win both hardcovers, a softcover of Reign (sign…"
2019-10-28 15:20:13,"RT @mariekeyn: It's an absurdly good week for books, with both these beauties hitting shelves! 😍  So to celebrate: RT to win a hardcover co…"
2019-10-27 22:59:38,"On page 77 of 368 of Now Entering Addamsville, by Francesca Zappia: Not sure how I feel ... https://t.co/JMSCWhzxsH"
2019-10-27 20:34:01,RT @queenmxha: Me omw to annoy my mom when I’m bored https://t.co/4Ra8kxtDWy
2019-10-25 12:54:49,RT @BookLoverx: GIVEAWAY!  Since it’s payday I want to do a 24hr giveaway! RT&amp;FLW to win a book of your choice 😊 Ends 25/10/19 10:00am Open…
2019-10-24 20:20:42,RT @ms_lilyanderson: Hey y'all. I've got 3 UNDEAD GIRL GANG paperbacks that need a new home so it's time for a giveaway!   Follow &amp; RT by 1…
2019-10-24 16:49:55,Including two books signed by @veschwab https://t.co/bztgmbmMiU
2019-10-24 16:48:33,Went to Amsterdam today and bought some books! 🥰 https://t.co/8O7hv3qkuJ
2019-10-23 14:52:18,"RT @taysalion: ✨ #AceAwarenessWeek  GIVEAWAY! ✨ Win a copy of OMEN OPERATION and your choice between TARNISHED ARE THE STARS, BEYOND THE BL…"
2019-10-22 19:37:57,RT @marsupialpuddng: cinematic genius https://t.co/SGinw0Fhf8
2019-10-22 15:42:11,"34% done with The Foxhole Court, by Nora Sakavic https://t.co/BgxTVsozox"
2019-10-22 15:40:50,I just finished Crier’s War and all I can say is.. it’s definitely my favorite book of 2019
2019-10-19 16:32:34,"RT @TJ_Duckworth: I am so excited about 2019's fall releases, so let's do a giveaway!  3 randomly chosen winners will choose 1 of the books…"
2019-10-19 08:09:54,"RT @yellowbonemama: Twitter laugh at anything watch this.....😂  A,B,💿,E,F,G"
2019-10-14 19:46:43,"RT @cavaticat: me: I’m hungry fridge: great news, I’m full of foods you selected me: no, not like that"
2019-10-14 06:55:34,RT @rachael_emma_89: 🐍 GIVEAWAY!! 🐍  To win a copy of the fantastic KINGDOM OF SOULS by @renathedreamer just follow and retweet.  Open wher…
2019-10-12 13:22:38,ASDFGHHJLLSJD ITS HERE ITS HERE ITS HERE OMG https://t.co/4O2dWiUZMq
2019-10-12 13:20:17,Can’t wait to read this one! https://t.co/snR6bLPv8U
2019-10-12 09:02:33,RT @xonikkee: reading slumps                   depression                                  🤝                                    making me s…
2019-10-10 16:26:49,@HelemaalJudCute Ik ben nu al bij aflevering 4 dus komt goed 👍🏻 I will let you know
2019-10-10 15:29:30,Randomly decided to do an Orphan Black rewatch and omg I forgot how much I loved that show
2019-10-09 15:44:56,"RT @ShainByrd: #NationalOutDay is October 11th so I’m giving away two queer YA books. Your choice, and doesn’t have to be these. Can be a p…"
2019-10-08 19:09:36,I’ve only read a couple of chapters of Crier’s War so far but I can already tell it’s going to be a new favorite of mine. It’s so good
2019-10-08 15:40:16,ITS BEEN SENT
2019-10-06 18:41:55,Me waiting for book depository to send me my copy of Ninth House https://t.co/WmrQHj07Gq
2019-10-05 21:30:09,@ninavarelas @RosieeThor THE TWO MOST BEAUTIFUL BOOKS I HAVE EVER SEEN. I STILL HAVENT BEEN ABLE TO STOP STARING AT THEM ✨
2019-10-05 15:52:16,@RosieeThor @ninavarelas SO BEAUTIFUL 😍😍
2019-10-05 13:10:24,I just had to take a photo of these two books together because LOOK AT HOW BEAUTIFUL THEY ARE @ninavarelas… https://t.co/k6xePUyR87
2019-10-05 13:06:23,@HelemaalJudCute yes. I just want to stare at the cover forever
2019-10-05 12:54:28,How will I ever read all the beautiful books when all I want to do is stare at the beautiful covers
2019-10-05 12:53:46,I have been blessed with so many beautiful books lately. My heart can’t take it
2019-10-05 12:29:45,OMG my copy arrived very early and look how pretty this book is 😱😍 I cannot wait to read it @RosieeThor https://t.co/L4T9VBje28
2019-10-05 11:20:49,This is definitely my new favorite book cover. It’s so beautiful. I can’t wait to read it @ninavarelas https://t.co/eUYK6swrvx
2019-10-01 14:39:32,RT @JessicaLPowell: And of course my October giveaway must be for GIDEON THE NINTH by @tazmuir! 💀🖤  📚 Follow + RT by 10/31 at 10PM MST to e…
2019-09-30 13:12:08,"RT @sosaidvictoria: Guess what? ARCs of THE ELECTRIC HEIR have landed! ⚡️  To celebrate, I'm giving away one physical ARC. 🌟 To enter, F/RT…"
2019-09-29 16:05:36,RT @alexcIaremont: slowburn is the superior trope because when characters get together fast all the fun is over. what i'm gonna do with thi…
2019-09-24 06:10:19,RT @ToxicVileplume: Halloween book giveaway. RT + F for a chance to win one of these 4 books. Open Internationally as long as BookDepositor…
2019-09-21 13:53:47,"Can my anxiety leave me alone for one second, I’m trying to write a report"
2019-09-18 14:04:22,ME BEUGEL IS ERUIT!!!!!
2019-09-18 10:15:02,ME BEUGEL GAAT ER OVER MINDER DAN EEN UUR UIT AAAHHH!!!
2019-09-17 16:17:30,Somebody really thought I was 15.... HOW. WHY
2019-09-17 16:11:36,It’s been a few weeks now since I’ve started at my new school and so for not A SINGLE PERSON believes I’m 20... I d… https://t.co/bkACR401Kx
2019-09-16 15:17:14,het is ook echt fucking lastig. ik heb te lang geen verslag meer geschreven
2019-09-16 15:10:31,een verslag schrijven over fucking pissebedden is echt het saaiste wat ik ooit heb gedaan. echt iemand red mij van deze saaiheid pls
2019-09-16 14:35:13,"@eloquent_apollo Thank you, that means a lot 😊🤗"
2019-09-15 19:43:29,My depression this weekend https://t.co/3ydtRqfFmM
2019-09-15 19:16:50,These last couple of weeks I’ve been doing so well at my new school but this weekend my depression was like fuck th… https://t.co/f8CP4SOv8W
2019-09-14 21:14:33,"RT @kzabrekker: me: *buys new book* I’VE BEEN WAITING FOR THIS TO COME OUT FOR YEARS!!! I’M GONNA GO HOME AND IMMEDIATELY READ IT  also me,…"
2019-09-01 15:38:33,RT @HelemaalJudCute: THE SAPPHIC COUPLES IN YOUNG ADULT BOOKS OF 2019; A THREAD
2019-08-28 17:57:26,RT @agentmarvell: me imagining myself as a part of the movie i watched an hour ago ignoring the real world: https://t.co/OEmEQCwqKb
2019-08-26 15:51:42,I just had my first school day today and literally some people in my class are 15.... i’m 20... I’ve never felt this old in my life
2019-08-15 07:53:46,"RT @BSinLeo: so everybody’s in agreement that our dreams have been weird as fuck lately, right?"
2019-08-03 21:20:04,@HelemaalJudCute Ik heb misschien iets te veel ijsjes gegeten de laatste paar dagen.. 😂
2019-08-03 20:56:46,Yes I know I’m being very dramatic rn but I’ve been in pain now for 4 days and I’m normally never in this much pain… https://t.co/G4NHvdfjZY
2019-08-03 20:55:16,"Okay can someone PLS get my braces out I am in Pain. I’ve had my braces for 5,5 years now and I am Done. I don’t ca… https://t.co/ud5blCPcte"
2019-08-03 18:41:46,RT @LJSilverman1: ✨✨ Giveaway Time!! ✨✨  RT/F by 8/8 to win a preorder of It's a Whole Spiel AND a preorder of one of my most anticipated 2…
2019-08-01 13:37:24,@HelemaalJudCute That’s going to be so large omg. But I will do it
2019-08-01 12:55:36,Hmm maybe I bought too many books 🤔 https://t.co/qS3nv0zs7n
2019-07-29 13:17:13,"RT @MikalebRoehrig: 🇪🇺 EU FRIENDS 🇪🇺 I’m local for a while, so how about a GIVEAWAY?? RT + follow me by Friday, August 2, for a chance to w…"
2019-07-28 21:49:31,RT @NiftyNordfeldt: Scroll down 🌕 🌖 🌗 🌘 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌑 🌒 🌓 Keep scrolling 🌔 🌕 🌖 🌗 🌘 🌑 🌒 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌑…
2019-07-12 15:06:30,RT @JbKnockout: Why is it that your clothes only get caught on the door handle when you’re in a bad mood?
2019-07-03 12:58:52,"RT @JUPIT3RJO: every time i spent money, i feel so guilty bc i think “fuck i shoulve just saved”,,,,,but money is meant to be spent, meant…"
2019-06-24 12:06:28,RT @MsAshleyDevonna: Want to see me do it ALL month? https://t.co/Fa8pldHaKN
2019-06-22 14:27:57,RT @hmtfu: bro the first few weeks of pokémon go was the closest we’ve ever been to world peace
2019-06-18 09:55:54,"RT @esthergbenz: If your friend says they don’t have money for plans you’ve suggested, your two options are as follows:   1. Incur the full…"
2019-06-15 21:05:19,"RT @hxxneylips: daniel howell went from ""daniel and depression"" in oct 2017 to ""trying to live my truth"" in march 2018 and now he's at ""bas…"
2019-06-14 12:57:46,"RT @YourGirlRatBaby: Honestly even if you're not a Dan and Phil fan, you should watch Dan Howell's coming out video. It's a really well-spo…"
2019-06-14 10:37:45,RT @danielhowell: what a great day to be gay
2019-06-07 09:34:17,RT @ToxicVileplume: Pride Month book giveaway. RT + F for a chance to win one of these 4 books. Open Internationally as long as BookDeposit…
2019-06-02 15:37:47,RT @dumbbitchdoom: rt if you’re the gay cousin
2019-06-01 09:44:48,RT @JessicaLPowell: My June giveaway is for the YA fantasy SORCERY OF THORNS by @MarRogerson!  📚 Follow + RT by 6/30 at 10PM MST to enter.…
2019-05-27 17:02:44,"RT @PardonMyFro: 2 things you as my friend NEVER have to apologize for: 1. Being busy 2. Struggling (in general, emotionally, financially,…"
2019-05-25 20:52:27,RT @prsephn: if english were my first language id be so powerful. imagine the amount of absolute bullshit i could tweet w/out having to che…
2019-05-20 11:48:22,RT @itsmeBradyB: The brightest rainbow I’ve ever seen. Rt for good luck https://t.co/IZUeJPWAdh
2019-05-18 23:07:19,FUCKK YESSSSS. WE WON #eurovision
2019-05-11 12:27:48,@HelemaalJudCute OMG IT LOOKS AMAZING
2019-05-06 17:01:56,RT @ramiro__torres: This was the baby shark of our generation https://t.co/5Zry1ZkPFz
2019-05-05 14:26:17,RT @AshiaMonet: GIVEAWAY TIME! In honor of reaching 2k followers--IknowI'mwelloverI'msorryschoolhasbeenrough--I'm giving one (1) winner two…
2019-05-04 22:31:20,RT @Dustinkcouch: me: let's go out  brain: can't  me: why  brain: scared  me: of what  brain: people :(  me: ok lets stay in and relax  bra…
2019-04-17 15:02:55,RT @LJSilverman1: ✨✨ GIVEAWAY ✨✨  A RIVER OF ROYAL BLOOD by @amandajoywrites is one of the best fantasy books @AnnaMisboring and I have eve…
2019-04-03 15:07:14,RT @meauxtaylor: that i liked boys https://t.co/K4p6bTKy9q
2019-04-02 09:55:18,RT @evilbart24: Deciding to get up https://t.co/zVHB4DZFzo
2019-03-26 17:23:11,RT @ashvinmenon: What do you think the G in LGBT stood for? https://t.co/ZdcZoCUNAc
2019-03-24 16:23:01,RT @sarah_edo: Someone sent this to me and it’s bone chilling in its accuracy https://t.co/3EKzgXTUzC
2019-03-22 19:50:40,"RT @sammy_whamm: i am:   ⚪️  gay   ⚪️  straight  ⚪️  bi  🔘 conFUSion! Why is this one Kansas, but this one not Ar-Kansas?? AMERICA EXPLAIN!…"
2019-03-20 19:16:21,@BryOnTour Amsterdam!!
2019-03-19 18:17:30,RT @PanicAtTheDisco: High on life in Amsterdam 😏 https://t.co/UHyQRIj5iG
2019-03-04 15:21:17,"RT @bardicbabble: My March giveaway is for the dragon filled, feminist fantasy THE PRIORY OF THE ORANGE TREE by @say_shannon!  📚 Follow + R…"
2019-03-02 10:18:34,"RT @casey_mcquiston: 🚨 GIVEAWAY TIME 🚨 TWO WINNERS will get a prize pack including a signed ARC of RED, WHITE &amp; ROYAL BLUE plus enamel pins…"
2019-03-01 11:07:35,@LJSilverman1 my preorder arrived today! 🥰 I can’t wait to read it! https://t.co/vpwrZ3IvQ4
2019-02-20 22:39:36,RT @_Benji53: When you try to help but have no idea what you're doing https://t.co/C3QWzP71mr
2019-02-20 22:38:43,"RT @everythingloria: NEWS: Met with @Netflix about @OneDayAtATime S4  They made clear that they love the show, love how it serves underrepr…"
2019-02-14 11:38:34,RT @sapphicaptain: FROZEN 2 LOOKS AMAZING https://t.co/JFzUQqlNFj
2019-02-13 11:05:14,RT @AstridScholte: It’s only two weeks until Four Dead Queens is released!!!   Want to win a US hardcover before then? Simply follow and RT…
2019-02-10 23:28:45,RT @sadkxit: Things that one day at a time talks about:  -mental illness -racism -immigration -lgbtq+ -gun control -alcoholism -consent -PT…
2019-02-08 20:47:37,RT @sadieannerue: Cyrus Goodman is the first gay character with a coming out storyline on Disney Channel. He just made history again by usi…
