timestamp,tweet_text
,"I'm a wifey, mother of a toddler, aspiring writer, liberal hippie feminist, and thinker of deep thoughts.",
2019-11-11 23:07:18,1 of 5 stars to Vanishing Girls by Lauren Oliver https://t.co/u6urQ5Po4k
2019-11-11 05:18:26,"2% done with Vanishing Girls, by Lauren Oliver https://t.co/taRlPOzWLs"
2019-11-11 04:43:32,3 of 5 stars to I Am Watching You by Teresa Driscoll https://t.co/336clTYjpF
2019-11-11 01:59:47,"50% done with I Am Watching You, by Teresa Driscoll https://t.co/WcSEAstgly"
2019-11-09 15:30:47,"22% done with I Am Watching You, by Teresa Driscoll https://t.co/SfAvUzXhSi"
2019-11-09 02:57:06,"10% done with I Am Watching You, by Teresa Driscoll https://t.co/5Oz5cWeRyB"
2019-11-08 05:28:06,3 of 5 stars to What You Did by Claire McGowan https://t.co/tOwBNwqGJb
2019-11-08 00:47:51,"67% done with What You Did, by Claire McGowan https://t.co/BvXe5oFkr9"
2019-11-06 20:01:11,"32% done with What You Did, by Claire McGowan https://t.co/0b6WKiJtNK"
2019-11-06 15:54:37,Marked as to-read: The Midnight Wife by L.G. Davis https://t.co/wR7A99fUM6
2019-11-06 04:53:02,Marked as to-read: What You Did by Claire McGowan https://t.co/tOwBNwqGJb
2019-11-04 03:27:34,5 of 5 stars to The Tenth Girl by Sara Faring https://t.co/64ZlHZZTga
2019-11-04 01:27:37,"83% done with The Tenth Girl, by Sara Faring: This book is weird. https://t.co/ImSBWzpS2I"
2019-10-30 03:12:15,"40% done with The Tenth Girl, by Sara Faring https://t.co/Rqf4TmC8n3"
2019-10-28 06:30:46,Marked as to-read: The Shore by Sara Taylor https://t.co/iPLVQQBjEw
2019-10-28 01:52:42,"13% done with The Tenth Girl, by Sara Faring: This is an intriguing ghost story. It has... https://t.co/Piwv8WsUEn"
2019-10-27 21:30:34,"7% done with The Tenth Girl, by Sara Faring: Seems like a good book for my Halloween rea... https://t.co/x2M7ZbGPeW"
2019-10-05 18:24:53,Attending the uptown fall festival in our little town.  #smalltownlifeforme #providenceky #fallfestival @ Providenc… https://t.co/ssg7mIY4JL
2019-09-22 04:31:19,Marked as to-read: You Have To Believe Me by Sunday Tomassetti https://t.co/v0V6O2Y43L
2019-09-10 23:47:10,Marked as to-read: The Secrets of Lost Stones by Melissa Payne https://t.co/pcKru7wibj
2019-08-15 03:30:15,4 of 5 stars to The Bone Garden by Tess Gerritsen https://t.co/Ji8skPscQS
2019-08-14 16:31:41,"50% done with The Bone Garden, by Tess Gerritsen https://t.co/sYOS42DCy3"
2019-08-14 12:17:14,"33% done with The Bone Garden, by Tess Gerritsen https://t.co/L6yvdQ7fjY"
2019-08-13 12:21:10,"12% done with The Bone Garden, by Tess Gerritsen https://t.co/4SCpnAjq8x"
2019-08-13 11:43:08,Marked as to-read: The Bone Garden by Tess Gerritsen https://t.co/Ji8skPscQS
2019-08-08 01:55:00,5 of 5 stars to The Good Sisters by Helen Phifer https://t.co/Nhy3UpPAEV
2019-08-07 22:40:28,3 of 5 stars to Commonwealth by Ann Patchett https://t.co/z12OONhAcl
2019-08-07 13:02:27,"93% done with Commonwealth, by Ann Patchett https://t.co/1amLjaSiMq"
2019-08-05 19:09:53,"56% done with Commonwealth, by Ann Patchett https://t.co/AxiaBWLSab"
2019-08-05 03:26:56,"24% done with Commonwealth, by Ann Patchett https://t.co/fdCKaCPyJD"
2019-08-03 06:47:53,Marked as to-read: Commonwealth by Ann Patchett https://t.co/z12OONhAcl
2019-08-02 14:23:59,Marked as to-read: Into The Fire by Lindsey Fairleigh https://t.co/HhvO7cSrVX
2019-08-01 20:29:04,4 of 5 stars to The Good Sisters by Helen Phifer https://t.co/Nhy3UpPAEV
2019-08-01 02:02:59,"67% done with The Good Sisters, by Helen Phifer: This book is so creepy! I'm addicted! https://t.co/Gck3UFk2xO"
2019-07-29 18:06:53,Marked as to-read: Haunted Hideout by Michelle Dorey https://t.co/e0I9wQVDG9
2019-07-29 15:23:04,Marked as to-read: A Shifter's Curse by Raven Steele https://t.co/J7uJxvtJC4
2019-07-28 23:16:22,"26% done with The Good Sisters, by Helen Phifer https://t.co/oc6e2PuJav"
2019-07-25 12:28:14,"9% done with The Good Sisters, by Helen Phifer https://t.co/BpSnQOLnhD"
2019-07-25 11:48:43,Marked as to-read: The Good Sisters by Helen Phifer https://t.co/Nhy3UpPAEV
2019-07-25 04:59:14,5 of 5 stars to The Murder House by James Patterson https://t.co/76sK1VHpGc
2019-07-20 18:15:39,Marked as to-read: The Buried Truth by James Hunt https://t.co/IYUCbT9Ujy
2019-07-19 18:15:26,3 of 5 stars to My Last Lie by Ella Drummond https://t.co/jjeFbwp00q
2019-07-18 17:58:28,"66% done with My Last Lie, by Ella Drummond https://t.co/RTUAZ8wRK1"
2019-07-13 19:22:42,Marked as to-read: 29 Seconds by T.M. Logan https://t.co/J3e6HvqXVy
2019-07-07 01:15:48,Marked as to-read: Theme Music by T. Marie Vandelly https://t.co/kX5CVObL5C
2019-07-05 14:42:55,Marked as to-read: Her Deadly Secrets by Laura Griffin https://t.co/D5OoBIUDWQ
2019-07-04 18:39:41,Marked as to-read: Lies by T.M. Logan https://t.co/3l5pUYFOVg
2019-06-30 20:20:07,Marked as to-read: The Doctor by Lisa Stone https://t.co/egGwp6bKAa
2019-06-26 15:35:51,"31% done with My Last Lie, by Ella Drummond https://t.co/iyW1SwVs8Q"
2019-06-21 22:42:46,Marked as to-read: Stolen Things by R.H. Herron https://t.co/PCdOe5yugi
2019-06-21 19:17:28,Marked as to-read: A Face in the Crowd by Kerry Wilkinson https://t.co/RrIaahhXzq
2019-06-20 19:13:19,"12% done with My Last Lie, by Ella Drummond https://t.co/Zv9l9lSK5d"
2019-06-20 16:39:20,Marked as to-read: My Last Lie by Ella Drummond https://t.co/jjeFbwp00q
2019-06-20 01:54:01,Marked as to-read: Necessary People by Anna Pitoniak https://t.co/o3Hi71iql3
2019-06-17 00:49:27,5 of 5 stars to Without a Trace by Carissa Ann Lynch https://t.co/6rzBy2YKvy
2019-06-16 22:30:31,"82% done with Without a Trace, by Carissa Ann Lynch https://t.co/7yFbDUeCX9"
2019-06-16 21:33:11,Marked as to-read: Pretty Ugly Lies by Pamela Crane https://t.co/otbev9hRNN
2019-06-16 16:44:26,"26% done with Without a Trace, by Carissa Ann Lynch: Damn! This book got me hooked quick! https://t.co/kZDz1F3bZf"
2019-06-16 15:34:21,4 of 5 stars to 11 Missed Calls by Elisabeth Carpenter https://t.co/6ycaHPPM0F
2019-06-15 17:36:04,Marked as to-read: Three Little Words by J.M. Robson https://t.co/K7mr0dn9kz
2019-06-15 15:38:04,Marked as to-read: The Coop by E C Deacon https://t.co/AeKBmyd919
2019-06-15 00:05:42,Marked as to-read: It Began With a Lie by Michele Pariza Wacek https://t.co/7m7ZVCzPuZ
2019-06-14 22:50:44,Marked as to-read: Without a Trace by Carissa Ann Lynch https://t.co/6rzBy2YKvy
2019-06-14 14:59:15,Marked as to-read: Family Secrets by Shawn McGuire https://t.co/FnKp40ONSj
