timestamp,tweet_text
,author: Mom's Choice Award gold medal winner. Author of 7 award- winning books. #horses  #animals #childrensbooks #goo.gl/Ceieow,
2019-11-14 00:48:55,Presenting Chickie and the Great Barnyard Benefit https://t.co/gPmvpk2nJ4 via @YouTube#ChickieandtheGreatBranyardBenefit
2019-11-14 00:45:01,RT @SolarPrepper: Martha`s Home For Wayward Preppers (Prepper Novelettes) https://t.co/YBIES4Fwvt #prepper #audible #apocalyptic #SciFi
2019-11-14 00:44:56,RT @cgsultan1: RT@AmazngAuthors Will an american physican find his kidnapped wife in Beirut? Who can he trust? Read DAMASCUS STREET and fin…
2019-11-14 00:44:52,"RT @paperbackattack: #preorder releases Sep 30  Beautiful Pictures in Novel A prophetic night, 2 births take place. One the Son of God, the…"
2019-11-13 20:44:25,Charlene the Star and Hattie's Heroes https://t.co/kogBpdx1yw
2019-11-13 20:44:08,Charlene the Star https://t.co/jt9iBnVRuv
2019-11-13 20:43:59,Charlene the Star and Bentley Bulldog https://t.co/qdB7i01Ftz
2019-11-13 20:43:47,"Top 3 overall books today AND top 3 children's books: A Tractor Named Wilbur, My Life at Sweetbrier, Charlie the Ho… https://t.co/B3ea2JUEAC"
2019-11-13 20:24:36,Charlene the Star and Bentley Bulldog Video https://t.co/DXepaIkSaH via @YouTube #childrensbooks #lifelessons… https://t.co/Dyr6oXmVP8
2019-11-13 20:23:34,My Life at Sweetbrier 9 22 v  3 https://t.co/i1V9c3I1b3 via @YouTube
2019-11-13 20:05:11,Meet Charlene the Star https://t.co/aHlsSkxViO via @YouTube #childrenshorsebooks #lifelessons https://t.co/jelZbBOWbs #DeaneHDunne
2019-11-13 20:04:14,Deanie Humphrys-Dunne book trailer https://t.co/y0QbguwbRn via @YouTube #childrensbooks #lifelessons #horsesandanimals #fun #holidaygifts
2019-11-13 20:03:14,A Tractor Named Wilbur https://t.co/HcnSszvqpu via @YouTube #Bedtime #children #TractorsandTruckbooks #ATractorNamedWilbur
2019-11-13 19:55:55,RT @JacqBiggar: His charm draws her in… ?Paths of Righteousness? @SharonKConnell @Pizzazz_Books #romcom #ASMSG #mustreads ? https://t.co/pz…
2019-11-13 19:55:44,"RT @JessieBTyson: * A Spiritual British short #TrueStory with our supper #RECIPE on last page  ""All is not as it seems! A treat of a read!""…"
2019-11-13 19:55:31,"RT @CaroleParkes1: Watching Amy’s house from the dark street, he seizes his moment to murder her. He has no idea she’s ready to sexually en…"
2019-11-13 19:55:20,RT @SusanneLeist: The footsteps are getting louder. The moon is higher and rounder. Help me. 💔PREY FOR THE DEAD💔 https://t.co/PuCnQkXKqH…
2019-11-13 19:55:09,"RT @flyingronaldo: FREE -  Today, Nov 11th - 14th Ronaldo: The Phantom Carrot Snatcher!   Children's book review -  ""Children will love it.…"
2019-11-13 17:55:03,"RT @flyingronaldo: FREE  Today, Nov 11th - 14th Ronaldo: The Phantom Carrot Snatcher!   ""Wonderful story for kids (and inner kids)! This is…"
2019-11-13 17:54:55,RT @EarthDesires: https://t.co/l9Y7q5CXn4  &lt;--&lt;  The best book by the best authors  We Want To Let The World Know Who You Are!  #AuthorUpRO…
2019-11-13 17:54:16,RT @W_Angels_Wings: #Author Ellie Collins  Amazon https://t.co/NRVH3KoPPN Website https://t.co/W8sOOBzv51 Trailer https://t.co/sOSSLwdkEm…
2019-11-13 17:53:47,RT @DougJCooper: ★★★★★ “The AI made the perfect amoral character” BUMP TIME ORIGIN Time-travel Suspense by the author of Crystal Deception…
2019-11-13 17:53:34,"RT @LesleyEames: 'A fabulous, fabulous read.' Books and Authors UK  1920s Brighton. Can Thea, Anna and Daisy join forces to right wrongs an…"
2019-11-13 17:52:43,RT @ManenTailEquine: Spread some kindness today for #WorldKindnessDay ❤️❤️ #WednesdayWisdom #ManeNTail https://t.co/e8m8e693gA
2019-11-13 17:39:20,"RT @sistersofmoon: Gifts for your Pagan, Wiccan and Witch friends this #Yule, from Sisters of the Moon   https://t.co/OuvIDhE0h0 #atsocialm…"
2019-11-13 17:38:26,"RT @QuiltsforDreams: Handmade patchwork quilt, highland cows and stags in navy and blue patchwork, quilted patchwork throw https://t.co/HiX…"
2019-11-13 17:38:00,RT @Towheehillart: SUMMER PATH Art 40x30 Impressionist Oil Painting by Award Winning Artist Kendall F. Kessler https://t.co/mixwXIexBj via…
2019-11-13 17:37:55,RT @kellyroxanne82: 👍 Did you know we provide worldwide shipping? It doesn’t matter where you live across the globe we can arrange to get o…
2019-11-13 17:37:06,"RT @DCoxAuthor: ""A beautiful love story ... you'll laugh. You'll cry. You'll experience what it's like to be fully human in the face of bei…"
2019-11-13 17:36:48,"RT @KenFry10: November 17 Release!  Get your copy of LOVE and BLOOD, Book 2 - The Chronicles of Aveline #99cents #Preorder 📎 https://t.co/c…"
2019-11-13 17:36:43,"RT @cl_schneider: ""This is the kind of dark epic fantasy that will totally drain you of emotions. The story itself is an addiction."" #epicf…"
2019-11-13 17:36:39,RT @barbiesway: #WednesdayWisdom  MARRIAGE Behind closed doors SEX WHO decides what's OK? #WednesdayThoughts Family Love BUT online sex/por…
2019-11-13 17:35:56,"RT @PensivePoet97: Back to the Root, available on iTunes (link in bio) and Spotify. Incline your ear and take heed🕎🔈🙏🏾 #JesusIsLord #IndieM…"
2019-11-13 17:34:00,RT @riverrmann: Check out my review of Shadow of the Drill by Rhani D'Chae here &gt;&gt; https://t.co/McZf4cqoD2 From there you can link to Amazo…
2019-11-13 17:28:05,Book review of A Tractor Named Wilbur https://t.co/sgrPi8gIoX
2019-11-13 17:28:04,"Review of  A Tractor Named Wilbur, Reviewed By Mamta Madhavan https://t.co/sgrPi8gIoX"
2019-11-13 17:09:54,Chickie and the Great Barnyard Benefit (1) by Bee Urabazo https://t.co/p4XmHpGhE6 via @amazon #fun #endearing #cute… https://t.co/6Fnhz2jaIi
2019-11-13 17:04:02,RT @DeanieHDunne: https://t.co/ntYlbiQUv5 #BillieUrabazo.com/ #BeeUrabazo #chiildrensbook #adorable #preorder https://t.co/BuWuNluMoa
2019-11-13 17:03:44,RT @DeanieHDunne: Coming soon #adorablechildrensbook #ChickieandtheGreatBarnyardBenefit #books #BillieUrabazo  https://t.co/KacmHmJXlr http…
2019-11-13 17:02:39,"https://t.co/m95jfjH66O A Tractor Named Wilbur is #1 on AuthorsDen,com in overall books and children's books Check… https://t.co/LPsccQawFO"
2019-11-13 15:39:56,"Cover Contest - Cover Contest 2019: Charlene the Star and Hattie's Heroes - AUTHORSdb: Author Database, Books and T… https://t.co/OkrdKn6eD1"
2019-11-13 15:25:29,Thank you for voting for Hattie's cover ! She's a semi-finalist! https://t.co/7QnteyC3Zp
2019-11-13 15:20:02,What if? https://t.co/zlIIF3bkFS via @DeanieHDunne
2019-11-13 15:19:40,What if? - https://t.co/LycJxK8Gqi https://t.co/zlIIF3bkFS
2019-11-13 15:06:47,Charlene the Star https://t.co/jt9iBodsm3
2019-11-13 15:06:37,Charlene the Star and Bentley Bulldog https://t.co/qdB7i0jgl7
2019-11-13 15:06:27,Charlie the Horse on Kindle-Second Edition https://t.co/h4kzNeeevU
2019-11-13 15:06:24,My Life at Sweetbrier-A Life Changed by Horses https://t.co/uDBfl5od5E
2019-11-13 15:06:00,WILBUR is the #1 overall book AND the #1 children's book. Check out his story. Bet you'll fall in love with him. Gr… https://t.co/4LOQ8OefgC
2019-11-13 14:58:52,RT @EarthDesires: 'My Life at Sweetbrier: A Life Changed by Horses' by Deanie Humphrys-Dunne  Great stocking stuffer! Visit her AuthorUpROA…
2019-11-13 14:57:47,"https://t.co/O6tvogq2Mq ""I like the thought of having a little quiz at the end of the story as it will help childre… https://t.co/4I64005Va9"
2019-11-13 14:55:09,"https://t.co/t54hla6zIO ""Charlene the Star and Hattie's Heroes by Deanie Humphrys-Dunne is a delightful story where… https://t.co/x2MuqZImYd"
2019-11-13 14:50:52,RT @F_J_Thomas: Read the story inspired by an unexplained event during a night time trail ride in middle Tennessee  #ebook #WednesdayThough…
2019-11-13 14:50:45,"RT @F_J_Thomas: Writers are a bit eclectic.... Follow me on Facebook for all the latest on creepy news, rodeo &amp; ranch history, and whatever…"
2019-11-13 14:50:38,RT @F_J_Thomas: By @Solsticepublish  The book that inspired The Grulla screenplay &amp; won best Equine Screenplay at the Equus Film Festival-…
2019-11-13 14:50:11,"https://t.co/tiMIbiLqBZ ""Delightful book"" #Book1inCharlenetheStarseries #audible #kindle #paperback #lifelessons… https://t.co/gufhezMbGU"
2019-11-13 14:46:50,"https://t.co/9vidIbA4RH ""A wonderful tale that teaches children that teamwork, perseverance and determination will… https://t.co/8slyQtIfYa"
2019-11-13 14:42:56,"https://t.co/QkFIeem74V ""MY LIFE AT SWEETBRIER is the incredible true story of a young girl who achieved her dreams… https://t.co/f4VvR0yyiv"
2019-11-13 14:37:29,"https://t.co/76gTa725UJ ""Deanie Humphrys-Dunne is an award-winning children’s author with a new series called, “A T… https://t.co/P0EG9Em1lD"
2019-11-12 21:48:27,https://t.co/xe6XRbOIym
2019-11-12 21:37:46,RT @aponyhour: Tuesday 9pm  #ponyhour time Evening all  how are we? https://t.co/HhVb4TwBBM
2019-11-12 21:34:45,Still a top children's book-right behind A Tractor Named Wilbur. Check  it out today. https://t.co/uDBfl5od5E
2019-11-12 21:33:27,A Tractor Named Wilbur just hit the top of the charts! He's the #1 overall book AND the #1 children's book. Check o… https://t.co/dQ2SNXk5si
2019-11-12 21:17:32,RT @HawkeLiath: @GeorgeYuhasz @JanRomes @KurokonekoKamen @DeanieHDunne @AvaSafran @Heatherstlmo @MoxieDude @Drdrgz1982 @DouglasStevens2 @Ja…
2019-11-12 21:16:36,RT @CazGreenham: Books by Caz Greenham https://t.co/RMjdALUMFC…… via  @CazGreenham   Brixham #Gifts #Birthdays #Childrensbooks #giftideas…
2019-11-12 19:58:57,What if? - https://t.co/LycJxKqhOS https://t.co/zlIIF3sW4s
2019-11-12 19:58:57,What if? https://t.co/zlIIF3sW4s via @DeanieHDunne
2019-11-12 19:58:38,What if? https://t.co/zlIIF3sW4s https://t.co/okwFuRPnxZ
2019-11-12 19:49:29,Review of How to make a Mom https://t.co/RQGIYzkM4b via @DeanieHDunne
2019-11-12 19:49:12,Review of How to make a Mom - https://t.co/LycJxK8Gqi https://t.co/RQGIYzCmVJ
2019-11-12 19:48:41,Review of How to make a Mom https://t.co/RQGIYzkM4b
2019-11-12 18:43:58,https://t.co/28AbRUkVnU
2019-11-12 18:23:11,Check out my new post on https://t.co/2WcQQDhKZr. https://t.co/I82ezde2lt
2019-11-12 17:25:17,RT @DeanieHDunne: Thoughts and Ideas from Deanie Humphrys-Dunne: ON Preorder: Chickie and the Great Barnyard Benefi... https://t.co/2Z5vYhh…
2019-11-12 17:24:58,RT @DeanieHDunne: Chickie and the Great Barnyard Benefit #childrensbook #comingsoon #BillieUrabazo.com/ https://t.co/f7HA2KMU4G
2019-11-12 17:23:42,"RT @book_tribe: • KELLCEY is available all over the world on AMAZON, BARNES &amp; NOBLE, Abebooks, Alibris, Blackwells 🇬🇧 🇨🇦 🇺🇸 🇦🇺 🇩🇪 🇫🇷 🇲🇽 🇳🇴…"
2019-11-12 17:23:35,RT @KaceyKells: “Thank you @KaceyKells for having the courage to tell your tale so that other women might not face it too. You and @jenirwi…
