timestamp,tweet_text
,"Reading advocacy for all ages! Reviews. Literature. Cross-Culture. Hist/Biog. Passionate about Jesus, homeschooling, adoption and all things booksy and wordsy.",
2019-11-13 19:07:56,This book made my to-do reads. The context reminds me of the fantastic documentary Searching for General Tso. https://t.co/iqrXHuSlb2
2019-11-13 19:02:38,Congratulations @realdadsread! Good news to see a program that encourages Dads and kids to read! https://t.co/tUXsezHCNo
2019-11-12 16:09:39,"Cleaning out our bookshelves, I came across The Giving Tree. I'm super uncomfortable with this book, and remembered… https://t.co/N0RrdP1Oi4"
2019-11-12 02:09:42,RT @holdonhappiness: We have been sorting out things and deciding what can be donated and what must be saved. Children's books make me very…
2019-11-11 12:34:10,"RT @BookwormJan: 'Somebody once said to me if you want to be understood, don't write fiction.'  Mary Gaitskill, American author of essays,…"
2019-11-09 16:22:00,Christmas shopping for a 5th through 8th grader? You might want to consider this trilogy of the Bible in graphic no… https://t.co/rbpEAwQB6i
2019-11-09 13:43:02,@MumblinDeafRo @michaelehughes @ThatKerryHudson I love to listen to biographies particularly as audiobooks for this… https://t.co/FSqa5MvacZ
2019-11-09 13:37:06,"""It’s a timely, compelling story. As fellow citizens, we’d all do well to better understand what that vital work en… https://t.co/bOB5Rn1bnH"
2019-11-09 13:18:04,RT @MerriamWebster: Good morning! Today's #WordOfTheDay is 'aphorism' https://t.co/V60ojzMF9w https://t.co/4NPOGEV8FE
2019-11-08 22:02:00,I have not yet read Graham Greene. This article by Dwyer Murphy about Greene's craft moved The Quiet American up my… https://t.co/oZgqgrnGw7
2019-11-08 04:52:06,@AnneBogel https://t.co/MXvjUDk1yR
2019-11-08 02:02:00,"Thackeray's classic still speaks today, even as Vanity Fair continues to play out in the world...… https://t.co/phre5AlVNt"
2019-11-07 22:51:10,A dissenting opinion on a popular book. https://t.co/pKwBABhqH2
2019-11-07 00:42:00,"I own the book. I want to read the book. The book is recommended again and again. I haven't gotten to it yet, but i… https://t.co/9tgIIibddW"
2019-11-06 18:04:02,"I think this is why so many books and novels are intriguing in introduction or summary or marketing copy, but disap… https://t.co/BTME6cYhu2"
2019-11-06 18:01:20,@BookwormJan Spending an afternoon or two of Thanksgiving/ Christmas break with Mr. Knightley is growing in appeal… https://t.co/zmyxtr4kn1
2019-11-06 13:03:51,"@BookwormJan Mr. Knightly, patient with her flaws, bringing out the best in her, loving her all along the way. He's my favorite Austin hero."
2019-11-05 21:02:00,"This John Waters written profile of  French author, Houellebecq, featuring his new novel Serotonin, was intriguing.… https://t.co/5jktCDlNRs"
2019-11-05 17:52:00,"If you are looking for well written mystery, check out the Felse Investigations by Ellis Peters. Full review of thi… https://t.co/niGfvHyasY"
2019-11-05 01:04:05,#ReadingAdvocacy Our schools are not getting it done when it comes to reading. I will be posting reviews of resourc… https://t.co/QY4uTz0kIb
2019-11-04 18:02:00,"This biography was sort of what I expected from Chesterton, but not what I expected of St. Francis.  Review here...… https://t.co/6CadFSOcFD"
2019-11-04 17:13:19,@TiciaAIM I don't like the storyline of the sick boy to whom Grandpa is reading. But I don't remember anything abou… https://t.co/l7GMvaUncm
2019-11-04 14:22:50,"@adamrshields @JaynaBreigh @kristenrudd @PastorRyanK @KSPrior Why can't a voucher system work ""for all""? It provide… https://t.co/Shi77Dj8Le"
2019-11-04 13:45:41,I'm going to purchase this book right away. Looks excellent for teaching basic study skills. https://t.co/9ToOVz6Mos
2019-11-04 13:36:12,"@adamrshields @kristenrudd @PastorRyanK @KSPrior From the article posted: ""Finding their local schools are not meet… https://t.co/TSmA5eHVLQ"
2019-11-04 13:27:58,"@KSPrior @adamrshields Homeschool programs like Spell to Read and Write, All About Spelling, Sonlight, Explode the… https://t.co/AZTKUSk89f"
2019-11-04 13:21:48,@adamrshields @kristenrudd @PastorRyanK @KSPrior What is the state's interest? Children being educated? Because tha… https://t.co/krhjbLk6Qo
2019-11-04 13:20:00,@adamrshields @kristenrudd @PastorRyanK @KSPrior They are also losing money to private schools. They are losing mon… https://t.co/53Gvecny0B
2019-11-04 13:17:38,"@adamrshields @kristenrudd @PastorRyanK @KSPrior 3/3 Notice child has physical, mental, health problem or special n… https://t.co/U6PmbdLK8g"
2019-11-04 13:13:30,"@adamrshields @kristenrudd @PastorRyanK @KSPrior 3/3 from above survey... Notice child has physical, mental, health… https://t.co/btwpnVdCCc"
2019-11-04 13:12:19,"@adamrshields @kristenrudd @PastorRyanK @KSPrior 2/3 And also, look at this survey of homeschoolers.... https://t.co/o3c73UWBtS"
2019-11-04 13:09:51,@adamrshields @kristenrudd @PastorRyanK @KSPrior Families that homeschool can't refuse to pay taxes! We pay taxes f… https://t.co/KobJTGmf2v
2019-11-04 12:48:53,RT @foliosociety: Dame Judi Dench is backing the @BronteParsonage's bid to buy a rare early book written by Charlotte Brontë when she was 1…
2019-11-03 03:49:34,"@DanaTheActress @JBaker_Author On this one, I disagree #bookisbetter. It's sad that so many people who adore you mo… https://t.co/vJztMIWzfP"
2019-11-03 03:48:01,"@JBaker_Author Mary Poppins! I Loved Disney's Mary Poppins with her Dick van Dyck side kicks! P.L. Travers Mary Poppins, not so much."
2019-11-03 03:47:36,I remembered the one time i thought the the movie is better! Mary Poppins! I Loved Disney's Mary Poppins with her D… https://t.co/3FCCsdJHkB
2019-11-03 03:45:33,"@TiciaAIM Shrek 👍  I cannot agree on Princess Bride, the book is delightfully better than even the wonderful movie!… https://t.co/CWKll9iQny"
2019-11-02 20:58:42,This is an intriguing review! Jung Chang's writing has been wonderful and I'm interested to see what she's done wit… https://t.co/YK7BBDBbnt
2019-11-02 18:17:11,@oscarinhtx @pedialyte You have to be really I'll for that to happen. I hope you have a good book to help you along in your recovery!
2019-11-02 17:24:24,"I don't think there are any, and I find these responses wholly unsatisfying.   I think it *might* be possible if yo… https://t.co/tUWf9Fod6Z"
2019-11-02 17:20:38,@stephanjhahn https://t.co/Akn3ZqUqFq
2019-11-02 14:42:00,Another twisty turny mystery from the Felse Investigations series.   Full review here.... https://t.co/o2vfLrnQYE https://t.co/BYlffgwCp1
2019-11-02 00:12:00,"Twitter thinks I'm Catholic and looking for Catholic recommendations...  BUT, I just finished this biography of Sco… https://t.co/U0RzPRoq1b"
2019-11-01 23:15:24,Was it a bookish Halloween for your child? Send a photo of your child's costume in for this contest.   And if you w… https://t.co/391oudgWc9
2019-11-01 22:52:00,"This graphic novel style Bible trilogy is worth consideration for your Christmas shopping, especially if you have B… https://t.co/2iwR4Dt0ts"
2019-11-01 03:32:00,"#ThrowbackThursday #MyFavoriteBooks  My first thought after I read this book as a young person: ""Agatha Christie un… https://t.co/dVajlH2VSB"
2019-11-01 01:51:31,@10ofthoseusa @mez1972 @20schemes @Christian_Focus Grateful for this laboring to do this work in publications. Pray… https://t.co/T4JqKEHnMD
2019-10-31 23:23:37,A Halloween book recommendation for lenghthening fall evenings. https://t.co/MPAs3clstu
2019-10-31 20:59:08,"After my #NovellaWeek in Sept, I had a sort of unofficial goal to finish The Strange Case of Dr. Jekyll and Mr. Hyd… https://t.co/jr8h1X5uxf"
2019-10-31 17:24:58,This Strange Planet Halloween comic is a literary masterpiece. https://t.co/IXZNrsxExF
2019-10-31 16:57:24,@TiciaAIM https://t.co/G03APvkCPd
2019-10-31 16:56:18,@BookwormJan Love these kind of lists! Thanks for putting it together. Encouraging Twitter is a wonderful event!
2019-10-31 12:52:00,Ebookwormy @Ebookwormy1 #ThrowbackThursday #MyFavoriteBooks  My first thought after I read this book as a young per… https://t.co/cVCvitQSNP
2019-10-30 21:58:00,"This Ellis Peter's murder mystery is a perfect seasonal read. For more, see my review... https://t.co/o2vfLr6fA4 https://t.co/OzP92Myloq"
2019-10-30 15:37:18,RT @neverenoughnov: How did I just realize that @AnneBogel's I'd Rather Be Reading book is on Kindle Unlimited!!! Excuse me while I go read…
2019-10-30 15:36:35,My writing is now backing up my reading... I'm four reviews behind! Need to dig out. #Bookreviews
2019-10-30 12:52:00,"This classic, published in 1847, develops universal themes that still speak today...  https://t.co/bJRvU2JgAj https://t.co/mjidI0WZIZ"
2019-10-29 23:02:00,"This biography was sort of what I expected from Chesterton, but not what I expected of St. Francis.  Review here...… https://t.co/BE27vkCqEg"
2019-10-29 19:11:41,"Every single book I've ever read set in Paris references the tower, even some that take place before the tower was… https://t.co/RDxag6mBKk"
2019-10-29 19:02:26,@jenlyell I've been considering adding a few of these to my audiobook list. Modern Mrs. Darcy has some great recs a… https://t.co/0lmSsFWPmF
2019-10-29 19:01:17,"@jenlyell Scott Kelly's Endurance, about living in the international space station &amp; myriad of issues to be address… https://t.co/I2aUyKrWjo"
2019-10-29 18:55:08,"@jenlyell I listened to Nabeel Quershi's life story, Seeking Allah Finding Jesus after he died. The audiobook of hi… https://t.co/HuTI4sq4QO"
2019-10-29 18:50:55,"RT @agathachristie: ""A murder is announced and will take place on October 29th, at Little Paddocks at 6.30 p.m. Friends please accept this,…"
2019-10-29 15:52:00,The debate about which books are great continues...  https://t.co/Rpc8DFwtBr @liviagershon https://t.co/uxqcCiTkDh
2019-10-28 23:38:00,"For all those who read and/or loved Nancy Drew, and those discovering her now, a critic ranks the first 56 books!… https://t.co/jmAR7gZ6Dk"
2019-10-27 15:10:29,"@VickieBall2 @OWC_Oxford Interesting. I love Les Miserables, but I've never thought about the translation. I just c… https://t.co/wiDYWAV439"
2019-10-25 23:00:35,@ChrisBohjalian Enchanting setting!
2019-10-25 22:59:29,"@KSPrior This sounds like the opening scene of a mystery, or have I been reading too much Ellis Peters/ Agatha Christie?"
2019-10-25 22:55:35,@yearsofreading I thought these audiobook recommendations from Modern Miss Darcy were interesting... https://t.co/6TZVN6v1cs
2019-10-25 02:42:00,Looking for a way to freshen up your Bible study? Try this graphic novel presentation of the Bible!… https://t.co/kxInp9O9ze
2019-10-25 01:42:28,@AnneBogel No. I'm too caught up in the books in my to-read that I *know* I want to read. I feel like if I unrapped… https://t.co/6TapD9HhQh
2019-10-24 22:52:00,#ThrowbackThursday  #MyFavoriteBooks #Classic  https://t.co/93zMS4bFMi https://t.co/z5BjIYmYRK
2019-10-24 20:30:34,"@paula_guhin But the children, we need books for the children!  And the writers! we need to buy books to support th… https://t.co/JfWLVPp2HA"
2019-10-24 20:29:17,@paula_guhin These are my thoughts every time I buy a book!
2019-10-24 00:22:00,"This biography was sort of what I expected from Chesterton, but not what I expected of St. Francis.  Review here...… https://t.co/QOrFKSsqM5"
2019-10-22 16:12:40,Novels connect us to the places our hearts love.... https://t.co/Ovk2YjZCfn
2019-10-22 16:07:34,"Bookworms, I've added my comments, will you add yours?   Love seeing others choose beloved titles like Persuasion a… https://t.co/v3t2HoarRU"
2019-10-22 16:02:02,@OWC_Oxford My favorite classic is Victor Hugo's Les Miserables because of its strong character development and red… https://t.co/EDXWzxzTCk
2019-10-22 16:02:00,"5 times #BooktoMovie, 4 times a #BooktoTV, including one miniseries currently running, William Thackeray's Vanity F… https://t.co/jHgRaWArMh"
2019-10-22 03:02:00,"This read will take you out to the Channel Islands and into their waters, on a boat captained by the great Victor H… https://t.co/0CnBUmqV2l"
2019-10-21 21:16:30,"@i_am_mill_i_am Just sitting here, munching my popcorn, seeing where this is going."
2019-10-21 21:13:46,@i_am_mill_i_am Hmm.....
2019-10-21 21:12:51,I can't stop laughing.... https://t.co/xS2zrHM8wF
2019-10-21 19:56:23,@TiciaAIM Thank you! Glad it was helpful.
2019-10-21 17:02:00,I though this list of classics for middle schoolers is a fine list for all ages! There are some on here that I stil… https://t.co/ZIxEpgvuT9
2019-10-19 18:27:19,"Caught this broadcast driving in the car today. It was encouraging, like the fall sunshine. This link has the podca… https://t.co/J9IdudQ0gD"
2019-10-19 15:02:00,"In the midst of a horrifying experience, a family gave a gift that continues to bear fruit 25 years later.   Opinio… https://t.co/q6YkXkSItB"
2019-10-19 00:39:45,Love the discussion going on here. Tweeting to return to when I have time to write down some of these recommendatio… https://t.co/ceITljNFiZ
2019-10-19 00:37:14,#BookToMovie https://t.co/ZjZMtNO3BW
2019-10-19 00:02:00,"5 times #BooktoMovie, 4 times a #BooktoTV, including one miniseries currently running, William Thackeray's Vanity F… https://t.co/3LpP0jogpj"
2019-10-18 11:40:44,Wow! https://t.co/BSON6EN63X
2019-10-18 11:36:02,"RT @foliosociety: With the rise of the internet, many thought libraries would fade out of existence. The @smh looks at how #libraries in Au…"
2019-10-18 01:32:00,"This biography was sort of what I expected from Chesterton, but not what I expected of St. Francis.  Review here...… https://t.co/1q62HMa8ms"
2019-10-17 12:22:00,#ThrowbackThursday  #MyFavoriteBooks  https://t.co/MCs9EA1lyM https://t.co/GNBYFiV8Fz
2019-10-17 12:11:53,This book has interested me for a long time. This interview gives a glimpse of where the author is now and how this… https://t.co/BJy7HkIHfF
2019-10-17 12:01:27,Interesting study... https://t.co/6UTbOdl5zz
2019-10-17 11:40:34,Always a concern! https://t.co/XYHsWWUhUb
2019-10-17 01:32:00,"Aside from the architecture, this trilogy of the Bible in graphic novel form has been much in demand by residents -… https://t.co/hw08T8oVKr"
2019-10-17 01:15:28,An interesting take on self-help books... https://t.co/KpSyCmQaph
2019-10-16 20:47:01,"RT @meandmybigmouth: I applaud NetGalley, the online platform that allows publishers to share digital versions of books with reviewers. It…"
2019-10-16 19:42:42,"RT @TrishaNicholson: #OTD 1745 was born Olaudah Equiano (Gustavus Vassa), captured into slavery as a child, earned his freedom at 21, saile…"
2019-10-16 15:17:09,"This year, I chose to read Dr. Jekyll and Mr. Hyde in October before Halloween. Wow. Amazing how a book some 130 ye… https://t.co/aDHyNQBGAC"
2019-10-16 13:54:50,"Some interesting reviews of current thrillers, found here ... https://t.co/68TbBS823y"
2019-10-16 13:35:09,@BakerStJournal I love these date anchored quotes!
2019-10-16 03:09:16,@HillelNeuer It's so sad. These people need help.  https://t.co/zmryKy6pjJ
2019-10-16 03:02:30,RT @thelaceylondon: Who's with me?  😂😂😂  #amwriting #amreading #TuesdayThoughts https://t.co/GPwSb2Yatl
2019-10-16 02:47:56,"@TiciaAIM In general, I found high quality resources a challenge to locate. But, we adored Ludmilla Zeman's Gilgame… https://t.co/qThhhyWA8j"
2019-10-16 01:56:46,"@jazprose Love your jazz tweets! I don't always get to stop and listen, but when I do, I'm learning a ton! Thank you for the posts!"
2019-10-16 01:22:00,The trifecta of novels Victor Hugo considered his best is:  Hunchback of Notre Dame(1831) Les Miserables (1862)  Th… https://t.co/bgpyYnx7r7
2019-10-15 13:27:46,RT @guardian: Margaret Atwood and Bernardine Evaristo share Booker prize 2019 https://t.co/cs7QN6cRC6
2019-10-15 12:27:06,RT @ReadAloud_org: #readaloud15 #talkreadsing https://t.co/dfp1CchCPe
2019-10-15 02:04:05,RT @ArsEstHabitus: Maybe working on the little things as dutifully and honestly as we can is how we stay sane when the world is falling apa…
2019-10-15 01:37:20,@RuthMBuchanan You should share the link so we can read the review. 😁
2019-10-15 01:32:55,RT @nytimesbooks: Mr. Bloom insisted that a literary work is not a social document — is not to be read for its political or historical cont…
2019-10-14 22:02:00,"Was it the internet that broke our attention span or did it start with television, maybe Sesame Street?… https://t.co/lpw3LHfttd"
2019-10-13 19:13:29,"Everyone finds themselves in Eeyore's gloomy place sometimes. Let's not be afraid, but intentional about healthy ch… https://t.co/VIw4rV6Mj6"
