timestamp,tweet_text
,"I write epic & urban fantasy & steampunk. Scourge, Spells Salt & Steel, Chronicles Of The Necromancer, Ascendant Kingdoms, Deadly Curiosities, Iron & Blood",
2019-11-12 18:45:05,"“The love story is believable, the thriller is heart pounding and the sex is hot! The perfect start to a new series… https://t.co/DaUEsghMgl"
2019-11-12 18:05:06,Character interview w Mitch Storm from Storm &amp; Fury #audiobook on Dab of Darkness https://t.co/axuxOxAU3h
2019-11-12 17:50:05,97 FREE romance reads in Chill Autumn giveaway @prolific_works w an excerpt of @MorganBriceBook Witchbane Ends 11/3… https://t.co/V90jKNxK0Y
2019-11-12 17:20:04,HoldOnToTheLight 100+ SF/F authors blog on #MentalWellness @JaymGates @Mudepoz @EmilyLeverett https://t.co/PFmuBcVxR8
2019-11-12 16:50:14,"Like my @MorganBriceBook MM romance? Join my Worlds of Morgan Brice street team so you never miss a new release!""Ge… https://t.co/L8hCyOu0eC"
2019-11-12 16:20:04,Family always has your back. How #AKF inspired 100 authors to get real w fans on PTSD/suicide #SPN https://t.co/3QSBRrMj29
2019-11-12 15:45:09,14 FREE high fantasy reads in Fantastic Heroines giveaway @prolific_works w excerpt from Convicts &amp; Exiles… https://t.co/vSnwdlvLug
2019-11-12 15:10:10,Like #HoldOnToTheLight new FB page &amp; join the conversation #HoldOnToTheLight 100+ SFF authors blog about… https://t.co/IrFyrTLJLm
2019-11-12 14:45:09,Want to know about the pets in my books? I chat with Paws &amp; Claws here: https://t.co/gE7bvYXyVn
2019-11-12 14:15:12,97 FREE romance reads in Chill Autumn giveaway @prolific_works w an excerpt of @MorganBriceBook Witchbane Ends 11/3… https://t.co/XJIBsRoyZA
2019-11-12 13:45:07,Catch my exclusive interview and an excerpt from Tangled Web on #TheBookJunkie @GailZMartin @RoxanneRhodes https://t.co/Lw8ucaruxe
2019-11-12 13:15:08,106 FREE sci-fi/fantasy reads in Discover New Series giveaway @prolific_works w full Reconciling Memory and The Las… https://t.co/k2J2UqfmtS
2019-11-12 12:50:05,An exclusive EXCERPT from Witchbane by @MorganBriceBook on @JeanRabe blog You are going to want to read this. https://t.co/6RV8OFI9bH
2019-11-12 12:15:07,#HoldOnToTheLight 100+ SF/F authors blog on #MentalWellness https://t.co/FkN91nMa0G
2019-11-12 11:45:05,"Top 10 list, narrator &amp; character interview from Storm &amp; Fury #audiobook by @GailZMartin @LNMartinAuthor https://t.co/SlPtnPpxHq"
2019-11-12 11:10:04,I tell @WeGeekGirls Why I love short fiction https://t.co/n8GcGWN5SM
2019-11-12 10:50:04,64 FREE romance reads in Eternal Love giveaway from @prolific_works with my @MorganBriceBook full story Cover Me! E… https://t.co/wSpK7uusSC
2019-11-12 10:20:06,Read a free excerpt from The Dark Road here: https://t.co/ZxfEINb37R
2019-11-12 09:50:03,My guest post Danger &amp; Romance at the Beach @MorganBriceBook @jayhjay432 https://t.co/guEKfDECDY
