timestamp,tweet_text
,I talk too much and laugh too loud.,
2019-11-13 01:47:53,"On page 244 of 512 of Fidanzati dell'inverno, by Christelle Dabos https://t.co/cBYRN3jNEd"
2019-11-12 19:37:30,"On page 197 of 512 of Fidanzati dell'inverno, by Christelle Dabos https://t.co/izbGRYB98q"
2019-11-11 00:05:30,"On page 124 of 512 of Fidanzati dell'inverno, by Christelle Dabos https://t.co/gc724iCkwx"
2019-11-10 14:55:07,"On page 100 of 512 of Fidanzati dell'inverno, by Christelle Dabos https://t.co/MWxULr0a7S"
2019-11-09 15:18:29,"On page 53 of 512 of Fidanzati dell'inverno, by Christelle Dabos https://t.co/4rfq2M6Haz"
2019-11-09 11:34:11,3 of 5 stars to Lieto fine by Edward St. Aubyn https://t.co/lEKUBiEARF
2019-11-08 15:08:50,"88% done with Lieto fine, by Edward St. Aubyn https://t.co/nXPGVvZACf"
2019-11-08 10:20:53,"Starting Lieto fine, by Edward St. Aubyn https://t.co/buO7wgzO3Q"
2019-11-06 00:35:18,3 of 5 stars to Latte materno by Edward St. Aubyn https://t.co/dJogpBHac9
2019-11-04 13:24:10,3 of 5 stars to Un dolore così dolce by David Nicholls https://t.co/0DTyV8lG04
2019-11-04 00:50:41,"On page 362 of 368 of Un dolore così dolce, by David Nicholls https://t.co/YHbaUALz69"
2019-11-01 23:21:25,"57% done with Latte materno, by Edward St. Aubyn https://t.co/ne68EaW9qX"
2019-11-01 20:27:59,"On page 272 of 368 of Un dolore così dolce, by David Nicholls https://t.co/sN8Eo8xiBX"
2019-10-29 00:39:49,"On page 242 of 368 of Un dolore così dolce, by David Nicholls https://t.co/WVf4aEascc"
2019-10-25 23:01:38,"On page 208 of 368 of Un dolore così dolce, by David Nicholls https://t.co/J0DYwmkczU"
2019-10-16 15:20:23,"On page 135 of 368 of Un dolore così dolce, by David Nicholls https://t.co/NjUwyQEajO"
2019-10-14 23:05:20,"On page 73 of 368 of Un dolore così dolce, by David Nicholls https://t.co/405meEHRsM"
2019-10-11 23:19:24,"On page 52 of 368 of Un dolore così dolce, by David Nicholls https://t.co/VJZyNuf0nC"
2019-10-11 22:16:48,3 of 5 stars to Speranza by Edward St. Aubyn https://t.co/8JKIObctQn
2019-10-11 18:50:21,"On page 34 of 368 of Un dolore così dolce, by David Nicholls https://t.co/d7yKpAl53F"
2019-10-09 15:33:26,"5 of 5 stars to Molto forte, incredibilmente vicino by Jonathan Safran Foer https://t.co/4uqt9vNiF0"
2019-10-08 23:38:51,"On page 258 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/4yVhloikCr"
2019-10-06 23:20:20,"On page 226 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/ZTYUK2zJcg"
2019-10-06 21:05:38,"74% done with Speranza, by Edward St. Aubyn https://t.co/BVXgdN1vwp"
2019-10-05 23:57:34,"On page 204 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/aDvFzmTC4O"
2019-10-03 10:31:25,"On page 169 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/Ri2M11gdLU"
2019-10-02 17:39:36,"41% done with Speranza, by Edward St. Aubyn https://t.co/YdpELeGRTd"
2019-10-01 01:26:20,"On page 142 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/pQdxu6Y09z"
2019-09-26 01:09:39,"On page 124 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/IyZwkvqP0r"
2019-09-23 00:23:28,4 of 5 stars to Cattive notizie by Edward St. Aubyn https://t.co/SG3hIpj87j
2019-09-20 23:35:35,"67% done with Cattive notizie, by Edward St. Aubyn https://t.co/5Kj7lAAaLf"
2019-09-18 09:58:14,"49% done with Cattive notizie, by Edward St. Aubyn https://t.co/VNwgogk2Sm"
2019-09-09 23:34:31,"On page 47 of 351 of Molto forte, incredibilmente vicino, by Jonathan Safran Foer https://t.co/ldggnR3JuU"
