timestamp,tweet_text
,"High School Librarian,
Lover of Books,
UTK CEHS & SIS alumni, #volforlife",
2019-11-13 18:17:22,2 of 5 stars to Who Is Dolly Parton? by True Kelley https://t.co/RGuvNFgCdo
2019-11-13 17:09:57,3 of 5 stars to The Hail Mary by Ginger Scott https://t.co/jucm6qPLHV
2019-11-13 16:28:51,RT @UTVolShop: i              took            just               a       D            N                  AAAAA          T    E    S    T…
2019-11-12 19:12:53,3 of 5 stars to Going Long by Ginger Scott https://t.co/XwXsIWfDIw
2019-11-12 03:59:12,3 of 5 stars to Waiting on the Sidelines by Ginger Scott https://t.co/Nh2qYNk3ga
2019-11-10 22:26:50,3 of 5 stars to The Wicked Redhead by Beatriz Williams https://t.co/EiJISL007b
2019-11-10 00:15:18,"RT @AuschwitzMuseum: .@AuschwitzMuseum on Twitter: May 2012  50,000 - 23 September 2017 100,000 - 31 May 2018 150,000 - 26 December 2018 25…"
2019-11-09 16:12:35,5 of 5 stars to My Body My Choice by Robin Stevenson https://t.co/mpHa1cX1cJ
2019-11-09 13:55:04,3 of 5 stars to The Downstairs Girl by Stacey Lee https://t.co/xe4AwX7Mqc
2019-11-09 02:45:55,RT @DanRather: I don’t think the President is a big fan of public transportation... except when looking for buses to throw people under.
2019-11-06 02:38:47,4 of 5 stars to I'm Not Dying with You Tonight by Kimberly Jones https://t.co/y5BO54XQGF
2019-11-04 20:52:53,3 of 5 stars to Verify by Joelle Charbonneau https://t.co/q87frpSOB9
2019-11-02 15:57:03,4 of 5 stars to Michigan vs. the Boys by Carrie S. Allen https://t.co/26dnYLI1CV
2019-11-01 15:47:57,4 of 5 stars to The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid https://t.co/szJlyBPR7H
2019-10-31 13:35:25,Velma and Daphne in Mysteries at the Library #highschoollibrarians https://t.co/Ip0XIY98Y7
2019-10-31 13:29:43,@JenniferSharpTN @Lbervoets That is the scariest!!!
2019-10-29 22:36:58,3 of 5 stars to What Kind of Girl by Alyssa B. Sheinmel https://t.co/nLZpRSaA6K
2019-10-29 01:17:21,5 of 5 stars to Throw Like a Girl by Sarah Henning https://t.co/DoRleRgtcu
2019-10-27 20:31:40,4 of 5 stars to A Good Girl's Guide to Murder by Holly Jackson https://t.co/qxgLwfQwWr
2019-10-26 14:19:17,3 of 5 stars to Maybe This Time by Kasie West https://t.co/xrv0aJG0nt
2019-10-23 20:31:51,4 of 5 stars to The Rest of the Story by Sarah Dessen https://t.co/iqrOuZldUZ
2019-10-21 13:55:16,"RT @morgane_watkins: Pick up grade cards, meet your child's teachers, go to the Book Fair and/or get some FAFSA help from Counselors in the…"
2019-10-19 20:59:04,RT @morgane_watkins: It’s a good day for a fishing tournament. Mo East participating in its first one today. #MoEastfaMily https://t.co/GIM…
2019-10-19 13:44:18,3 of 5 stars to Beauchamp Hall by Danielle Steel https://t.co/LSHtG8u04I
2019-10-14 16:35:40,2 of 5 stars to Biltmore Estate by John M. Bryan https://t.co/oVR4b1pgAi
2019-10-14 12:55:35,3 of 5 stars to The Big Kahuna by Janet Evanovich https://t.co/B131RVDXsP
2019-10-13 22:13:14,Pumpkin Palooza 2019 https://t.co/tyYuSqbJZC
2019-10-11 21:26:06,4 of 5 stars to The Perfect Hope by Nora Roberts https://t.co/1Sk0lLXKrF
2019-10-09 22:58:54,3 of 5 stars to The Last Boyfriend by Nora Roberts https://t.co/oaRX6czBHJ
2019-10-07 21:04:35,4 of 5 stars to The Next Always by Nora Roberts https://t.co/sgUrIfDFaq
2019-10-06 16:50:02,3 of 5 stars to The Gown by Jennifer Robson https://t.co/aKc0cGkUOH
2019-10-01 16:39:46,4 of 5 stars to Almost Just Friends by Jill Shalvis https://t.co/AhYfyz19nW
2019-09-29 13:39:38,2 of 5 stars to I Know You Remember by Jennifer Donaldson https://t.co/Ld1uL9kOxd
2019-09-25 00:56:23,4 of 5 stars to All the Ways We Said Goodbye by Beatriz Williams https://t.co/wqUDc7OWcL
2019-09-19 14:21:22,3 of 5 stars to In the Hall with the Knife by Diana Peterfreund https://t.co/AcIVkay5Tu
2019-09-15 14:29:09,RT @wexlers_class: Hungry? Want to support the Morristown East Forensics Team? Stop by Freddy’s in Morristown anytime from 5-9 PM on Tuesda…
2019-09-15 13:40:33,3 of 5 stars to Making a Play by Abbi Glines https://t.co/QZKqWgezAT
2019-09-14 13:31:06,3 of 5 stars to The Mystery of Hollow Places by Rebecca Podos https://t.co/Xnn2lHKC46
2019-09-09 17:20:40,4 of 5 stars to Echoes Between Us by Katie McGarry https://t.co/j8uEwToyjP
2019-09-08 16:21:31,"RT @UTKnoxville: For the past 225 years and the next, Tennessee Volunteers are lighting the way. 🔥🍊 #utk225 https://t.co/6coQtz8cp9"
2019-09-08 03:11:09,@TracyMelo2 I received my 1st degree from UTK in 1996 and my 2nd in 2013. I will always be a Vol for Life but that… https://t.co/gfOyQSf6Rk
2019-09-08 02:48:08,There are no words to defend this. #vfl #evenwhenithurts https://t.co/m6IuZdkuwu
2019-09-07 15:34:04,4 of 5 stars to Echoes Between Us by Katie McGarry https://t.co/l9duDPMjZq
2019-09-07 00:19:33,RT @UTVolShop: Share in a Florida elementary student's Volunteer pride by wearing his design on your shirt too! Pre-order today for a late…
2019-09-06 02:10:44,3 of 5 stars to Tiny Pretty Things by Sona Charaipotra https://t.co/JjMHgKFSXc
2019-08-30 19:47:32,@morgane_watkins here's one better than the #yearbookchallenge I've got #glamourshots circa 1991.… https://t.co/xzdYcQYiNN
2019-08-28 00:17:03,"RT @MHHSELibrary: A day late, but new booktalks are up!  Channel link in the bio. 🤓📚😍 #highschoollibrarian #highschoollibrary #booktalks #b…"
2019-08-24 12:49:33,"RT @DanRather: I yearn for a world, or even a Friday evening, where a friend or family member asking “did you hear” doesn’t immediately pro…"
2019-08-17 16:48:09,"S/O to @FiveGuys for making my GF lettuce wrap burger with care, #changeyourgloves , and also for being the only bu… https://t.co/1Zbjk3k3p4"
2019-08-06 01:39:29,"RT @RepJoeKennedy: As @realDonaldTrump &amp; @GOP blame mental health for gun violence once again, a helpful reminder that almost every GOP mem…"
2019-07-27 01:57:24,"RT @AOC: Everyone: go get your check from Equifax!  $125 is a nice chunk of change.  Get that money and pay off a bill, sock it away, take…"
2019-06-21 02:01:19,Go Vols #vfl https://t.co/HfHdot2qk6
2019-06-11 19:12:25,RT @UTKSIS: 🚨 Giveaway Alert! 🚨 Win a collection of @UTKnoxville and SIS gear in celebration of our NEW information sciences undergraduate…
2019-05-07 21:02:21,"RT @tennalum: To celebrate graduation week, we’re doing a giveaway! 🎉 Here are the rules to enter:  1. Follow @tennalum  2. Retweet this tw…"
2019-04-12 15:43:09,https://t.co/WFEzqrPvUt
2019-03-16 21:44:02,RT @Vol_Hoops: WHAT. A. WIN. https://t.co/F6hDl8Py5h
2019-03-03 19:04:54,RT @CiteSomething: GIVEAWAY FOR TEACHERS AND LIBRARIANS ONLY: Boost Muslim voices in your classroom/library with these YA books. Retweet to…
2019-03-02 22:17:42,RT @Vol_Hoops: hi haters https://t.co/xCeKVZx3Py
2018-10-28 02:17:13,Halloween Hall of Fame https://t.co/uqSVZcoN15
2018-10-09 20:03:54,RT @tennalum: Don't forget to follow and share our original tweet. We'll pick a winner for the $50 @UTVolShop gift card tomorrow! https://t…
2018-06-21 20:44:03,Practiced Yoga @RoseCenterTN on #internationalyogaday  I am winning life 🙂
2018-05-23 18:15:54,Me......everytime 😂😂😂 https://t.co/Km2GKjUTkP
2018-05-17 16:41:06,RT @morgane_watkins: Mr. Johnson addressing the (almost) class of 2018. They graduate on Friday at 8:30 PM. #onceahurricane #alwaysahurrica…
2018-05-08 23:35:58,RT @morgane_watkins: Tennessee Scholars #moeastawardsday2018 https://t.co/TyMu7I7uWu
2018-05-08 23:35:50,RT @morgane_watkins: 3️⃣1️⃣➕ ACT award recipients #moeastawardsday2018 https://t.co/W0mWFG1urO
2018-05-04 19:16:11,"RT @FakeLibStats: 70% of librarians totally did the whole ""Ferris Bueller's Day Off"" thing in high school except just stayed home to read h…"
2018-05-01 14:16:45,RT @EH_Scholarships: https://t.co/XefM0ph3Dy
2018-04-29 12:38:45,RT @EH_Scholarships: https://t.co/IOjNUDUxXS
2018-04-20 01:37:24,RT @EH_Scholarships: Super proud of the TOP 5 academic achievers! #brainiacs #canes 🖤🧡 https://t.co/hXytJn6QC8
2018-04-18 01:06:41,RT @teresabateayers: Need dresses or tuxes for Prom? Project Cinderella will be open in Ms. Adams room (Room 379 at West High) from 3-6 on…
2018-03-23 01:27:32,Behind every great athlete is a mom who is willing to lose feeling in their fingers sewing on patches. @meggcourter… https://t.co/yzx9hjG6Hs
2018-03-19 19:32:45,RT @r2a3c: 🔸🔸◾️HURRICANES◾️🔸🔸 🏀🏀BASKETBALL CAMP‼️🏀🏀 https://t.co/g0rqZMo914
2018-03-09 02:03:15,"RT @teresabateayers: Mattie, Megan, and Sara, East High principles of engineering students, ready their robot for an upcoming competition i…"
2018-02-25 15:46:12,RT @morgane_watkins: Jordan at the line. This FT gives him 40 points w/ 2:30 left to play. Canes up 73-60. https://t.co/cL6tQ7O0cr
2018-02-22 23:20:52,RT @r2a3c: 🏀◾️BLACKOUT Isenberg-Siler Gymnasium‼️ Hope to have a storm of BLACK behind us Saturday night against Crockett @ 7pm! ◾️🏀 https:…
2018-02-09 03:51:59,RT @morgane_watkins: Senior Megan Courter https://t.co/kCMiheu7Rf
2018-01-31 15:19:00,RT @MHHSELibrary: We have a double display at the front desk this month! Come check out a title celebrating Black… https://t.co/Og9hxIy710
2018-01-14 04:15:00,RT @ACTStudent: We'll be hosting another free 75-minute session on January 16 at 7pm ET that will cover the most tested topics on the ACT!…
2018-01-06 15:07:25,RT @morgane_watkins: Halftime entertainment. Mo East Cheerleaders. Side note: I’m told the JV girls learned this entire routine in 1 day #i…
2017-11-06 14:35:14,RT @EH_Scholarships: Wendy's high school heisman! 1k scholarship! #proud #whatagal https://t.co/9mKTpIbx2W
2017-09-15 21:24:05,RT @morgane_watkins: Part of the SALT team volunteering at Special Olympics today. https://t.co/VkKaBvWs0k
2017-09-01 18:34:39,RT @FakeLibStats: A librarian will be asked 4 times more questions while shifting books than when sitting behind a desk
2017-08-26 18:55:21,RT @morgane_watkins: Best of luck to Emily and Megan as they try out for All-State Cheer today!!! https://t.co/VI24YtNPyQ
2017-07-31 20:38:53,"RT @teresabateayers: Megan Courter, student intern, shares her experiences at Mahle. @BuddySmith13 @coachcarter101 # https://t.co/10lpI8F1yT"
2017-07-13 17:13:07,S/O to the @Wendys on Mt Zion Rd in Morrow GA! Great food and great service makes for happy trips. #servicewithasmile
2017-05-19 23:13:59,RT @morgane_watkins: Garland Girls for Graduation #MoEastGrad2017 https://t.co/ve1QUfZ11k
