timestamp,tweet_text
,"Navigating my way through the Labyrinth of Library Science, School Media, and Education. Loves reading science fiction, fantasy, and more.",
2019-11-11 19:49:51,"Say hello to our new cat, adopted the day before Halloween. I named him Coleman (after Ornette). He is very friendl… https://t.co/PJBGecF8Tb"
2019-11-11 18:45:23,5 of 5 stars to The Tale of One Bad Rat by Bryan Talbot https://t.co/Slc1Wxu5nH
2019-11-09 18:43:12,4 of 5 stars to The City on the Edge of Forever by Harlan Ellison https://t.co/DppRva2NHS
2019-11-09 14:49:58,"To clarify, they have not yet uploaded the complete series. Each episode is being remastered and aired on public ra… https://t.co/sMssiXQU1z"
2019-11-09 13:55:20,I’m lucky that I still have so much of the series left to listen to an enjoy. Thank you Michael Hanson and Darkman… https://t.co/RmRkH3NVry
2019-11-09 13:52:42,"Mindwebs, a radio show featuring the reading of #sciencefiction &amp; #fantasy stories was one of my favorite discoveri… https://t.co/9fnY5AVTq5"
2019-11-09 13:36:53,@rachelswirsky Reminds me of one of my favorite Bill Plympton shorts. https://t.co/iuD25V9juz
2019-11-09 05:29:25,RT @AnneWheaton: what   https://t.co/51lgDm9hzO
2019-11-09 05:07:17,@Catrambo BYOP
2019-11-09 05:03:33,@Laplacier That’s why I grew my extra walrus layers
2019-11-09 04:57:57,"RT @cstross: Fan letters are always nice, but SOME fan letters get to go down in history. https://t.co/YqD5dobSvk"
2019-11-07 19:38:57,3 of 5 stars to The Year of Eating Dangerously by Tom Parker Bowles https://t.co/o5tNoLqqAV
2019-11-06 13:54:15,4 of 5 stars to The Demolished Man by Alfred Bester https://t.co/Y0V7c57rp7
2019-10-30 13:09:01,@Catrambo I won a #goodreads giveaway for an ebook copy! So i'll definitely be reading it soon.
2019-10-27 18:03:10,@BrianRathbone I counter with a Horned Melon
2019-10-27 16:02:37,"@_spacegandalf I live in South Carolina, so I definitely approve of the grits"
2019-10-27 16:00:00,"@_spacegandalf Oddly enough I actually do have some steel cut oats on hand already, but not any regular rolled oats."
2019-10-27 15:54:51,I am weirdly excited that Neil Gaiman has a porridge recipe. Gonna have to try it out sometime. https://t.co/uTQhqmUu5q
2019-10-27 15:17:07,last year and a half of my life made it harder for me to enjoy #reading but then I read this book by @BluejoWalton… https://t.co/bysMaWcFsY
2019-10-27 14:44:42,"RT @rightstufanime: Ever wanted to learn more about the Yōkai, Japanese monsters and demons, you see in anime? We explain 10 of them in our…"
2019-10-27 13:26:51,4 of 5 stars to The Book on the Edge of Forever by Christopher Priest https://t.co/6LVgfvSqu6
2019-10-24 16:46:39,I'm #reading An Informal History of the Hugos by Jo Walton https://t.co/oX2Dwn0Lgq
2019-10-22 15:34:00,5 of 5 stars to The Seven Good Years by Etgar Keret https://t.co/wvVhbci348
2019-10-21 05:48:04,4 of 5 stars to The Dispatcher by John Scalzi https://t.co/I3GDwv4GWU
2019-10-14 13:06:52,3 of 5 stars to Steven Universe OGN 4 by Rebecca Sugar https://t.co/NRnPIqwvoL
2019-10-13 22:51:59,RT @OtherwiseAward: The Tiptree Award is becoming the Otherwise Award. Please read our post for a detailed explanation of how we came to th…
2019-10-10 16:42:28,4 of 5 stars to The Testaments by Margaret Atwood https://t.co/8mR9CZLa1y
2019-10-08 04:23:00,4 of 5 stars to The Paper Menagerie and Other Stories by Ken Liu https://t.co/Icfqh2OOgt
2019-09-28 14:06:10,5 of 5 stars to The Tale of Despereaux by Kate DiCamillo https://t.co/A4FrCFkH0W
2019-09-25 18:00:55,@FullPricePod I live these sketches with bill hader as Vincent Price. I’m kinda surprised SNL even let him do as ma… https://t.co/AL0MNmbcnV
2019-08-26 16:49:08,4 of 5 stars to The Power by Naomi Alderman https://t.co/Rtjg4IEh2o
2019-08-17 12:02:03,@thelaceylondon I see you with your rutabaga!
2019-08-05 14:31:02,"Less than 2 weeks ago our loving black cat, Raven, came down with some unexpected and sudden health issues and has… https://t.co/PpVyuLuCSp"
2019-07-31 21:39:09,2 great young adult books available from audiobook sync this week! Get on it because tomorrow is the last day to ge… https://t.co/MkxslyGwib
2019-07-17 02:34:10,@scalzi I thought sideways was better than the book it was based on. Oddly enough though it would have probably had… https://t.co/QIVagXH88f
2019-07-17 02:21:17,RT @JoshKirbyArt: Oh how we wish this was approved for production arghhhhh! https://t.co/PmXcCW3oqF
2019-07-17 02:19:04,"@tiamet4 @Dan_Rowinski @nkjemisin Same here, went with Franca as well"
2019-07-17 02:16:38,@nkjemisin So far my favorite character is Franca from your story L’alchemista. Love the mix of cooking and magic a… https://t.co/Ylumtyxfg2
2019-06-14 21:21:47,@rachelswirsky Anthony Sheldon
2019-06-06 15:55:16,@JoshKirbyArt Thud
