timestamp,tweet_text
,"Daughter of God, Wife, Mother, Friend, PTA, Dancer",
2019-11-09 16:41:21,5 of 5 stars to Why I Love Being Catholic by Dynamic Catholic https://t.co/fOtW5igLNW
2019-11-09 02:01:25,2 of 5 stars to You Will Know Me by Megan Abbott https://t.co/ca6F0J3i44
2019-11-06 17:16:46,4 of 5 stars to I Believe in Love by Jean C.J. d'Elbée https://t.co/iYEPWtSuwn
2019-09-21 13:35:21,4 of 5 stars to What She Knew by Gilly Macmillan https://t.co/ulBh8QRCwE
2019-07-23 11:54:11,5 of 5 stars to The Woman in the Window by A.J. Finn https://t.co/eS1juoX9JX
2019-07-20 20:09:28,"3 of 5 stars to Girl, Wash Your Face by Rachel Hollis https://t.co/673WXP2164"
2019-04-27 16:29:15,4 of 5 stars to First Comes Love by Emily Giffin https://t.co/j3tZY0E2Mq
2019-04-10 22:49:05,"5 of 5 stars to The Lion, the Witch and the Wardrobe by C.S. Lewis https://t.co/OOKRZnFN7j"
2019-03-18 03:55:25,"On page 88 of 189 of The Lion, the Witch and the Wardrobe, by C.S. Lewis https://t.co/Rq51IF1gxb"
2019-03-15 04:25:35,"On page 79 of 189 of The Lion, the Witch and the Wardrobe, by C.S. Lewis https://t.co/0K0j5s9YVa"
2019-03-13 17:59:40,"On page 54 of 189 of The Lion, the Witch and the Wardrobe, by C.S. Lewis https://t.co/GBMd3HZOZu"
2019-03-09 04:10:54,"On page 44 of 189 of The Lion, the Witch and the Wardrobe, by C.S. Lewis https://t.co/o22XC29qzB"
2019-03-06 23:02:04,3 of 5 stars to A Mother's Reckoning by Sue Klebold https://t.co/RcV5RQbiYj
2019-01-05 13:20:52,3 of 5 stars to Into the Water by Paula Hawkins https://t.co/w5dBkPCULv
2019-01-02 19:41:03,4 of 5 stars to There Is Life in the Womb by Fulton J. Sheen https://t.co/Xg1G7J6xfY
2018-11-23 04:21:03,"5 of 5 stars to In a Dark, Dark Wood by Ruth Ware https://t.co/n3zXUBFf1m"
2018-11-11 20:20:00,4 of 5 stars to The Mother's Promise by Sally Hepworth https://t.co/VKZE894f0A
2018-10-23 08:52:48,4 of 5 stars to Faithful by Alice Hoffman https://t.co/8A4EFNUzKl
2018-09-04 01:25:53,5 of 5 stars to Lilac Girls by Martha Hall Kelly https://t.co/Asgj4hPfox
2018-07-30 03:46:40,5 of 5 stars to The Violets of March by Sarah Jio https://t.co/wS6hgZmgIL
2018-05-09 21:26:51,4 of 5 stars to When Breath Becomes Air by Paul Kalanithi https://t.co/3z2XD53QUK
2018-03-14 10:17:34,5 of 5 stars to It Ends with Us by Colleen Hoover https://t.co/qpLH4FxQLO
2018-02-12 11:22:48,3 of 5 stars to The Guest Room by Chris Bohjalian https://t.co/6aAdQem0F2
2018-01-03 03:41:42,"On page 80 of 367 of The Case for Christ, by Lee Strobel https://t.co/FkAoEiPLb6"
2017-12-04 04:32:07,"On page 26 of 367 of The Case for Christ, by Lee Strobel https://t.co/m9ZG5wGyIH"
2017-11-29 13:25:37,4 of 5 stars to Salem Falls by Jodi Picoult https://t.co/RCDqgNQkMS
2017-11-07 02:50:07,2 of 5 stars to Missional Motherhood by Gloria Furman https://t.co/AnPQFiMl9u
2017-10-05 16:15:56,5 of 5 stars to Why We're Catholic by Trent Horn https://t.co/bKR4XJKMwq
2017-01-25 05:39:00,"On page 117 of 209 of What Women Fear, by Angie Smith https://t.co/WvUFETcBqf"
2017-01-20 21:19:39,"On page 112 of 209 of What Women Fear, by Angie Smith https://t.co/qjXx5hOEB4"
2017-01-03 22:13:54,"On page 32 of 209 of What Women Fear, by Angie Smith https://t.co/vTJh8e7srY"
2016-05-22 03:09:21,"On page 81 of 243 of Lucky, by Alice Sebold https://t.co/6gBVzo5XqK"
2016-05-14 03:27:37,"On page 158 of 242 of The Case for Jesus, by Brant Pitre https://t.co/vKsSX2Jc7v"
2016-05-05 19:48:51,RT @Cubs: The #Cubs today placed RHP Neil Ramirez on the bereavement list and recalled RHP Spencer Patton from @IowaCubs.
2016-05-03 11:07:58,"RT @Encounter2016: Less than 3 months away from Encounter 2016 in Quincy, IL!!! What are you excited about? #tecencounter"
2016-05-02 23:06:36,"RT @Cubs: If you look hot, you wear it. https://t.co/vhDqEr3A9X"
2016-05-02 19:20:27,Stepping it up with our envelopes @DaveRamsey @RamseyShow #daveramsey #spendsavegive https://t.co/Gmn1qnNgl8
2016-04-15 18:57:45,"RT @Pontifex: In the darkest hours of a family’s life, union with Jesus can help avoid a breakup."
2016-04-11 03:36:27,"On page 54 of 242 of The Case for Jesus, by Brant Pitre https://t.co/75g6X0BpfE"
2016-04-08 19:39:09,"RT @Cubs: The Wrigley Field Marquee is back up and running, and it looks great! #LetsGo https://t.co/K2OBbvEhdM"
2016-04-02 01:17:09,RT @ScottDouglas26: Humbled and excited about the opportunity to serve Quincy High School as Athletic Director! #BlueDevils
2016-04-01 17:53:41,RT @MaxLucado: Don't make a theater production out of your faith. #GodisWithYouEveryday https://t.co/3ueiYFHwT4
2016-04-01 17:53:30,RT @Cubs: The #Bryzzo Souvenir Company is open for business! https://t.co/85YuYmuV0Z #THIS https://t.co/f7Z0Q1YpKU
2016-04-01 17:52:33,"RT @WhigSports: Douglas returns to his roots, becomes next athletic director at QHS https://t.co/7RHF8JsoDt https://t.co/tpdoHSkcaM"
2016-03-31 03:17:46,RT @FallonTonight: 🐼 Tonight Show GIF of the day! 🐼 https://t.co/TLKd8mO2uI
2016-03-31 03:17:25,What just happened here? https://t.co/ZAhXjVdSiE
2016-03-31 03:15:39,RT @ARizzo44: We're BACK https://t.co/HTX4jlEnm2
2016-03-30 19:16:11,"RT @CNN: Ted Cruz challenges Donald Trump to one-on-one debate, says Trump ""is scared to debate"" https://t.co/ltbeeXASPX https://t.co/pv8OL…"
2016-03-18 03:04:52,@TheEllenShow @FallonTonight https://t.co/nO2VNIFhVj
2016-03-09 21:49:09,RT @KHQA: Our photographer added a new #SnapChat filter for #Quincy residents! https://t.co/H5BQy5n9fE
2016-02-25 02:17:31,@lyssa5678 @TheOdyssey blessed to have gotten to know you through #idta
2016-02-23 03:59:17,@seeley_dwight found you!!!
2016-02-13 22:27:37,"Yes!!! Thank you, Fr. Bauer! #Catholic  https://t.co/XAXxJf6lim"
2016-02-13 21:27:06,Going on over 8 hours @IDTADanceFlag state! Great day so far! #IDTAState idta.#judgeslife
2016-02-07 15:04:42,RT @WhigNews: Quincy Catholic Elementary Schools Foundation honors McClain family https://t.co/dAHO8Ypu3j
2016-02-07 04:42:45,More importantly....you seeing me #judgeslife judgeslife#idta  https://t.co/DC1IJ0M068
2016-02-06 14:06:34,"RT @WhigNews: Quincy in national spotlight as @DatelineNBC, @48Hours covered #LovelaceCase. @Maher48Hours https://t.co/AyPZCfB3FG https://t…"
2016-02-06 13:12:43,@IDTADanceFlag has 3 regionals today! RT where you are at!!!! #IDTAHighlandRegional
2016-02-06 12:31:24,scrolling thru the TV channels and saw that Daniel Tiger was on and got excited..then I remembered my 3 y/o isn't with me...
2016-02-06 02:03:09,On the road to the last #IDTA regional of the year! @IDTADanceFlag State next weekend already?!?!
2016-02-05 23:33:26,RT @DOBrienWHIG: Hung jury. #LovelaceCase
2016-02-05 22:56:07,RT @FallonTonight: Jimmy &amp; @JonahHill adapt to random situations in this emotional interview!  https://t.co/3ShbYdaJtw https://t.co/nYiy8gp…
2016-02-05 22:55:21,Jealous  https://t.co/Tk3u0YVpYj
2016-02-05 22:54:34,RT @OverDriveLibs: 5 Great Books To Read In February via @buzzfeed (all available via OverDrive) https://t.co/AHhANr5Qhg
2016-02-05 18:43:40,RT @WhigNews: More than 300 have voted in @DOBrienWHIG's poll about how #LovelaceCase will end. Half say not guilty. https://t.co/SXXfa46rxR
2016-02-05 18:01:30,@kaitlins5 did you choreograph this year?
2016-02-05 17:59:58,RT @8CountAudio: Good luck to teams competing at the 3 @IDTADanceFlag comps this wknd! (I'm at Hononegah) Stop by to see how category compe…
