timestamp,tweet_text
,Book Reviewer 📚| Language lover | Tea drinker ☕️ | Sci-Fi & Fantasy fan 🛸| Journal collector 🖋 | Coca-Cola collector | Amateur musician 🎻,
2019-11-13 23:25:34,4 of 5 stars to They Called Us Enemy by George Takei https://t.co/tksWi79klc
2019-11-13 18:11:58,3 of 5 stars to Super Chill by Adam Ellis https://t.co/X3X2n0Ye2I
2019-11-12 04:53:53,3 of 5 stars to Buried in a Bog by Sheila Connolly https://t.co/2XMXYx8k1E
2019-11-09 14:37:52,3 of 5 stars to Hitting the Books by Jenn McKinlay https://t.co/M8dOoOv1hV
2019-11-09 00:23:04,4 of 5 stars to Book Love by Debbie Tung https://t.co/tzdkJomfJz
2019-11-07 23:48:16,5 of 5 stars to Quiet Girl in a Noisy World by Debbie Tung https://t.co/jKTvSij6ng
2019-11-06 17:30:33,4 of 5 stars to The Broken Eye by Brent Weeks https://t.co/Cu973YEemr
2019-10-30 15:53:01,5 of 5 stars to He Came to Set the Captives Free by Rebecca Brown https://t.co/cgXfo14uPC
2019-10-27 22:41:23,3 of 5 stars to Better Late Than Never by Jenn McKinlay https://t.co/err8YmlEJY
2019-10-17 17:07:23,3 of 5 stars to Empire of Storms by Sarah J. Maas https://t.co/Cqy2wKtilq
2019-10-11 03:45:36,4 of 5 stars to And Then There Were Crumbs by Eve Calder https://t.co/ZOPcIPqBWY
2019-10-06 23:27:35,4 of 5 stars to Gunner's Apprentice by Brent Weeks https://t.co/rfyLav5reC
2019-10-06 22:55:45,4 of 5 stars to The Blinding Knife by Brent Weeks https://t.co/3YG1VOTXem
2019-10-03 21:53:15,5 of 5 stars to Crown of Coral and Pearl by Mara Rutherford https://t.co/EDkUvG7bsR
2019-09-30 21:56:18,3 of 5 stars to The Dream Giver by Bruce H. Wilkinson https://t.co/EFfiLzT52X
2019-09-29 16:02:18,4 of 5 stars to Poison Study by Maria V. Snyder https://t.co/rhl38CJr6W
2019-09-26 18:57:52,2 of 5 stars to King's Cage by Victoria Aveyard https://t.co/ZBlUhjWeqd
2019-09-23 15:02:49,"4 of 5 stars to Girl, Stop Apologizing by Rachel Hollis https://t.co/25DaLNnz8j"
2019-09-23 02:27:44,5 of 5 stars to Smile by Raina Telgemeier https://t.co/NVbsr1PZx6
2019-09-19 13:47:19,3 of 5 stars to The Restaurant at the End of the Univ... by Douglas Adams https://t.co/CWj61fmljg
2019-09-15 21:01:45,4 of 5 stars to The Black Prism by Brent Weeks https://t.co/UaXLxYEwQZ
2019-09-14 23:46:38,5 of 5 stars to Sisters by Raina Telgemeier https://t.co/3TBypHSAqC
2019-09-14 17:18:57,"5 of 5 stars to Oh, The Places You'll Go! by Dr. Seuss https://t.co/HG2qIkaM50"
2019-09-12 16:57:30,4 of 5 stars to Flamecaster by Cinda Williams Chima https://t.co/71Ht2WS1Qt
2019-09-06 16:38:14,"5 of 5 stars to Girl, Wash Your Face by Rachel Hollis https://t.co/yjaOYGGN7u"
2019-09-05 20:09:30,3 of 5 stars to Fahrenheit 451 by Ray Bradbury https://t.co/FhzVoDfuFI
2019-09-05 03:20:50,5 of 5 stars to The Invisible Library by Genevieve Cogman https://t.co/6Uv1EHKJzR
2019-09-03 20:56:14,4 of 5 stars to The Great Alone by Kristin Hannah https://t.co/bmlGMvSJP7
2019-09-02 16:58:11,4 of 5 stars to The Secret to Teen Power by Paul Harrington https://t.co/lFHcZYkKSd
2019-09-02 14:41:21,2 of 5 stars to The Cuckoo's Calling by Robert Galbraith https://t.co/GcCUAGMpzI
2019-08-29 12:04:14,3 of 5 stars to Crime and Punishment by Fyodor Dostoyevsky https://t.co/Uw5X7fAzgy
2019-08-18 16:42:34,"On page 409 of 848 of The Priory of the Orange, by Samantha Shannon: I’m only halfway th... https://t.co/7YJuVAFqCq"
2019-08-18 04:01:32,5 of 5 stars to Stay by Bobbie Pyron https://t.co/BIwwy98yDX
2019-08-17 04:17:54,4 of 5 stars to Total Forgiveness by R.T. Kendall https://t.co/QPppl4ylrl
2019-08-17 00:41:50,5 of 5 stars to Harry Potter and the Prisoner of Azkaban by J.K. Rowling https://t.co/o1N6YHvOhH
2019-08-15 22:27:37,5 of 5 stars to Aurora Rising by Jay Kristoff https://t.co/KmDewX7JPF
2019-08-15 17:21:51,"5 of 5 stars to If You Want to Walk on Water, You've ... by John Ortberg https://t.co/DS6raQLwHa"
