timestamp,tweet_text
,Blogger at The Faerie Review and lifelong bookworm,
2019-11-13 05:00:12,Check out Float: A Guide to Letting Go https://t.co/M7lJHqp4B2 #checkitout #faeriereview
2019-11-12 12:04:48,3 of 5 stars to Asylum Archives Case Study Vol.1 by Jaron Briggs https://t.co/K8qw6wlCYs
2019-11-12 06:37:08,5 of 5 stars to Float by Aimee L Ruland https://t.co/7VDrk01wlS
2019-11-12 05:00:15,Check out Blitz: The Sinners https://t.co/ZArHyHH83w #checkitout #faeriereview
2019-11-11 05:00:22,Check out The Speaking Stone https://t.co/bZJZul1fL4 #checkitout #faeriereview
2019-11-09 15:46:53,5 of 5 stars to Beyond the Veil of Whispered Dreams by Jolanthe Aleksander https://t.co/thrWYqBBJx
2019-11-08 20:51:07,3 of 5 stars to Troubled Spirits by Sandy Wolters https://t.co/KNtmBWCbJ8
2019-11-08 14:19:51,Check out Cover Reveal: The Wolf and the Sparrow https://t.co/aaEYZFXQCW #checkitout #faeriereview
2019-11-06 09:47:36,"4 of 5 stars to Sugar, Spice, and Cowgirl Nice by Stacy Grace https://t.co/koZoYoAeym"
2019-11-05 11:20:55,5 of 5 stars to Shortcuts by Amy Bearce https://t.co/K5mo8p8O4f
2019-11-04 05:00:15,Check out Blitz: Egyptian Secrets https://t.co/aD6PFD7v84 #checkitout #faeriereview
2019-11-03 23:45:14,3 of 5 stars to The Hall of the Dragonei King by Krys Adams https://t.co/agRtxNauKZ
2019-11-02 13:00:58,2 of 5 stars to A Raven's Touch by Linda Bloodworth https://t.co/gMJLzauXDh
2019-11-02 08:30:23,"5 of 5 stars to I'm a Therapist, and My Patient is In... by Dr. Harper https://t.co/dX0egfCii9"
2019-11-01 08:39:37,"5 of 5 stars to I'm a Therapist, and My Patient is Go... by Dr. Harper https://t.co/IDDuBph6OC"
2019-11-01 04:00:13,Check out Egyptian Secrets https://t.co/we6PZ6Zyh1 #checkitout #faeriereview
