timestamp,tweet_text
,"We're a group of fans and authors who LOVE M/M Romance! Come join our group (18+) for reading challenges, polls, games, and good times!",
2019-11-09 16:51:42,"For those of you who like writing flash fiction, we have a flash fiction folder where we post a new photo every Sat… https://t.co/7lsD2c3kli"
2019-11-09 16:16:28,Sorry everyone! Here's the corrected link to the folder for the 2019 MCAs. https://t.co/l5ng7EMz9a
2019-11-09 15:43:19,The 2019 Members' Choice Awards have now begun in the M/M Romance Group! Time to nominate your favorites from this… https://t.co/WD4y84kcUa
2019-08-03 12:43:44,The games have begun! The celebration of the M/M Romance Group's 10th Anniversary is underway! Join us all week for… https://t.co/lfcASqwn79
2019-06-30 23:20:22,"We still have 13 open spaces in the 3rd quarter ""Don't Buy My Love"" read for review program. 3rd quarter runs July… https://t.co/Wlq3zzKlJi"
2019-06-01 12:58:02,Updated/Corrected link. Sorry! https://t.co/33gXjBIOpI
2019-06-01 12:51:37,"We are looking for authors for our 3rd quarter ""Don't Buy My Love"" read for review program. Do you have a new relea… https://t.co/2KteG4UhYa"
2019-05-26 19:08:58,Check out this week's Flash Fiction Photo! Set your muse free and treat us to 100 words of a great story. We'd love… https://t.co/TdSrL7FNEl
2019-03-16 14:27:41,"Check out today's Flash Fiction inspiration. It's NSFW. Give your muse a workout, and give us a good 100 word story… https://t.co/bE4C0YLZ8a"
2019-03-02 15:20:10,"For those looking for some creative fun, our Flash Fiction is back up and running! Every Saturday we post a new pho… https://t.co/zSDuFd6i3I"
2018-12-31 18:13:30,We have a new group chat room. We'll be using it to host our Big Group Chat when we announce the 2018 MCA winners o… https://t.co/XtkBlAB36W
2018-12-19 03:21:39,Are you up for a challenge? Lots of 2019 challenges are ready for sign ups. All types: team &amp; individual challenges… https://t.co/jrEkcLlgvE
2018-12-10 14:43:17,Add some cheer to your holidays. 🎅 The deadline to sign up for Secret Santa is 9 pm EST Saturday the 15th. Don't mi… https://t.co/RuhSxO5pHh
2018-12-09 18:39:26,Feel up to a challenge? Sign ups for several challenges are open for 2019. Come join the fun! We have group and ind… https://t.co/0jVFUI6DU9
2018-12-08 22:38:12,We're looking for authors to join the Don't Buy My Love review program. Have a book you are looking to get reviews… https://t.co/9HEQlwqcWs
2018-12-08 22:25:43,The 2018 Members' Choice Award polls in the M/M Romance Group are now open! Head on over to vote for the best book… https://t.co/59xCPiFIFL
2018-12-04 20:24:56,Nominations for 2018 MCAs close tomorrow! Check your nominations to ensure the Mods don't have questions/issues wit… https://t.co/y8BytjUwkd
2018-11-27 14:59:17,"Santa and his elves are in the M/M Romance Group collecting wish lists now! On December 16th, members will be paire… https://t.co/YEJlnr0GH6"
2018-11-21 14:09:08,"It's time for the the Members' Choice Awards in the M/M Romance Group on Goodreads! Our very own ""Best of the Best""… https://t.co/dZOLDdVZ6x"
2018-08-04 12:22:05,"It's Celebration Time! It's our 9th anniversary and we're partying all week with games, puzzles, &amp; contests! Our pr… https://t.co/VfzGZ3Bnfx"
2018-06-05 13:45:34,Hey authors! We are accepting submissions for the third quarter in the Don't Buy My Love! Read for Review program t… https://t.co/8L70SStqcO
2018-03-23 20:23:33,The DBML read for review program still has eight available spaces for 2nd quarter. Do you have a book you'd like to… https://t.co/2SE8DcPFV8
2018-01-14 22:05:04,The 2017 Members' Choice Big Group Chat is happening now! Want to know what authors won? Follow the link to join ou… https://t.co/mImM6kPoj5
2017-11-23 02:48:11,The 7th Annual M/M Romance Group Members' Choice Awards are coming soon! Nominations run Nov 25-Dec14. What were yo… https://t.co/XoUccPZd53
2017-01-16 02:12:53,Congrats to the Members' Choice Awards 2016 Winners! Follow the link to see who won &amp; to request a badge if you won! https://t.co/dgcUCZD1qU
2017-01-15 19:53:08,The 2016 Members' Choice Awards Chat starts at 5:00pm EST! Come see which authors won! Follow link for chat info https://t.co/rOCrjvzF7x
2016-12-17 06:38:03,The Members' Choice Polls are open! Vote on your favorites in 40 different categories. Polls open till 12/31. https://t.co/p280NmjRWr
2016-09-04 17:53:25,Open call for 4th Qrtr (Oct-Dec) Don't Buy My Love free for review program! Hurry &amp; grab a spot. They go fast! https://t.co/1BxKr3nFLS
2016-09-01 04:01:58,"Nominations are open for October Author of the Month through 9/17, when polls will be posted. Who will you choose? https://t.co/b3ETM0X0aA"
2016-08-15 05:56:32,"Our Seven Year Annual Celebration is happening now! Games, Lots of Prizes, Group Chat this Sunday! Come play! https://t.co/HSt2dJpinq"
2016-08-06 20:54:52,"Our Next Big Event is Almost Here! Games, contests, &amp; Prizes! Sat August 13th is the day! Game going on now. gamehttp://tinyurl.com/jsu49xp"
2016-06-12 16:27:32,Authors! 3rd Quarter Don't Buy My Love - Read for Review is open! Get your spot! https://t.co/DT60y0DSqz
2016-05-02 04:32:24,Come and play https://t.co/bk58pLMc4L #slitherio
2016-04-17 18:10:29,Polls are now open for the May Author of the Month selections. Hurry over to vote! Polls close 4/26 https://t.co/8TGW7VTEf8
2016-03-01 06:18:42,It's open call for 2nd quarter in the Don't Buy My Love reading review program. Grab your spot now! https://t.co/Z99Dm6Lmxr
2016-02-19 21:32:53,The March Author of the Month polls are open! Help us choose who we feature in March. Polls close 3/26 https://t.co/owPV3QKg4Q
2016-02-02 13:58:33,March Author of the Month nominations are open thru 2/17. Who do you want us to feature and read? https://t.co/c8iQIEXBAD
2016-01-18 03:29:43,The winners of the 2015 Members Choice Awards have been announced! Congrats to the winners! https://t.co/w4LWeNRZAs
2016-01-16 20:18:33,Join the Group Chat Sunday 17th 6 p.m. EST for winners of 2015 Member's Choice Awards. Chat room instructions here: https://t.co/XEFH4brb8Y
2016-01-01 23:37:49,It's time to nominate February's Author of the Month. Who do you want us to feature in Feb? Polls open 1/17 https://t.co/KJCLCAVaZC
2015-12-15 05:38:41,Don't leave your favorite author hanging! They can't vote for themselves! Vote in the Members Choice Awards! https://t.co/JzJ4n2WlBC
2015-12-01 07:06:20,The 5th Annual M/M Romance Members Choice Awards nominations are open! https://t.co/xmSWpZoZYU
2015-11-18 02:33:56,MM Romance Members Choice Awards nominations start 12/1! Time to start thinking about which books you would nominate https://t.co/JzJ4n2WlBC
2015-11-18 02:26:57,December Author of the Month polls posted. Help us pick what to read! Polls close November 27th. https://t.co/m2pSmJlBdb
2015-11-07 19:38:02,Books available in DBML Program. Get a free ebook in exchange for an honest review.  https://t.co/si0c5fTaFS
2015-11-07 19:17:05,Dec Author of the Month Nominations open till 11/17.  Who's your fav author? https://t.co/Daoq9BDY1J
2015-10-21 04:36:07,The November Author of the Month polls are up till 10/27 - Vote for your fav author! https://t.co/fjo6agfwte
2015-10-15 19:26:10,@lisa_nicholas_ The story is a love story b/t the son of the slave owner and slave &amp; is antislavery. No rape scenes. We don't censor authors
2015-10-15 15:31:10,M/M Romance - Author of the Month-NOVEMBER AOM-Nominations Open till 10/17. Who do you want us to read? https://t.co/igTQ5a0yNp
2015-08-23 03:19:49,"Join us in the Group Celebration Chat Sunday the 23rd, 10am - 10pm EST. Chat, Prizes, games, Good times! http://t.co/ospilIO3ja"
2015-08-13 23:06:39,It's Coming! Saturday is the big day! We've got lots of goodies in store for you! http://t.co/qmNfLoWXRN
2015-07-29 02:34:14,New Love is an Open Road stories are waiting for you to come read them!  http://t.co/7yqvIloKEV
2015-07-29 02:29:40,Only a few days left to sign up for August's Monthly Challenges!!http://t.co/oyuJbEy8Mj
2015-06-26 03:00:50,Celebration 2015 - Request for Donations http://t.co/4mtO6zKnZp
2015-06-26 02:56:00,Have you read any of the new releases yet?  http://t.co/7yqvIloKEV
