timestamp,tweet_text
,We love kids books. Home to a growing number of amazing imprints and authors. We can't wait to introduce you to a fantastic book.,
2019-11-13 17:03:48,"Out of tragedy, ordinary people became heroes. This is their story.  TORPEDOED by Printz-honor winning author… https://t.co/1tDoWjN5Na"
2019-11-13 16:01:12,"Andy and Terry are on the run from the Story Police!  To escape, they draw a dot, which becomes a manhole. Then, th… https://t.co/NyESfL27w5"
2019-11-13 15:31:00,Happy World Kindness Day!  Celebrate today &amp; every day with FINDING KINDNESS by @underwoodwriter &amp; Irene Chan. Don'… https://t.co/pgchZTg4Se
2019-11-13 15:01:07,Do you want bestselling author of WISHTREE @kaaauthor to visit your community? Create your own wishtree in your sch… https://t.co/BJQnDJEOg2
2019-11-13 00:00:41,"Set during the Syrian refugee crisis, NOWHERE BOY by @MarshKatherine is a heartwarming story about friendship, resi… https://t.co/DyPP0v9iRo"
2019-11-12 22:00:14,".@underwoodwriter and Irene Chan's picture book, FINDING KINDNESS, is the perfect read for World Kindness Day and e… https://t.co/yLccwkjKrI"
2019-11-12 20:00:37,"A moving picture book from Queer Eye star Karamo Brown, his son Jason Brown, and illustrator @foxville_art, I AM PE… https://t.co/OEkRXwkdV6"
2019-11-12 19:00:50,"Friends come in all sorts of shapes and sizes. In Amos McGee's case, all sorts of species, too! Celebrate 10 years… https://t.co/W2G5I37E8H"
2019-11-12 18:00:07,"Discover your new craft obsession with TINY WORLD from @odddotbooks! Created for beginners, these kits are equipped… https://t.co/1mh3kvZgSB"
2019-11-12 17:00:56,"Meet Doug Underbelly!   He just wants to be normal, but... He lives in a creepy mansion. He's lousy at sports. AND… https://t.co/uYpnU2n0VR"
2019-11-12 16:00:31,SPY PENGUINS: THE SPY WHO LOVED ICE CREAM written by Sam Hay and illustrated by @mjcartoons features two young adve… https://t.co/oUjlLM9fUx
2019-11-12 15:29:11,"RT @Loveofxena: The moon is nearly full, sitting in a clear sky.  I want to take Fry Bread: A Native American Family Story by @noblemaillar…"
2019-11-12 15:00:34,"Meet BABY, the newest addition to @JimmyFallon's bestselling picture book collection. In stores now!… https://t.co/IiZESrTiNk"
2019-11-12 00:00:09,Looking for the perfect baby shower gift? Look no further than the newest book by @Nancy_Tillman. Enter to win a si… https://t.co/uhKvSCInGT
2019-11-11 23:00:28,"November is #NationalAdoptionMonth and we're currently reading @marilock's FOR BLACK GIRLS LIKE ME, a lyrical comin… https://t.co/JqVQ0toGtv"
2019-11-11 22:00:34,"In THE 117-STORY TREEHOUSE, Terry tries to narrate as well as draw and the story goes out of control! Order… https://t.co/FN4ubnOrNZ"
2019-11-11 20:38:41,RT @01FirstSecond: Calling all @GeneLuenYang fans! Don't miss your shot at winning an advance copy of his upcoming #DragonHoops and this EP…
2019-11-11 20:01:32,"Best friends Little Elliot and Mouse are back for another adventure—and this time, they're looking for the Christma… https://t.co/p9jWb9k2TE"
2019-11-11 18:01:47,THIS IS BABY by @JimmyFallon is the perfect book for new babies and parents alike! Get your copy:… https://t.co/rtTjHjZVC9
2019-11-11 17:34:10,RT @HeatherKassner: AHHHHH!!! ARCs for THE FOREST OF STARS arrived!!! 🎪🖤✨ @MacKidsBooks https://t.co/MI7XsMvaut
2019-11-11 17:33:59,"RT @HornBook: #Poetry #ReviewoftheWeek: ""Up Verses Down: Poems, Paintings, and Serious Nonsense"" by @CalefBrown; illus. by the author (Otta…"
2019-11-11 17:33:46,RT @RaincoastBooks: Watch Queer Eye star Karamo and his son Jason talk about their new children's book 'I Am Perfectly Designed' on the @TO…
2019-11-11 17:33:35,RT @BookPeople: Co-authors (and father &amp; son) Karamo and Jason “Rachel” Brown read their picture book I AM PERFECTLY DESIGNED! Y’all are a…
2019-11-11 17:33:23,"RT @PhilBildner: ""And in giving Burke a place to shine, his book is worthy of several high fives, forearm bashes, chest bumps, daps, and an…"
2019-11-11 17:33:16,"RT @HornBook: Starred #PictureBook #ReviewoftheWeek: ""Vroom!"" by Barbara McClintock (@MacKidsBooks) https://t.co/ZQoflMjDok https://t.co/sB…"
2019-11-11 17:01:49,"Hop on board @petergbell's middle-grade fantasy series, THE TRAIN TO IMPOSSIBLE PLACES, with book 2 THE GREAT BRAIN… https://t.co/QFqgWan0Zo"
