timestamp,tweet_text
,"HORROR-LOVING, reading addict! ♍️📚🐶",
2019-11-12 16:08:35,2 of 5 stars to Off Season by Jack Ketchum https://t.co/y1j2Ty3WHB
2019-11-11 19:31:50,3 of 5 stars to The Possession of Natalie Glasgow by Hailey Piper https://t.co/jy3IulMGSE
2019-11-11 06:24:20,3 of 5 stars to The Possession of Natalie Glasgow by Hailey Piper https://t.co/jy3IulMGSE
2019-11-09 19:15:21,@bookish_mommy @SadieHartmann @astoldbybex @anamc20 @RVH_03 @KamisKorner @Shades_Orange @audraudraudra @gorygal33… https://t.co/mJXBXAxxvm
2019-11-09 19:13:48,@GregFGifune @Night_Worms Thank YOU! Go right ahead 😀
2019-11-09 16:23:56,@SadieHartmann Can’t wait to hear your thoughts! I enjoyed this one so much!
2019-11-09 16:23:20,@bookish_mommy @Night_Worms @GregFGifune 😂😂🙈 thanks Ashley! 😘
2019-11-09 16:19:10,Y’all need to go check out the @Night_Worms blog!!! A bunch of us got together and reviewed Savages by @GregFGifune… https://t.co/HhDx1Tzy2P
2019-11-09 16:15:30,5 of 5 stars to Savages by Greg F. Gifune https://t.co/WudJa5BfFP
2019-11-07 05:16:30,"@ctrlaltcassie Oh no Cassie!! I’m so sorry, but I’m glad that you’re physically ok and weren’t hurt!"
2019-11-07 05:15:06,@lovingroc1975 @MikeBockoven https://t.co/2AIeEheHN9
2019-11-07 05:14:19,@TeamRedmonReads @MikeBockoven Oooh let’s!!! I’ll message you on IG
2019-11-07 05:14:01,@MikeBockoven It was amazing! Finished it in one day. Thank YOU!
2019-11-07 05:13:33,@ctrlaltcassie @MikeBockoven So so good!!
2019-11-07 04:14:19,5 of 5 stars to FantasticLand by Mike Bockoven https://t.co/2TeKGIpLMf
2019-11-06 22:09:07,I’m currently listening to the audiobook of FantasticLand by @MikeBockoven I’M OBSESSED! #currentlyreading https://t.co/sw5V9zE2Fy
2019-11-05 19:28:08,@ctrlaltcassie My kind of person!!! 😍😍😍
2019-11-05 19:27:27,@TeamRedmonReads @WeWhoWalkHere @pageandparlor @Night_Worms @WTReaderGrows @KamisKorner https://t.co/zLwjXGMZof
2019-11-04 23:20:53,5 of 5 stars to Savages by Greg F. Gifune https://t.co/WudJa5BfFP
