timestamp,tweet_text
,"Down by the river/
It was only you and me/
Now in the end/
You are dead and I'm ALONE/
(I'm a mushroom🍄 compared to my colleagues and I'm proud of it.)
UÉ",
2019-11-11 11:52:15,"On page 311 of 396 of Spellslinger, by Sebastien de Castell https://t.co/kvTOeHqW0V"
2019-11-10 20:57:59,"On page 278 of 396 of Spellslinger, by Sebastien de Castell https://t.co/nlaIZXhx1s"
2019-11-10 17:47:13,"On page 238 of 396 of Spellslinger, by Sebastien de Castell https://t.co/c2rX5loz7z"
2019-11-09 16:25:55,"On page 201 of 396 of Spellslinger, by Sebastien de Castell https://t.co/zRIEr43TVJ"
2019-11-09 10:43:27,"On page 100 of 359 of The Hidden Oracle, by Rick Riordan https://t.co/hPB5NYdFrO"
2019-11-08 14:42:17,"On page 140 of 507 of King's Cage, by Victoria Aveyard https://t.co/HQSwp4spq2"
2019-11-03 14:35:17,"On page 170 of 396 of Spellslinger, by Sebastien de Castell https://t.co/dyxA3wkzRQ"
2019-11-02 20:22:17,"On page 125 of 396 of Spellslinger, by Sebastien de Castell https://t.co/v9RYJLHvOV"
2019-11-02 12:37:40,"On page 80 of 396 of Spellslinger, by Sebastien de Castell https://t.co/Tw72Gzt1Rn"
2019-10-22 16:27:34,RT @byMorganWright: “A #writer is someone who has taught his mind to misbehave.”  ― Oscar Wilde #books #amwriting #amreading Art by Alexand…
2019-10-22 15:04:53,@redragdolly I'm loving it 😊
2019-10-22 10:31:31,"On page 85 of 359 of The Hidden Oracle, by Rick Riordan https://t.co/lGkfG5KdsH"
2019-10-21 16:56:18,@byMorganWright https://t.co/vUmtBcMyfM
2019-10-21 16:55:32,RT @byMorganWright: Who’s with me?!  #booklovers #amreading https://t.co/7Rlgna1dkp
2019-10-21 11:15:20,"RT @Joannechocolat: How to be a Writer: Take train home, after exhausting weekend promoting book Heave sigh of relief at prospect of gettin…"
2019-10-21 10:37:49,"RT @calloway24: IT'S ANOTHER FOLLOWING SPREE  I've witnessed encouragement from the #writingcommunity, so let's stay connected. Show your s…"
2019-10-21 09:27:17,@lyv0n Middle-earth
2019-10-21 09:24:07,"Collosal clouds above us, mountain like. So big, never eating us whole. What if, one day, the world turns upside do… https://t.co/WKjvUI3Igv"
2019-10-20 17:45:30,@byMorganWright https://t.co/AVLWbynWwW
2019-10-20 13:33:20,RT @WrtrStat: Never compare your first writing draft to another author’s published novel. They are two different things. #amwriting Be Writ…
2019-10-16 16:24:05,"RT @byMorganWright: A little reminder for ALL writers:  If you’re reading this, you should be writing!!  (i.e. get off of Twitter, you rasc…"
2019-10-16 04:46:47,"93% done with Daughter of Smoke &amp; Bone, by Laini Taylor https://t.co/K8erltEG59"
2019-10-15 20:10:44,"On page 307 of 623 of A Storm of Swords, by George R.R. Martin https://t.co/r3mxYjuNbu"
2019-10-14 14:03:40,"85% done with Daughter of Smoke &amp; Bone, by Laini Taylor https://t.co/VOPcygXx7M"
2019-10-13 08:27:53,"73% done with Daughter of Smoke &amp; Bone, by Laini Taylor https://t.co/9MBKaBvFH2"
2019-10-12 16:15:53,"On page 296 of 864 of Outlander, by Diana Gabaldon https://t.co/ErTOXn3jpf"
2019-10-10 11:14:02,@stone4031 @CK_Ruppelt https://t.co/Eg4nYK3dOi
2019-10-06 16:25:18,@byMorganWright https://t.co/qCYMINX8GG
2019-10-05 18:01:40,RT @PFDonato: #writingcommunity #writerscommunity #5amwritersclub #writersnetwork #writer #author #writerslife #amwriting #amediting #writi…
2019-10-05 18:00:53,@byMorganWright https://t.co/6dbmBpndKY
2019-09-30 15:51:06,"On page 243 of 864 of Outlander, by Diana Gabaldon https://t.co/JoRbuALVWo"
2019-09-29 19:35:27,RT @thelaceylondon: Who else agrees with me?  #amwriting #amreading #SundayThoughts https://t.co/PHUZdmb8oF
2019-09-29 15:32:51,To dream all the time is better than being awake. But life is like sleep too. There are nightmares and times where… https://t.co/zlFZaVWrXO
2019-09-28 14:24:13,RT @byMorganWright: Painfully relatable...😂  #writerslife #amwriting https://t.co/6ApCzXfBYo
2019-09-28 09:38:12,@EirinKidsBooks 😴☕️ https://t.co/tbCQ1wXKjA
2019-09-27 17:11:25,RT @RWoodsFiction: Anatomy of a Bookworm  Truth Story  #writerlife https://t.co/zaaOqT78Lx
2019-09-27 17:09:24,@byMorganWright 😭😭🍄😭😭 https://t.co/UmJ4oWPQrB
2019-09-27 17:01:08,"RT @goodreads: What was the last book sentence that left you ""sentranced""? (via @Powells) https://t.co/G8OCY5BV5k"
2019-09-27 14:03:11,@SunIslandMusic @bettina_bosch @stanleygauthor @PearsonPoetry @honeycakebooks @silicasun @olgagibbsauthor… https://t.co/tjrlPoADAe
2019-09-27 11:00:46,RT @agletterman: Can you share with us the name of your favorite fictional character?  Mine is Arya Stark :) #WritingCommunity #Amwriting #…
2019-09-27 11:00:42,@agletterman It's too damn hard to choose only one. https://t.co/mj1S4rLmJo
2019-09-26 07:02:53,RT @PFDonato: #writingcommunity #writerscommunity #5amwritersclub #writersnetwork #writer #author #writerslife #amwriting #amediting #writi…
2019-09-23 19:59:11,"On page 316 of 406 of The Serpent's Shadow, by Rick Riordan https://t.co/dfHIC2GfKo"
2019-09-22 08:13:54,@agletterman https://t.co/72z3are2Ka
2019-09-21 21:35:15,RT @veschwab: The scariest thing in the world. https://t.co/05opRgNVEZ
2019-09-21 17:24:04,RT @StephenKing: Gonna take care of that vaping so young users don't get hurt. Maybe take care of those school shooter guns next?
2019-09-21 16:31:20,@byMorganWright https://t.co/eZRABI83wA
2019-09-21 15:59:03,@Mitsutan1 🤣
2019-09-21 15:57:43,@Mitsutan1 Sorry
2019-09-21 15:57:17,@Mitsutan1 Aparentemente ninguém 🤣🤣🤣🤣
2019-09-20 10:42:40,@AmandaAuthors https://t.co/jlYLireIHY
2019-09-20 10:42:03,"RT @AmandaAuthors: Be selfish with your writing time. You’re worth it, and your readers are waiting. #writingcommunity https://t.co/iPgrsZ6…"
