timestamp,tweet_text
,aka #SJackson Member #SCBWI & #ASMSG #ChildrensBooks #ChildhoodCancer #IAN1 #CR4U @TatteredCover #IARTG #Christian #WhenAngelsFly #MSchmidtProductions,
2019-11-13 22:37:05,RT @UviPoznansky: Read ❤♡ SPECIAL AGENT FINNEGAN ♡❤ by @MimiBarbour #99cents #Assassination #Suspense https://t.co/kRvZo5fqAc ... https://t…
2019-11-13 22:37:01,"RT @LesleyEames: 'A fabulous, fabulous read.' Books and Authors UK  1920s Brighton. Can Thea, Anna and Daisy join forces to right wrongs an…"
2019-11-13 22:36:59,RT @KatieMettner: Will Christmas Eve give Trey &amp; Allison a reason to celebrate a life full of possibilities? https://t.co/lsXQIcTxrq #KU #C…
2019-11-13 22:36:56,RT @BeemWeeks: -Since I've Been Loving You- Guitar Cover by Ayla https://t.co/FbNvL9JZMP via @YouTube This girl can play! #LedZeppelin #Mus…
2019-11-13 22:36:54,"RT @thelaceylondon: TWITTER, I NEED YOUR HELP!  My mission is to give away as many FREE copies of my book as possible!  🥳🎄🎉  Please RT &amp; he…"
2019-11-13 22:36:51,RT @d_ast777: Which literature (For whom the bells toll) do you prefer?  (Ernest Hemingway in the right side pic)  -DAVID https://t.co/384T…
2019-11-13 22:31:42,"RT @JessieBTyson: ^ SEVENTH DAUGHTER⚜️► https://t.co/7bpteXPxD3 w #Recipe ""We were alone yet a man appeared behind the couch. Auntie could…"
2019-11-13 22:29:41,"#99cents ""Abuse, heartache, love and losing a child. Never did she give up on love."" #ASMSG #BookLover… https://t.co/V3qSb8f49h"
2019-11-13 22:29:10,RT @sandrajeffs1: Listen to this great new song. Pretty Roses - Raquel Aurilia (Official Video) https://t.co/LVmaYcEJmu via @YouTube
2019-11-13 22:29:08,"RT @LPOBryan: Theo travels to the Emerald City to break the curse on a cute Scarecrow girl so that he can get laid. Unfortunately, the Wick…"
2019-11-13 22:29:04,RT @maralmok: the first of the headshots commissions list you did a lot I didn't draw planets I liked the result Art (c) Me  #dragon #black…
2019-11-13 22:26:16,RT @PMOsborneWriter: A great review for #familysaga #HouseofGrace in the latest issue of #Ingenu/e Magazine.   Fancy stepping back to the #…
2019-11-13 22:26:11,"RT @AndieMerchak: Do you enjoy reading indie authors books? Great! Then, please, leave us a review. It gives us visibility and more readers…"
2019-11-13 22:26:07,RT @bettinaschroed5: @salvadorpano ❤🎉❤🎉❤Happy Birthday❤🎉❤🎉❤ Dearest 🌹Salvador😘may only💚Happy💚and🌠🌠🌠  🌹Charmy🌹Hours🍀❤Love❤and💙Peace💙on ✨🌠✨Yo…
2019-11-13 22:25:57,"RT @anne_camozzi: ""I have had more than half a century of such happiness. A great deal of worry and sorrow, too, but never a worry or a sor…"
2019-11-13 22:25:45,"RT @DanielMalAuthor: Honey Lavender-glazed salmon made with my Tovala Oven crested by Graham Elliot, award-winning chef and Top Chef judge.…"
2019-11-13 22:25:38,"RT @M_K_Chester: TO INFINITY AND BEYOND! Check out this KU group to find new books and authors in sci-fi, dystopian and more. FEATURING ICE…"
2019-11-13 22:24:57,RT @INDIEBOOKSOURCE: EYES PRIED OPEN https://t.co/7qVL25tghK AUTHOR JIM YACKEL Genre: Christian/Fiction/Suspense/Thriller  #Books #IARTG #K…
2019-11-13 22:24:32,RT @JudyandKeith: Looking 4 a perfect Holiday gift? Pick a collection of #shortstories for children of all ages In paperback &amp; eBook Kindle…
2019-11-13 22:24:12,RT @ASchenna: #Books2Read #KindleUnlimited #RomanceReaders #Can'tLetGo #LoveStories @Solsticepublish https://t.co/yO6AiDYRPW https://t.co/F…
2019-11-13 22:24:06,"RT @AuthorMBTosi: In the 1770s, a quiet spinster is puzzled by the pursuit of a handsome soldier. https://t.co/QkaHnj7xpP"
2019-11-13 22:24:02,"RT @BrianRathbone: When I edit my work, I pretend someone else wrote it. This helps me be absolutely brutal without taking it personally."
2019-11-13 22:23:59,"RT @Bestdietbook: Attention Wine Lovers! Yes! You can still drink wine on this plan! ""Learning How To Eat (Again)"" https://t.co/OOZSMOckGr…"
2019-11-13 22:23:51,RT @Pat_McDermott: A singing session in the pub leaves Andy in need of a break. He invites Suzanne to step outside with him. Would she hit…
2019-11-13 22:23:44,"RT @paul_cude: ""Shall I put you out of your misery, before I put you out of your misery?"" Non-stop dragontastic action in this gripping #Yo…"
