timestamp,tweet_text
,#Catholic. Birthday is really baptism date. Jesus Christ is my Lord and my God. Woke is the work of Satan. Climate Change is a hoax.,
2019-11-13 01:15:37,RT @H2oVolk: One of these two is a delusional self absorbed fraud pretending to be something they aren't and doing a horrible job at it...…
2019-11-13 01:10:21,"RT @Carolin80951797: I pray for all those who are suffering from painful leg uclers, which are taking a long time to heal. God bless them."
2019-11-13 00:59:49,RT @Patriqtscott: NO. WHAT'S OFFENSIVE is people moving into our country and expecting us to change our traditions. We have no laws prevent…
2019-11-13 00:56:45,RT @davidgmac9: I would appreciate if you could say a prayer for me. I’m going through a very difficult time so I would be very grateful fo…
2019-11-13 00:56:25,"RT @disciple96: “Oh, how great a grace it is to have a spiritual director! One makes more rapid progress in virtue, sees the will of God mo…"
2019-11-13 00:56:12,@Mrcheese671 @TheyCallMeTomO1 @thewriterme All politics is fiction.
2019-11-13 00:49:27,"RT @aChristianHnau: If it weren't for the internet, I probably would have never discovered the Rosary.  Probably wouldn't have learned how…"
2019-11-13 00:47:29,RT @3AcornNuts: @TypoDynamofo @MikeJade757 Prayers offered.
2019-11-13 00:27:10,RT @TypoDynamofo: My beautiful daughter has checked herself into the hospital because she was afraid she hurt herself. I would appreciate y…
2019-11-13 00:26:33,"RT @disciple96: “I heard a few of the words that the Mother of God spoke to him [i.e., my confessor] but not everything. The words were: I…"
2019-11-12 03:09:22,RT @EschmanRick: @MikeJade757 Got the M16 after 3 months in country. What a difference. But can u  imagine if we had what’s available today…
2019-11-12 01:25:45,@EschmanRick I like the weapons that THE SEAL TEAM tv series use. 😉😉 M4?
2019-11-12 01:23:58,@1RicoMarine Thanks to all the veterans during #DesertStorm - I am proud to have done my part. https://t.co/L4ahY4Vbh8
2019-11-12 01:16:51,RT @LankLondon: WAKE UP AMERICA .. #TruthToLight  https://t.co/cQowzpPKk6
2019-11-11 22:43:33,@EschmanRick Yeah. I bet. I was issued a M14 after the M1 in early 60’s. The M16 was used in Vietnam and lighter .223
2019-11-11 15:38:33,@TaylorRMarshall I am still giving monthly for the appeal a few years ago.
2019-11-11 15:36:17,@DouayRheims I have friends and family that are not believes.  EWTN aired an episode with Father Groeschel on this… https://t.co/pYzzyiu3mD
2019-11-11 15:29:15,@DouayRheims During the Homily our Priest said he asked the school children what is Purgatory. One answered. It’s l… https://t.co/50GffQ5ZlM
2019-11-11 15:22:46,Happy Veteran’s Day to all who served and are still serving. US Army 1962-68. #VeteransDay. May God Bless each. https://t.co/JHabD3RFpF
2019-11-11 15:15:46,@EschmanRick @species_x Thank you for your service. Holding an M14 I see.
2019-11-11 14:48:04,RT @CBSSunday: Nikki Haley: I was asked by Cabinet members to take sides against the president https://t.co/SvC9eESAUs https://t.co/uHQGHMF…
2019-11-11 00:34:17,"RT @disciple96: “Once, Jesus said to me, My gaze from this image is like My gaze from the cross.” Diary, 326  #3OClockPrayer #DivineMercy F…"
2019-11-11 00:23:45,RT @America1stTiger: Breaking News - The Public School System in America today.  Watch as this teacher absolutely destroys this child. Than…
2019-11-10 23:19:36,RT @colinflaherty: Popeyes chicken sandwich. With a side of old white lady violence. https://t.co/oFmHsxeT6l
