timestamp,tweet_text
,"I'm a writer, vlogger, and filmmaker, and hopefully someday I'll do one of those for a living.",
2019-11-09 14:31:37,4 of 5 stars to The Bell Jar by Sylvia Plath https://t.co/OShFiH0Ikl
2019-11-04 14:04:10,4 of 5 stars to Invisible Man by Ralph Ellison https://t.co/ykk75UJCYI
2019-06-05 12:43:29,5 of 5 stars to On Writing by Stephen King https://t.co/7TWiR0doFN
2019-05-17 14:22:02,The Problem with the Abortion Debate https://t.co/bgmVGU8sy9
2019-04-08 21:45:26,As a parent my only question is “is she old/big enough to be in the front seat?” https://t.co/kBmz9fHwUd
2019-04-08 21:42:56,@dickfundy You don’t want to see the Alice/Dorothy extended universe? I’m just wondering who else would fit in there.
2019-04-07 13:38:40,@halsey When I was a kid my mother and sister got short haircuts and someone asked my Dad how he could “let them” h… https://t.co/GIrXlGJf2R
2019-04-07 13:31:53,"@raycomfort the term “take down” very often refers to parody and not censorship, just as the term “send up” does, a… https://t.co/7NClCdgZzp"
2019-02-26 03:27:48,3 of 5 stars to The Restaurant at the End of the Univ... by Douglas Adams https://t.co/P1n4MVLhZ9
2019-02-09 16:19:30,"@TheLEGOMovie my 2 year old wants to see the “tiny” LEGO movie, as opposed to the Duplo movie..."
2019-01-31 02:26:36,BACK TO FILM SCHOOL: B-Roll and Inserts: https://t.co/RriJYSZ16d via @YouTube
2019-01-31 02:26:28,I added a video to a @YouTube playlist https://t.co/RriJYSZ16d BACK TO FILM SCHOOL: B-Roll and Inserts
2019-01-23 14:43:51,Chocolate Diamond Media Channel Trailer 2019: https://t.co/xYQ9zwhyl9 via @YouTube
2019-01-17 03:31:06,Back to Film School: Screenwriting tips!: https://t.co/cmwBPnzYF3 via @YouTube
2019-01-17 03:09:52,I added a video to a @YouTube playlist https://t.co/cmwBPnzYF3 Back to Film School: Screenwriting tips!
2019-01-12 02:57:33,"@tatianamaslany my wife and I have been binging Orphan Black, and it’s so impressive how much it feels like all the… https://t.co/QA1ZlX9vx5"
2019-01-09 14:55:36,"VLOGGING in Space! (A ""Daily"" VLog from outside the Milky Way): https://t.co/DXj4TOfddF via @YouTube"
2019-01-04 23:19:36,I added a video to a @YouTube playlist https://t.co/zXd4paUBgq Norm Macdonald on Joe Rogan and his Squad
2019-01-03 00:16:37,Why I'm Ditching Final Cut Pro X: https://t.co/2knHgvrEho via @YouTube
2019-01-03 00:02:57,I added a video to a @YouTube playlist https://t.co/2knHgva2SO Why I'm Ditching Final Cut Pro X
2019-01-02 17:19:55,@PatrickGilmore you were even better in season 3 than season 2 of Travelers! Seriously my favorite character on TV!
2018-12-26 15:30:11,Transforming the Faith: Bloopers: https://t.co/Iebz1UEX59 via @YouTube
2018-12-19 14:03:53,Transforming the Faith: https://t.co/9YMYHk8V9P via @YouTube
