timestamp,tweet_text
,"love urban fantasy, romance, mystery, thriller, regency romance, horror- will review for blog http://t.co/F3NFMSh0uV",
2019-11-12 02:35:00,2 of 5 stars to A Highland Ghost for Christmas by Jo-Ann Carson https://t.co/8IDkH4eBTe
2019-11-09 19:06:59,4 of 5 stars to One Foot in the Grave by Jeaniene Frost https://t.co/ktnbLls9Ds
2019-11-07 23:11:06,5 of 5 stars to Halfway to the Grave by Jeaniene Frost https://t.co/ZoVErNuZEh
2019-10-30 02:14:24,5 of 5 stars to Shattered Bonds by Faith Hunter https://t.co/CzZQzgjX9C
2019-08-12 22:51:03,5 of 5 stars to Junkyard Dogs by Craig Johnson https://t.co/rJ5edAH063
2019-08-12 02:31:23,5 of 5 stars to Circle of the Moon by Faith Hunter https://t.co/71t4FOhCuK
2019-08-05 01:35:55,4 of 5 stars to The Rogue Is Back in Town by Anna Bennett https://t.co/k3tUg1DyLH
2019-07-29 23:21:25,"Check out this quote. ""“Time is a precious commodity, Lord Travis. Wasting it is akin to throwing guineas into th... https://t.co/gr7M7OkVPH"
2019-07-28 23:34:49,5 of 5 stars to The Earl and His Lady by Sally Britton https://t.co/FmcGhvrOGl
2019-07-28 16:19:25,5 of 5 stars to The Gentleman Physician by Sally Britton https://t.co/f25mxJ8uIz
2019-07-28 01:16:14,5 of 5 stars to A Ritual of Fire by J.L. Hendricks https://t.co/KmTAx8qbfo
2019-07-26 18:28:44,5 of 5 stars to Clean Sweep by Ilona Andrews https://t.co/fNuzrZJ1Af
2019-07-24 03:21:02,"75% done with Clean Sweep, by Ilona Andrews https://t.co/QVRi0rQ0TU"
2019-07-23 01:08:16,I read Cunning Devil by Chris Underwood https://t.co/awFUUhq77E
2019-07-16 01:59:09,3 of 5 stars to The Medical Examiner by James Patterson https://t.co/SPqMfFkg64
2019-07-11 22:26:36,5 of 5 stars to If I Stay by Gayle Forman https://t.co/AFPdhQjy0E
2019-07-07 00:32:29,"75% done with A Killer Among Us, by Lynette Eason https://t.co/LRd9pmHknG"
2019-07-04 14:37:50,3 of 5 stars to His Exception by Nia Arthurs https://t.co/epcQa22m7t
2019-07-04 03:08:19,4 of 5 stars to Lord Worthing's Wallflower by Michelle Morrison https://t.co/iy5VWvgPmq
2019-06-29 17:25:54,I read His Exception by Nia Arthurs https://t.co/jbfNeUDLUN
2019-06-29 01:22:41,5 of 5 stars to Dane Curse by Matt Abraham https://t.co/evjtZRwtMp
2019-06-26 02:42:21,5 of 5 stars to Fire Season by Stephen Blackmoore https://t.co/eDy6MxrsDO
2019-06-23 03:30:49,4 of 5 stars to Cold Hard Steele by Alex P. Berg https://t.co/AWVhjvhoPf
2019-06-22 03:43:46,5 of 5 stars to Dagger to the Heart by Alex P. Berg https://t.co/5o895nkMah
2019-06-17 02:37:02,4 of 5 stars to Red Hot Steele by Alex P. Berg https://t.co/eixNep3Av8
2019-06-14 22:32:10,4 of 5 stars to Wrath of the Goddess by Lauren Dane https://t.co/0frnkj2bOI
2019-06-13 01:09:54,3 of 5 stars to Even Tree Nymphs Get the Blues by Molly Harper https://t.co/gOiWKbZVmf
2019-06-06 00:49:12,3 of 5 stars to Bodacious Creed by Jonathan Fesmire https://t.co/LcKefT1iku
2019-06-02 00:35:30,5 of 5 stars to Fire Season by Stephen Blackmoore https://t.co/WdjUkJ13Ep
2019-05-30 01:13:22,4 of 5 stars to Invisible Heroes of World War II by Jerry Borrowman https://t.co/J2LC7pkgbw
2019-05-27 15:00:15,4 of 5 stars to Invisible Heroes of World War II by Jerry Borrowman https://t.co/VAOnhrbwNp
2019-05-27 14:26:11,4 of 5 stars to Securing Caite by Susan Stoker https://t.co/eFeWI7IUOh
2019-04-29 23:58:59,4 of 5 stars to Devil's Due by Percival Constantine https://t.co/Bf5W8Ln4DU
2019-04-21 01:11:17,4 of 5 stars to SEAL Together by Maryann Jordan https://t.co/EswWj3A36G
2019-04-19 15:11:05,5 of 5 stars to Gambled by Cristin Harber https://t.co/QRQs2FNJqb
2019-04-17 16:47:40,5 of 5 stars to Necropolis Pd by Nathan Sumsion https://t.co/FFj3dOME8T
2019-04-15 21:07:41,3 of 5 stars to Accidental SEAL by Sharon Hamilton https://t.co/6Mzn45UlIZ
2019-04-15 20:35:49,4 of 5 stars to Winters Heat by Cristin Harber https://t.co/K1iHouvMPn
2019-04-10 18:55:29,4 of 5 stars to Vermilion Lies by L.D. Rose https://t.co/k3qqfASItV
2019-04-08 03:06:35,5 of 5 stars to Necropolis Pd by Nathan Sumsion https://t.co/FFj3dOME8T
2019-04-07 14:09:57,5 of 5 stars to Junkyard Druid by M.D. Massey https://t.co/gy7UuToVAd
2019-04-04 19:57:29,3 of 5 stars to Phantom Shadows by Dianne Duvall https://t.co/0yoe9WWeyl
2019-03-31 04:57:15,5 of 5 stars to Demon Bewitched by Jenn Stark https://t.co/Hse8a9d4LQ
2019-03-26 15:31:20,3 of 5 stars to Hidden Away by Maya Banks https://t.co/9H6KWawpgj
2019-03-26 14:29:07,5 of 5 stars to Circle of the Moon by Faith Hunter https://t.co/RXvZxaCIzw
2019-03-19 16:05:58,I read Phantom Shadows by Dianne Duvall https://t.co/OXF0eWExdJ
2019-03-16 04:32:17,I read Naked in Death by J.D. Robb https://t.co/sXX2xMQC6L
2019-03-10 20:42:52,@craig_schaefer Uh huh....sure.  FAMILY will love it.  Anyone else see through this?
2019-03-10 16:21:54,4 of 5 stars to The Captain's Wallflower by Audrey Harrison https://t.co/nfXyFuGvHf
2019-03-09 00:05:37,5 of 5 stars to Connections in Death by J.D. Robb https://t.co/wexcjjmEvR
2019-02-12 20:07:57,5 of 5 stars to Twice Tempted by Jeaniene Frost https://t.co/H2M20A7fyq
2019-02-12 16:47:56,"81% done with Twice Tempted, by Jeaniene Frost https://t.co/stezztd6Ss"
2019-01-23 02:39:37,"5 of 5 stars to Mr. Hunt, I Presume by Valerie Bowman https://t.co/nKOmMBOMAY"
2019-01-21 01:43:10,5 of 5 stars to Healing Hearts by Sarah M. Eden https://t.co/3PJWcjV2JJ
2019-01-19 02:45:14,5 of 5 stars to Lipstick Voodoo by Kristi Charish https://t.co/VJulEnBrSD
2019-01-12 15:22:33,"Check out this quote. ""Lee made a derisive noise. “Never mind that two families, the Bushes and Clintons, have ap... https://t.co/MIy91FfS4D"
2019-01-11 18:50:22,Marked as to-read: Graves of Wrath by Lina Gardiner https://t.co/cu8A3nBekF
2019-01-10 03:25:19,5 of 5 stars to The Phoenix Illusion by Lisa Shearin https://t.co/Ittlk5EFZ7
2019-01-10 02:54:36,4 of 5 stars to Restless Nights by Morgan Brice https://t.co/Lr27xcdWGh
2019-01-06 23:40:02,5 of 5 stars to SEAL Strong by Cat Johnson https://t.co/r7TySeSEnt
2019-01-06 17:09:23,4 of 5 stars to Restless Nights by Morgan Brice https://t.co/7oF0LBrX8e
2019-01-06 02:28:15,3 of 5 stars to Angels' Blood by Nalini Singh https://t.co/LwbCeRXreu
2019-01-01 19:54:46,3 of 5 stars to First Noelle by Delia Latham https://t.co/rOfM5bjvwl
2018-12-29 20:32:56,"Starting The Earl and His Lady, by Sally Britton https://t.co/0h0VCKv2n0"
2018-12-29 01:58:05,4 of 5 stars to Second Chance Christmas by Kristin Wallace https://t.co/NGFiYzzD3F
2018-12-28 16:37:17,4 of 5 stars to How the Dukes Stole Christmas by Tessa Dare https://t.co/y71hh6BgmD
2018-12-27 00:34:02,4 of 5 stars to The Second Chance Groom by Taylor Hart https://t.co/UcQDDolNNH
2018-12-15 03:58:59,5 of 5 stars to Christmas with the Kings by Kris Michaels https://t.co/QtjFy5yRNb
2018-12-14 14:56:16,5 of 5 stars to Spirited Christmas by Gary Jonas https://t.co/AX20KS06Vi
2018-12-05 18:00:47,RT @HunterFaith: Preorder a signed copy of CIRCLE OF THE MOON! https://t.co/uGW0C7dQnc https://t.co/uGW0C7dQnc
2018-12-04 01:16:50,"Check out this quote. ""Humans had an unfortunate tendency to go all torchy and pitchforky when they discovered in... https://t.co/oFGnolFCJw"
2018-10-31 20:07:41,4 of 5 stars to Justice for Mackenzie by Susan Stoker https://t.co/JnH51EzIWL
2018-10-28 02:42:22,5 of 5 stars to Rescuing Mary by Susan Stoker https://t.co/hRWURP7iZ0
2018-10-09 03:37:02,I read The Visconti Devils by Ria Dimitra https://t.co/9XhOCotWyG
2018-10-07 22:09:26,5 of 5 stars to Basic Embroidery Stitches by H.L. https://t.co/lOxVQbFbXW
2018-10-02 22:34:15,4 of 5 stars to Protecting Kiera by Susan Stoker https://t.co/KN8vxuNT7s
2018-09-28 22:19:31,5 of 5 stars to Basic Embroidery Stitches by H.L. https://t.co/lOxVQbFbXW
2018-08-22 16:14:24,5 of 5 stars to Call of the Wilde by Jenn Stark https://t.co/hnkszgPlxw
2018-08-22 15:34:01,5 of 5 stars to Promises and Primroses by Josi S. Kilpack https://t.co/NgINnZpzkr
2018-08-21 18:09:15,5 of 5 stars to Demon Unbound by Jenn Stark https://t.co/0QzIjvL1zO
2018-08-21 17:12:22,5 of 5 stars to Demon Unbound by Jenn Stark https://t.co/qekqmqKgtA
2018-08-15 16:41:17,5 of 5 stars to Sloan by Teresa Gabelman https://t.co/Yj50b09DYh
