timestamp,tweet_text
,"CEO, MedCost, Inc.",
2019-11-09 18:57:03,4 of 5 stars to About Alice by Calvin Trillin https://t.co/TOmU3i02c4
2019-11-09 09:16:21,4 of 5 stars to The Year of Magical Thinking by Joan Didion https://t.co/cttnH3zU4m
2019-11-05 14:32:55,5 of 5 stars to Maya Angelou by Maya Angelou https://t.co/dxlGyXZzhu
2019-11-05 03:39:41,4 of 5 stars to A Widow's Story by Joyce Carol Oates https://t.co/n3s0DnukvD
2019-10-25 03:53:27,5 of 5 stars to When Breath Becomes Air by Paul Kalanithi https://t.co/fMra14qpSf
2019-10-23 15:26:53,5 of 5 stars to The Haunting of Hill House by Shirley Jackson https://t.co/OXwM2McqZa
2019-10-20 07:21:19,4 of 5 stars to A Grief Observed by C.S. Lewis https://t.co/gooqilREl5
2019-10-09 10:15:22,5 of 5 stars to Grief 2 Growth by Brian D Smith https://t.co/pJ9qyPkqA3
2019-09-11 07:14:21,3 of 5 stars to Conversations with Friends by Sally Rooney https://t.co/ml64NndFvQ
2019-09-04 14:17:38,4 of 5 stars to Beartown by Fredrik Backman https://t.co/TD6XYxMVtu
2019-08-20 18:19:22,5 of 5 stars to The House of Broken Angels by Luis Alberto Urrea https://t.co/p7KE5r24th
2019-08-09 08:48:10,"RT @amightygirl: Community Pick: The Anxiety Workbook for Teens, Lisa M. Schab. One in three teens struggles with feelings of anxiety, fear…"
2019-08-03 18:16:19,4 of 5 stars to The Tea Girl of Hummingbird Lane by Lisa See https://t.co/i7eyTxGLLI
2019-07-23 17:51:39,3 of 5 stars to Pet Sematary by Stephen King https://t.co/IyBNOSvqEf
2019-07-20 19:05:28,"RT @amightygirl: Girls' self-confidence often drops after puberty, but parents can help empower girls so they are ready for the challenges…"
2019-07-18 09:42:23,Hands down the best (and most entertaining) travel videos available! Check them out! https://t.co/Gv2BtGrR7i
2019-07-18 09:39:09,@woltersworld Congratulations! We recommend you to all of our friends and fellow travelers!
2019-07-15 02:41:09,4 of 5 stars to Circe by Madeline Miller https://t.co/Yt7MHNzP9v
2019-06-23 11:21:01,4 of 5 stars to In the Shadow of Statues by Mitch Landrieu https://t.co/JLlVUtn31D
2019-06-10 00:29:46,4 of 5 stars to Small Great Things by Jodi Picoult https://t.co/kdWVj5bdEO
2019-06-07 09:25:04,2 of 5 stars to Futureface by Alex Wagner https://t.co/c2p2bXpxDj
2019-05-28 00:16:22,"Read my 5-star review of An Odyssey: A Father, a Son, and an Epic by Daniel Mendelsohn  https://t.co/AKbkvkHuLu"
2019-05-03 11:34:34,"RT @amightygirl: Pick of the Day: What To Do When You Worry Too Much, Dawn Huebner. This excellent workbook helps kids ages 6 to 12 underst…"
2019-04-30 12:56:35,5 of 5 stars to Nanaville by Anna Quindlen https://t.co/bce9Rh1bQN
2019-04-29 15:46:09,4 of 5 stars to The Case Against Sugar by Gary Taubes https://t.co/dVIHVKomyj
2019-04-18 17:28:49,4 of 5 stars to Unsheltered by Barbara Kingsolver https://t.co/q639CvwiBY
2019-04-09 12:08:47,4 of 5 stars to Brotopia by Emily Chang https://t.co/k6lmiK4IG0
2019-04-02 10:48:16,4 of 5 stars to The Grid by Gretchen Bakke https://t.co/IVpB6ci2RG
2019-03-29 13:44:08,4 of 5 stars to Lincoln in the Bardo by George Saunders https://t.co/5bXWMZ3jwR
2019-03-28 02:21:16,5 of 5 stars to Beloved by Toni Morrison https://t.co/3jERGH8af6
2019-03-25 18:46:34,4 of 5 stars to Where the Crawdads Sing by Delia Owens https://t.co/o4quHgp5g8
2019-03-22 20:19:49,5 of 5 stars to Leadership by Doris Kearns Goodwin https://t.co/cW3xKn9VXw
2019-03-18 19:39:10,5 of 5 stars to The Power by Naomi Alderman https://t.co/mw85qyJ4lA
2019-03-17 16:27:20,RT @amightygirl: Women's history IS history! Fill your bookshelves with women's stories with the books in our blog post. #WomensHistoryMont…
2019-03-17 16:26:53,RT @amightygirl: Kalpana Chawla. the first Indian-American astronaut and first Indian woman in space. was born #OnThisDay in 1962. The aero…
2019-03-01 02:45:22,3 of 5 stars to Vox by Christina Dalcher https://t.co/pZOUuLw35Y
2019-02-26 14:43:31,5 of 5 stars to Americanah by Chimamanda Ngozi Adichie https://t.co/BS9ppjWVwG
2019-02-22 12:56:15,RT @ndimichino: This is wild https://t.co/HKZkPTaSsb
2019-02-13 19:32:22,5 of 5 stars to We Were the Lucky Ones by Georgia Hunter https://t.co/UtbNg0IBur
2019-02-10 15:37:56,@goodreads It wasn’t his plan to stay up all night.
2019-01-29 14:26:51,"4 of 5 stars to Baby, You're Gonna Be Mine by Kevin Wilson https://t.co/ZhYVU4jHub"
2019-01-26 02:03:01,4 of 5 stars to The Line Becomes A River by Francisco Cantú https://t.co/kDKuWNPC7y
2019-01-24 10:26:48,RT @amightygirl: It's more important than ever to teach our kids empathy and compassion. Here are some of our favorite children's books tha…
2019-01-23 16:31:13,RT @chefjoseandres: BIG news! In the next 48 hours #ChefsForFeds restaurants and food trucks are activating across the nation!! https://t.c…
2019-01-20 21:25:50,5 of 5 stars to The Hate U Give by Angie Thomas https://t.co/Fv21K8RnAx
2019-01-20 09:14:04,5 of 5 stars to Heart by Sandeep Jauhar https://t.co/t5ZIBAWJNk
2019-01-09 14:09:10,4 of 5 stars to The Tattooist of Auschwitz by Heather Morris https://t.co/sTz7QpHLJb
2019-01-06 03:29:29,2 of 5 stars to A Vintage Christmas by Various https://t.co/mOmkBFNEzP
2019-01-03 02:45:02,3 of 5 stars to A Vintage Christmas by Various https://t.co/mOmkBFNEzP
2019-01-03 01:01:06,4 of 5 stars to There Will Be No Miracles Here by Casey Gerald https://t.co/FQcSmPhEBv
2018-12-27 13:52:51,4 of 5 stars to Shade by Pete Souza https://t.co/GUpsDCjlfH
2018-12-22 19:58:11,5 of 5 stars to Becoming by Michelle Obama https://t.co/rm0YzuZV17
2018-11-25 19:20:01,3 of 5 stars to Less by Andrew Sean Greer https://t.co/cps5PNNpzX
2018-11-24 15:41:29,5 of 5 stars to Miracle on 34th Street by Valentine Davies https://t.co/t1k9Q1bhPy
2018-11-21 22:21:29,4 of 5 stars to Beloved by Toni Morrison https://t.co/3jERGH8af6
2018-11-15 03:53:45,3 of 5 stars to A Separation by Katie Kitamura https://t.co/6rNoTnDEYh
2018-11-03 15:14:42,I voted for my favorite nominees in the 2019 Fan Vote presented by Klipsch Audio #RockHall2019  https://t.co/FoBKXrRQs7
2018-11-02 01:55:27,4 of 5 stars to Elevation by Stephen King https://t.co/hX9vAlX0Ou
2018-10-31 12:14:48,RT @amightygirl: Wise words from Eleanor Roosevelt. You can find resources to encourage kids to build compassion - and put it in action - a…
2018-10-30 12:41:48,5 of 5 stars to The Haunting of Hill House by Shirley Jackson https://t.co/OXwM2McqZa
2018-10-29 11:24:12,"RT @amightygirl: Pick of the Day: I Walk With Vanessa, Kerascoët. This wordless picture book teaches a powerful message about empathy, kind…"
2018-10-27 14:13:11,5 of 5 stars to The Lottery by Shirley Jackson https://t.co/MxgmgjbXeM
2018-10-27 03:45:56,5 of 5 stars to The Turn of the Screw by Henry James https://t.co/EJRyDRT9lF
2018-10-20 11:55:44,5 of 5 stars to American Wolf by Nate Blakeslee https://t.co/9zj9GWxoEL
2018-10-11 16:21:57,MedCost provides an outsource purchasing solution that saves our clients significant dollars and valuable staff tim… https://t.co/VPxIKLDKpR
2018-10-11 16:19:08,Supply Chain solutions servicing the non-acute market https://t.co/wS4b37jjXE https://t.co/OUUICF55bO
2018-09-30 23:29:55,4 of 5 stars to An American Marriage by Tayari Jones https://t.co/pQ56fnd5xA
2018-09-21 12:44:48,4 of 5 stars to Earning the Rockies by Robert D. Kaplan https://t.co/cC24oVTrtq
2018-09-17 14:31:40,https://t.co/pPl1jl5pY5
2018-09-03 21:12:51,4 of 5 stars to Housekeeping by Marilynne Robinson https://t.co/llEHi8osJo
2018-08-29 10:02:24,4 of 5 stars to The Restless Wave by John McCain https://t.co/OJDVgAdewk
2018-08-21 15:32:34,4 of 5 stars to Heartburn by Nora Ephron https://t.co/tIwBhua5q7
2018-08-17 22:02:49,3 of 5 stars to The Curious Incident of the Dog in th... by Mark Haddon https://t.co/ONgg46Cry8
2018-08-15 00:02:57,4 of 5 stars to The Outsider by Stephen King https://t.co/pAr7uMn0RS
2018-08-09 01:54:35,4 of 5 stars to What It Means When a Man Falls from t... by Lesley Nneka Arimah https://t.co/6wT0fKjyb4
2018-08-03 22:02:41,4 of 5 stars to Pachinko by Min Jin Lee https://t.co/RY4Hjv46xv
2018-07-27 00:43:00,4 of 5 stars to Year of Wonders by Geraldine Brooks https://t.co/HZM7A5KJlC
2018-07-06 04:30:36,4 of 5 stars to Duma Key by Stephen King https://t.co/Chn9HNlvwP
2018-06-24 16:07:16,4 of 5 stars to Less by Andrew Sean Greer https://t.co/cps5PNNpzX
2018-06-22 01:46:03,"Norman Rockwell, The Golden Rule, 1961 https://t.co/eC589xuTji"
2018-06-20 19:14:32,RT @MichelleObama: Sometimes truth transcends party. https://t.co/TeFM7NmNzU
2018-06-20 15:49:12,@SteveSchmidtSES Respect
2018-06-08 17:11:30,"RT @BarackObama: “Low plastic stool, cheap but delicious noodles, cold Hanoi beer.” This is how I’ll remember Tony. He taught us about food…"
2018-06-08 17:11:14,@goodreads Less by Andrew Sean Greer
2018-06-05 17:41:52,RT @EishaMisra: Ask a girl about her first Kate Spade bag and she'll have so many wonderful things to tell you. She was a female entreprene…
2018-06-04 16:55:59,5 of 5 stars to March by Geraldine Brooks https://t.co/zclaMlJb3p
2018-06-01 23:23:19,"RT @unitedchurch: #UCC is a sponsor of the 2018 #PRIDEintheCLE festival! Meet us @ E. 13th &amp; Lakeside, June 2, at 12p as we march in harmon…"
2018-06-01 17:51:12,@goodreads March by Geraldine Brooks
