timestamp,tweet_text
,"An avid reader and reviewer, who lives her life vicariously through fictional characters. Total number of books read in 2019: 34/52 📖📚",
2019-11-14 01:51:07,"Got some new medication from my doctor today, and I’m praying this works!"
2019-11-13 22:46:24,@xxbonnie You look so pretty! I love that lip color on you!
2019-11-10 14:27:30,Marked as to-read: The Starless Sea by Erin Morgenstern https://t.co/9Ic4TU8X3d
2019-11-10 08:01:36,Daylight savings time is really messing with me. Just woke up after falling asleep on the couch at 10:00. #wut
2019-11-10 01:42:26,I’m starting this book tonight based solely on the reviews from @whittynovels and @xxbonnie #amslut https://t.co/0gtjkDalog
2019-11-09 14:17:50,Marked as to-read: Under Currents by Nora Roberts https://t.co/P4FCopynSP
2019-11-06 17:40:33,Marked as to-read: The Family Upstairs by Lisa Jewell https://t.co/uRtmRjp0fn
2019-11-04 22:38:07,Marked as to-read: Serpent &amp; Dove by Shelby Mahurin https://t.co/3Yx5ESppz1
2019-10-30 03:22:32,@ChapterStackss Working out has helped me so much to distract myself from work. I’m focusing too much on not dying… https://t.co/F3vSXPPtnh
2019-10-30 03:19:50,5 of 5 stars to The Unhoneymooners by Christina Lauren https://t.co/SF4AmrnGwu
2019-10-27 01:32:52,Marked as to-read: Faker by Sarah Smith https://t.co/TdcTziaUEk
2019-10-26 13:18:04,"I gave Wilder Girls a fair shot, but holy cow, it was quite the disappointment."
2019-10-25 23:07:42,Marked as to-read: The Right Swipe by Alisha Rai https://t.co/Dy6fgt2Tx8
2019-10-25 22:33:26,Marked as to-read: We Hunt the Flame by Hafsah Faizal https://t.co/CBRcQX6kxc
2019-10-25 04:23:10,3 of 5 stars to Wilder Girls by Rory Power https://t.co/SlUB28MPNF
2019-10-21 19:46:04,I realized I am wasting so much time on technology when I could be reading. Technology has adversely affected my re… https://t.co/P8GKIdrrkO
2019-10-21 05:03:18,"I don’t know if I just read the last 200 pages of this book in one sitting because either 1) it was really good, or… https://t.co/ugPVoMpfcH"
2019-10-21 04:55:02,4 of 5 stars to The Testing by Joelle Charbonneau https://t.co/iYaX09ViUJ
2019-10-18 00:56:34,RT @disharryland: this is the most cat thing ive ever seen https://t.co/EXrVuNfhog
2019-10-17 03:28:34,Marked as to-read: Twice in a Blue Moon by Christina Lauren https://t.co/NOHlPda1cX
2019-10-10 22:24:55,"@whittynovels Had an awful day at work, but seeing this when I came home calmed me much. ☺️ thank you!"
2019-10-09 23:42:24,Marked as to-read: The Other Boleyn Girl by Philippa Gregory https://t.co/Rpzrbg4wdh
2019-10-09 03:37:19,"3 of 5 stars to Snotgirl, Vol. 2 by Bryan Lee O'Malley https://t.co/YCNNICNl8Q"
2019-10-05 05:16:36,It’s heartbreaking when you realize people who you would do anything for would not do the same for you.
2019-10-05 00:13:36,RT @xcatherinereads: Fixed it. https://t.co/Mfp5uqPdRy
2019-10-05 00:11:17,@dylanistweeting Not to mention the title is a mouthful...
2019-10-05 00:09:14,I have been in the BIGGEST reading slump. I can’t seem to finish anything I pick up after avidly reading all summer
2019-10-05 00:08:21,"@whittynovels SAME. It’s my birthday, and despite it being posted in our bulletin, no one said anything to me. Stup… https://t.co/f8MQDXXJCP"
2019-09-30 23:43:36,"@whittynovels Also, invest in a big crockpot and George Foreman grill. I use them all the time because they’re so easy!"
2019-09-30 23:42:33,"@whittynovels Each week, I meal prep 1-2 dinner dishes and reheat them throughout the week. It’s much easier for me… https://t.co/Y1nPi2fzKs"
2019-09-28 23:35:21,@whittynovels So happy for you! 🎉🎊
2019-09-28 02:14:17,2 of 5 stars to Asking For It by Louise O'Neill https://t.co/JQdgGMX8IU
2019-08-25 02:51:25,Marked as to-read: What She Knew by Gilly Macmillan https://t.co/5tkw2NtWVL
2019-08-18 03:46:36,I am cackling https://t.co/hlHTYLdTVR
2019-08-09 20:00:33,4 of 5 stars to Then She Was Gone by Lisa Jewell https://t.co/gxXXcyaeEk
2019-08-08 13:33:33,"Marked as to-read: Paper Girls, Vol. 2 by Brian K. Vaughan https://t.co/aFLTJ5MmFR"
2019-08-07 16:11:23,Marked as to-read: Sorcery of Thorns by Margaret Rogerson https://t.co/mIbRUq4G8z
2019-08-02 11:45:13,@MagicalReadthn Currently reading Firefly Lane by Kristin Hannah!
2019-07-27 01:10:57,@whittynovels Relate. You could land a freaking plane and dock 4 cruise ships on my forehead.
2019-07-26 15:01:56,RT @MagicalReadthn: Staff here at Hogwarts would like to remind students that NEWTs exams will start in less than a week! It’s very sunny a…
2019-07-26 14:58:34,@Mrgoldenrod https://t.co/jEEn3vKkNX
2019-07-26 04:03:31,"RT @softlydarcy: mr darcy: i love you. most ardently.   me, watching pride and prejudice for the 500th time: https://t.co/ejcWegxeHp"
2019-07-26 04:02:59,@dylanistweeting 1!
2019-07-24 04:02:15,"4 of 5 stars to Snotgirl, Vol. 1 by Bryan Lee O'Malley https://t.co/srUrMI4pqO"
2019-07-23 20:15:36,4 of 5 stars to The Kingdom by Jess Rothenberg https://t.co/JnjKq5LcDV
2019-07-23 17:28:59,Marked as to-read: A Stranger on the Beach by Michele Campbell https://t.co/G1kaLg0Lwd
2019-07-19 14:10:41,"@angiecthomas Congrats! I started C25K three years ago, and it made me fall in love with running! Now, I run half m… https://t.co/w0EcilDuCy"
2019-07-18 18:53:44,"4 of 5 stars to Good Me, Bad Me by Ali Land https://t.co/ikVzzZysQm"
2019-07-17 23:52:47,"@btwnchapters If you like mystery/thrillers, I really enjoyed My Lovely Wife!"
2019-07-15 21:32:30,RT @real_asherlock: harry potter if he was a vlogger  1. i killed my professor 2. HOW TO SURVIVE A BASILISK ATTACK (w/ tips) 3. my stalker…
