timestamp,tweet_text
,Intento escribir y hablo mucho de libros 📚 en Instagram. Aquí todo es 70% literario y 30% cotidiano ♥,
2019-11-14 13:04:59,"On page 476 of 656 of El resplandor, by Stephen King https://t.co/60qUCK72po"
2019-11-14 13:00:40,Good morning people!!
2019-11-13 13:00:50,Good morning people!!
2019-11-13 10:07:42,5 of 5 stars to La ridícula idea de no volver a verte by Rosa Montero https://t.co/IaykA4rxcR
2019-11-12 13:00:09,Good morning people!!
2019-11-11 13:00:58,Good morning people!!
2019-11-10 13:00:31,Good morning people!!
2019-11-09 14:14:47,2 of 5 stars to Persuacion by Jane Austen https://t.co/UQbhfRiIjY
2019-11-09 13:00:11,Good morning people!!
2019-11-09 12:27:32,"On page 431 of 656 of El resplandor, by Stephen King https://t.co/UAjbsmsrNo"
2019-11-09 03:00:32,"Feliz fin de semana!!! Signing off for today folks, have a great weekend everyone!"
2019-11-08 13:00:17,Good morning people!!
2019-11-07 13:00:55,Good morning people!!
2019-11-06 13:00:38,Good morning people!!
2019-11-05 21:12:19,"Hola chicos! ⁣ ⁣ Esta es mi adquisición más reciente de no ficción, tenia años por comprar este libro pero siempre… https://t.co/VVBwsHLfhZ"
2019-11-05 13:00:49,Good morning people!!
2019-11-04 19:48:42,Hola chicos! ⁣ ⁣ Como he estado tan desaparecida por acá qué tal si nos ponemos al día?⁣ Les cuento que por el mome… https://t.co/Xan6AWfKz5
2019-11-04 13:00:29,Good morning people!!
2019-11-03 20:09:37,Hola chicos! ⁣ ⁣ Como vieron en mis stories durante el mes de noviembre estaré leyendo solo libros de no ficción y… https://t.co/EmF4NqAo3A
2019-11-03 16:56:22,"46% done with Persuacion, by Jane Austen: Luisa es loca https://t.co/N1vgjAkWR9"
2019-11-03 13:06:42,💛 https://t.co/F9GO6p1TAp
2019-11-03 13:00:15,Good morning people!!
2019-11-02 12:00:35,Good morning people!!
2019-11-02 02:00:41,"Feliz fin de semana!!! Signing off for today folks, have a great weekend everyone!"
2019-11-01 18:34:01,"On page 350 of 656 of El resplandor, by Stephen King https://t.co/zFwdD3peVj"
2019-11-01 12:00:09,Good morning people!!
2019-10-31 14:04:16,"On page 326 of 656 of El resplandor, by Stephen King https://t.co/EfvJD1nFYK"
2019-10-31 12:43:20,Que horrible es el olor de pasto recién cortado. 😖
2019-10-31 12:00:59,Good morning people!!
2019-10-30 12:00:28,Good morning people!!
2019-10-29 12:00:09,Good morning people!!
2019-10-28 12:00:05,Good morning people!!
2019-10-27 15:06:31,"37% done with Persuacion, by Jane Austen https://t.co/XFMlxrXnPA"
2019-10-27 12:00:09,Good morning people!!
2019-10-26 13:36:18,"11% done with Tokyo Ghoul, tome 1, by Sui Ishida https://t.co/8N39A4Jyii"
2019-10-26 12:01:00,Good morning people!!
2019-10-26 02:01:02,"Feliz fin de semana!!! Signing off for today folks, have a great weekend everyone!"
2019-10-25 12:00:35,Good morning people!!
2019-10-24 12:00:56,Good morning people!!
2019-10-23 12:00:55,Good morning people!!
2019-10-23 01:41:35,Quizás no es mi mejor foto pero no quería dejar esto tan abandonado. Últimamente no he tenido ánimo para preparar c… https://t.co/d2V2xw3kvk
2019-10-22 18:21:35,"On page 242 of 656 of El resplandor, by Stephen King https://t.co/Ie9jTLwmZa"
2019-10-22 12:00:55,Good morning people!!
2019-10-21 12:00:24,Good morning people!!
2019-10-20 21:19:20,RT @LuisAltuzar_: quiero hacer tanto y termino haciendo nada
2019-10-20 20:31:53,3 of 5 stars to Muerte en el Nilo by Agatha Christie https://t.co/u3XR9fD2I2
2019-10-20 12:00:56,Good morning people!!
2019-10-19 12:01:37,Good morning people!!
2019-10-19 02:00:51,"Feliz fin de semana!!! Signing off for today folks, have a great weekend everyone!"
2019-10-18 12:00:59,Good morning people!!
2019-10-17 12:00:57,Good morning people!!
