timestamp,tweet_text
,26. BA in Anthropology💀Studying ASL 🤟🏼Booktuber📚Netflix Enthusiast 📺Sarcasm Queen😏 5.4.19 💍,
2019-11-13 02:47:49,The time has come! I have my November tbr ready and live!  https://t.co/NbfBqoToYs https://t.co/pONNjRpABF
2019-11-12 15:54:12,@chelseadolling What you’re telling me is not to download whatever that is lol
2019-11-12 15:53:49,"@coffeebooksbujo That’s what he said too, he was trying to explain things and i was like honestly... I’d rather read"
2019-11-12 04:57:56,WHAT SPORT HAS THE RIGHT?!
2019-11-12 04:57:39,People wonder why i hate football but Matt has been I’m watching ONE SINGLE GAME for four hours and it’s not even o… https://t.co/hreNFSRSFB
2019-11-12 02:27:07,RT @booksndiscourse: Girls don’t want flowers!! Girls want Goodreads to add .5 stars to their rating system!!
2019-11-11 00:38:22,@jurassicreads Welcome!! Glad you’re here 🥰🥰
2019-11-10 23:38:08,@falloutgirl014 @chelseadolling she's the best!
2019-11-10 19:50:54,ICYMI 🙈🥰 https://t.co/Nh79BttOwT
2019-11-10 17:40:25,@chelseadolling I LOVE YOU 😭🥰
2019-11-10 17:40:07,RT @chelseadolling: Reminder for the sunday crowd that I love @Sassyy_Kassie a whole lot and she just created a BRAND NEW booktube channel!…
2019-11-10 17:02:33,My channel made it past 500 subs since yesterday and i can’t tell you how hard I’m cheesin’ from all the support ov… https://t.co/agcqmDhgOU
2019-11-10 16:11:32,@falloutgirl014 😭😭 thank you so much! That makes my heart soar!
2019-11-10 16:10:58,RT @falloutgirl014: @Sassyy_Kassie Just subscribed!! You were the very first booktuber I ever found and I would follow your channel to the…
2019-11-10 04:42:02,RT @TOGreadalongs: We’re talking Tower if Dawn on @BrittniColleen channel 12/10 at 5:30pm PST! https://t.co/H0hsosj0gJ
2019-11-10 04:08:12,Why did you have to do me dirty like this https://t.co/etLWgU8XIr
2019-11-10 04:07:55,@LittleRedReads 🙈🙈🙈
2019-11-10 02:44:12,RT @supmartin: [California]  You said                         I said        no!!!                               “no yeah” https://t.co/wC4b…
2019-11-10 02:18:57,@simonexoandco 🙈🙈 yay!
2019-11-09 22:40:11,@bookswithchloe Oooo I love this
2019-11-09 22:26:50,@sophieriggsby Thanks Sophie ❤️❤️
2019-11-09 22:26:42,"RT @sophieriggsby: Love the reasons for the new channel — booktube viewers, go subscribe! https://t.co/oplZoAJN2J"
2019-11-09 22:21:13,I’m working on subscribing to my booktube loves on my new channel! I’d love recommendations if you want to reply 💕
2019-11-09 18:29:47,Marked as to-read: All-American Muslim Girl by Nadine Jolie Courtney https://t.co/qR3KupHiv9
2019-11-09 17:35:10,@xreadingsolacex yes this morning! no more MissSassyKassie🤪
2019-11-09 17:30:41,@LittleRedReads 🙈🙈🙈 i love you
2019-11-09 17:30:33,"RT @LittleRedReads: Please go support my girl in her new and improved YouTube journey! She’s funny, sweet, honest, critical (in a good way)…"
2019-11-09 17:30:23,@fandomandbooks1 Paula 😭😭😭
2019-11-09 17:30:18,"RT @fandomandbooks1: Please go subscribe to Kassie's new channel. She is one of the sweetest, genuine and lovely people I know. You will no…"
2019-11-09 17:26:20,@chelseadolling 🥰🥰🥰
2019-11-09 17:26:14,RT @chelseadolling: My dear pal is doing something extremely exciting (and a lil scary) and you should definitely go check out the last vid…
2019-11-09 17:25:56,The new baby just hit 100 subscribers an I’m crying y’all 😭 https://t.co/a1rEZ5ibET
2019-11-09 17:10:07,@sierragasch_ I love you! So grateful for YouTube for making me friends like you!
2019-11-09 16:59:15,I hope you all will support my new channel! I posted my October wrap up this morning 🥰  https://t.co/Gf5eW8Xl41
2019-11-09 16:56:53,THE CATS OUT OF THE BAG IM QUITTING MISSSASSYKASSIE  https://t.co/ImXk9DnUDP
2019-11-09 03:55:32,@chelseadolling Damn was there a twin to it? lol
2019-11-09 02:05:54,"New twitter art &amp; profile pic tonight, new things are dropping on YouTube tomorrow WHAT COULD IT MEAN"
2019-11-08 17:16:17,3 of 5 stars to Ninth House by Leigh Bardugo https://t.co/64D2YGU1xR
2019-11-08 15:52:48,https://t.co/1dZOsIkIdt
2019-11-08 15:10:05,RT @sofiabiologista: Goals: Playing fetch with a beluga whale  https://t.co/OfZOhHSAMj
2019-11-08 08:05:43,@sierragasch_ I hate it
2019-11-07 20:22:43,Update: I’m hoping to have this very exciting very nerve racking new thing happen this Saturday!!
2019-11-07 05:26:25,Do you understand how much i hate the word maybe
2019-11-06 22:40:43,“Change is the only constant in life.”
2019-11-06 04:58:50,THE FIRST EPISODE IS OUT FOR HIS DARK MATERIALS AND I AM SO READY
2019-11-06 03:39:15,RT @TOGreadalongs: Thank you so much to everyone who joined us for the Empire of Storms liveshow! We will be announcing the Tower of Dawn l…
2019-11-06 02:11:54,RT @TOGreadalongs: WE’RE LIVE ON @Sassyy_Kassie CHANNEL TALKING ABOUT EMPIRE OF STORMS BY SARAH J MAAS 💕❤️🙌🏼
2019-11-05 05:59:57,@kelly_hoggons @chelseadolling Thank you so much!!
2019-11-04 05:11:31,@chelseadolling I still need to read king of bourbon street 😂😬🙈
2019-11-04 05:08:40,I’m from California and i think InNOut is overrated. https://t.co/bjoRhBIbDg
2019-11-04 05:07:43,@chelseadolling LOL what even is this 😅 what is life
