timestamp,tweet_text
,My little girl Gabrielle is the light of my life,
2019-11-09 22:50:13,5 of 5 stars to Eleanor &amp; Grey by Brittainy C. Cherry https://t.co/rLoWiXIUT4
2019-11-09 14:56:54,"On page 20 of 320 of Things You Save in a Fire, by Katherine Center https://t.co/xzEDWzNGkm"
2019-11-06 23:19:14,3 of 5 stars to Permanent Record by Mary H.K. Choi https://t.co/nexcuZIMzv
2019-11-06 13:42:22,"On page 334 of 400 of Permanent Record, by Mary H.K. Choi https://t.co/loNmKbPbPn"
2019-11-06 11:52:48,"On page 313 of 400 of Permanent Record, by Mary H.K. Choi https://t.co/vHbFieOvVF"
2019-11-05 10:58:32,"On page 177 of 400 of Permanent Record, by Mary H.K. Choi https://t.co/NMLdNGp1DW"
2019-11-04 00:31:56,"On page 129 of 400 of Permanent Record, by Mary H.K. Choi https://t.co/VkWblv1CsL"
2019-11-03 16:52:00,"On page 93 of 400 of Permanent Record, by Mary H.K. Choi https://t.co/ea6pSqfNkZ"
2019-11-02 22:55:46,5 of 5 stars to Never Have I Ever by Joshilyn Jackson https://t.co/CSV5Gc2vOc
2019-11-02 21:06:37,I read Beartown by Fredrik Backman https://t.co/sOUHLqHMYz
2019-11-02 14:22:08,"On page 145 of 352 of Never Have I Ever, by Joshilyn Jackson https://t.co/epOeuWFwmP"
2019-11-02 11:22:20,"On page 89 of 352 of Never Have I Ever, by Joshilyn Jackson https://t.co/cpkfjMX3MF"
2019-11-02 01:10:57,"9% done with Eleanor &amp; Grey, by Brittainy C. Cherry https://t.co/hSNu7oOwyG"
2019-11-01 00:52:02,"2% done with Eleanor &amp; Grey, by Brittainy C. Cherry https://t.co/RUFMyXEsvc"
2019-10-31 13:10:58,3 of 5 stars to Beartown by Fredrik Backman https://t.co/R1TuBm6a71
2019-10-26 23:10:19,4 of 5 stars to The Lost by Natasha Preston https://t.co/qy5uIHwaFx
2019-10-25 13:45:30,4 of 5 stars to Imaginary Friend by Stephen Chbosky https://t.co/qrZht9D3s5
2019-10-25 00:15:53,4 of 5 stars to Imaginary Friend by Stephen Chbosky https://t.co/jPPYHpJNgW
2019-10-13 13:27:09,2 of 5 stars to Wicked by Gregory Maguire https://t.co/eDZuwg85yl
2019-10-08 23:37:07,"On page 307 of 720 of Imaginary Friend, by Stephen Chbosky https://t.co/2nQUfdcn33"
2019-10-08 17:44:53,"On page 254 of 720 of Imaginary Friend, by Stephen Chbosky https://t.co/fdyCQumzKQ"
2019-10-07 16:18:42,Marked as library-books: Never Have I Ever by Joshilyn Jackson https://t.co/QQsUiNQsHc
2019-10-06 23:21:49,"On page 232 of 720 of Imaginary Friend, by Stephen Chbosky https://t.co/3U1J1ZtIXJ"
2019-10-06 19:21:26,"On page 171 of 720 of Imaginary Friend, by Stephen Chbosky https://t.co/5KwHvawxxc"
2019-10-05 11:58:57,"On page 59 of 720 of Imaginary Friend, by Stephen Chbosky https://t.co/if9lOZIL24"
2019-10-03 21:03:12,"On page 70 of 432 of Beartown, by Fredrik Backman https://t.co/D0jjmTdlSS"
2019-10-02 20:24:51,"On page 59 of 432 of Beartown, by Fredrik Backman https://t.co/NYULv4I8vH"
2019-09-29 15:49:32,4 of 5 stars to The Arrangement by Robyn Harding https://t.co/j5YdNy7EOv
2019-09-29 02:14:33,"On page 215 of 352 of The Arrangement, by Robyn Harding https://t.co/xQ0x46hO4c"
2019-09-28 23:56:12,"On page 145 of 352 of The Arrangement, by Robyn Harding https://t.co/DmeMiuPhBk"
2019-09-28 01:11:07,4 of 5 stars to The Turn of the Key by Ruth Ware https://t.co/TzlAFrD5an
2019-09-26 20:47:44,5 of 5 stars to Night by Elie Wiesel https://t.co/NwXBA9X5sl
2019-09-25 11:46:50,"On page 172 of 384 of The Turn of the Key, by Ruth Ware https://t.co/e9t41cswiE"
2019-09-24 12:14:27,"2% done with Thirteen, by Steve Cavanagh https://t.co/5tOCuYOYIP"
2019-09-23 13:15:12,"On page 155 of 384 of The Turn of the Key, by Ruth Ware https://t.co/C9DttVTLQ5"
2019-09-20 21:29:19,"On page 119 of 384 of The Turn of the Key, by Ruth Ware https://t.co/ZcyBl4fWSE"
2019-09-19 17:52:47,"15% done with The Turn of the Key, by Ruth Ware https://t.co/DphUDdNt70"
2019-09-19 13:16:19,"On page 27 of 384 of The Turn of the Key, by Ruth Ware https://t.co/ydcabAzqZC"
2019-09-16 15:49:43,"On page 41 of 368 of If Only I Could Tell You, by Hannah Beckerman https://t.co/6tM2GyXUDg"
2019-09-15 00:05:32,"On page 272 of 371 of Lock Every Door, by Riley Sager https://t.co/sgDB2nLYWZ"
2019-09-14 00:17:38,"On page 178 of 371 of Lock Every Door, by Riley Sager https://t.co/8WzjKh1YnR"
2019-09-11 20:45:48,1 of 5 stars to Elevation by Stephen King https://t.co/C6IQJy5fnd
2019-09-11 12:49:05,"On page 57 of 371 of Lock Every Door, by Riley Sager https://t.co/auvifBgZyM"
2019-09-10 12:22:05,"77% done with Confessions of a Shopaholic, by Sophie Kinsella https://t.co/TrZO2swPPu"
2019-09-09 12:28:03,I'm #reading Confessions of a Shopaholic by Sophie Kinsella https://t.co/GoV1jDS6uH
2019-09-02 15:06:57,5 of 5 stars to The Mighty Heart of Sunny St. James by Ashley Herring Blake https://t.co/9191mqPprO
