timestamp,tweet_text
,"Writer, boomer, trekker, meditator, dog-owner, skier and foodie loves to read, hike, knit and cook..in that order.",
2019-11-09 17:33:47,3 of 5 stars to Everything Happens for a Reason by Kate Bowler https://t.co/nKTOFsxeDC
2019-10-24 03:22:33,4 of 5 stars to Among the Mad by Jacqueline Winspear https://t.co/jT704V5onk
2019-10-13 21:58:53,4 of 5 stars to Red Notice by Bill Browder https://t.co/aEUPi8EiT7
2019-09-09 17:51:26,3 of 5 stars to The Lighthouse Keeper's Daughter by Hazel Gaynor https://t.co/7YEAao1aD9
2019-08-28 04:19:17,4 of 5 stars to Climbing the Mango Trees by Madhur Jaffrey https://t.co/C2fYxHGL33
2019-08-03 00:16:53,3 of 5 stars to Accidental Presidents by Jared Cohen https://t.co/LX0gfEKeYJ
2019-07-24 15:34:23,"Here's the 2019 Booker Prize longlist (with almost no Americans, for a change). https://t.co/z8D3xlY4lz via @lithub"
2019-07-13 16:05:52,A must-read if you or anyone you know is considering IVF. https://t.co/kP7oXbwV2y
2019-07-11 16:18:32,How Famous Writers Overcome Writer’s Block and Reawaken Their Creativity by @NicoleJBianchi https://t.co/O743E7HNY7
2019-06-30 15:55:51,5 of 5 stars to Coromandel by Charles Allen https://t.co/1gX4R51pgq
2019-06-30 15:43:35,RT @DohenyKathleen: Kratom crackdown...again #kratomhazards #kratomdeaths #FDA @DrRobertGlatter @wizardofpr @headdock  https://t.co/Qf4a1cD…
2019-06-16 16:46:16,"RT @B2PSeattle: ""Looking at these decisions, one is overcome with a sense of prisons keeping helpful books from prisoners as an additional…"
2019-06-16 16:43:40,https://t.co/xrwjxBkscs
2019-06-16 16:43:22,Skip Cabo: Mexico’s Most Underrated Destinations to Visit This Summer @Thrillist https://t.co/MJcJyNBMC7
2019-06-09 00:07:00,RT @carol_troy: Ireland detour for golf.... https://t.co/WGCLA3LqEB
2019-06-06 19:38:39,Yes! https://t.co/i41GS4p2Qm
2019-06-03 15:19:52,RT @PENamerican: Nearly all applicants for US visas will have to submit their social media details under newly adopted rules.  The State De…
2019-06-01 01:26:01,"Starting Leaving Everything Most Loved, by Jacqueline Winspear https://t.co/AKdF6LSOIb"
2019-05-31 14:57:24,RT @carol_troy: Unbelievable lunacy! https://t.co/1xOfMTZ8K5
