timestamp,tweet_text
,Red head. Wife. Mom. Nurse. Avid Packer fan. I like chocolate. And I basically only tweet if it’s about the Packers. 💛💚,
2019-11-14 03:46:48,@TJLang70 @DavidBakhtiari 🤣🤣🤣🤣🤣
2019-11-13 01:13:23,"@greggrosenthal I don’t understand #2, honestly"
2019-11-12 03:43:11,RT @barstoolsports: Trebek’s voice trembling has us crying in the club rn https://t.co/oDzr8MF5Mp
2019-11-12 00:57:26,@AaronNagler @coreybehnke @timbackes @gmeinholz @TroyAikman Did you miss where he said that the packers D has been… https://t.co/YPbKqjI2CN
2019-11-12 00:49:51,"@TCovCards11 @AndyFritz4 @RobDemovsky @ReinerOlivia @jswaggdaddy Follow @LilySZhao , she has done round 1"
2019-11-12 00:49:29,@patmayo @RobDemovsky @ReinerOlivia It was so monotone and dull I would have tuned him out too...
2019-11-11 13:16:57,"RT @WesHod: This was a fantastic quote from Davante Adams on Aaron Jones' 14 TDs:  ""If we are 8-2 with Aaron Jones scoring 82 touchdowns, t…"
2019-11-11 12:07:54,@AJ_Curry @thecheckdown This is by far the best one I’ve seen. The way his thrusts hit on the beat is some solid work 🤣
2019-11-11 02:30:06,RT @NFL: Aaron Jones only scores TDs!  His third of the game gives him an NFL-best 14 touchdowns on the season! #GoPackGo #CARvsGB  📺: FOX…
2019-11-11 02:29:13,RT @JacobKai13: Is 2020 the year we wake up and learn to be nicer to each other?
2019-11-11 02:27:36,"RT @ReinerOlivia: Jamaal Williams: ""I felt like I was in Frozen."" https://t.co/Ovvj8VVDAu"
2019-11-11 02:25:22,@OctobersOwn10 @larsonmatt2 Ha! You caught that too!!!
2019-11-10 23:34:20,@eric_wize @AaronNagler This 👆🏻👏🏻
2019-11-10 23:29:38,@LilySZhao Question: you do an awesome job and I love reading your tweets during the game. Do you ever get tired of… https://t.co/cez5nBEmAg
2019-11-10 23:18:48,@AndyHermanNFL Packers bratty fan base: CUT HIM!!!  #One7 #gopackgo
2019-11-10 22:41:20,@ByRyanWood https://t.co/bLBgdc88QB
2019-11-10 22:40:37,@ByRyanWood 🤣🤣
2019-11-10 22:24:10,RT @NFL: .@AaronRodgers12 to @Tae15Adams ‼️  Everything about this is perfect. #CARvsGB  📺: FOX 📱: NFL app // Yahoo Sports app Watch free o…
2019-11-10 20:37:11,"RT @drninashapiro: There Is No Benefit  Of ""Natural Immunity"" When It Comes To Infections Like Measles https://t.co/tOllvTC5uu via @forbesh…"
2019-11-09 14:46:00,I have completed my challenge of 14 books! https://t.co/XHsX26oNRn
2019-11-09 05:19:46,"RT @AynRandPaulRyan: Yes please and thank you.  Trump: 'If I lose, I don’t think you will ever see me again' https://t.co/f1P3feI0Dz"
2019-11-09 05:17:49,10 seasons strong. 💪 Can’t wait for the #Shameless10 premiere this Sunday on #Showtime!
2019-11-08 01:31:35,"@jpkinsman @AaronNagler @RapSheet Seems like a reasonable question Jake, not sure why Nagler had to be snippy in his response."
2019-11-07 16:17:38,RT @DrJaimeFriedman: Dear parents of teens: Teens have rights. They are entitled to confidential healthcare regarding sexuality. I don’t ca…
2019-11-07 12:39:30,@zachkruse2 @Peter_Bukowski I truly don’t understand this part: he was respectful and cooperative and answered trut… https://t.co/df6IgPRLLp
2019-11-07 12:37:13,@Mungernater @TMZ_Sports @TMZ Im wondering the same thing. Honestly I don’t get it....
2019-11-06 15:26:40,RT @TheEllenShow: This is what kindness looks like. https://t.co/ixVhGXt9cV
2019-11-04 18:01:56,@RanMan71 https://t.co/UngT8Ls7J9
2019-11-04 03:03:11,@cleabrooks Omg I never noticed bc I don’t usually reread my own tweets!!!!!!!!!!!!! #GoPackGo #bestdayever
2019-11-04 02:38:14,@cleabrooks Really dumb question: what do you have to go to get the #GoPackGo show up with the Green Bay “g” behind it? 🤷🏼‍♀️
2019-11-04 01:26:38,"@CallMeMatub I feel I should take some of the blame too: we did not drink packer inspired Karuba coffee from Kt, my… https://t.co/fA5uJLieSN"
2019-11-03 23:10:19,@LilySZhao Nope
2019-11-03 03:52:33,RT @Bucks: Promise made. Promise kept.  #FearTheDeer
2019-11-02 13:50:01,@jamienolastname I THOUGHT HE WAS WASHED UP?!?!??!?
2019-11-02 13:49:35,RT @NFL: Two Aarons.  Two Smiths.  Too tough to stop through eight games.   The @Packers' BEST plays at the midseason mark! #GoPackGo https…
2019-11-01 21:17:30,https://t.co/MbDetGYag7
2019-11-01 12:44:04,@mirandalambert I L-U-R-V-E LoVe it!!!!!! ❤️❤️❤️❤️❤️
2019-10-31 20:19:48,"RT @packers: For the second straight week, #Packers QB @AaronRodgers12 was voted by fans as the @FedEx Air Player of the Week!  🏆: https://…"
2019-10-31 13:30:18,@NextLvLPack 🤣🤣🤣🤣
2019-10-31 00:40:01,@MySportsUpdate @clevelanddotcom @bakermayfield is an asshole.
2019-10-30 16:56:11,As it should be @AaronRodgers12 @DanicaPatrick @packers #GoPackGo https://t.co/9aaPt8WKml
2019-10-29 00:41:01,@LilySZhao Bag humbug to all of you: I like that it was unpredictable and they tried something new. Anytime they do… https://t.co/BW8cSXkghc
2019-10-28 22:58:45,RT @viewsbydavid: Packers went from Favre to Rodgers.   Bears went from Cutler to Trubisky.   I hate football.
2019-10-28 22:58:34,RT @NFL: Aaaron Jones had ANOTHER two TDs last night...  And leads the league with 11 total this year! 👏  @Showtyme_33 | @packers | #GoPack…
2019-10-28 22:46:55,@TheRealZSmith Have you indulged in the 🧀 and do you have your fave? Cheese cur-duh?
2019-10-28 16:10:02,RT @NFL: That man @AaronRodgers12...  THIS THROW. #GoPackGo  📺: #GBvsKC on NBC 📱: NFL app // Yahoo Sports app Watch free on mobile: https:/…
2019-10-28 15:03:55,@Paul_Bretl Same!
2019-10-28 13:15:06,@ScriptsByJames I don’t understand what people have such an issue with. Packer fans are/have become spoiled brats.… https://t.co/WxNBaAHXAy
2019-10-28 11:32:47,@NpointCase 🤣🤣🤣
2019-10-28 11:32:04,@NickSelinsky @LilySZhao @PrestonSmith94 @TheRealZSmith Same 🤣🤣
2019-10-28 04:25:49,@ZAJacobson BUT I THOUGHT HE WAS OVERRATED AND WASHED UP??????
2019-10-28 04:22:11,@KenIngalls 🤣🤣🤣🤣🤣
2019-10-28 03:42:11,@ja_bartlett @drewmagary 🤣🤣🤣🤣
2019-10-28 03:25:28,@mattramage I don’t “❤️” this but I love this
2019-10-28 03:09:22,@RealSkipBayless Shut up skip
2019-10-27 03:46:14,@AliciaJN @_kelCB @BetsyDeVosED @GovTimWalz https://t.co/UVfy0oiRsI
2019-10-24 23:47:52,@packers @PrestonSmith94 @TheRealZSmith 🤣🤣🤣🤣
2019-10-24 16:01:22,@One_Punch_Dan @ringer @robertmays He is?????????????
2019-10-23 10:27:45,The Packers should win the #BudLightCelly of the week! #PackersCelly
2019-10-22 02:01:11,@ScratchMakPlus2 @LittleLask @ESPNNFL @packers Rodgers himself said he had no clue how the get that rating with inc… https://t.co/rGbLLUSQAZ
2019-10-21 11:49:57,RT @NFL: A masterful performance from @AaronRodgers12. 🌟 #HaveADay   @packers | #GoPackGo https://t.co/96ket3LtHF
2019-10-20 21:25:47,RT @LilySZhao: 6-1 vibes  https://t.co/DrEeFAppS3
2019-10-20 21:05:01,RT @ZAJacobson: The highest passer rating Aaron Rodgers has ever finished a game with was 155.4 in 2009. He'll end his day with a perfect r…
2019-10-20 21:04:05,"@MVS__11 Not too bad of a day yourself there, sir 💚🧀"
2019-10-20 20:00:34,@DaveyRohan @itzdeltaghost @ProFootballTalk When the first comment was from a patriot fan commenting on the “easy”… https://t.co/xoBOW0LG08
2019-10-20 19:55:06,@itzdeltaghost @DaveyRohan @ProFootballTalk Would you use that argument if I wasn’t a girl?
2019-10-20 19:53:56,@DaveyRohan @itzdeltaghost @ProFootballTalk Really? Do you really need an explanation on this thread?
2019-10-20 19:51:58,@DaveyRohan @itzdeltaghost @ProFootballTalk And you’re commenting on the packers/Rodgers somehow only being good ri… https://t.co/BGvjpyhAgK
2019-10-20 19:50:30,@DaveyRohan @itzdeltaghost @ProFootballTalk Actually it doesn’t considering the patriots have had arguably the easi… https://t.co/bmiAzsy877
2019-10-20 19:47:03,@itzdeltaghost @ProFootballTalk This from a patriots fan...
2019-10-20 19:46:43,"RT @ProFootballTalk: Doesn't sound as crazy today, does it? https://t.co/B8ocB6Cbbk"
2019-10-20 19:46:19,@LilySZhao I HATE BLACKOUTS!!!!!!!
2019-10-20 19:39:48,@NextLvLPack Is this for real???? I can’t watch in real life did this happen in real time??? Omg I love being a packer fan right now
2019-10-20 19:20:48,"RT @NFL: Ladies and gentlemen, @AaronRodgers12’s 350th career passing TD!  He has 5 total touchdowns so far today. #GoPackGo #OAKvsGB  📺: C…"
2019-10-20 19:19:53,RT @RanMan71: Dear @NFL:  The decline of @AaronRodgers12 has been GREATLY overstated.  Dear @Packers beat writers:  YOU have been complicit…
2019-10-20 18:50:21,@ByRyanWood I cannot handle that I can’t see this game!!!!!!!!!
2019-10-20 18:34:58,RT @JimOwczarski: #TouchdownJesus .
2019-10-20 18:34:24,@IKE_Packers I hate that I can’t see this game on tv. Stupid Vikings blackout
2019-10-20 16:25:32,@GBPdaily @CharlesWoodson I love you 💚🧀
2019-10-19 13:58:27,"RT @UberFacts: The ingredients in a chocolate chip cookie can trigger the same addictive response in the brain as cocaine, according to res…"
2019-10-19 00:10:31,@ZAJacobson This is the most fun I’ve had following the packers in...maybe...ever. I just love their energy and how… https://t.co/59UOtGs9OY
2019-10-18 23:44:15,@mikeweitkum @wisCOwilz @LilySZhao He deleted his tweets. But honestly. I’m wearing 12s jersey for crying out loud!!!!
2019-10-18 22:37:05,"RT @girlsreallyrule: ""Thank you for asking, because not many people have asked if I'm OK."" This interview is heartbreaking. (via @itvnews.)…"
2019-10-18 21:57:34,"@wisCOwilz @LilySZhao #1. Um, that was sarcasm, as the # of ❤️s from packer fans kinda indicates... #2. Just wow. G… https://t.co/XQi0xSz03I"
2019-10-18 18:01:29,@LilySZhao Bad leader who everyone whose played with him hates 🤦🏼‍♀️
2019-10-18 12:41:23,RT @SwapnaSpeaks: “It is possible to have proximity to the patient but still not see them.” -@RanaAwdish omg so powerful and so true! @mcgi…
2019-10-18 02:42:24,"@ktompkinsii The situation is not funny, but this is 🤣🤣"
2019-10-17 11:16:26,@JoelksterMusic @LilySZhao I agree about al Johnson’s. everyone likes to see the goats but I don’t think food is that great
2019-10-16 00:42:56,@TundraVision 🤣🤣
2019-10-15 20:24:33,@Flenz90 @ByRyanWood @Haudricourt 👏🏻
2019-10-15 15:37:21,"RT @AndyHermanNFL: Through the entire history of the NFL teams have gotten screwed on questionable, inconsistent, and controversial officia…"
2019-10-15 11:44:17,@MoustacheRollie @bill_deno @spankyq @drewkennedy @RobDemovsky Always
2019-10-15 11:43:51,RT @RobDemovsky: The referee pool report from tonight: https://t.co/b0i6sK0u23
2019-10-15 11:40:40,@RanMan71 @NFLOfficiating “Refs were only here to blow this game for Detroit” tho!!!!
2019-10-15 11:38:28,RT @JackLiss8: Packer fans listening to everyone complain about the officiating https://t.co/lMSPEF8Blx
2019-10-15 11:37:34,"RT @aabdelda: Yes, the refs blew it. But letting the Packers come back from down 13? Settling for 5 field goals? Forcing 3 turnovers and fa…"
2019-10-15 11:37:10,@kuhnj30 This. 🙌🏻
2019-10-15 11:36:47,@alexe8750 @NpointCase This. 🙌🏻
2019-10-15 04:21:01,RT @ScriptsByJames: I’ve seen so much “Is Aaron Rodgers declining?” “Has he lost it?”   Aaron Rodgers hasn’t lost shit.
2019-10-15 04:18:22,"RT @JacobWestendorf: The Lions were +3 in turnovers, 2 of which were in plus territory. Had the ball up 19-13 with 10 minutes left and kick…"
2019-10-15 04:17:43,RT @AlexGelhar: Too many tweets to quote at this point but the Lions kicked 5 ... FIVE ... field goals. If they convert one into a TD it’s…
2019-10-15 03:42:47,RT @ZachJacobsonPR: The Lions have gotten away with calls. The Packers have gotten away with calls. This is the state of today's NFL. It ha…
2019-10-15 03:17:31,@MaggieJLoney This.
2019-10-15 03:10:49,"RT @MNhospitals: Vaccines keep our communities safe. By getting vaccinated, you help stop the spread of disease to vulnerable individuals w…"
2019-10-15 03:10:23,@itsjustChrisnow You and the entire packers fan base 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️
2019-10-15 03:10:00,@itsjustChrisnow 😂🤣😅🤣😂🤣😂🤣😂
2019-10-15 03:03:33,"@LilySZhao Ps. As a woman whose teaching her two kids (including a son) about football, I appreciate you so much do… https://t.co/r2EPLgR4dN"
