timestamp,tweet_text
,"A BookTuber who reads lots of classics, nonfiction, poetry, and occasionally literary fiction. My channel is called Totally Pretentious, because, you know...",
2019-11-14 00:01:14,@stdonoghue Drunk in a tavern? Doesn’t sound like the Thucydides I know...
2019-11-13 13:54:27,@7DaysatSea1 It's excellent!
2019-11-13 13:53:07,"I'm doing an article search for a meta-analysis I'm beginning to work on, and just found an article titled ""Persona… https://t.co/bmU3VTiZ1j"
2019-11-13 12:35:03,"70% done with Nothing to Be Frightened of, by Julian Barnes https://t.co/jY4bEyLdNs"
2019-11-13 10:17:40,RT @OLRReview: Ingenious by Peter Gluckman and Mark Hanson https://t.co/bsw1rlqM6X
2019-11-11 23:30:16,"41% done with Nothing to Be Frightened of, by Julian Barnes https://t.co/8xNMrnJ3QA"
2019-11-10 22:54:38,"30% done with The Penguin Book of English Verse, by Paul Keegan https://t.co/EW5loFEqnB"
2019-11-10 22:19:53,"This isn't a rhetorical question, by the way. I'm really curious!"
2019-11-10 22:19:24,"When you have too many books for your shelves, and know that you will receive larger shelves for Christmas and ther… https://t.co/yosmiKPApF"
2019-11-10 02:43:13,"32% done with A Brief History Of Painting, by Roy Bolton https://t.co/fYG7tK9Q9v"
2019-11-10 01:58:53,"25% done with The Battle for God, by Karen Armstrong https://t.co/nKGr1JRBL7"
2019-11-09 19:30:42,I read The Origin of Species by Charles Darwin https://t.co/FAJJ5IXrim
2019-11-09 14:47:23,"86% done with The Origin of Species, by Charles Darwin https://t.co/HFxJpnSMr6"
2019-11-09 02:23:16,"73% done with The Origin of Species, by Charles Darwin https://t.co/9q5c3GJvzN"
2019-11-09 01:18:54,"@NonficNovember On the Origin of Species, by Charles Darwin, and The Battle for God: A History of Fundamentalism, by Karen Armstrong!"
2019-11-08 20:50:03,"@FairyTalesEtc Funny you should mention Heidegger again, because one of the books I found on the second day was Being and Time!"
2019-11-08 19:48:59,@sharongoforth3 That’s what it’s looking like! 🤯
2019-11-08 18:14:23,"Wait to go back to the library sale until Sunday, he said. I’ll have the willpower to do it, he said."
2019-11-08 16:40:22,RT @recluse017: I’m turning 30 in a couple of weeks and word on the street is that it’s all downhill from there! It would be great to reach…
2019-11-08 13:00:11,"Darwin doesn’t get sassy very often in his writing, but when he does, it cracks me up."
2019-11-07 18:55:55,"50% done with The Origin of Species, by Charles Darwin https://t.co/hfkaPuf7lC"
2019-11-07 18:33:47,I read novels about wild cats and talking owls as a kid. So... https://t.co/hrz6Vp9DWR
2019-11-07 13:32:26,@FairyTalesEtc @sharongoforth3 no-buy year*
2019-11-07 13:16:10,"@FairyTalesEtc @sharongoforth3 ‘Tis true, ‘tis true! 2020 will be a no-but year for me!"
2019-11-07 02:18:14,@7DaysatSea1 I love how that’s ALWAYS the first thing people who’ve just started it say 😂🤣
2019-11-07 00:22:32,@books_abe I love The Way to Rainy Mountain!
2019-11-06 22:42:58,RT @books_abe: In celebration of 100 subs I am doing a Q&amp;A. here is the video if you would prefer to submit questions there. https://t.co/q…
2019-11-06 22:42:46,"There’s a library sale starting tomorrow. Should I go? No, no I shouldn’t. Will I go? Probably."
2019-11-06 00:39:20,"33% done with The Origin of Species, by Charles Darwin https://t.co/DXrm9nhdm4"
2019-11-05 12:47:53,@mcsbooks My little Bessie 😀 https://t.co/njvnuaYytI
2019-11-04 16:22:28,"21% done with The Origin of Species, by Charles Darwin https://t.co/7tHwSmonCL"
2019-11-04 13:43:07,"Reading On the Origin of Species is making me want to read more of Darwin's books, in particular The Descent of Man… https://t.co/lJtfwrQBa6"
2019-11-03 23:10:45,"When I read books on paintings (or visit art museums), I often come away thinking that my brain is far more suited… https://t.co/GOMnyj70YC"
2019-11-03 01:57:34,"76% done with The Essays of Ralph Waldo Emerson, by Ralph Waldo Emerson https://t.co/Ktt56Cf7CY"
2019-11-03 00:30:16,@shawnmooney Angry reacts only 😡
2019-11-02 23:05:54,"66% done with Psalm 44, by Danilo Kiš https://t.co/su2QELQN9r"
2019-11-02 12:27:31,"12% done with The Origin of Species, by Charles Darwin https://t.co/I8jw4CYWed"
2019-11-01 23:40:46,"33% done with Psalm 44, by Danilo Kiš https://t.co/TIbdDe6KPE"
2019-10-31 10:44:37,@_MelanieMartin Yay for going skating! Have fun!!
2019-10-30 22:25:20,"@LWestwoodAuthor Well I tend to over-explain, so I'm probably an adder!"
2019-10-30 22:24:45,I read God Emperor of Dune by Frank Herbert https://t.co/ognEUC1IHs
2019-10-30 14:36:23,**tries to revise paper to reduce word count**  **increases word count** https://t.co/uf3RlBUdbO
2019-10-29 23:03:31,"85% done with God Emperor of Dune, by Frank Herbert https://t.co/hWsR1HEKWU"
2019-10-29 12:55:36,I read On Elizabeth Bishop by Colm Tóibín https://t.co/vlU3HzlRns
2019-10-29 02:13:35,I feel like Twitter is an excellent way for me to indulge my worst habits of complaining about the pettiest issues imaginable.
2019-10-28 23:56:35,"75% done with On Elizabeth Bishop, by Colm Tóibín https://t.co/0kHBnefnTB"
2019-10-28 18:12:32,"RT @thegoodgodabove: Booing a fascist while watching a baseball game is the most patriotic, American thing you could ever do."
2019-10-28 17:45:29,"Then again, books arrived in the mail. So maybe it’s not so bad?"
2019-10-28 17:30:37,We might have to accept that it’s a bad omen if the first thing you realize on Monday morning is that your toaster oven doesn’t work.
2019-10-28 13:06:31,@FairyTalesEtc I’m enjoying it. He provides some good insights into Bishop’s poems that are helping me appreciate her work more.
2019-10-28 02:59:31,"Spilled a glass of water sitting next to my bed, and NONE of the three books next to it were affected! 👌🏻"
2019-10-28 01:47:51,"50% done with On Elizabeth Bishop, by Colm Tóibín https://t.co/ohYOLZ9BVI"
2019-10-27 15:33:53,"@WordsWordsBooks Stop poking holes, YOU!"
2019-10-27 01:47:50,You know that it was the right decision to get rid of a book if later on the very same day you forget it was ever on your shelf!
2019-10-26 21:59:33,"25% done with On Elizabeth Bishop, by Colm Tóibín https://t.co/GkpOinPtdj"
2019-10-26 21:10:01,"41% done with A Poetry Handbook, by Mary Oliver https://t.co/QgEXbMWcfA"
2019-10-26 19:10:47,@sharongoforth3 Ah! Not good! 😬
2019-10-26 18:46:46,Got rid of enough books so that I now have some free space on my shelves... just in time for some books to come in the mail 😂😂😂
2019-10-26 16:13:24,Is it a law universally recognized that bookshelves in need of reorganizing will always have more books that need t… https://t.co/vQ4bm1qDC7
2019-10-26 11:21:05,@Britta_Boehler I already heard someone in the office chatting about how she’s watched three Christmas movies this week 😭😭😭😭😭😭
2019-10-26 03:13:14,RT @BPegged: The History Shelf is on YouTube! Subscribe and keep up to date on the best of the past. https://t.co/FKMU7bAVUW via @BPegged #…
2019-10-26 00:13:02,@BPegged @nyrbclassics Omg! I need to read that!
2019-10-26 00:12:17,@BookishSpider I re-watch it every year around Halloween!
2019-10-25 23:39:23,"“The world is a miserable place. Life isn’t fun, Greg.” The wisdom of Over the Garden Wall 😂"
2019-10-25 14:49:54,“Studies using 10 self-report items to ‘control’ for all of personality can no more prove the incremental validity… https://t.co/xPOchHHuHO
2019-10-25 01:03:26,"87% done with The Year of Magical Thinking, by Joan Didion https://t.co/a7oQOWTezc"
2019-10-24 15:11:59,"Well I'll be darned. As an Iowa State student, I have free access to both the Wall Street Journal AND the New York Times!"
2019-10-24 14:31:30,"74% done with The Year of Magical Thinking, by Joan Didion https://t.co/hajiCdtExz"
2019-10-24 00:46:55,"Some Rossini, as sung by Tito Gobbi, to brighten your Wednesday! https://t.co/Qcsj7Fw7YZ via @YouTube"
2019-10-24 00:00:58,"@FairyTalesEtc I once had a cat named Lily! Also very cute, although she had an incredibly bizarre personality."
2019-10-23 20:07:24,@lena_makridina @stdonoghue Moose are honestly my favorite... just as long as one isn’t staring me straight in the face.
2019-10-23 13:35:56,@shawnmooney Figures I’d be the emo one 😭😭😭😭😭😭😭😭
2019-10-23 11:19:03,"Just took two quizzes about which Brontë sister I am, and both told me that I'm Emily. Go figure."
2019-10-23 00:46:29,Me too https://t.co/pN9u2HEacG
2019-10-23 00:22:49,"70% done with God Emperor of Dune, by Frank Herbert https://t.co/5pxmco8JR3"
2019-10-22 11:39:04,@shawnmooney https://t.co/CmVWzG2LYW
2019-10-22 03:09:26,One of those evenings where I'm tempted to start five books all at once.
2019-10-21 15:21:53,It’s the Bessie. https://t.co/6xq0HHzxhi
2019-10-21 14:37:20,"37% done with The Year of Magical Thinking, by Joan Didion https://t.co/g7XZHfZZYp"
