timestamp,tweet_text
,"Retired (photo from © 1950), Fan of audiobooks and Kindle, new to smartphones and Twitter, leader rather than team player",
2019-11-09 15:53:51,5 of 5 stars to Unaccustomed Earth by Jhumpa Lahiri https://t.co/xVIJc6V6Cd
2019-10-29 23:47:50,4 of 5 stars to The Dutch House by Ann Patchett https://t.co/jnYd5DCV4b
2019-10-02 00:43:40,3 of 5 stars to The Disorderly Knights by Dorothy Dunnett https://t.co/qonHA0lBYm
2019-08-29 00:51:51,1 of 5 stars to The New York Trilogy by Paul Auster https://t.co/Hxqljlahit
2019-08-26 20:15:40,4 of 5 stars to Lost Roses by Martha Hall Kelly https://t.co/w7p3ucWwwE
2019-08-23 13:02:55,4 of 5 stars to Beyond All Reasonable Doubt by Malin Persson Giolito https://t.co/bLLZgmHLby
2019-08-22 19:49:21,"Why have a movie?  What about the recent series The Loudest Voice,  with Russell Crowe as Roger Ailes?  =======  Th… https://t.co/LzsFkAb67U"
2019-08-16 01:24:07,3 of 5 stars to The Third Twin by Ken Follett https://t.co/AhkxoyHQ9a
2019-07-18 01:48:22,3 of 5 stars to Loving Liberty Levine by Colin Falconer https://t.co/h4hWBR9fnn
2019-06-22 21:48:17,5 of 5 stars to Finding Dorothy by Elizabeth Letts https://t.co/gCvSz9cFws
2019-06-13 01:35:55,5 of 5 stars to The Farmer's Son by John Connell https://t.co/pUp7shbefU
2019-06-02 15:08:10,3 of 5 stars to What Once Was True by Jean Grainger https://t.co/IQANkHbWF9
2019-05-23 00:48:03,4 of 5 stars to Nothing Gold Can Stay by Ron Rash https://t.co/JRUR7b3EOX
2019-05-15 23:41:37,4 of 5 stars to Every Breath by Nicholas Sparks https://t.co/LeOjV6GcO7
2019-05-10 01:37:40,4 of 5 stars to Sunburn by Laura Lippman https://t.co/HKeQ2HYtrp
2019-05-04 16:39:45,4 of 5 stars to Judas by Amos Oz https://t.co/OYy6EmcoRK
2019-04-22 16:32:11,4 of 5 stars to The Huntress by Kate Quinn https://t.co/m2EZtFHxFs
2019-04-03 02:14:21,2 of 5 stars to Toddler-Hunting &amp; Other Stories by Taeko Kōno https://t.co/7O7IlLy9El
2019-04-01 00:47:22,5 of 5 stars to Wolves of Eden by Kevin McCarthy https://t.co/NvOKdYEg6n
2019-03-17 20:39:03,4 of 5 stars to Daisy Jones &amp; The Six by Taylor Jenkins Reid https://t.co/PPTCxyI2yf
2019-03-10 01:03:49,4 of 5 stars to The Leavers by Lisa Ko https://t.co/tenR3PzcnK
