timestamp,tweet_text
,Writer. Educator. Reader. Artist.,
2019-11-11 12:08:12,4 of 5 stars to The Dispatcher by John Scalzi https://t.co/IsuI7fTs3Y
2019-11-09 17:53:11,5 of 5 stars to The Reason for God by Timothy J. Keller https://t.co/T1fYaJtyrw
2019-11-07 18:09:33,3 of 5 stars to The Conception of Terror by M.R. James https://t.co/hkSJfgoYSG
2019-10-27 22:04:43,4 of 5 stars to Liars &amp; Lunatics in Goose Pimple Junc... by Amy Metz https://t.co/8Vuo4F2LKo
2019-10-18 14:33:31,4 of 5 stars to The Sisters by Dervla McTiernan https://t.co/AvX4nIfwgR
2019-10-16 18:21:50,3 of 5 stars to Carnival Row by Stephanie K. Smith https://t.co/yPnDgI9COL
2019-10-15 01:46:56,2 of 5 stars to Alien III by William Gibson https://t.co/weuCb9CkR2
2019-10-11 07:28:06,RT @AndrewMFriday: Taking tomorrow off work to go to Imaginarium 2019. I’m psyched! #WritingCommunity #writercommunity #amwriting #keepwrit…
2019-10-11 07:26:09,RT @AndrewMFriday: Got my #NaNoWriMo2019 poster framed and ready to inspire me throughout #nanowrimo. #WritingCommunity #amwriting #writers…
2019-10-10 18:11:49,4 of 5 stars to Evil Eye by Madhuri Shekar https://t.co/rkzsV7GmX5
2019-10-10 11:32:29,"RT @AndrewMFriday: Finally, autumn weather has arrived. There’s nothing like coming home from work putting on sweatpants and a long sleeved…"
2019-10-09 23:30:16,3 of 5 stars to True West by Sam Shepard https://t.co/de0w5K4vPL
2019-10-09 16:05:46,3 of 5 stars to the way she spoke by Isaac Gomez https://t.co/bSS0ZgtjDm
2019-10-08 21:42:52,5 of 5 stars to Carmilla by J. Sheridan Le Fanu https://t.co/UB4dvao5lf
2019-10-06 17:24:38,"RT @ImaginariumCon: Get ready for a great weekend filled with programming, activities, and wonderful guests at @ImaginariumCon   Where a cr…"
2019-09-02 01:59:51,4 of 5 stars to The Poppy War by R.F. Kuang https://t.co/f10U7HapFj
2019-08-28 23:31:34,4 of 5 stars to The Two Towers by J.R.R. Tolkien https://t.co/GWGHpsNgNt
2019-08-18 17:25:08,RT @AndrewMFriday: “Grammar” lesson for the day ... #WritingCommunity #KeepWriting #AmWriting https://t.co/H0dNwa5YYw
2019-08-09 10:08:11,"RT @AndrewMFriday: Hey, everyone, Happy Book Lovers Day! #BookLoversDay  #WritingCommunity https://t.co/rH6X5D8baE"
2019-07-24 22:09:16,4 of 5 stars to 1984 by George Orwell https://t.co/VGB0UBxxcw
2019-07-22 14:13:40,@CarolineMv13 It’s what a person does when they start to feel angry ... and not giving in to anger and finding a so… https://t.co/IqxhlVp4Vx
2019-07-10 15:49:56,Some photos from my visit to the Indianapolis Museum of Art https://t.co/H9NtPjWcRg
2019-07-10 15:42:47,RT @AndrewMFriday: Check out my review of Gareth Powell's About Wriring: A Field Guide for Aspiring Authors #WritingCommunity #KeepWriting…
2019-07-04 14:04:52,3 of 5 stars to Even Tree Nymphs Get the Blues by Molly Harper https://t.co/NdHjOJozA0
2019-06-24 20:42:52,RT @AndrewMFriday: Checking out the new Northeast branch of the Louisville Free Public Library #lfpl #writingcommunity #amwriting #keepwrit…
2019-06-24 13:08:55,"RT @AndrewMFriday: If you’re going to be a writer or tambourine guy, write or play the tambourine with all your might. #writingcommmunity #…"
2019-06-21 21:23:57,"My friend and brother in Christ, John Seitz has gone to the next realm. https://t.co/ktSjvaXRRO"
