timestamp,tweet_text
,"PhD 'learning from mortality reviews' @UoB_IAHR, #LearningfromDeaths, cognitive biases & heuristics | @goodgym volunteer | marathoner | soli deo gloria",
2019-11-12 16:46:05,RT @LauraZwaan81: Well done Josepha! @DrShock @ErasmusMC #DEM2019 https://t.co/vCOnXf1XIr
2019-11-12 13:10:51,"For the impending election, how do you each aim to tackle the most pressing issue of our times? Climate change… https://t.co/SEFu9mGCjP"
2019-11-12 11:40:33,RT @utafrith: Recreating the Baroque https://t.co/LGl0nyyhrY
2019-11-12 11:39:07,RT @JPMcCarter: Removing sugary drinks from hospitals linked to improved insulin resistance &amp; reduced belly fat in healthcare workers. Even…
2019-11-11 18:27:33,"RT @trishgreenhalgh: Better idea Matt: note the baby's home postcode; from that, calculate the Index of Multiple Deprivation. Then support…"
2019-11-11 09:54:51,4 of 5 stars to This Is Not A Drill by Extinction Rebellion https://t.co/UMueBKSfq8
2019-11-10 17:52:35,"sustainable frontiers ""The Cleveland Model, Co-operation Jackson, the shack-dwellers movement, renters’ unions, h... https://t.co/zHIDEvpeaK"
2019-11-10 15:50:28,"things we'll be doing more of. Sounds delightful to me! ""rewilding landscapes so they provide more ecological ben... https://t.co/yyscSHxGr9"
2019-11-10 15:44:42,"So the IPCC are ultraconservative on their projections ""Like many readers, I had assumed the authority on climate... https://t.co/QC53fIEcCK"
2019-11-10 15:33:25,3 of 5 stars to A Christian's Pocket Guide to the Jap... by Overseas Missionary Fellowship https://t.co/X0jsGpR2za
2019-11-10 12:17:18,"we need to do more #tellthetruth ""We see the same dynamic in climate discussions – the outsourcing to the individ... https://t.co/E6iA1lCQQu"
2019-11-09 18:00:12,4 of 5 stars to Letters to a Young Catholic by George Weigel https://t.co/du70O50Pkg
2019-11-08 20:28:28,4 of 5 stars to God's Philosophers by James Hannam https://t.co/oKIRZsW33o
2019-11-08 16:56:49,So our evidence may not be as good as we think it is #bias #evidence #metaanalysis Something to ponder over. Would… https://t.co/mLRGPUFMXy
2019-11-08 10:06:18,Indispensable advice. Thank you! https://t.co/3UF67huoEh
2019-11-08 06:37:55,"@sfinnikin @TomPMarshall We most certainly need to. It's most unsustainable. And for sure, a necessary paradigm shi… https://t.co/AbEDoG08wM"
2019-11-08 06:24:59,"We may wish to re-evaluate the utility of GDP and seek better alternatives. Not that this is new.   'Everything, in… https://t.co/8iRZAjyiUT"
2019-11-08 06:15:40,"RT @UnbelievableJB: I love the sentiments in this video  But can my humanist friends tell me how, if you’re an atheist materialist, this do…"
2019-11-07 20:52:39,2 of 5 stars to The Grand Design by Stephen Hawking https://t.co/WMLq9hwk96
2019-11-07 18:04:22,RT @GretaThunberg: 11000 scientists signed a declaration of climate emergency. Its great that it gets media attention. But it's not like th…
2019-11-07 10:46:32,RT @HealthFdn: Our toolkit for #researchers in health and health care helps you to communicate your research in the most impactful way.  It…
2019-11-07 09:32:39,4 of 5 stars to The Reading Life by C.S. Lewis https://t.co/C8laO9WyO0
2019-11-06 17:10:55,"this can be applied to much in life. Surrender ""The first demand any work of any art makes upon us is surrender. ... https://t.co/I3g4S5zBqS"
2019-11-06 17:00:47,"unless it is to one's liking conveying goodness truth or beauty ""Incidentally, what is the point of keeping in to... https://t.co/Odj4NapPyE"
2019-11-06 16:56:29,"""For every thought can be expressed in a number of different ways: and style is the art of expressing a given tho... https://t.co/tE4xI3bhtx"
2019-11-06 09:19:28,RT @DrJamesHannam: Exciting news! I have signed a contract with @reaktionbooks to write a history of how the shape of the earth was discove…
2019-11-06 09:10:26,It's stated clearly in the case notes that Oliver McGowan was allergic to anti-psychotics but they were still admin… https://t.co/zRIOPHEurD
2019-11-05 15:46:09,Curious to know @MKeithChen whether polyglots have been considered in your work. If so which language singlet/combo… https://t.co/I2lZb2OKSV
2019-11-05 09:35:31,3 of 5 stars to Shadow of the Galilean by Gerd Theißen https://t.co/H23atowrHu
2019-11-04 17:33:44,I'm #reading The Shadow Of The Galilean by Gerd Theißen https://t.co/0NEFzEeK5X
2019-11-02 19:32:46,4 of 5 stars to What We Talk About When We Talk About... by Raymond Carver https://t.co/swTrAZGLXF
2019-11-01 16:45:45,RT @RunsWritesCode: It’s World Vegan Day. Reducing consumption of animal products will help slow climate change and reduce the high demand…
2019-10-30 17:25:44,I'm #reading Autism by Uta Frith https://t.co/XggZtRurbM
2019-10-30 13:02:40,A website to maximise your chances of achieving your goals (through financial loss aversion drivers)  https://t.co/1ht0SU8XMC
