timestamp,tweet_text
,Lover of Books. Booktuber. I read everything and anything. Mommy to one beautiful little girl. https://t.co/OfSyUnzGd9 ❤️,
2019-11-14 15:46:47,@SymoneDawes Aww thank you love! 💕
2019-11-14 15:08:45,A lot of people have been picking up the Diviners series by Libba Bray and that makes me super excited because it’s… https://t.co/GqG7pkBtX7
2019-11-14 00:53:28,RT @medusareads: how i feel when y’all say you just graduated hs https://t.co/P0ItBFM6RK
2019-11-14 00:52:05,@letbeasley ❤️❤️❤️
2019-11-14 00:51:46,@bookswithmeg2 Thank you love 💕
2019-11-14 00:51:36,@lexcaitreads Thankkkk you! ❤️
2019-11-14 00:51:25,@renareads 😩😩😘😘
2019-11-14 00:51:15,@Stef_uncensored Thank you love ❤️
2019-11-13 22:50:33,4 of 5 stars to The Real McCoys by Matthew Swanson https://t.co/OE4kTWQEL1
2019-11-13 21:31:06,4 of 5 stars to The Real McCoys by Matthew Swanson https://t.co/55YcExGyuv
2019-11-13 19:00:35,Check out my new video: Final October Wrap Up &amp; Statistics https://t.co/h3bsdJ79LA via @YouTube #wrapup #booktube
2019-11-13 17:51:50,Trying to be cute and film 😂😘 https://t.co/7CvJldfvdi
2019-11-13 17:13:47,Another book that I haven’t read yet but received in an owlcrate box! I’ve heard great things about and I know that… https://t.co/ozJBbg2WoC
2019-11-12 18:55:29,Fall Into Magic by Melissa Baldwin (MIni-Review) https://t.co/UfjoLjNplO on @bloglovin
2019-11-12 18:53:45,Definitely one that I need to read by the end of next year. I don’t know why I haven’t read it but I just haven’t f… https://t.co/6kRCMKo25d
2019-11-12 18:38:06,2 of 5 stars to Fall Into Magic by Melissa Baldwin https://t.co/alBA4x4bf4
2019-11-12 18:34:37,I’m tired of Goodreads saying they’re over capacity. 😒😒😒
2019-11-12 18:34:05,@positively_bri 7 weeks 😩😩😩 still my tiny little thing
2019-11-12 18:33:47,@LetsBookAboutIt ❤️❤️❤️
2019-11-12 18:31:36,Check out another fall themed review! Fall Into Magic by Melissa Baldwin (MIni-Review) https://t.co/vDvHnzZjda #bookreview #bookblogger
2019-11-12 17:49:15,Check out my book review! Pumpkin Everything by Beth Labonte https://t.co/7Ns7j4ymh2 #bookreview #bookblogger
2019-11-12 14:06:22,Y’all  today was baby girls first day of daycare and I cried my eyes out. I didn’t want to leave my little girl.
2019-11-11 17:56:18,"RT @bytrishakelly: As a thank you for reaching 1.5k followers, I’m giving away a BAKER’S DOZEN of recent YA books! One winner will receive…"
2019-11-11 17:54:35,Baby girl just had the fit of the century but that’s okay. We worked it out to “Human Nature” and now she’s fast asleep.
2019-11-11 15:35:01,Happy Veterans Day to all of those who have committed themselves to serving our country! Especially our bookish fri… https://t.co/QoPfYuFWxv
2019-11-11 15:28:58,I haven’t read this book since around the time it came out and I haven’t continued with the series. One of my goals… https://t.co/OvBxKyCLrF
2019-11-11 14:57:26,Pumpkin Everything by Beth Labonte https://t.co/qv5ftfRJoR on @bloglovin
2019-11-11 04:02:52,"On page 63 of 368 of Sea Witch, by Sarah Henning: I’ve had this on my TBR for too long https://t.co/6IoQqBpdsv"
2019-11-11 03:09:51,Cleaning out my TBR list on goodreads. I’m thinking about working my way through that list next year.
2019-11-11 00:12:51,"On page 220 of The Real McCoys, by Matthew Swanson: Moxie is a trip haha https://t.co/O2d3cEih0a"
2019-11-10 23:45:09,"RT @CiteSomething: Giveaway alert: 14 YA ARCs. Many 2020 titles! RT/follow by November 13, 2019 to enter. One follower will win. US only! h…"
2019-11-10 23:44:21,RT @TheWordN3rd: In which I give you the run down of how writing was going while also baking a cake... OR the world's messiest cook chats a…
2019-11-10 19:11:40,"Interested in what I read this week? Check out my new post! BookishRealm: Sunday Post, #31: https://t.co/dZzLGskWyy… https://t.co/Y5mhz8Grtp"
2019-11-10 17:00:33,This was one of my favorite books from last year! I’m so excited for the sequel coming out next month! Have you rea… https://t.co/4EtO0RJABj
2019-11-10 14:35:29,"Sunday Post, #31 https://t.co/2JfG7J3YRz on @bloglovin"
2019-11-10 13:00:26,❤️❤️❤️❤️ https://t.co/LqPlMld2Yy
2019-11-10 13:00:10,❤️❤️❤️ https://t.co/niHoJKwbj0
2019-11-10 04:05:30,3 of 5 stars to The Knight at Dawn by Mary Pope Osborne https://t.co/mMOcRNsLfR
2019-11-09 23:27:28,"On page 386 of 419 of Heroine, by Mindy McGinnis: This is so heartbreaking https://t.co/wAIiDQ3RLQ"
2019-11-09 18:22:35,#currentlyreading This book is phenomenal. It definitely speaks to how the opioid crisis is affecting the US. I hav… https://t.co/B0EkATAnSu
2019-11-09 14:18:34,"On page 280 of 419 of Heroine, by Mindy McGinnis: Oxy to heroine...it happened so fast https://t.co/wp1XvxHhly"
2019-11-09 01:19:27,"On page 101 of The Real McCoys, by Matthew Swanson: They put a lot of work into this boo... https://t.co/EJy0hZB9XX"
2019-11-09 01:00:13,RT @TheWordN3rd: You might have noticed that I never really dig into books I didn't like. There's a reason for that and it's time to talk a…
2019-11-09 00:56:02,RT @positively_bri: That muthafucking part !!!! https://t.co/hLzViZZ6AH https://t.co/8FlPw02Wi0
2019-11-08 20:20:08,3 of 5 stars to Grimworld by Avery Moray https://t.co/eKL9XqwJYY
2019-11-08 20:17:46,"Interested in what I'm reading this Friday? Check out my new blog post! BookishRealm: Friday #56, #62 Heroine by Mi… https://t.co/rL1zuXzZwD"
2019-11-08 14:48:26,"Friday #56, #62 Heroine by Mindy McGinnis https://t.co/5nnLztvnAL on @bloglovin"
2019-11-07 13:15:27,Grimworld by Avery Moray Blog Tour + Giveaway https://t.co/a7ahDAMuwb on @bloglovin
2019-11-07 12:11:36,"On page 116 of 240 of Gender Queer, by Maia Kobabe https://t.co/kmz0P4i8Sa"
2019-11-07 11:36:05,"3 of 5 stars to Rosario+Vampire, Vol. 1 by Akihisa Ikeda https://t.co/kMDjWXkecW"
2019-11-07 04:43:12,"On page 185 of 419 of Heroine, by Mindy McGinnis: And what’s sad is that as she keeps ge... https://t.co/XcACJ3L0Pu"
2019-11-06 17:17:35,4 of 5 stars to Call The Midwife by Jennifer Worth https://t.co/seL1kx5Jk9
