timestamp,tweet_text
,"Pro-facts, Doctor Who, animation and cartoons, point & click adventure games, SFF anything. Is: A reclusive autistic aro-ace entertainment junkie",
2019-11-13 02:58:36,Inkay #Pokemon https://t.co/zZ20DY2JoY
2019-11-12 20:06:34,#positivenewsoftheday Fanged Deer Once Thought To Be Extinct Is Rediscovered In Vietnam https://t.co/3lwR8M919v
2019-11-12 20:04:45,Hmm may have to dodge Disney+ spoilers up in here...
2019-11-12 09:06:54,I'm #reading The Serpent's Shadow by Rick Riordan https://t.co/KAw6jAvIDq
2019-11-12 08:57:22,And of course the wi-fi cuts out when I’m trying to finish stuff *sigh* and guess I’m not going to be able to check… https://t.co/w6gSZfLVVD
2019-11-12 00:14:37,Set to go for Disney Plus tomorrow. Actually looking forward to streaming old movies like The Love Bug and The Shag… https://t.co/NAWrddRvOS
2019-11-12 00:07:39,For when you have that need to put presents under a lady's skirt. https://t.co/bt0VeBf4cb
2019-11-12 00:01:45,Slurpuff #Pokemon https://t.co/5Abj8VZKkw
2019-11-11 21:43:06,#positivenewsoftheday A World War II Veteran Got His High School Diploma At 95 https://t.co/MGiy4l2h7i
2019-11-11 08:39:46,Sleepy. Night. Love you all. :) &lt;3
2019-11-11 02:18:27,One Second of Rarity from Every Episode of MLP https://t.co/wwWWzDZgCP via @YouTube
2019-11-11 01:33:51,#positivenewsoftheday Kids Organize Group Costume To Support Friend Who Wasn't Allowed To Dress Up For Halloween https://t.co/jQXI4uZ7lu
2019-11-10 09:04:44,Going to bed. Night. Love you all. :) &lt;3
2019-11-10 00:03:33,Swirlix #Pokemon https://t.co/pz3BtDYMKo
2019-11-09 20:09:08,#positivenewsoftheday Scientists Create Virus Based On Cowpox That Can Kill Every Type Of Cancer https://t.co/aPZZ0xzf1V
2019-11-09 18:43:48,Marked as to-read: The Nightmare Room by Chris Sorensen https://t.co/rcC3T0Iybr
2019-11-09 08:57:42,Going to bed. Night. Love you all. :) &lt;3
2019-11-09 03:54:40,And it sucks when you can't even avoid solicitors when they are at both entrances to the store.
2019-11-09 03:50:28,Because it's getting to that point... I don't care what they're selling or asking for a donation for. I want to go… https://t.co/fhjVdWx6EV
2019-11-09 03:49:03,Second or third time being harassed by solicitors. I don't think I want to shop at this grocery store anymore.
2019-11-09 00:56:53,Aromatisse #Pokemon https://t.co/Mco0IDAF6z
2019-11-08 21:43:40,#positivenewsoftheday 9-Year-Old Boy Stopped From Doodling In School Gets Hired To Draw At A Restaurant https://t.co/2rm1K3CJwn
2019-11-08 09:07:17,Going to bed. Night. Love you all. :) &lt;3
2019-11-08 06:54:36,RT @tajjackson3: How dare you erase black music history. Where is The Jackson 5???😡 The group you helped launch on your stage.  Black artis…
2019-11-08 00:27:24,Spritzee #Pokemon https://t.co/90gzU8nMTH
2019-11-07 22:47:54,#positivenewsoftheday Boss Pays Of Employee's Mortgage To Allow Him To Retire Early https://t.co/B7vMBW1Z1d
2019-11-07 06:13:43,I just signed this petition to tell @GovAbbott to stop the execution of Rodney Reed. You should too! #FreeRodneyReed https://t.co/A2h22e3bw1
2019-11-07 01:32:58,Aegislash #Pokemon https://t.co/ac468VwLz6
2019-11-06 22:56:22,#positivenewsoftheday Football Team Dedicates Game To Teammate's Mom Diagnosed With Cancer https://t.co/61NGdN0Gr8
2019-11-06 22:52:38,And the James Dean thing is another reason to bring this up. In a similar vein. Sign it. https://t.co/pxJzjF9rL5
2019-11-06 22:49:08,"The James Dean news is the weirdest and most disturbing thing I've read, but I'm not surprised Hollywood would go t… https://t.co/jQDA3TOkxP"
2019-11-06 19:29:47,Marked as to-read: City of Broken Magic by Mirah Bolender https://t.co/cfxtB7UNzA
2019-11-06 08:57:06,Not feeling right physically or mentally. Hopefully it's nothing. Night. Love you all. :) &lt;3
2019-11-06 06:17:59,Can't wait for Hunchback Live. It will be awesome. Especially this part.  #TheLittleMermaidLive https://t.co/v9U8Yg6ON3
2019-11-06 06:12:16,That was pretty cool. They could do this for other movies too. #TheLittleMermaidLive
2019-11-06 02:26:18,Doublade #Pokemon https://t.co/BBn84Jlc7q
2019-11-05 21:56:37,#positivenewsoftheday Nurse Adopts Man So He Can Get A Life-Saving Heart Transplant https://t.co/QCXzx5h6Y7
2019-11-05 18:43:53,Cory Doctorow: Jeannette Ng Was Right: John W. Campbell Was a Fascist https://t.co/sVsBVRmaUm via @locusmag
2019-11-05 08:37:43,Going to bed. Night. Love you all. :) &lt;3
2019-11-05 01:51:35,White Privilege: Unpacking the Invisible Knapsack By Peggy McIntosh https://t.co/wUczOgYnIK
2019-11-05 01:15:14,The most important question to LeVar Burton ever...
2019-11-05 01:14:36,"#AskLeVarBurton If there were a Captain Planet reboot, and you were asked, would you be involved?"
2019-11-04 22:23:55,#positivenewsoftheday Mom Shares Son's Heartbreaking Question On Twitter. The Responses Have Been Amazing https://t.co/vrUGokLc8C
2019-11-04 08:49:43,Going to bed. Night. Love you all. :) &lt;3
2019-11-04 05:32:28,The troubling age of algorithmic entertainment https://t.co/SsPH3wug4G
2019-11-03 23:46:56,Honedge #Pokemon https://t.co/QZb5Z68IWg
2019-11-03 21:36:06,#positivenewsoftheday He Was Homeless And Addicted To Heroin. But Her Kindness Changed His Life https://t.co/Xxru7tlMDu
2019-11-03 07:47:29,Happy to get an extra hour. Night. Love you all. :) &lt;3
2019-11-03 04:50:09,Been watching Parks and Rec a while now and my dad is Ron Swanson. It's uncanny.
2019-11-03 02:44:46,Meowstic (Female) #Pokemon https://t.co/pK0qpfC0ei
2019-11-02 20:50:36,#positivenewsoftheday Celebrity Chefs Have Teamed Up To Feed California Firefighters And Evacuees https://t.co/TorEb4Mgz8
2019-11-02 17:09:15,"I didn't know this was going to be a series of shorts, but they were good. When they said their names at the end th… https://t.co/89ghbAWPRK"
2019-11-02 08:02:43,Going to bed. Night. Love you all. :) &lt;3
2019-11-02 02:29:52,(Parody) Everything Wrong With Rarity Investigates! in 5 Minutes https://t.co/lqZaR2955a via @YouTube
2019-11-02 00:42:18,Meowstic (Male) #Pokemon https://t.co/rMQEG3HyTt
2019-11-01 22:27:08,#positivenewsoftheday Dentist Gives Free Smile Makeovers To The Poor And Shares Their Transformations https://t.co/2XSFSucyyc
2019-11-01 07:49:31,Had a pretty fun Halloween. Going to bed. Night. Love you all. :) &lt;3
2019-11-01 07:14:53,"It's November 1st, which means... https://t.co/0FEgqqsPa7"
2019-10-31 20:52:25,Suddenly it's freezing in the morning. Winter is coming.
2019-10-31 20:51:54,#positivenewsoftheday Nurses Are Using Surgical Wrap To Make Waterproof Sleeping Bags For The Homeless https://t.co/Z1PgPcpBPw
2019-10-31 17:25:57,Happy Halloween from Uncle Deadly! | The Muppets https://t.co/zLfkQE4EQg via @YouTube
2019-10-31 16:26:53,"Ripe. I didn't know how to draw this one, so here's a cute witch with an apple. Happy Halloween! #inktoberday31… https://t.co/o9L9VlHpCm"
2019-10-31 08:15:12,Going to bed. Happy Halloween! Night. Love you all. :) &lt;3
2019-10-31 05:53:53,5 of 5 stars to The Throne of Fire by Rick Riordan https://t.co/11zuFj5sjF
2019-10-31 04:16:26,"More people showed up than I was expecting though, which did spike my anxiety. Loved the owner's doggies though: Go… https://t.co/oIzMHhyml5"
2019-10-31 04:12:55,Can't I just enjoy watching monsters trying to get me without the screaming? lol
2019-10-31 04:12:13,So that haunted house I went to (never went to one before) was really was professionally done. Honestly my mom scre… https://t.co/5K8TvLAl8e
2019-10-31 01:44:28,"Going to this haunted house thing soon with people I don't know, but my parents know. We'll see how this goes..."
2019-10-31 00:22:55,I keep seeing Bob Odenkirk popping up in things I'm watching. Not complaining.
2019-10-30 23:35:53,Espurr #Pokemon https://t.co/VDACbtBAl2
2019-10-30 21:15:52,#positivenewsoftheday Old Friends Recognize Homeless Man And Give Him A Place To Live https://t.co/MOLsP6QA8f
2019-10-30 18:14:43,Marked as to-read: Narrative of a Beast's Life by Cat Rambo https://t.co/JCCFNnLF4B
2019-10-30 16:22:52,Catch #inktoberday30 #Inktober2019 #inktober https://t.co/rAsPAgYYcI
2019-10-30 07:54:29,Going to bed. Night. Love you all. :) &lt;3
2019-10-30 05:59:29,"Reading old dreams I wrote down again. Well, ones I marked as favorites on https://t.co/mF8Hg8Hyyp. Read: ""I saw my… https://t.co/Iiuq1pYU4l"
2019-10-30 04:55:42,"It also wouldn't surprise me if Martin wrote Fire &amp; Blood for the sole purpose of this prequel show. Yeah, I see what's going on here..."
2019-10-30 04:53:59,A GOT prequel series based on Fire &amp; Blood. I totally called this. Totally. It's probably why Martin hasn't finishe… https://t.co/ulxRkhnO4f
2019-10-30 01:10:34,"Injured. Because this literally happened to me on Sunday. OK, it's a bit exaggerated. The steps weren't that steep.… https://t.co/1TOWYXprXR"
2019-10-29 07:33:09,"Internet is screwy again, so I guess that’s a sign I should just go to bed. Disney trip in the morning. My body may… https://t.co/cqtw81zgUy"
2019-10-29 06:53:09,Spider Reviews https://t.co/yHTM7AAkTB via @YouTube
2019-10-29 05:26:43,Soreness. Can't tell if it's from standing around all that time yesterday or from falling off the stairs. Maybe both.
2019-10-28 23:39:05,Furfrou #Pokemon https://t.co/AdoOlVSmUp
2019-10-28 21:48:26,#positivenewsoftheday Single Dad Adopts 5 Siblings Under 5 So They Can Stay Together https://t.co/iTdD6c1oGP
2019-10-28 21:46:32,https://t.co/xC9xx0MhcX
2019-10-28 17:08:17,Ride. One of my favorites at Disneyland is Indy. #inktoberDay28 #Inktober2019 #inktober https://t.co/J8ghaJe9m1
2019-10-28 08:01:07,Well now I see a little swelling on my arm. Stairs suck. Going to bed. Night. Love you all. :) &lt;3
2019-10-28 07:58:57,big plot holes in reality https://t.co/ggy2p3pW6G via @YouTube
2019-10-28 04:21:06,"Not the ankle, my heel I meant hurts a little and my lower back. I swear I didn't hit my head when I fell lol."
2019-10-28 04:20:05,I might have bruises tomorrow... Luckily didn't break anything.
2019-10-28 04:19:32,"But why was my first reaction to laugh at this? It could have been worse. I just got a small scrape on my arm, and… https://t.co/nDKvfE9RQy"
2019-10-28 04:18:11,"OK, I literally just fell down the stairs. Well on the last step. I think I was distracted saying hi to my dog and… https://t.co/1D4BtcAmCA"
2019-10-28 00:11:54,Helpful info for those with disabilities who rely on power to survive during shutdowns. https://t.co/8GjghYQXCD… https://t.co/2QlaClrJ3J
2019-10-28 00:09:21,Can't go to the grocery store without politics being shoved down my throat? Sheesh.
2019-10-27 17:35:44,Coat #inktoberday27 #Inktober2019 #inktober https://t.co/TXtfHDdxsp
2019-10-27 08:08:36,Guess I'll go to bed. Night. Love you all. :) &lt;3
2019-10-27 00:24:03,RT @ewarren: I've got a plan to make sure that no president is above the law: Pass a law clarifying Congress’s intent that the Department o…
2019-10-26 22:45:45,Pangoro #Pokemon https://t.co/ZtAm11Z2UL
2019-10-26 19:15:26,#positivenewsoftheday Football Team Brings Cheerleader With Cancer To Tears https://t.co/4GGK5qlWqj
2019-10-26 16:16:25,Dark #Inktoberday26 #Inktober2019 #inktober https://t.co/UeKmlKg1Ly
2019-10-26 08:13:48,Why does my body hate me? Going to bed. Night. Love you all. :) &lt;3
2019-10-26 05:15:43,@chrissyteigen https://t.co/Ap9AIzLWpX
2019-10-25 22:30:48,Pancham #Pokemon https://t.co/N17xvgdUsR
2019-10-25 19:29:51,"#positivenewsoftheday Uber Driver Dropped Off Crying Mother, Said Goodbye -- But She Didn't Leave https://t.co/BeoH7vYTmX"
2019-10-25 16:25:39,Tasty. Ugly unaware boy with giant ice cream doesn't notice hole. #inktoberday25 #Inktober2019 #inktober https://t.co/Gmjx5X3123
2019-10-25 08:02:10,Going to bed. Night. Love you all. :) &lt;3
2019-10-25 01:01:22,"Fluffle Puff Tales: ""The End"" https://t.co/tkvy7hqK78 via @YouTube"
2019-10-24 21:28:13,#positivenewsoftheday Community Comes Together To Support Young Woman At Livestock Auction https://t.co/AXFbOJJ8Wc
2019-10-24 16:27:41,Dizzy #inktoberday24 #Inktober2019 #inktober https://t.co/NaljXwyWXN
2019-10-24 08:15:38,I'm off to bed. Night. Love you all. :) &lt;3
2019-10-24 02:18:26,Gogoat #Pokemon https://t.co/TB9irJkPV3
2019-10-23 21:14:11,#positivenewsoftheday Police Officer Buys Struggling Single Mom 2 Car Seats Instead Of Giving Her A Ticket https://t.co/DvVQf1Ztle
2019-10-23 21:10:03,Angelina Jolie in Maleficent: Mistress of Evil with the long hair. 😍 #wcw
2019-10-23 18:45:46,Marked as to-read: Lifestyles of Gods and Monsters by Emily Roberson https://t.co/ABDIeKRHkT
2019-10-23 17:16:53,Ancient #inktoberday23 #inktober2019 #inktober https://t.co/Ey9h5XiVVd
2019-10-23 08:02:49,Going to bed. Night. Love you all. :) &lt;3
2019-10-23 00:23:49,Skiddo #Pokemon https://t.co/DwiSsaqzbw
2019-10-22 22:50:42,3 of 5 stars to The Saturday Night Ghost Club by Craig Davidson https://t.co/KIuoVEM1fB
2019-10-22 21:08:26,"#positivenewsoftheday For The First Time Since 1877, Bison Are Roaming Badlands National Park In South Dakota https://t.co/yxQnMqodel"
2019-10-22 16:44:37,Ghost #inktoberday22 #inktober2019 #inktober https://t.co/FtKGqpjub8
2019-10-22 08:15:06,I didn't sleep well last night. Probably should go to bed. Night. Love you all. :) &lt;3
2019-10-22 07:30:15,Autism Representation in the Media https://t.co/WJhWrNMjNr via @YouTube
2019-10-22 06:43:34,The Complex Problems with Mental Illness in Fiction | a video essay https://t.co/WrUpqR0ek1 via @YouTube
2019-10-21 23:54:46,Florges #Pokemon https://t.co/sfp6WVrxKn
2019-10-21 21:31:43,#positivenewsoftheday High School Coach Disarms Student With Shotgun And Then Embraces Him https://t.co/xjNUf1HevS
2019-10-21 16:57:07,Treasure #Inktober2019 #Inktober2019 #inktober https://t.co/QAFRP95E4M
2019-10-21 07:53:57,Going to bed. Night. Love you all. :) &lt;3
2019-10-21 07:14:32,Pink Fox &amp; Magical Narwhal - Autistics Present 2019: Essential Youth Voi... https://t.co/3OFCm0gIyU via @YouTube
2019-10-21 00:56:42,Floette #Pokemon https://t.co/5OQ09bKjiC
2019-10-20 20:31:59,#positivenewsoftheday Fire House Adopts Great Way to Nurture Future Firefighters – By Letting Kids Douse a ‘Blaze’ https://t.co/633ZpAWBNv
2019-10-20 17:39:13,Tread #inktoberday20 #Inktoberday19 #inktober https://t.co/5MjMax5wzb
2019-10-20 08:13:12,Going to bed. Night. Love you all. :) &lt;3
2019-10-20 02:29:09,Flabebe #Pokemon https://t.co/8FUhwurDut
2019-10-20 00:03:52,#positivenewsoftheday Principal Writes Letter To Tooth Fairy After Student Misplaces Lost Tooth https://t.co/5fSyygVlt1
2019-10-19 16:15:36,Sling #Inktoberday19 #Inktober2019 #inktober https://t.co/uR2TLaAaed
2019-10-19 01:44:22,"MLP Season 9 In a Nutshell: Ep. 22 ""Growing Up Is Hard To Do"" https://t.co/fGz1yGWZYT via @YouTube"
2019-10-18 22:20:27,Pyroar #Pokemon https://t.co/FshcNxs78v
2019-10-18 18:43:39,#positivenewsoftheday Heat-Seeking Drone Finds Missing Boy In A Cornfield https://t.co/rDVbN5RBGD
2019-10-18 16:18:08,Misfit. 😂#inktoberday18 #Inktober2019 #inktober https://t.co/l23dTsG2We
2019-10-18 07:54:01,I'm off to bed. Night. Love you all. :) &lt;3
2019-10-17 22:58:52,#positivenewsoftheday Camera Records Sanitation Worker Going Out Of His Way To Help Elderly Woman https://t.co/nNzuwCFdfi
2019-10-17 17:05:52,Ornament #inktoberday17 #inktober2019 #inktober https://t.co/fNsddQikhA
2019-10-17 07:59:14,Going to bed. Night. Love you all. :) &lt;3
2019-10-17 05:16:32,❤️ https://t.co/3V3ByoA4hT
2019-10-17 04:21:03,Marked as to-read: Horrorstör by Grady Hendrix https://t.co/2r2BhL2g7E
