timestamp,tweet_text
,"— I know you’re the real deal, because with you, I keep the demons at bay. @leiwren",
2019-11-14 06:02:04,@archersbree ARE YOU READING FULL TILT BC THAT BOOK......
2019-11-14 05:44:58,they know whats up https://t.co/cmKad7sPUH
2019-11-13 14:58:31,"30% done with A Five-Minute Life, by Emma Scott https://t.co/VStALdoWuC"
2019-11-13 13:39:27,i suddenly remembered about them bc i have to do 10 music essays and im doing one on linkin park 🗿
2019-11-13 13:33:06,listening to linkin park's old albums and suddenly i remember how big of a fan i was when i was a teenager i miss them 😭
2019-11-13 10:59:48,i actually wanna watch this it looks interesting.... https://t.co/LTGC3Rmn7S
2019-11-13 08:57:31,apparently this was already posted but in my defence this was sitting in my drafts for months lmao
2019-11-13 08:47:04,@leiwren https://t.co/uy5fNLyddc
2019-11-13 07:14:34,@quietuptwn i had a cr*sh on the main guy it was embarrassing HSHFHHDHD
2019-11-13 06:57:36,@quietuptwn THAT SHOW 😭
2019-11-13 02:43:18,"reid: time for our bdsm  lou, choking on her drink: what???  reid: bible discussion and study meeting???  lou: https://t.co/xPREnSeLFt"
2019-11-13 01:45:05,good morning to blackstairs only 😌 https://t.co/gKGNHauswL
2019-11-13 00:09:32,"13% done with A Five-Minute Life, by Emma Scott https://t.co/KVbNYDe8mG"
2019-11-12 14:40:24,@rhysfeyre JSHFJDJF ITS ON THE SHELVES NOW KINO RLY DOES NOT GIVE A SHIT BUT YOU'RE WELCOME!!!
2019-11-12 13:48:28,@leiwren OH WAIT YOU SAID MOVIES JFJSJFJDJF
2019-11-12 13:36:33,@leiwren 😬 https://t.co/iD7NYjSZ7N
2019-11-12 13:35:13,@leiwren ice ice baby
2019-11-12 12:37:45,they're irritating 😑 https://t.co/uaPurjtDUO
2019-11-12 12:31:45,@leiwren @aIexcassidy i have an outworldly experience with it be jealous 🤩
2019-11-12 11:11:43,julian being romantic with emma in public and not caring if anyone saw them when they could finally be together is… https://t.co/UXBFJKY2Yr
2019-11-12 03:06:54,"gc talking about overlays, psds and video editing software and i have no idea what each of those things are 😐"
2019-11-12 03:06:08,@poeauden its not rly focused on the romance tbh but the writing was good. it can be confusing tho
2019-11-12 02:59:06,"@poeauden me, i liked it"
2019-11-11 12:58:46,i miss the blackthorns soooo much i just wanna be reunited with them again best family ❤️
2019-11-11 12:57:32,@leiwren im gonna ask for a divorce mr pretzel
2019-11-11 12:33:30,@leiwren mrs fatin pretzel &lt;3
2019-11-11 11:10:08,@liIyloren ahhh best books in the entire series
2019-11-11 07:46:24,god i miss emma and julian so much https://t.co/gIGyk9bYxN
2019-11-11 03:42:34,the notification made me giggle https://t.co/LiiSy0I52l
2019-11-11 02:09:21,RT @dean_minoru: https://t.co/sgXLrbvwZD https://t.co/MPGz5wv0Ej
2019-11-11 00:01:34,omg a childhood best friends to lovers book but the guy dies lets go angst lets go https://t.co/rbyoYk7g6Q
2019-11-10 23:00:17,my breakdown rly got her https://t.co/l8vbriBJmR
2019-11-10 14:29:43,@emmacasssidy and you're the first 🤩
2019-11-10 14:29:34,@SlSTERGRlMM WAIT I HAD A DISCONTINUED JILY AU?
2019-11-10 14:25:22,@emmacasssidy here you go 😛 https://t.co/sQJhezLFMK
2019-11-10 14:22:56,@emmacasssidy REALLY omg i need to write this but im so fuckin lazy 😭
2019-11-10 14:22:34,"*THIS girl not HIS girl (...well, not at the beginning hehe) https://t.co/pKrMfFEtCl"
2019-11-10 14:21:56,i've had this idea in my head for AGES but i still haven't written it in years maybe i really should start bc i sta… https://t.co/uNoQWkv55j
2019-11-10 14:21:02,i still have yet to write my novel where all of the guy's dreams come true irl and he's an artist so he paints all… https://t.co/v9swvMOG15
2019-11-10 13:38:11,RT @leiwren: when being horny in the gc turns into a buddy read https://t.co/m6X9P0yYg9
2019-11-10 13:38:02,@leiwren when the gc went from robbing to being horny to being horny and buddy reading
2019-11-10 12:45:21,nothing is more therapeutic and fun than downloading so many ep*bs that i'll never read at once ❤️
2019-11-10 12:17:52,RT @crssweIIs: https://t.co/KeQNcN69jP
2019-11-10 09:29:23,ordered full tilt from bookdepo can't wait to serve many rereads for them ❤️
2019-11-10 09:06:34,NO PLACE LIKE HOME 🥺 ending off the trilogy with that title...a crime https://t.co/kQKOe6tfHr
2019-11-10 06:45:55,🥺❤️ https://t.co/WSdK4JgLZg
