timestamp,tweet_text
,"written, produced and directed by Baz Luhrmann. she/her 🇯🇴♌️",
2019-11-12 19:28:36,ima let y’all know that i’m already stanning https://t.co/WmxJA4MHzI
2019-11-12 19:27:59,THIS ONES FOR THE GAYS https://t.co/aanYcrhiyQ
2019-11-12 18:49:46,THERE IS A FUCKING PHINEAS &amp; FERB x MARVEL MOVIE ON DISNEY+ LMFJDJSKDJD
2019-11-12 17:38:41,RT @MCU_Direct: Here's a new look at T'Challa as Star-Lord in the alternate-timeline animated WHAT IF...? series! https://t.co/qlygI6wGKU h…
2019-11-12 16:18:44,alright #DisneyPlus got me for the next few days i’ll see y’all on the flip
2019-11-12 15:49:08,tbh it’s working better than I thought it would lmao y’all keep doing what you’re doing https://t.co/01S3Hn39vT
2019-11-12 15:42:27,THIS SHOW IS SOOO GOOD I FEEL SEEN AS A THEATRE KID
2019-11-12 15:25:00,WAIT the lead character has two moms?!?! WE’RE STANNING
2019-11-12 15:07:46,already i’m up and about to watch the first episode of HSM series
2019-11-12 15:00:26,@bakugousan isn’t it launching in a few months?
2019-11-12 14:53:28,so the disney+ shows are weekly huh..... I guess I can’t complain bc of the sheer power of the catalogue
2019-11-12 12:18:41,RT @davidmackau: when i tell you i finally realised what i was watching that i SCREAMED https://t.co/RCY4N8PEAx
2019-11-12 12:15:26,yes I am up randomly at 6 am ... yes i’ve downloaded disney+ and it’s all too much i’m going back to bed
2019-11-12 04:53:58,RT @thanksyoongi: https://t.co/RMyNrTIiyy https://t.co/sYlYsnF0Qm
2019-11-12 03:23:05,gaga can forget artpop if she wants to but i’ll never forget G.U.Y
2019-11-12 03:22:41,@neilganseys I can’t believe she wants us to act like this never happened and didn’t change my life
2019-11-12 02:49:42,the fact that SuperM are 3 hours away from me and I’m not there... sick and twisted
2019-11-12 02:37:03,"25% done with A Torch Against the Night, by Sabaa Tahir: THE DRAMA https://t.co/BHrriLzPTY"
2019-11-12 02:23:13,@BTS_twt love uuuuu
2019-11-12 01:00:20,RT @reydanys: story: nobody surrounding the main hero truly understands them on a deeper level....  story: except the villain  https://t.co…
2019-11-12 00:56:40,RT @cyberglittter: thetogfather https://t.co/yuJRx1AnzK
2019-11-12 00:51:05,I tried to come up with a percy jackson one and quickly realized every rick riordan chapter title is a clickbait yo… https://t.co/6MD9qNyOxR
2019-11-12 00:49:17,@wordwoonders KJSHDJDKSKDJ
2019-11-11 23:32:55,@nyeongcity literally layering turtlenecks flannels and a jacket in place of a coat for life lmfkskdkd
2019-11-11 23:18:53,@nyeongcity UGHHFGGFVH
2019-11-11 23:04:55,RT @chartdata: Frank Ocean's 'channel ORANGE' re-enters this week's Billboard 200.
2019-11-11 20:50:31,RT @ken_you_not: The outfits in Reign aren’t historically accurate at all and I don’t care Mary Stuart is a fashion icon https://t.co/MaGa7…
2019-11-11 20:32:11,"RT @YouNetflix: Joe’s back, but where? YOU S2 December 26. https://t.co/54hZYWTLtv"
2019-11-11 20:19:42,so I can really watch winter soldier WHENEVER I want to now... https://t.co/kpVBpqmGoE
2019-11-11 20:16:59,https://t.co/cYPigB6jyb https://t.co/d3Z5Le69GL
2019-11-11 18:47:16,RT @fizhsaus: my grandma matching with the flowers in her garden https://t.co/DofJVpKxoj
2019-11-11 18:43:40,"RT @minareadss: “By day, they lead separate lives. By night, she wears the crown, and he bows to her demands in matters of politics and pas…"
2019-11-11 18:41:51,@minareadss mina... you deserve an award for your contributions to my tbr at this point
2019-11-11 15:31:50,"15% done with The Raven Boys, by Maggie Stiefvater: I got side tracked so my trc reread ... https://t.co/BYbK3fFkhN"
2019-11-11 15:20:25,YES except get rid of adam https://t.co/b5IeaiQ4JY
2019-11-11 14:50:52,"RT @jarrettstodg: i fricking love toast, what absolute genius took a bite of bread and was like ""cook it again"", unbelievable"
2019-11-11 14:50:35,RT @beccasbookrealm: There’s a new season of Atypical on Netflix &amp; I just wanna let all you NT queers know that if you watch/support that s…
2019-11-11 14:15:33,RT @meryemsfirst: THIS is the main reason I decided to start shooting my mum got so sick of seeing the same thing over and over again 🙃 htt…
2019-11-11 13:42:55,RT @kimvanadium: THEY LEFT HOSEOK AT THE GAS STATION https://t.co/IhxBQGtQz2
2019-11-11 03:42:35,"@minareadss whew this is me with the complete opposite, this is my contemporary tbr 💀 https://t.co/By0IyCixzm"
2019-11-10 23:43:04,@jung_kooks LFNDHSJDK ON BRAND
2019-11-10 21:51:30,RT @eunnieboo: pink in the night https://t.co/an1JfLevo4
2019-11-10 21:49:25,RT @samxoo: we put more work into making this tik tok than uni 😭 https://t.co/j9KawGs3HO
2019-11-10 21:44:08,RT @Y69NGI: A study of BTS’ discography: https://t.co/EJOA69gIrU
2019-11-10 20:15:44,the best thing here by far is the old southern ladies at the food stands pretending to have british accents
2019-11-10 17:55:28,white culture made one single point with the Texas Renaissance Festival i’ll tell y’all that
2019-11-10 17:36:43,"RT @introbloodline: bts could do what makes you beautiful, but one direction could NEVER do spring day https://t.co/Wmeu9bcIak"
2019-11-10 16:02:11,"@chanelletime Matched by Allie Condie, a 2011 YA classic lmfaooo"
2019-11-10 06:43:08,@YasmineGibreel oooooo I was already loving it but hearing that it’ll be atmospheric 😍😍😍
2019-11-10 06:40:32,RT @BeeWitchedBooks: Live footage of me looking at my book waiting for it to read itself https://t.co/zNjD4zSP7I
2019-11-10 06:15:00,@littlehoIIywood it’s my truest self I wouldn’t want u to
2019-11-10 06:12:04,@littlehoIIywood MY PICTURE
2019-11-10 06:11:52,RT @littlehoIIywood: typical https://t.co/y0gVuUr2QA
2019-11-10 05:40:24,"RT @minyqrds: “I would come for you. And if I couldn’t walk, I’d crawl to you, and no matter how broken we were, we’d fight our way out tog…"
2019-11-10 05:39:52,@poe69dameron RIGHT BITCH
2019-11-10 02:38:00,@poe69dameron WHEEEWWWWW STRAP THE FUCK IN
2019-11-10 02:37:25,@poe69dameron FOR THE FIRST TIME?
2019-11-10 00:41:38,it’s been less than 24 hours since I finished an ember in the ashes and I requested the next ones from my library b… https://t.co/ogmXyfFNlu
2019-11-10 00:36:15,@Hannabenji I just saw that and i’m like 🙄
2019-11-10 00:32:05,@Hannabenji I haven’t even read ember2 but i’m surprised she hasn’t already LOL
2019-11-10 00:26:28,AAAAAAA https://t.co/sitwBQONi8
2019-11-10 00:10:50,Jude speaking to the press when she returns to Elfhame and getting asked about Cardan https://t.co/FW49br3N16
2019-11-09 23:09:00,damn people who don’t like the last jedi really are the weakest link
2019-11-09 22:35:33,RT @marvelsdaily: God of Mischief. https://t.co/bLp4qYJKvZ
