timestamp,tweet_text
,,
2019-11-12 18:04:18,3 of 5 stars to Deep Thinking by Garry Kasparov https://t.co/ZssHWzPNMs
2019-11-12 15:47:31,@bricunin Mi sembra giusto.
2019-11-11 04:42:07,RT @DarioBressanini: Giovedì 14 esce il mio libro! Mi è costato 6 mesi di lavoro  (e non ho fatto le vacanze 😥) ma ne è valsa la pena perch…
2019-11-10 18:10:14,I read Madrigale senza suono by Andrea Tarabbia https://t.co/gdIt1rdQZl
2019-11-09 16:23:42,3 of 5 stars to Deep Thinking by Garry Kasparov https://t.co/ZssHWzPNMs
2019-11-08 14:21:14,"RT @Antonio79B: ""La morte non è mai banale: è solennità, è mistero"".  Addio al filosofo e accademico #RemoBodei, aveva 81 anni. https://t.c…"
2019-10-23 05:44:23,4 of 5 stars to R.U.R. Rossum's Universal Robots by Karel Čapek https://t.co/iLWjoVC1aR
2019-10-22 18:09:34,4 of 5 stars to R.U.R. Rossum's Universal Robots by Karel Čapek https://t.co/82yTxRc2f0
2019-10-19 10:01:15,4 of 5 stars to I fratelli Lamb by Peter Ackroyd https://t.co/KrMWWlIR74
2019-10-18 12:05:25,"RT @manici50: Ascoltiamo, se ne siamo ancora capaci https://t.co/jSzBGu3yNs"
2019-10-03 05:34:56,"Dai unʼocchiata a questa citazione. ""La mia fotografia non è affatto obiettiva, è profondamente soggettiva. Come ... https://t.co/eYUTZv5G5Y"
2019-10-02 17:22:37,3 of 5 stars to A piedi nudi su Marte by Adrian Fartade https://t.co/nhfbd5vBZY
2019-09-30 06:03:09,4 of 5 stars to Proletkult by Wu Ming https://t.co/R1PypX0UJF
2019-09-24 11:17:18,"RT @Antonio79B: ""La simpatia è il miglior regalo che si possa fare a una persona che neanche si conosce"".   Oggi nel 1943 nasceva lo scritt…"
2019-09-19 20:32:57,"RT @Antonio79B: ""La conoscenza del prossimo ha questo di speciale: passa necessariamente attraverso la conoscenza di se stesso"".  Oggi nel…"
2019-09-17 06:18:28,4 of 5 stars to Ninfa dormiente by Ilaria Tuti https://t.co/Sc030k7470
2019-09-10 20:05:32,4 of 5 stars to La corriera stravagante by John Steinbeck https://t.co/TzzLgI7Y6s
2019-09-09 05:31:27,"RT @Antonio79B: ""Gli ignoranti saranno sempre ignoranti, perché la forza è nelle mani di chi ha interesse che la gente non capisca, nelle m…"
2019-09-08 15:09:29,RT @viciocort: 🏆 Charles Leclerc trionfa a Monza❗#Ferrari 🇮🇹 https://t.co/lXGwW4QMu1
2019-09-08 15:07:33,"RT @CassandraBiBa: @Antonio79B @feltrinellied ""Le donne, i cavallier, l’arme, gli amori, le cortesie, l’audaci imprese io canto, che furo a…"
2019-09-06 11:13:46,"RT @Antonio79B: ""Chi sa morire, non ha più padrone"".   Oggi nel 1907 moriva il poeta #SullyPrudhomme, primo Premio #Nobel della letteratura…"
2019-09-06 05:24:38,"RT @Antonio79B: ""Montalbano è meteoropatico, come molti siciliani. Le stagioni oggi hanno perso la strada, una volta erano gente d'onore, s…"
2019-09-05 03:09:27,"RT @Antonio79B: ""È abbastanza buona per dare, ma non abbastanza per dimenticarlo. Voi siete troppo e non abbastanza"".  Oggi nel 1989 moriva…"
