timestamp,tweet_text
,"!!PRO EQUALITY!!  I am an aspiring Latin model, Navy Veteran, blogger and Independent Paparazzi Fashion Consultant :)",
2019-11-11 21:59:59,5 of 5 stars to V is for Villainous by Danielle Allen https://t.co/UVUMXnzvYR
2019-11-10 18:38:25,Marked as to-read: Dark Forces by Avin Vang https://t.co/5WT63uTMXm
2019-11-10 01:30:03,ONLY 30MINS TIL SATURDAY NIGHT LIVE!!! Hurry!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlr149W https://t.co/dcXBAndYR7
2019-11-10 01:00:03,SATURDAY NIGHT LIVE IS GONNA HAPPEN in ONE HOUR!! (as long as I don't have customers)!! So come join us and have a… https://t.co/pTTuFJFPng
2019-11-09 19:04:55,5 of 5 stars to Paradox by Amity Cross https://t.co/w5Z3J11mJD
2019-11-08 01:55:01,HOLY SMOKES EVERYONE!!!! It’s THANKFUL THURSDAY and ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the… https://t.co/j6r16hWeiD
2019-11-08 01:30:03,ONLY 30MINS TIL THURSDAY NIGHT LIVE!!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlqJtio https://t.co/L0IQIO7ORI
2019-11-07 02:30:32,5 of 5 stars to Euphoria by Amity Cross https://t.co/tJE2wraPM9
2019-11-07 00:10:01,No live tonight but I will see you tomorrow night. Xoxo https://t.co/w7qtwiu6gW
2019-11-05 22:37:22,Marked as to-read: Quake by Amity Cross https://t.co/x1HocAXQza
2019-11-02 20:32:55,5 of 5 stars to Steel by Amity Cross https://t.co/nCpuCcrbFV
2019-10-31 00:54:51,I'm #reading Rebel by Amity Cross https://t.co/CA2tagRzJS
2019-10-30 17:56:23,I'm #reading Spike by Amity Cross https://t.co/P1ZtVOkXG6
2019-10-27 00:55:01,I WILL BE LIVE IN 5mins!!! Come join the fun and games!!! INVITE INVITE!! SHARE SHARE SHARE!!  Find me here:… https://t.co/BHjKauxAeM
2019-10-27 00:30:08,ONLY 30MINS TIL SATURDAY NIGHT LIVE!!! Hurry!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlqJtio https://t.co/HOQ4LQJUJH
2019-10-27 00:00:04,SATURDAY NIGHT LIVE IS GONNA HAPPEN in ONE HOUR!! (as long as I don't have customers)!! So come join us and have a… https://t.co/ic9QDq5Pzr
2019-10-26 00:55:01,HOLY SMOKES EVERYONE!!!! It’s FEARLESS FRIDAY and ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the fu… https://t.co/Mds7c1V3tm
2019-10-26 00:30:05,Friday Night LIVE in 30mins!! Come join the fun indoors @ https://t.co/bTCwlqJtio https://t.co/pVZfpi7ksj
2019-10-26 00:00:20,It's Friday everyone!! Let's celebrate TGIF with some $5 BLING!!! Meet us at https://t.co/bTCwlr149W https://t.co/Ee2QL85Xe4
2019-10-25 00:55:02,HOLY SMOKES EVERYONE!!!! It’s THANKFUL THURSDAY and ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the… https://t.co/HwEAcHTjPT
2019-10-25 00:55:02,HOLY SMOKES EVERYONE!!!! It’s THANKFUL THURSDAY and ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the… https://t.co/B8CfPc07ym
2019-10-25 00:30:01,ONLY 30MINS TIL THURSDAY NIGHT LIVE!!! Hurry!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlqJtio https://t.co/JuHaTEXwpE
2019-10-25 00:00:03,Thursday Night LIVE will be in one hour!! Share and invite for more fun plus MORE FREEBIES!!!  Find me here:… https://t.co/dvJF0tnWqC
2019-10-24 00:55:03,HOLY SMOKES EVERYONE!!!! It’s HUMP DAY FUN DAY and ONLY 5 MINUTES TIL I GO LIVE with Fact or Crap!!!! WOO HOOOOO!!!… https://t.co/sBFoIPoyQK
2019-10-24 00:30:31,Facebook LIVE PARTAYYYYYY in 30mins!!! HUMP DAY FUN DAY!! Come join the fun and Fact or Crap!!   Sharing is much ap… https://t.co/7TOLUAZzzr
2019-10-24 00:00:02,Now that Hump Day is coming to an end let's have some SHOPPING THERAPY @800pm CST Come join us to play some Fact or… https://t.co/KNeh1WXiXt
2019-10-23 15:39:30,5 of 5 stars to Pulse by Amity Cross https://t.co/4cB3PJqWC2
2019-10-22 15:50:20,5 of 5 stars to Playette by T.L. Smith https://t.co/2m3HkSNHD6
2019-10-20 00:55:02,HOLY SMOKES EVERYONE!!!! ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the fun and maybe win something… https://t.co/9fsaHXDEsN
2019-10-20 00:30:10,ONLY 30MINS TIL SATURDAY NIGHT LIVE!!! Hurry!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlqJtio https://t.co/O1KVZ0LzWa
2019-10-20 00:00:10,SATURDAY NIGHT LIVE IS GONNA HAPPEN in ONE HOUR!! (as long as I don't have customers)!! So come join us and have a… https://t.co/4WUnFO2hR3
2019-10-19 00:55:01,HOLY SMOKES EVERYONE!!!! It’s FEARLESS FRIDAY and ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the fu… https://t.co/VpNiOF0j9P
2019-10-19 00:30:05,ONLY 30MINS TIL TGIF LIVE!!! Hurry!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlr149W https://t.co/75EMuJEkFl
2019-10-18 00:55:01,HOLY SMOKES EVERYONE!!!! It’s THANKFUL THURSDAY and ONLY 5 MINUTES TIL I GO LIVE!!!! WOO HOOOOO!!!!! Come join the… https://t.co/z7BhlZUqw0
2019-10-18 00:30:07,ONLY 30MINS TIL THURSDAY NIGHT LIVE!!! Hurry!! Get your drinks and snacks!!  Join us here: https://t.co/bTCwlqJtio https://t.co/kpzpTewNGc
2019-10-18 00:00:35,Thursday Night LIVE will be in one hour!! Share and invite for more fun plus MORE FREEBIES!!!  Find me here:… https://t.co/v4Ru7A8BQp
2019-10-17 19:54:13,5 of 5 stars to Mars Colony Agatha by Jack Chaucer https://t.co/IquVWk3XUG
