timestamp,tweet_text
,i am me.,
2019-11-09 17:50:44,"61% done with Meddling Kids, by Edgar Cantero https://t.co/qV2kCZGKk2"
2019-10-29 19:58:18,"45% done with Meddling Kids, by Edgar Cantero https://t.co/rZPq6hVcj7"
2019-10-17 01:27:19,"20% done with Meddling Kids, by Edgar Cantero https://t.co/8DTcMZEPSR"
2019-10-03 13:21:13,"77% done with Off Season, by Jack Ketchum https://t.co/K6c8g372pH"
2019-10-02 14:22:14,"68% done with Off Season, by Jack Ketchum https://t.co/KFeAN7tbjq"
2019-10-01 13:19:46,"49% done with Off Season, by Jack Ketchum https://t.co/5ElMwieLhl"
2019-10-01 05:29:48,"42% done with Off Season, by Jack Ketchum https://t.co/EgvF9XF2nF"
2019-09-28 20:19:00,"29% done with Off Season, by Jack Ketchum https://t.co/M2KLNKOEOq"
2019-09-25 17:55:14,"8% done with Off Season, by Jack Ketchum https://t.co/ghR06fAbto"
2019-09-18 11:50:12,"71% done with The Hunter, by Richard Stark https://t.co/W5BAPRcoDz"
2019-09-10 16:59:57,@Galaxy_History @VgnGamer12 @ZeroCool138 @barroldinho1 I have taken to using they/them in general and accepting whe… https://t.co/LSPNFp9M9q
2019-09-10 05:23:07,"51% done with The Hunter, by Richard Stark https://t.co/ufTBnlYKty"
2019-09-05 20:13:40,"29% done with The Hunter, by Richard Stark https://t.co/NZd4YIsqeI"
2019-09-05 05:27:00,"20% done with The Hunter, by Richard Stark https://t.co/i7HHjKbUZ3"
2019-09-05 00:44:53,"19% done with The Hunter, by Richard Stark https://t.co/qrg5lQYeNi"
2019-08-10 05:18:44,@ZeroCool138 Mazel Tov!
2019-07-04 15:53:50,@EdTheZombie13 Genius
2019-07-04 05:44:47,@EdTheZombie13 Jona dos meows?
2019-05-01 13:30:11,RT @Apex_sH: My niece has her bird trained to attack anyone she screams at 😂😂😂 https://t.co/ea0JoWMNrT
2019-04-28 00:40:16,That's amazing. https://t.co/bGBslPeHVw
2019-04-28 00:17:47,"RT @donttrythis: Oh snowflake, I’m so sorry you don’t feel safe when you parade your desire to celebrate white supremacy, bring back coal,…"
2019-04-21 01:02:55,RT @donttrythis: Bingo. https://t.co/fjgTxcdwBZ
2019-04-17 16:55:19,@Elrickane Fright Night Salems Lot Vampire's Kiss Near Dark Let the right one in
2019-04-09 18:29:25,RT @ZeroCool138: If the #LAGalaxy launched an @NWSL team that played at the track &amp; field Stadium with $134 season tickets would you purcha…
2019-04-04 22:22:52,@AskJayne I don't know...has anyone seen what is going on behind the desk?
2019-03-11 19:37:21,"On page 128 of 310 of White Cat, by Holly Black https://t.co/B8JSZqZ5ib"
2019-02-20 03:26:49,RT @AwayDaysFutbol: Giveaway time! Up for grabs are 2 tickets to any LA Galaxy home match this season (excluding LAFC). In order to enter y…
2019-01-22 06:56:13,"On page 57 of 310 of White Cat, by Holly Black https://t.co/KT9rvyIknU"
2019-01-13 08:34:48,"On page 22 of 310 of White Cat, by Holly Black https://t.co/AvVohegikH"
2019-01-12 05:43:18,"On page 7 of 310 of White Cat, by Holly Black https://t.co/uFKQH7wiZC"
2019-01-12 00:43:34,"90% done with The Frame-Up, by Meghan Scott Molin https://t.co/tl3Vk5uFoQ"
2019-01-11 03:07:57,"72% done with The Frame-Up, by Meghan Scott Molin https://t.co/wj3EiK8WDG"
2019-01-10 01:04:27,"61% done with The Frame-Up, by Meghan Scott Molin https://t.co/7rRJ10mbZu"
2019-01-10 00:32:39,"On page 169 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/dd049KRlNe"
2019-01-09 00:14:13,"On page 152 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/vm2sEDZJMd"
2019-01-08 00:53:49,"On page 118 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/3gSbb6Uo8E"
2019-01-07 22:31:55,"On page 105 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/MIqEKqj12A"
2019-01-06 05:10:14,"On page 82 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/CcPgxYQYvU"
2019-01-06 00:39:53,"On page 74 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/44Iad8Vkro"
2019-01-05 18:58:16,"On page 64 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/PPiSH7bMnm"
2019-01-03 21:47:38,"On page 59 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/lxE6IvRzzA"
2019-01-02 18:25:03,"On page 45 of 287 of The Frame-Up, by Meghan Scott Molin https://t.co/LcaqbLdWkZ"
2018-12-22 23:57:20,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 11: Healing Stream   RT for a chance to win today's prize from @OriginalFunko a…"
2018-12-22 03:36:01,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 12: GRAND PRIZE   RT all previous prize days and today for a chance to win the…"
2018-12-20 15:13:02,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 10: Tokidoki x Overwatch   RT for a chance to win today's prize from @tokidoki…"
2018-12-20 15:12:31,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 9: Brotherly Bundle  RT for a chance to win today's prize and RT every day for…"
2018-12-18 02:47:19,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 7: MEKA Matrix  RT for a chance to win today's prize and RT every day for a cha…"
2018-12-18 02:47:08,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 8: Hero's Home  RT for a chance to win today's prize and RT every day for a cha…"
2018-12-15 22:03:58,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.  Day 6: Hammer Time  RT for a chance to win today's prize and RT every day for a cha…"
2018-12-15 04:34:31,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.   Day 5: Pajamei Party   RT for a chance to win today's prize and RT every day for a…"
2018-12-12 22:16:09,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.   Day 3: Dress to Impress   RT for a chance to win today's prize from @HerUniverse a…"
2018-12-12 07:14:15,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.   Day 1: Reaper's Reward   RT for a chance to win today's prize from @GameStop and R…"
2018-12-12 07:13:51,"RT @PlayOverwatch: #HappyHeroDays! 12 prizes, 12 days.   Day 2: Deadlock Delivery   RT for a chance to win today's prize and RT every day f…"
2018-12-07 00:34:05,"Everyone's year was different, but this is how 2018 sounded to me. Get yours.  #2018Wrapped @Spotify https://t.co/PmplkJhKvm"
2018-12-04 14:47:51,"RT @pattonoswalt: Cohen’s wife and father-in-law are going to kill Mr. Miracle? Not likely! As one of the New Gods, Scott Free was raised o…"
2018-12-03 08:04:55,♫ My Top 2 #lastfm artists: The Jam (1) &amp; Wilco (1) via @tweeklyfm #whatimlisteningto
2018-11-26 08:05:00,"♫ My Top 5 #lastfm artists: Spoon (3), Billie Marten (2), Dinosaur Jr. (2), Maggie Rogers (2) &amp; Manchester Orchestr… https://t.co/DV7vdVSsSy"
2018-11-19 08:05:05,"♫ My Top 5 #lastfm artists: Dinosaur Jr. (1), Elvis Costello &amp; The Attractions (1), Fugazi (1), Hüsker Dü (1) &amp; Jaw… https://t.co/R2bXTGMscw"
2018-11-12 08:07:21,"♫ My Top 5 #lastfm artists: Bauhaus (1), Billy Bragg (1), Buzzcocks (1), Elvis Costello (1) &amp; Gang of Four (1) via… https://t.co/k5Hpf60Fm6"
