timestamp,tweet_text
,mrs. jaworski 💍🔥 fur mama 🍳🐱 living #HappilyEverJaws 🦈💛,
2019-11-14 03:31:35,I just earned the 'To The Port (Level 29)' badge on @untappd! https://t.co/SpLjldmdPV
2019-11-13 12:32:53,RT @dougbies: It’s a shame that more people don’t spontaneously combust
2019-11-13 12:32:21,RT @TheJudge44: Wait... what....? https://t.co/z4i9MHTAVr
2019-11-12 11:43:33,@HotMessWife July!
2019-11-12 00:11:45,@HotMessWife Thank you!
2019-11-11 14:43:02,@HotMessWife 🥳 hi!
2019-11-11 12:49:02,"RT @OnlyInBOS: What is a veteran?   A ""Veteran"" - whether active duty, discharged, retired, or reserve - is someone who, at one point in hi…"
2019-11-11 12:48:48,"@HotMessWife Nope, I have work."
2019-11-10 23:07:10,4 of 5 stars to The Madman’s Daughter by Megan Shepherd https://t.co/qn5KJFb8s2
2019-11-10 19:45:04,RT @topaz_kell: Being annoyed by everything is a lifestyle.
2019-11-10 14:05:09,"On page 300 of 420 of The Madman’s Daughter, by Megan Shepherd https://t.co/NRfVrPiKzB"
2019-11-10 03:08:36,I just earned the 'Better Together (Level 71)' badge on @untappd! https://t.co/JpM6WpW8mo
2019-11-10 02:59:32,I just earned the '99 Bottles (Level 93)' badge on @untappd! https://t.co/tIK235dyDU
2019-11-10 01:24:37,I just earned the 'Belgian Holiday  (Level 13)' badge on @untappd! https://t.co/Q694cYWcFl
2019-11-10 01:24:36,I just earned the '99 Bottles (Level 92)' badge on @untappd! https://t.co/NPzLztqTCs
2019-11-10 00:57:33,I just earned the 'By The Campfire (Level 6)' badge on @untappd! https://t.co/ESZgGwX025
2019-11-09 23:55:35,I just earned the 'Hopped Down (Level 100)' badge on @untappd! https://t.co/GOwR6bFvBS
2019-11-09 21:17:40,"I just earned the 'Tag, You're It!' badge on @untappd! https://t.co/Uq04fuIVbr"
2019-11-09 21:03:36,I just earned the 'Silence of the Lambics (Level 12)' badge on @untappd! https://t.co/ke7cZvFaY4
2019-11-09 20:25:32,I just earned the 'Ich Bin Ein Berliner (Level 21)' badge on @untappd! https://t.co/XZPtt7L7ew
2019-11-09 19:13:35,I just earned the 'Sky's the Limit (Level 92)' badge on @untappd! https://t.co/4D1BY0ttcT
