timestamp,tweet_text
,When you gaze long into an abyss the abyss also gazes into you~ Nietzsche,
2019-11-11 23:43:40,5 of 5 stars to The Numbers Killer by Jenifer Ruff https://t.co/tVpVA8zsgQ
2019-11-09 17:47:35,5 of 5 stars to Free to Kill by Julie Mellon https://t.co/53vepoco4J
2019-11-08 22:02:14,5 of 5 stars to Hidden Covenant by J.A. Bouma https://t.co/S0a02rHec4
2019-11-06 21:38:14,5 of 5 stars to The Thirteenth Apostle by J.A. Bouma https://t.co/w1PqKJnmdf
2019-11-06 18:24:11,5 of 5 stars to Holy Shroud by J.A. Bouma https://t.co/42gcvthfdd
2019-10-26 04:18:13,5 of 5 stars to The Witching House by Brian Moreland https://t.co/MkHIGI2UXR
2019-10-24 00:49:04,5 of 5 stars to One Night in Drake Mansion by Channing Whitaker https://t.co/VgrgJ3q3uM
2019-10-12 23:35:43,5 of 5 stars to The Bone Forest by V. J. Chambers https://t.co/RqKEcOtSyB
2019-10-07 02:30:55,4 of 5 stars to Slaying of the Innocents by Robert Dustman https://t.co/ClIy0J7t1H
2019-09-30 09:42:52,5 of 5 stars to Viral Intent by Judith Lucci https://t.co/De07811xAt
2019-09-16 16:46:59,5 of 5 stars to The Revelation Code by Andy McDermott https://t.co/SMBTofKLrA
2019-08-31 01:41:50,5 of 5 stars to Shadow Sins by Derek Fee https://t.co/z55o7FlmPB
2019-08-31 01:07:41,4 of 5 stars to The Formula by Sam Artigliere https://t.co/gUj5LOufdb
2019-08-24 04:18:34,5 of 5 stars to Blessed Be the Wicked by D.A. Bartley https://t.co/LNmWCOa4sn
2019-08-11 04:12:15,5 of 5 stars to Death Report by Erik Racker https://t.co/omVwXx79yt
2019-08-07 01:17:17,5 of 5 stars to Shepherd's Warning by Cailyn Lloyd https://t.co/wr3ABBbJhE
2019-07-28 03:28:43,5 of 5 stars to Witch Hunt by S.M. Reine https://t.co/3WlLbu0uA0
2019-07-21 06:09:04,5 of 5 stars to The Devil's Closet by Stacy Dittrich https://t.co/GgjLeNdg0I
2019-07-19 01:46:28,5 of 5 stars to The Devil's Eye by J.R. Rain https://t.co/GBrXg8s6K0
2019-07-15 08:18:18,5 of 5 stars to Dangerous Mistakes by Susan Hunter https://t.co/jqN7M8ylpA
2019-07-14 23:10:38,5 of 5 stars to The Devil's Woods by Brian Moreland https://t.co/9ylUC4Edlk
2019-07-08 16:16:45,5 of 5 stars to Backwater Bay by Steven Becker https://t.co/GmUWWlvGVV
2019-06-27 11:34:36,5 of 5 stars to The People in the Woods by Robert Brown https://t.co/OKuiN8yadk
2019-06-27 01:39:39,5 of 5 stars to Frenzied - A Suspense Thriller by Brandon Massey https://t.co/qBXC0ybAGf
2019-05-26 04:56:44,5 of 5 stars to Dark Path by Melissa F. Miller https://t.co/ceP1aMOswc
2019-05-13 14:55:49,5 of 5 stars to Winter's Origin by Mary Stone https://t.co/hM3PIopAzU
2019-05-11 18:05:03,5 of 5 stars to Frost and Ashes by Inger Wolf https://t.co/hzgYOvthde
2019-04-16 00:20:50,5 of 5 stars to Forest of the Damned by Lee Mountford https://t.co/01JfcI3ghj
2019-04-10 21:42:37,5 of 5 stars to Turn The Other Way by Stuart James https://t.co/wYWJnZkSwp
2019-04-09 00:34:55,5 of 5 stars to The Scrolls of Velia by John McWilliams https://t.co/7vHOsAYmGT
2019-03-27 22:53:51,5 of 5 stars to Escape! by Iain Rob Wright https://t.co/BUgG4MQcUN
2019-03-26 21:12:58,4 of 5 stars to MR. Snip by Lucas T Harmond https://t.co/wM7mY5Tkm3
2019-03-20 22:38:54,5 of 5 stars to Azrael by M.T. Ellis https://t.co/tZSZPqpHZd
2019-03-13 21:33:37,@facebook Ha!  Thought I’d been thrown in jail. 🙄
2019-01-27 06:02:27,5 of 5 stars to Reprobation by Catherine Fearns https://t.co/dhvOvixukr
2019-01-22 14:29:35,5 of 5 stars to Nearly Dead by Conrad Jones https://t.co/ecDC20cuBf
2019-01-18 20:13:11,5 of 5 stars to In Cold Blood by Willow Rose https://t.co/b9mIUx8msl
2019-01-17 02:02:15,5 of 5 stars to In the House of the Lord by Jessie Bradford https://t.co/2JUk6QsPra
2019-01-16 16:19:35,5 of 5 stars to Six by Jack Harney https://t.co/IcREyP0boU
2019-01-11 15:27:09,5 of 5 stars to Shadow Hills by Ryan Kane https://t.co/MgQqyzGa3O
2019-01-10 20:00:15,5 of 5 stars to The Trouble With Being God by William F. Aicher https://t.co/qT6mHPytr8
2019-01-10 20:00:15,5 of 5 stars to Mask of Silence by Alex C. Gates https://t.co/Q9HbTyQ9wg
2019-01-07 22:38:09,5 of 5 stars to Rituals of the Dead by Jennifer S. Alderson https://t.co/6n4qxa6c6N
2019-01-03 20:59:27,"Finished with The City, by S.C. Mendes: Holy $@&amp;? If you like the writings of Bryan Smi... https://t.co/nk6exkAcwn"
2019-01-01 18:34:24,4 of 5 stars to Blue Baby by Carolyn Arnold https://t.co/2EBoGSVFrS
2018-12-27 22:40:06,5 of 5 stars to Pulse by Celina Grace https://t.co/nrVrd2XWhj
2018-12-27 12:23:16,5 of 5 stars to Tiskerskillerton by Clifford Rutley https://t.co/YrilL5ui7K
2018-12-26 08:59:44,5 of 5 stars to The Saint Maker by Leonard Holton https://t.co/suGbwiwbGG
2018-12-21 15:40:47,5 of 5 stars to FireSong by Aaron Paul Lazar https://t.co/nBRHqRrYA4
2018-12-17 16:45:01,5 of 5 stars to De Profundis by Gabriella Messina https://t.co/gDqFMNWIGt
2018-12-16 00:33:12,5 of 5 stars to Harm None by Will North https://t.co/8z3XJvEGWI
2018-12-11 19:03:03,5 of 5 stars to The Shivering by Joseph W. Bebo https://t.co/lWpNhqzPrF
2018-12-10 20:48:14,5 of 5 stars to The Ten by Luke Swanson https://t.co/7nSCy8sJkp
2018-12-07 06:00:29,5 of 5 stars to Beyond Salvation by Darcia Helle https://t.co/wQSCrJAEcQ
2018-12-06 15:02:59,5 of 5 stars to Blood River by C.E. Nelson https://t.co/ul0dPXJwco
2018-12-05 14:25:47,5 of 5 stars to The Magus Covenant by Toni Pike https://t.co/4kXri3Kg0Q
2018-12-04 02:38:27,5 of 5 stars to Late Checkout by Alex Walters https://t.co/cRzXBEoKYw
2018-11-30 19:03:47,5 of 5 stars to The Last Sin by K.L. Murphy https://t.co/ka9yO29K7L
2018-11-21 09:50:43,5 of 5 stars to The Inn by Scott Dyson https://t.co/EPF9zgEUZk
2018-11-20 20:00:10,4 of 5 stars to Everett by Jenifer Ruff https://t.co/f0KWp1sVv9
2018-11-19 11:52:49,5 of 5 stars to Murder on the Old Bog Road by David Pearson https://t.co/AY2bS606eW
2018-11-08 17:07:04,4 of 5 stars to The Devil's Run by Richard Knee https://t.co/vCPX9heR2W
2018-11-08 00:24:20,5 of 5 stars to The Darkest Place by Daniel Judson https://t.co/iuQODD6Vp1
2018-11-03 04:56:34,5 of 5 stars to Collecting Death by Ron Ripley https://t.co/eceCidO1vl
2018-11-01 21:06:18,5 of 5 stars to The Wrong by Heather K. Duff https://t.co/PKXu6eZQaY
2018-10-29 23:53:06,5 of 5 stars to Deadly Illusions by Robert Brown https://t.co/EK0kBniMcU
2018-10-29 23:11:51,People are really trying their best to piss me off today
2018-10-25 20:13:26,5 of 5 stars to Friends List by Rob Watson https://t.co/yvqHdfcoPI
2018-10-23 15:48:46,5 of 5 stars to Cataclysm by Theresa Jacobs https://t.co/HphIPj8rVV
2018-10-21 23:37:59,5 of 5 stars to The Missing Children by M.A. Comley https://t.co/xiVuvDUiUF
2018-10-13 14:46:44,5 of 5 stars to Phantasos by Robert Barnard https://t.co/V6nG4Eu8Bn
2018-10-12 23:44:29,4 of 5 stars to Welcome to the Haunted Mansion by Marco Chu Kwan Ching https://t.co/5HsBqyt3pM
2018-10-10 21:46:16,5 of 5 stars to Grave Encounters by Emily Stone https://t.co/QyQvyJfOk5
2018-10-09 10:35:14,5 of 5 stars to Hellsworld Hotel by Matthew Vaughn https://t.co/V08j2K2I98
2018-09-27 01:36:59,5 of 5 stars to Quiet Evil by Morgan James https://t.co/7b7lzOh9F5
2018-09-23 17:30:42,4 of 5 stars to The Case Of The Death Book by Michael Pickford https://t.co/YbVOQE6iTG
2018-09-23 15:10:28,5 of 5 stars to Mountain of the Dead by Jeremy Bates https://t.co/lYyIddOlVs
