timestamp,tweet_text
,"Books and coffee and dogs, oh my! Future New Yorker. 54% Sith/46% Jedi. Ravenclaw. Cancer slayer. Detroit baseball fan. Former ballerina. KTBSPA #metoo",
2019-11-11 23:08:11,"On page 82 of 536 of Crooked Kingdom, by Leigh Bardugo https://t.co/rNHOsIvXhA"
2019-11-11 03:11:40,"On page 70 of 536 of Crooked Kingdom, by Leigh Bardugo https://t.co/fOK45Sjwqz"
2019-11-11 01:23:44,"On page 39 of 536 of Crooked Kingdom, by Leigh Bardugo https://t.co/nDi6nGhka9"
2019-11-10 21:45:02,5 of 5 stars to Winterwood by Shea Ernshaw https://t.co/NjGGUwpKqU
2019-11-10 17:01:27,"On page 283 of 320 of Winterwood, by Shea Ernshaw https://t.co/wbf8J2Pstd"
2019-11-10 04:39:39,"On page 253 of 320 of Winterwood, by Shea Ernshaw https://t.co/Wj3uTIhpAE"
2019-11-10 02:20:21,"On page 165 of 320 of Winterwood, by Shea Ernshaw https://t.co/kXwXKbPOh5"
2019-11-10 00:36:33,"On page 102 of 320 of Winterwood, by Shea Ernshaw https://t.co/RWAJLm7RhH"
2019-11-09 19:51:40,"On page 64 of 320 of Winterwood, by Shea Ernshaw https://t.co/CO06ZhSNEG"
2019-11-09 17:47:32,"On page 22 of 320 of Winterwood, by Shea Ernshaw https://t.co/BKcY8L217V"
2019-11-09 16:55:56,3 of 5 stars to The Beautiful by Renée Ahdieh https://t.co/YC5tyxbeCa
2019-11-09 03:10:58,"On page 361 of 448 of The Beautiful, by Renée Ahdieh https://t.co/FFmCxIihI2"
2019-11-08 19:24:13,"On page 308 of 448 of The Beautiful, by Renée Ahdieh https://t.co/hPTQv9WkeM"
2019-11-08 01:36:05,"On page 281 of 448 of The Beautiful, by Renée Ahdieh https://t.co/jMiP9hj46a"
2019-11-08 01:36:05,"On page 281 of 448 of The Beautiful, by Renée Ahdieh https://t.co/BGnUa8hpHN"
2019-11-07 23:35:58,"On page 233 of 448 of The Beautiful, by Renée Ahdieh https://t.co/hxFLDHYuBs"
2019-11-07 17:59:25,@DisneyPlusHelp When will Disney+ be available on FireTV?
2019-11-07 17:52:33,"On page 160 of 448 of The Beautiful, by Renée Ahdieh https://t.co/nsfvgXSfio"
2019-11-07 14:21:01,"@LBardugo So well earned. #NinthHouse is the kind of book that once you finish it, it makes it hard to read another… https://t.co/WGsFcqyDMw"
2019-11-07 14:11:52,"On page 115 of 448 of The Beautiful, by Renée Ahdieh https://t.co/jSBs13lPFo"
2019-11-06 01:55:59,"On page 63 of 448 of The Beautiful, by Renée Ahdieh https://t.co/6iSqHy7dLX"
2019-11-02 15:50:18,@lbardugo I’m still in the hospital. It’s been seven weeks and 10 days have been spent back and forth in the ICU. I… https://t.co/y2Oi2mB7TY
2019-11-02 00:04:50,5 of 5 stars to Ninth House by Leigh Bardugo https://t.co/RwyKCjiHPS
2019-11-01 15:46:18,"On page 428 of 458 of Ninth House, by Leigh Bardugo https://t.co/usrr0JgWga"
2019-10-25 23:08:49,@AshleighAHaynes Agree.
2019-10-21 23:45:36,"On page 368 of 458 of Ninth House, by Leigh Bardugo https://t.co/Pl2ldary0Z"
2019-10-21 02:53:26,"On page 345 of 458 of Ninth House, by Leigh Bardugo https://t.co/aAd9hqasQ4"
2019-10-16 23:17:19,RT @LBardugo: Could not be more thrilled! What a list to be a part of. Thanks to everyone who supported me and Alex Stern. MORS VINCIT OMNI…
2019-10-16 00:06:57,"On page 299 of 458 of Ninth House, by Leigh Bardugo https://t.co/BmClupKUyg"
2019-10-15 22:21:14,@LBardugo Awesome! Thank you!
2019-10-15 20:00:26,"On page 263 of 458 of Ninth House, by Leigh Bardugo https://t.co/xgZ6uZcPJm"
2019-10-15 17:14:38,"@LBardugo So I’m reading an ARC copy of Ninth House. Is there a map somewhere? Also, is II Montange something diffe… https://t.co/vUa6LVDZTP"
2019-10-10 21:47:45,"On page 225 of 480 of Ninth House, by Leigh Bardugo https://t.co/W13zETyyuu"
2019-10-10 19:41:04,@LBardugo I’m reading the ARC you sent me — I treasure it. It’s incredible so far. Cross your fingers that my hemog… https://t.co/sc83w1KF1x
2019-10-10 19:28:32,@LBardugo I’m stuck in the hospital with complications from a bone marrow transplant with no end in sight and right… https://t.co/QZ0uf2rb5x
2019-10-10 18:38:25,"On page 175 of 480 of Ninth House, by Leigh Bardugo https://t.co/XU17wkkrmE"
2019-10-10 02:35:16,"On page 130 of 480 of Ninth House, by Leigh Bardugo https://t.co/3ceG3tmwRl"
2019-10-09 18:20:36,"On page 72 of 480 of Ninth House, by Leigh Bardugo https://t.co/VRGYsfmBUK"
2019-10-07 21:23:59,"On page 35 of 480 of Ninth House, by Leigh Bardugo https://t.co/CeYWXG900i"
2019-10-07 18:00:42,2 of 5 stars to Serpent &amp; Dove by Shelby Mahurin https://t.co/O6w3B8wqwb
2019-10-05 20:52:51,"44% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/et1xob6ORf"
2019-10-04 17:25:27,"35% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/wc4ay1lbLs"
2019-10-02 15:43:18,"27% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/MPys7DGIYr"
2019-09-20 19:12:17,"11% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/fRFOCVUFGM"
2019-09-20 19:12:17,"11% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/7s1PMi6PE5"
2019-09-20 14:34:28,4 of 5 stars to The Cheerleaders by Kara Thomas https://t.co/SXamTIyMD7
2019-09-20 02:22:18,"On page 272 of 384 of The Cheerleaders, by Kara Thomas https://t.co/zyGkr4Lt9J"
2019-09-19 21:03:11,"On page 223 of 384 of The Cheerleaders, by Kara Thomas https://t.co/7g6emjHGnu"
2019-09-19 18:18:16,"On page 151 of 384 of The Cheerleaders, by Kara Thomas https://t.co/4NFOvEpCPX"
2019-09-19 15:17:38,"On page 75 of 384 of The Cheerleaders, by Kara Thomas https://t.co/A7O089mSHX"
2019-09-18 11:06:23,"RT @LzLwsn: OFFICIAL PETITION for an upper YA category that's, like, 18-25 (cause god knows college is a weird time &amp; the years after colle…"
2019-09-16 19:57:38,3 of 5 stars to Two Can Keep a Secret by Karen M. McManus https://t.co/HnGmj95mAR
2019-09-16 18:42:32,"On page 255 of 336 of Two Can Keep a Secret, by Karen M. McManus https://t.co/1lkQMuQN03"
2019-09-16 17:06:19,"On page 180 of 336 of Two Can Keep a Secret, by Karen M. McManus https://t.co/j4RLlVdl0Y"
2019-09-15 16:25:55,"On page 111 of 336 of Two Can Keep a Secret, by Karen M. McManus https://t.co/u82tQN0HGK"
2019-09-14 16:44:54,@cxorlando Bitterblue by Kristin Cashore Clockwork Princess by Cassie Clare The Coldest Girl in Coldtown by Holly B… https://t.co/pt9Vm60ENo
2019-09-05 14:46:44,Knitting stitches https://t.co/37P7rpabwR
2019-08-26 13:53:45,RT @humorandanimals: guess which dog has never seen the ocean (thepetcollective) https://t.co/lZgzo9HnmD
2019-08-26 01:38:11,"RT @RexChapman: Dogs, bruh...💪😍😏😇😉  https://t.co/UnPKCspQFN"
2019-08-26 01:30:55,RT @dog_feelings: the small neighbor human. goes back to school tomorrow. so we spent the whole day together. doing our favorite things. i…
2019-08-25 16:02:11,RT @GeorgeTakei: Crazy idea for @JeffBezos. Your company has taken some flak for not paying taxes and worker conditions. What an amazing gi…
2019-08-20 10:27:57,"@mimi_albert Gilmore Girls, This is Us, Grey’s Anatomy ..."
2019-08-19 21:07:58,RT @dog_rates: This is Ace. He is a dalmatian/pitbull mix with a few words for you. These took forever without thumbs so he hopes you like…
2019-08-15 23:29:17,RT @johnlegend: The President of the United States is joining with a foreign government to punish duly elected representatives of the peopl…
2019-08-15 22:51:35,RT @jennyhan: It’s official. https://t.co/Z13XlM0a2D
2019-08-12 14:08:08,@mimi_albert Gossip Girl
2019-08-12 14:04:43,@MrRAnderson78 Always.
2019-08-12 12:41:15,"@realDonaldTrump You know, pointing out that Scaramucci was fired in 11 days only points to the fact that your judg… https://t.co/5PwfaiwLn4"
2019-07-31 19:21:44,"@realDonaldTrump He’s supposed to report on the facts, and the fact is, you are a big steaming racist poop pile. An… https://t.co/jrWHyq4jKH"
2019-07-26 15:33:59,"RT @emrazz: If you’re not anti-rape-in-all-circumstances, you’re pro-rape. If someone asks you whether rape is wrong, and your answer is, “…"
2019-07-26 15:32:02,"@realDonaldTrump Let’s not pretend you read it, 45. We all know your reading level is not that high."
2019-07-25 19:05:19,RT @AOC: Today I was asked why we should bother paying interns if they’re “getting experience for their résumé.”  Here’s what we have say a…
2019-07-25 19:00:41,RT @Iilqueer: i’ve never gotten so mad over a video https://t.co/TxX08C8djY
2019-07-24 21:34:29,@graciee_murrayy @GUBLERNATION YESSSSSS! I couldn’t place it but that’s it!
2019-07-23 20:43:18,@bathbodyworks This is the time of year I usually stock up on my favorite fall scented body products and candles th… https://t.co/urFVVdoscp
2019-07-21 21:20:30,"@realDonaldTrump Wrong. They want to fix what you’ve broken. They have the bravery to stand up for what is right, w… https://t.co/T6VRrMcqqL"
2019-07-20 17:32:01,RT @ashleyn1cole: So I guess the story we’re going with is that we can impeach a president for lying about an affair. But not for lying abo…
2019-07-17 18:41:17,"I mean, I’m going to watch the reboot, because I love Gossip Girl. But let’s not kid ourselves into thinking anyone… https://t.co/GF5woJFYgp"
