timestamp,tweet_text
,"I'm a small girl with a big heart❣ Old enough to know better, but young enough to not care.",
2019-11-11 20:08:10,Marked as to-read: White Hot by Ilona Andrews https://t.co/1bwlSVoKFR
2019-11-10 20:06:31,3 of 5 stars to Wondrous Strange by Lesley Livingston https://t.co/chB3thjfLe
2019-11-09 18:43:35,Marked as to-read: Wondrous Strange by Lesley Livingston https://t.co/chB3thjfLe
2019-11-05 10:28:39,5 of 5 stars to The Cruel Prince by Holly Black https://t.co/zcOb5l0WOO
2019-11-01 19:04:37,https://t.co/PS4wg6FcQQ
2019-10-29 22:07:05,Marked as to-read: The Lost Sisters by Holly Black https://t.co/NpaDB76Yhh
2019-10-29 15:20:20,Marked as to-read: Working for the Devil by Lilith Saintcrow https://t.co/gGbYFh7FqZ
2019-10-28 19:38:01,5 of 5 stars to Heart on Fire by Amanda Bouchet https://t.co/fQZAuHsPV9
2019-10-23 20:29:54,5 of 5 stars to Breath of Fire by Amanda Bouchet https://t.co/rZDVPBQ8IR
2019-10-23 09:43:49,5 of 5 stars to A Promise of Fire by Amanda Bouchet https://t.co/4uLrgU1Wge
2019-10-21 07:56:40,Marked as to-read: A Promise of Fire by Amanda Bouchet https://t.co/p34shHCrLV
2019-10-19 20:45:20,Marked as to-read: Red Winter by Annette Marie https://t.co/z2Ku9obglJ
2019-10-05 20:26:24,5 of 5 stars to Crystal Crowned by Elise Kova https://t.co/2FjTqULJxu
2019-09-30 20:27:23,Marked as to-read: Crystal Crowned by Elise Kova https://t.co/2FjTqV3kW4
2019-09-29 03:38:58,5 of 5 stars to Fire Falling by Elise Kova https://t.co/3eCaUhZ23x
2019-09-27 00:19:28,5 of 5 stars to Air Awakens by Elise Kova https://t.co/LoESAeKNXJ
2019-09-23 20:52:01,4 of 5 stars to Until the Sun Falls from the Sky by Kristen Ashley https://t.co/E7XP4T1tny
2019-09-16 18:42:01,Marked as to-read: Until the Sun Falls from the Sky by Kristen Ashley https://t.co/E7XP4T1tny
2019-07-24 20:11:29,"📷 I miss you, ʟօʋɛ.🖤 https://t.co/bBu3nvOmJA"
2019-05-27 00:24:49,Marked as to-read: City in Embers by Stacey Marie Brown https://t.co/8WbgNLAmqv
2019-04-24 10:16:01,Marked as to-read: The Mister by E.L. James https://t.co/0vHg6b36mM
2019-04-17 14:05:57,"I might only have one match, but I can make an explosion. 💅🏻 https://t.co/UmL96kabBe"
2019-01-03 10:24:53,Back to reality 😣 #buhayofw
2019-01-01 15:33:25,WITH MAMA AND LOVES =))
2018-12-31 07:06:34,I only date handsome guys.
2018-11-11 08:20:31,Marked as to-read: His Mate and His Mistress by Irtania Adrien https://t.co/xFB6d1L3T2
2018-11-07 19:38:22,Marked as to-read: Tarnished Crown by Erin Watt https://t.co/y67Y2DG5Wb
2018-11-07 19:38:22,Marked as to-read: Twisted Palace by Erin Watt https://t.co/DqvB17O19X
2018-11-06 20:44:42,Marked as to-read: Paper Princess by Erin Watt https://t.co/UWsn5o87t1
2018-10-29 20:53:10,Marked as to-read: Playing for Keeps by R.L. Mathewson https://t.co/yMALbCVO9D
2018-10-24 20:02:41,Marked as to-read: Tapping the Billionaire by Max Monroe https://t.co/34ecPJpYoX
2018-10-22 17:26:18,Marked as to-read: The Devil in Disguise by Cynthia Eden https://t.co/QAzG4U4Sux
2018-10-22 05:46:55,Marked as to-read: Threads That Bind by Brant Williams https://t.co/tW8YwCseY9
2018-10-21 20:03:59,5 of 5 stars to Ondine Quartet by Emma Raveling https://t.co/Qz9o6S8zvQ
2018-10-20 14:35:32,5 of 5 stars to Billow by Emma Raveling https://t.co/Iqc1ZgdgmM
2018-10-17 16:45:35,5 of 5 stars to Whirl by Emma Raveling https://t.co/PmW5QAI3OX
2018-10-17 06:47:28,Marked as to-read: Billow by Emma Raveling https://t.co/Iqc1ZgdgmM
2018-10-16 15:34:18,Come hangout with me on #BIGOLIVE https://t.co/2tyWLVOgXe https://t.co/PUzqamw6f7
2018-10-14 17:22:18,Come hangout with me on #BIGOLIVE https://t.co/ckcB43grnk https://t.co/ARbxhsDnKz
2018-10-08 15:54:11,Come hangout with me on #BIGOLIVE https://t.co/39xcWCeZe3 https://t.co/KxzAAZglhe
2018-09-30 02:56:11,Come hangout with me on #BIGOLIVE https://t.co/g7WSC7uyyV https://t.co/YgOk6srFsl
2018-09-22 20:06:05,Come hangout with me on #BIGOLIVE https://t.co/2YqALVuAqZ https://t.co/OXtHNFXADG
2018-03-02 19:57:54,Marked as to-read: Kiss of Steel by Bec McMaster https://t.co/zCxc5Kg31R
2018-02-26 07:02:21,Marked as to-read: Whirl by Emma Raveling https://t.co/PmW5QAI3OX
2018-02-25 16:27:24,4 of 5 stars to Spell of the Highlander by Karen Marie Moning https://t.co/oRApJnIrht
2018-02-22 20:08:57,Marked as to-read: Spell of the Highlander by Karen Marie Moning https://t.co/oRApJnIrht
2018-02-22 14:33:33,4 of 5 stars to Dark Desire by Christine Feehan https://t.co/XGPl5E6MUj
2018-02-21 19:17:51,3 of 5 stars to Undead and Unappreciated by MaryJanice Davidson https://t.co/gSQ0flDmyg
2018-02-20 17:42:10,4 of 5 stars to Undead and Unemployed by MaryJanice Davidson https://t.co/H4mxKJIqfb
2018-02-19 23:05:28,4 of 5 stars to Undead and Unwed by MaryJanice Davidson https://t.co/EnZEisfsEd
2018-02-17 20:04:01,"Starting Undead and Unwed, by MaryJanice Davidson https://t.co/OtcczzFAyB"
2018-02-17 08:29:12,Marked as to-read: Undead and Unwed by MaryJanice Davidson https://t.co/EnZEisfsEd
2018-02-14 21:54:14,Marked as to-read: The Dream Hunter by Sherrilyn Kenyon https://t.co/rGYDd0u6YN
2018-02-14 13:26:09,5 of 5 stars to Fated by Karen Lynch https://t.co/cAvLqdxNRW
2018-02-14 00:13:22,5 of 5 stars to Haven by Karen Lynch https://t.co/GSL6PtdwkC
2018-02-13 09:39:48,5 of 5 stars to Warrior by Karen Lynch https://t.co/t2F6WlvRqh
2018-02-11 21:44:50,5 of 5 stars to Rogue by Karen Lynch https://t.co/KPkf80w3NS
