timestamp,tweet_text
,#Printables Designer. #Bookmark Maker. Proud #Hufflepuff. #Artist obsessed with color.,
2019-11-12 19:39:49,"On page 162 of 361 of The Trouble with Mistletoe, by Jill Shalvis https://t.co/r0NdaGgpAB"
2019-11-12 14:10:19,"@jmdenouden @goodreads Unless the synopsis really grabbed my attention, I’d probably move on"
2019-11-12 02:16:23,Hosting a Friendsgiving this year? You’ll need an invitation and a digital download is the easiest way to go 😃 See… https://t.co/3aeIA2YBKo
2019-11-11 14:05:17,3 of 5 stars to The Trouble with Christmas by Debbie Mason https://t.co/b1NtisINIb
2019-11-10 23:42:53,Marked as to-read: Christmas in July by Debbie Mason https://t.co/ajtAmWFPSY
2019-11-10 14:43:44,"On page 178 of 380 of The Trouble with Christmas, by Debbie Mason https://t.co/9b70RYwFFJ"
2019-11-09 19:15:01,I so wanted to like this book but I’m really just feeling meh about it. Am thinking it might be a DNF if it doesn’t… https://t.co/Lc2QCxr68a
2019-11-09 17:08:54,Just listed in the shop! See it now - link is in my bio 👉🏻 @inkybitsdesigns  •  •  •  •  •  #inkybitsprints… https://t.co/C7zXJy0EcP
2019-11-09 16:58:51,2 of 5 stars to The Christmas Dog by Melody Carlson https://t.co/uWIBMN4vGC
2019-11-08 16:52:02,3 of 5 stars to Christmas in Snowflake Canyon by RaeAnne Thayne https://t.co/vsy8JcnrWI
2019-11-08 13:18:05,"On page 152 of 368 of Christmas in Snowflake Canyon, by RaeAnne Thayne https://t.co/cKumkoCx1B"
2019-11-07 16:29:16,2 of 5 stars to Mistletoe Murder by Leslie Meier https://t.co/mx84zItPuD
2019-11-07 14:00:30,"On page 87 of 368 of Star-Crossed, by Minnie Darke: Well I’m not sure this book is for m... https://t.co/3skp0Jdpie"
2019-11-07 03:26:26,RT @stardustartco: this holiday season PLS :  SUPPORT SMALL BUSINESSES  SUPPORT SMALL BUSINESSES  SUPPORT SMALL BUSINESSES  SUPPORT SMALL B…
2019-11-07 02:34:32,The perfect invite for the bookworm in your life 📚 Get it now in the shop - link is in my bio 👉🏻 @inkybitsdesigns… https://t.co/3xnuvYcJJd
2019-11-06 16:43:37,RT @lindaholmes: More than one thing can be true. A ton of things can be true. People yelling things back and forth that are all true at th…
2019-11-06 13:23:32,"On page 97 of 224 of Mistletoe Murder, by Leslie Meier https://t.co/z5OcUa7Q6x"
2019-11-05 13:45:14,My first two holiday reads of the season are 1) both cozy mysteries and 2) happen to have the exact same title 😃… https://t.co/ppjk8E8KNx
2019-11-05 13:29:22,2 of 5 stars to Mistletoe Murder by Karen MacInerney https://t.co/o5WxEtp8IP
2019-11-05 01:59:36,An elegant deer baby shower invite done in navy + gold 💙 See it in the shop now - link is in my bio 👉🏻… https://t.co/W562xM7tcU
2019-11-05 00:36:04,RT @BuzzFeed: *dabs eyes* They're just so...so...GOOB!!! https://t.co/GYpMHGyaEn
2019-11-02 22:02:49,4 of 5 stars to Twice in a Blue Moon by Christina Lauren https://t.co/E7M8H3hYTx
2019-11-02 20:23:29,"This was such a cute read 💗 While I’ve never read The Taming of the Shrew, I do adore the movie 10 Things I Hate Ab… https://t.co/FqwYODJfbe"
2019-11-02 18:28:53,Marked as to-read: The Union Street Bakery by Mary Ellen Taylor https://t.co/a6pImRvch3
