timestamp,tweet_text
,just a swedish fish,
2019-11-13 05:48:07,"RT @JOSH_BENNY: Best original screenplay. Best actor, supporting actor and actress. https://t.co/mbcApEPDDW"
2019-11-12 19:33:58,"51% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/e76RlTnWej"
2019-11-12 19:27:46,@saschaher0ndale https://t.co/qaOGzIdisp
2019-11-11 19:31:25,"43% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/ssdSIChiMI"
2019-11-11 19:08:50,@veIaris That was the shit!!
2019-11-10 20:13:47,"21% done with Serpent &amp; Dove, by Shelby Mahurin https://t.co/ue09HkPM0t"
2019-11-10 09:05:55,RT @JackieMButler: #RTExtraLife https://t.co/0BXN4IgdjZ
2019-11-09 21:33:45,5 of 5 stars to Field Notes on Love by Jennifer E. Smith https://t.co/VS3VIKz6sL
2019-11-09 20:41:48,"On page 216 of 271 of Field Notes on Love, by Jennifer E. Smith https://t.co/ZckHwDQblE"
2019-11-09 19:08:56,"On page 124 of 271 of Field Notes on Love, by Jennifer E. Smith https://t.co/2TMJGxSksR"
2019-11-09 15:33:17,"On page 72 of 271 of Field Notes on Love, by Jennifer E. Smith https://t.co/NDAhpmMHzw"
2019-11-09 13:13:41,"On page 25 of 271 of Field Notes on Love, by Jennifer E. Smith https://t.co/CVzFLuq674"
2019-11-08 21:54:16,"5 of 5 stars to Get a Life, Chloe Brown by Talia Hibbert https://t.co/bvvenVYLuQ"
2019-11-05 18:18:04,@whittynovels KAVJSJSKAKSB
2019-11-03 20:36:19,@MrGrik_ OMG
2019-11-03 20:35:43,@whittynovels This was a lot
2019-11-02 00:43:12,RT @pattinsongifs: https://t.co/7Kqtw2ArsN
2019-11-01 09:36:47,"On page 18 of 280 of The Thief, by Megan Whalen Turner https://t.co/jT1yxmAqIW"
2019-11-01 06:03:34,RT @DemetriusHarmon: salem witch trials https://t.co/o6Mx4kXFI8
2019-10-27 20:32:24,"@whittynovels Literally, who is she!!😍"
2019-10-27 17:14:27,5 of 5 stars to Passion on Park Avenue by Lauren Layne https://t.co/oMqB41eN08
2019-10-25 16:53:36,@Rockstar66_6 Yes!
2019-10-25 16:52:03,@Rockstar66_6 The grotle you posted is shiny! You can tell by the sparkles around the avatar!
2019-10-25 16:49:32,Also! These three were all in one day! I also have a shiny shuppet from this event!✨
2019-10-25 16:40:15,@MrGrik_ 😂😂 i try!! My friends hate me rn
2019-10-25 15:46:51,I mean... #PokemonGo https://t.co/Ug0gr1LFsL
2019-10-24 12:37:03,RT @redridingho: the only thing that brings me joy anymore is the colorblind guy on tik tok who sorts m&amp;ms https://t.co/swddmvgrYz
2019-10-23 18:59:58,RT @Iovec1ub: the silence after she said gone girl is actually sending me https://t.co/cJDh9wYNFZ
2019-10-23 18:54:38,"I just scratched my face the fuck up trying to save my ipad from falling off the bed,,, I’m laughing so hard"
2019-10-22 17:14:16,@darneIcress 100% correct
2019-10-22 17:12:37,@darneIcress And i oop-
2019-10-21 07:10:18,5 of 5 stars to Love to Hate You by Jo Watson https://t.co/LRfh8DcGj2
2019-10-20 19:01:53,4 of 5 stars to Ti prego lasciati odiare by Anna Premoli https://t.co/Hz0YDX0YHS
2019-10-20 15:12:03,"50% done with Love to Hate You, by Jo Watson https://t.co/H30X2liHUs"
