timestamp,tweet_text
,"Cowgirl, rancher, best-selling author of the Texas Rodeo series. Walk with me behind the chutes and into the real life of a cowboy.",
2019-11-13 22:13:42,"RT @bcmystery: I know many people are focused on the future of the American republic, but I just got author copies so I’m kinda fixated on…"
2019-11-13 16:53:28,RT @NASA: 'Arrokoth': a Native American term meaning “sky” in the Powhatan/Algonquian language. With consent from Powhatan Tribal elders an…
2019-11-13 16:50:11,I am getting closer to putting out a newsletter every other week with one of the hundreds of short humor pieces I'v… https://t.co/rgHWLZIsiC
2019-11-12 15:40:47,"The descent from the top of the butte yesterday, and a short lesson in ranch horsemanship.   #montana #ranchlife… https://t.co/MBA8qVo8IT"
2019-11-12 14:49:59,RT @marcycampbell: School is still on despite my son turning his pajamas inside out and...putting a curse on our refrigerator.🤔
2019-11-12 14:47:40,Pretty much my standard approach. https://t.co/mgSQ3tWPcW
2019-11-12 14:44:56,"RT @mstiefvater: @mattismusic 🎶 She was a fairy in thigh-highs with nine lives/ blood type was tie-dye, her eyes lied/ said she came from t…"
2019-11-12 14:44:23,"RT @NicoleTHelm: 3 Navy SEAL Cowboys for under $5? A great way to spend a snowy day (or any day, really).  PW called the series ""full of em…"
2019-11-12 14:28:31,"Northeast Glacier County, with the Sweetgrass Hills off in the distance. Sorry for the bobbing and weaving, Hollywo… https://t.co/NDsChY0Adt"
2019-11-11 22:15:15,Gathering at Chalk Butte. Hollywood and I were up on top scouting for any strays in the far corners so nobody had t… https://t.co/7hBIEZISwX
2019-11-11 19:28:32,"RT @rimrockes: Again, where are the military people emojis?  I personally don’t know any astronauts, vampires, or chefs... I’d sure like so…"
2019-11-11 19:27:03,RT @lorettasueross: @jeffreysomers Our entire generation has middle kid syndrome.
2019-11-11 19:24:52,@jmynyc yes!!
2019-11-11 02:04:42,"Almost fifty degrees on Friday, now we’re back to this for a day, then jumping up to thirty five tomorrow, and let’… https://t.co/uFOZTSGORP"
2019-11-11 01:50:01,"So if you're listening @pizzahut , may I just say that your app has proven to be completely dysfunctional every tim… https://t.co/97xJ6nWeic"
2019-11-11 01:45:57,"Oddly enough, I occupy two separate spaces in my own head these days--the actual me, and the me whose name is on th… https://t.co/QwbnF2wFUQ"
2019-11-11 01:41:09,"RT @trishaleighKC: Fun freelance tidbit of the week: Between 1620-1725, 89% of the women who were executed for witchcraft in New England in…"
2019-11-11 01:40:02,RT @DylannCrush: All-American Cowboy is on sale for only $1.99 for a limited time! 🤠🐷❤️https://t.co/AKDzT6vpzH #CowboyBooks #HolidayTX #amr…
2019-11-11 01:39:49,"@jmynyc Also, I've always been jealous of my younger sister because she can do The Rock one eyebrow thing and I can't."
2019-11-11 01:39:00,"@jmynyc There are some common gestures used in writing that are a little unrealistic or over the top, but a lot of… https://t.co/6clEVFAce7"
2019-11-11 01:33:06,"RT @mstiefvater: My car, on the way home: *bumper falls off* Bystander, as I duct tape it back on: can I help? Me: YES I HAVE A NEW BOOK OU…"
2019-11-11 01:31:47,"SO COOL!  And I don't just mean that in a ""it's currently eight degrees below zero at my house"" way. Which it is, f… https://t.co/ZcxMD0sIri"
2019-11-10 16:26:21,"I think of 'just say it' as the Lee Child approach, based in part on this interview:  https://t.co/BcQHgXjdBK"
2019-11-10 16:25:31,"In defense of some of the so-called cliche gestures, I do furrow my brow, and I do shrug A LOT, and nod, and I defi… https://t.co/oTfz8nRMPF"
2019-11-10 16:18:04,RT @tadethompson: UK folks: you need to pay close attention to healthcare in the US before you go to the polling booths. https://t.co/ktini…
2019-11-10 16:13:58,@jmynyc @TheLoneWoman I keep thinking there should be a way we could gang up and lock her in a room one day a week… https://t.co/TM2xiIwJsT
2019-11-10 16:12:31,"@auroranibley Yes, but you may need a lot of time to figure out how to answer. And maybe by text instead of face to… https://t.co/2zzJfU2Y4Z"
2019-11-10 01:24:10,@jmynyc @TheLoneWoman Pretty sure that's what Greg's reaction was the first time he read my stuff.
2019-11-09 18:28:49,@KeriStevens This is why we made good co-explorers in NYC. No wasting time hemming and hawing about what we wanted to do...or not.
2019-11-09 15:42:56,@KeriStevens Back at ya! Highly recommend checking out Stone Kissed:  https://t.co/ugEQY23S9S
2019-11-09 15:38:11,"@KeriStevens Also, you might have noticed that tact is not one of my stronger points, so there's that."
2019-11-09 15:37:34,@LauraDrakeBooks @LauraDrakeBooks I've always been under the impression that Outside the Barrel is one of Flint's f… https://t.co/TAjWZQRMKv
2019-11-09 15:34:59,"RT @DeadDogLake: People on the Rez acting like the cops are the same as the city. Behave, your first cousin is a cop and just helped shovel…"
2019-11-09 15:34:18,"Watching a Gilmore Girls rerun, Jess presents Rory with a copy of his debut novel and make plans to meet up the nex… https://t.co/qkhdazKFO0"
2019-11-09 14:38:28,"@bcmystery I have somehow lost your email address. Can you drop me a line, I have book stuff for you."
2019-11-09 14:13:47,"RT @Botanygeek: All sweet potatoes are transgenic crops. Yep, even the organic ones.  They contain genes inserted into them during a single…"
2019-11-09 14:13:14,RT @KaraLG84: Reasons why you shouldn't use pretty unicode characters in your display name number 10 billion: My screen reader just took ab…
2019-11-09 03:19:21,@jjochwat sent you a DM.
2019-11-09 02:32:37,"More open mic awesomeness at cutbankcreekbrewery @ Cut Bank, Montana https://t.co/Kn8PCZQuU5"
2019-11-09 02:25:21,Open mic night at the cutbankcreekbrewery totally blown away by the talent that shows up in our little town.   layl… https://t.co/oge00a9jH2
2019-11-08 22:34:00,"The famed Chinook arch above in the clouds (a dramatically warmer, usually windy front). And what last night‘so icy… https://t.co/FdP2xREEKQ"
2019-11-08 00:13:28,RT @TheBloggess: Day after tomorrow I'm doing a TedX talk about dealing with depression but I'm failing at memorizing it because I'm curren…
2019-11-08 00:12:53,RT @rezdreams: 90% of children sexually abused know their abusers https://t.co/S4C6fjqk3R
2019-11-08 00:12:27,"Oh, I have it. What I don't have is the urge to do anything but listen to it. This is problematic when we have thre… https://t.co/Bzbzf3CByR"
2019-11-08 00:11:12,@4BethCarpenter I assume there must be a handle involved in a handbasket. Sort of like a handbag?
2019-11-07 15:07:28,"The plus side of living in our snow globe up on the mountain front. Cold air sinks and settles at lower altitudes,… https://t.co/n46AipUq8S"
2019-11-07 04:33:47,Dear God. A reader just emailed me asking for life advice. This person obviously does not follow me on Twitter.
2019-11-07 04:23:56,RT @lakotalaw: Your veganism isn't sustainable if it discriminates against Indigenous people and their traditions. https://t.co/eucjQwHndd
2019-11-07 04:23:20,@LauraDrakeBooks That's a sucky way to end a career.
2019-11-07 00:56:57,RT @mstiefvater: Readers have asked where they can listen to the track I wrote for the Call Down the Hawk audiobook separate from the audio…
2019-11-07 00:55:35,RT @Botanygeek: ‘In 1916 a single fungal disease wiped out 300 million bushels of wheat in North America.’  Occurring right in the middle o…
2019-11-07 00:54:56,"In our esteemed capital city of Helena, MT there is a basket and knick knack store. Guess what they call it. Go ahe… https://t.co/r6D6YJkBEd"
2019-11-06 20:20:06,One of the most awesome people I met at RWA convention last summer. SO happy for Blue. https://t.co/nWyBFW4ppH
2019-11-06 20:05:18,"This may be my favorite potential review line ever:  ""Very few people regret reading it."" https://t.co/ACu0Su9vTT"
