timestamp,tweet_text
,Ciclosofo. Biblionauta. Canoista anticonformista. Decrescente per scelta e per necessità. Dimmi cosa leggi e ti dirò chi sei.,
2019-11-09 17:55:22,I'm #reading Tropico del Cancro by Henry Miller https://t.co/r2L2f5zop0
2019-11-08 15:45:35,I'm #reading Il dottor Semmelweis by Louis-Ferdinand Céline https://t.co/AeuWPwzHEu
2019-11-07 14:37:34,I'm #reading La lettera scarlatta by Nathaniel Hawthorne https://t.co/IaNRxuqP4m
2019-11-04 17:02:23,I'm #reading La lettera scarlatta by Nathaniel Hawthorne https://t.co/IaNRxuqP4m
2019-10-30 09:05:13,I'm #reading Il sistema periodico by Primo Levi https://t.co/uKujT8fhWL
2019-10-23 15:18:55,I'm #reading Martin Eden by Jack London https://t.co/qIeplve1Pg
2019-10-22 16:20:28,3 of 5 stars to Teresa Raquin by Émile Zola https://t.co/NgO1wQXafr
2019-07-23 06:03:42,5 of 5 stars to La vita davanti a sé by Romain Gary https://t.co/4BhVV9zPpO
2019-05-31 06:53:18,5 of 5 stars to I ponti di Madison County by Robert James Waller https://t.co/wegcbG7jbA
2019-05-29 18:35:15,4 of 5 stars to La scopa del sistema by David Foster Wallace https://t.co/gLwSBMZWPa
2019-05-24 19:10:28,3 of 5 stars to Un amore by Dino Buzzati https://t.co/qk21vY9GwQ
2019-05-02 10:38:25,Bagniiiiiniiiiii!!! #pedocin #salvamento #fin #lifeguard #summeriscoming #baywatch #bademeister #assistentebagnanti… https://t.co/KF1dzNz9pt
2019-04-17 14:24:49,Le nuove frontiere del #fooddelivery #deliveroo #kayak #nolimits #mancasoloquesta #magariavenezia #keepalldear… https://t.co/foXXd2pOvb
2019-04-16 14:13:44,Prima il #piacere (#deliveroo #bici) e poi il #dovere (#canoa #kayak) #senonpagaioguarda #senopagaiotagomal… https://t.co/xBghALacYI
2019-04-10 15:51:27,"E anche via #Cividale, famosa roccaforte #longobarda, è conquistata #vitadarider #senondeliverooguarda… https://t.co/Grd50gLdPD"
2019-04-02 19:40:02,"...e mentre torni da una ""facile"" #consegna a #valmaura (zona stadio) ecco che spunta la #malasosta dalla… https://t.co/NkqQ64Jc58"
2019-03-31 20:04:05,"E dopo un'agevole consegna in vicolo degli #scoglioni ops! #scaglioni, anche la temibile #viaCommerciale è conquist… https://t.co/BKiKFWsmWa"
2019-03-31 15:10:35,No..ma..parliamone..#malasosta #scooterististudiati #senonposteggioguarda #Mosconi #stalliperbici @ Pedocin https://t.co/y0N088k3Fw
2019-03-30 12:39:58,Quando sei un #rider in #bici ma sei anche un #canoistastudiato e dopo un bel giretto in #kayak ti tocca una… https://t.co/Omg9n9qWzA
