timestamp,tweet_text
,"Lectora | Tigre | Potterhead | Gryffindor | House Stark | Team Valor | regia, 27 | Feminista💜",
2019-11-12 20:48:10,"On page 52 of 235 of La casa torcida, by Agatha Christie https://t.co/JyDGO5FpR1"
2019-11-12 17:35:44,"@LibreroDeVal Simonopio, Beatriz y los Franciscos lo siento no puedo nombrar solo a uno"
2019-11-12 02:31:57,3 of 5 stars to Piso para dos by Beth O'Leary https://t.co/7EY2JSB9cC
2019-11-12 00:38:07,"80% done with Piso para dos, by Beth O'Leary https://t.co/MV1OOW6xLr"
2019-11-10 21:56:58,"60% done with Piso para dos, by Beth O'Leary https://t.co/A6s3rf5qmI"
2019-11-10 03:44:12,1 of 5 stars to La casa alemana by Annette Hess https://t.co/rSk5SGHDDG
2019-11-10 00:46:52,5 of 5 stars to El murmullo de las abejas by Sofía Segovia https://t.co/XJ86TUQ6b2
2019-11-09 20:44:03,"On page 316 of 496 of El murmullo de las abejas, by Sofía Segovia: No quiero dejar de le... https://t.co/khENORBT17"
2019-11-09 18:35:24,"43% done with Piso para dos, by Beth O'Leary https://t.co/bmEIabmjai"
2019-11-08 23:30:15,"On page 262 of 496 of El murmullo de las abejas, by Sofía Segovia https://t.co/W32Oz55LHn"
2019-11-08 21:15:22,"21% done with Drácula, by Bram Stoker https://t.co/GQDP9wAB6d"
2019-11-08 17:08:16,"On page 236 of 496 of El murmullo de las abejas, by Sofía Segovia https://t.co/eOV2CopQ09"
2019-11-08 04:15:31,Marked as to-read: Un día de diciembre by Josie Silver https://t.co/H0k9GJwCii
2019-11-07 17:33:04,"On page 182 of 496 of El murmullo de las abejas, by Sofía Segovia https://t.co/IFmMUakA37"
2019-11-07 03:11:47,"On page 144 of 496 of El murmullo de las abejas, by Sofía Segovia https://t.co/LcrBg1uvGx"
2019-11-07 00:34:32,"On page 126 of 496 of El murmullo de las abejas, by Sofía Segovia https://t.co/t6cpw9X0rI"
2019-11-06 17:09:00,"11% done with Drácula, by Bram Stoker https://t.co/mGCVwKqWFg"
2019-11-06 03:12:36,"6% done with Drácula, by Bram Stoker https://t.co/H2yzzOJZOF"
2019-11-05 23:19:26,"On page 107 of 496 of El murmullo de las abejas, by Sofía Segovia https://t.co/B2Qtxo0BOT"
2019-11-04 22:17:34,"On page 51 of 496 of El murmullo de las abejas, by Sofía Segovia: Ay llevo 51 páginas y ... https://t.co/UT7ClEsckg"
2019-10-30 16:40:14,RT @marlaisabelle: La historia detrás de El Exorcista.  Abro hilo. https://t.co/Q7c18MGGwC
2019-10-27 22:19:50,5 of 5 stars to Muerte en el Nilo by Agatha Christie https://t.co/htk6hQBEYs
2019-10-27 20:15:03,"On page 169 of 344 of Muerte en el Nilo, by Agatha Christie https://t.co/FYjpSGlVOJ"
2019-10-25 20:08:39,"On page 100 of 344 of Muerte en el Nilo, by Agatha Christie https://t.co/F9bqlU8rBx"
2019-10-24 23:05:35,"On page 51 of 344 of Muerte en el Nilo, by Agatha Christie https://t.co/JfnEKDZmQ7"
2019-10-24 21:32:33,Marked as to-read: Vestido de novia by Pierre Lemaitre https://t.co/jL7N0hFUu2
2019-10-24 16:35:33,"38% done with Piso para dos, by Beth O'Leary https://t.co/j6k474l1wU"
2019-10-23 21:46:43,4 of 5 stars to El instituto by Stephen King https://t.co/wbdQBRBRt2
2019-10-23 17:05:25,4 of 5 stars to Familias Familiares by Vivian Mansour https://t.co/QozkU7fgPi
2019-10-23 03:59:18,Marked as to-read: Pancho Villa. Una biografía narrativa by Paco Ignacio Taibo II https://t.co/oPtzHphmKi
2019-10-21 21:44:58,"On page 510 of 618 of El instituto, by Stephen King https://t.co/VKoUDG82xT"
2019-10-21 10:12:07,"On page 443 of 618 of El instituto, by Stephen King https://t.co/OGWs5kE4Uv"
2019-10-17 23:25:16,@ClubLecturaELdV Danny
2019-10-17 22:01:21,"On page 386 of 624 of El instituto, by Stephen King https://t.co/Kt4IXaT0gy"
2019-10-17 16:40:27,"On page 325 of 624 of El instituto, by Stephen King https://t.co/1Sprkf5oNw"
2019-10-16 22:37:48,"On page 297 of 624 of El instituto, by Stephen King https://t.co/Ej3xDAb9MK"
2019-10-15 22:07:39,"31% done with Piso para dos, by Beth O'Leary https://t.co/04pqbR2X0o"
2019-10-15 16:21:20,"15% done with Piso para dos, by Beth O'Leary https://t.co/42PsKHGdBa"
2019-10-15 01:37:02,5 of 5 stars to El Resplandor by Stephen King https://t.co/QPXMGaDuCT
2019-10-14 22:03:33,"On page 558 of 656 of El Resplandor, by Stephen King https://t.co/alNkJvZrVR"
2019-10-14 19:56:04,"On page 512 of 656 of El Resplandor, by Stephen King https://t.co/hp2GjWdfDp"
2019-10-14 15:32:40,Este evento es todo lo que necesito 😍👻❤️ https://t.co/4oJ1Anq4hq
2019-10-14 02:21:47,"On page 446 of 656 of El Resplandor, by Stephen King https://t.co/ErM9kPRwzw"
2019-10-11 19:56:01,"On page 367 of 656 of El Resplandor, by Stephen King https://t.co/GZHGHG56XO"
2019-10-09 21:44:12,"On page 348 of 656 of El Resplandor, by Stephen King https://t.co/WHrtr7Tfxn"
2019-10-08 19:48:06,"On page 282 of 656 of El Resplandor, by Stephen King https://t.co/6nWjP8xHtF"
2019-10-07 20:30:45,"On page 223 of 656 of El Resplandor, by Stephen King https://t.co/XsazTBKxe6"
2019-10-07 02:16:23,Marked as to-read: La niña alemana by Armando Lucas Correa https://t.co/mE57Rl2A5x
2019-10-06 19:57:48,3 of 5 stars to La casa alemana by Annette Hess https://t.co/rSk5SGHDDG
2019-10-06 03:07:51,"On page 237 of 332 of La casa alemana, by Annette Hess https://t.co/XlScSpOW5D"
2019-10-05 22:16:00,"On page 166 of 332 of La casa alemana, by Annette Hess https://t.co/FEmgbjl1vd"
2019-10-05 18:24:30,"On page 238 of 624 of El instituto, by Stephen King: Luke no me agrada es un personaje q... https://t.co/HIIZbccy3u"
2019-10-05 03:32:41,"On page 100 of 332 of La casa alemana, by Annette Hess https://t.co/rI9Ojeq1B4"
2019-10-04 22:46:07,"On page 33 of 332 of La casa alemana, by Annette Hess https://t.co/pu8yJdXNTY"
2019-10-03 20:59:48,"On page 157 of 656 of El Resplandor, by Stephen King https://t.co/oP4nOiTOON"
2019-10-02 17:36:15,RT @NianticLabs: The application window is now closed for #NianticLive2020 and we'll begin reviewing all the submissions like this great on…
2019-10-02 16:12:45,"On page 106 of 656 of El Resplandor, by Stephen King https://t.co/FSegpf29VL"
2019-10-02 02:19:15,"On page 79 of 656 of El Resplandor, by Stephen King https://t.co/gVWLLHROJ5"
2019-10-01 22:34:52,"On page 46 of 656 of El Resplandor, by Stephen King https://t.co/YbX8xARTjo"
2019-10-01 16:39:33,Marked as to-read: Las batallas en el desierto by José Emilio Pacheco https://t.co/ndbnG9MfFa
2019-10-01 02:20:56,Marked as to-read: Los sufrimientos del joven Werther by Johann Wolfgang von Goethe https://t.co/CvPEio6934
2019-10-01 01:19:21,4 of 5 stars to Una llama entre cenizas by Sabaa Tahir https://t.co/ZGpxDZQiRw
2019-09-30 22:27:32,"On page 406 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/NRJDwmdys4"
2019-09-30 01:13:42,@RaizaRevelles Me encantó el vídeo y más sabiendo que es de  aquí de N.L pero lo que me sorprendió fue que no había… https://t.co/XslKx6QZ2v
2019-09-29 21:07:09,"On page 334 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/wMMmciQlFS"
2019-09-28 22:29:17,"On page 280 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/DyQ2CD8QlV"
2019-09-28 02:16:08,"On page 235 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/8EO4b1IzcQ"
2019-09-27 22:56:24,"On page 198 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/W8tp8GIZzR"
2019-09-27 20:00:25,"On page 119 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/aXOwujZX61"
2019-09-27 16:39:04,"On page 74 of 448 of Una llama entre cenizas, by Sabaa Tahir: Ya le estoy agarrando el g... https://t.co/749rHhXIIP"
2019-09-26 23:27:11,"On page 197 of 624 of El instituto, by Stephen King https://t.co/BcX0apHuWd"
2019-09-25 21:58:45,"On page 139 of 624 of El instituto, by Stephen King https://t.co/NmvFNLdM1Y"
2019-09-25 16:25:56,"On page 121 of 624 of El instituto, by Stephen King https://t.co/vA0mFRfygz"
2019-09-25 03:38:55,Marked as to-read: Las muertas by Jorge Ibargüengoitia https://t.co/dIKXuli80I
2019-09-25 00:48:29,"On page 87 of 624 of El instituto, by Stephen King https://t.co/XhqfyotABT"
2019-09-24 21:06:28,"Finished with Dos crímenes, by Jorge Ibargüengoitia https://t.co/ag5d704fz3"
2019-09-24 18:03:41,"44% done with Dos crímenes, by Jorge Ibargüengoitia https://t.co/XxpvAmSqf5"
2019-09-23 21:30:33,"30% done with Dos crímenes, by Jorge Ibargüengoitia https://t.co/hprN5gVtBC"
2019-09-21 06:13:45,RT @JoseePoy: Abro hilo de escenas de Drake y Josh x Dios no los voy superar nuncaa https://t.co/reyvQPv2Ev
2019-09-19 22:01:23,"On page 44 of 448 of Una llama entre cenizas, by Sabaa Tahir https://t.co/kun5MKV7PC"
2019-09-15 00:18:51,4 of 5 stars to Christine by Stephen King https://t.co/qbYSrELyTO
2019-09-13 22:11:07,"On page 500 of 768 of Christine, by Stephen King https://t.co/2BC5ux2FFN"
2019-09-12 22:29:08,"On page 446 of 768 of Christine, by Stephen King https://t.co/p6uWvb8pJ9"
2019-09-11 21:54:31,"On page 377 of 768 of Christine, by Stephen King https://t.co/0y5gcAYjOc"
2019-09-08 22:07:19,"On page 338 of 768 of Christine, by Stephen King https://t.co/xx2rWPIiSB"
2019-09-08 20:37:26,"On page 321 of 768 of Christine, by Stephen King https://t.co/zJ5lyrBhyi"
2019-09-08 02:24:16,"On page 282 of 768 of Christine, by Stephen King https://t.co/B6tibAHOBA"
2019-09-07 22:32:32,"On page 246 of 768 of Christine, by Stephen King https://t.co/B5EoZqIW5R"
2019-09-07 00:00:28,4 of 5 stars to Little Fires Everywhere by Celeste Ng https://t.co/heERhZ15q4
2019-09-06 17:29:44,"40% done with Little Fires Everywhere, by Celeste Ng: Después de un inicio flojo ahora s... https://t.co/MMZsSJjX9n"
2019-09-06 01:46:19,@LibreroDeVal Acabo de llegar del mandado🤣 ¡corro a verlo!
2019-09-05 22:23:29,"On page 200 of 768 of Christine, by Stephen King https://t.co/CDCk0KWE2n"
2019-09-05 20:27:35,"On page 169 of 768 of Christine, by Stephen King https://t.co/9M9vNIsqKt"
2019-09-04 22:38:29,"On page 110 of 768 of Christine, by Stephen King https://t.co/Zk7DFcF53i"
2019-09-04 20:48:45,"20% done with Little Fires Everywhere, by Celeste Ng https://t.co/SkUvAAiAcq"
2019-09-04 18:16:51,"On page 87 of 768 of Christine, by Stephen King https://t.co/ek5lUoyOMr"
2019-09-04 05:07:14,Marked as to-read: The Boy Who Steals Houses by C.G. Drews https://t.co/2LauJRLLIz
2019-09-04 02:40:08,"On page 60 of 338 of Little Fires Everywhere, by Celeste Ng https://t.co/eGnJ2k2o2C"
2019-09-03 23:47:08,@swaggron333 Hoy me salieron puros huevos de 1km y de 5km y dije bye... guardo mis incubadoras para los regionales 🤷
2019-09-02 22:51:47,3 of 5 stars to Los relámpagos de agosto by Jorge Ibargüengoitia https://t.co/0dgEiXYoaI
2019-09-02 19:44:00,"69% done with Los relámpagos de agosto, by Jorge Ibargüengoitia https://t.co/UH2vYOmZSm"
2019-09-02 03:09:20,"55% done with Los relámpagos de agosto, by Jorge Ibargüengoitia https://t.co/Enetw3lElo"
2019-09-01 21:08:40,"30% done with Los relámpagos de agosto, by Jorge Ibargüengoitia https://t.co/M74JE6FFzE"
2019-09-01 20:26:42,Marked as to-read: Los relámpagos de agosto by Jorge Ibargüengoitia https://t.co/0dgEiXYoaI
2019-09-01 04:41:24,@LibreroDeVal Gracias por organizar este reto !! 💕🎉 Personalmente lo necesitaba y ahora con más seguridad seré constante en mis lecturas 💪
2019-09-01 04:22:01,4 of 5 stars to Agnes Grey by Anne Brontë https://t.co/e8PAyChsU1
2019-08-31 19:58:05,@LibreroDeVal 7 libros ! No había leído tanto en un mes 💕
2019-08-31 15:34:02,"33% done with Agnes Grey, by Anne Brontë https://t.co/0IOTCBJ9dO"
2019-08-31 04:36:43,"13% done with Agnes Grey, by Anne Brontë https://t.co/5Tlxazh9s6"
