timestamp,tweet_text
,"Bookdragon. Geek/Nerd. Slytherpuff. Marvel Fan. Disney Villian. CandyMonster.
Cat Lover.  Addicted to chocolate. NapMaster. Panromantic/Demisexual.",
2019-11-14 01:44:42,"Stress and exhaustion is making me have nightmares, nightmares make me stressed and exhausted...bah! It's fuckin' a… https://t.co/HL2FrHFUrK"
2019-11-14 01:38:42,"57% done with Sentenced to Shakespeare, by Iris Dorbian https://t.co/nMSs0nhLd0"
2019-11-13 23:11:46,1 of 5 stars to And Clouds Passed Above by Thomas Van der Hof https://t.co/zVHS4EQzuB
2019-11-13 22:41:36,"73% done with And Clouds Passed Above, by Thomas Van der Hof https://t.co/Kf8Jl2Z9X9"
2019-11-13 20:37:39,I love naps.
2019-11-12 22:49:54,4 of 5 stars to 스튜디오 짭쪼롬 [Salty Studio] by Omyo https://t.co/rIsYa2DLDC
2019-11-12 17:00:18,1 of 5 stars to Omniverse by William Grace https://t.co/ElgQEax8wt
2019-11-12 15:38:49,4 of 5 stars to Summer Nights by Jill Sanders https://t.co/KHdvHlHA7d
2019-11-12 14:12:57,"55% done with Summer Nights, by Jill Sanders https://t.co/445tRDgQF0"
2019-11-12 13:29:59,"30% done with Summer Nights, by Jill Sanders https://t.co/EJJInzOHvH"
2019-11-12 12:32:12,"@BriarRosette It's okay, just annoyed about it all. I have another interview thursday + i technically have a offer… https://t.co/G66ughGKG0"
2019-11-12 12:31:30,@Anneknud Hehe så bra! :p
2019-11-12 03:45:54,"@BriarRosette Yeah, they were trying to smooth things over and small talk with me, but I was annoyed..  they said t… https://t.co/5FM1jjgBDM"
2019-11-12 02:04:17,"Annoyed as f. Went to an interview ,hopefully and happy. Got there and the spot was already taken. -,- used bussmon… https://t.co/BIXUjIuZGK"
2019-11-12 02:00:32,@brittkneebook Pretty!
2019-11-12 01:59:44,@Anneknud Hvordan gikk det?
2019-11-12 01:58:49,"RT @JennieLy: I think it's that time again, GIVEAWAY TIME  You're all wonderful so I’m giving away a book to one of my followers! Reply to…"
2019-11-11 22:49:08,2 of 5 stars to Magic Heist by Mary Karlik https://t.co/0Zf5u8Y4ix
2019-11-11 22:17:36,3 of 5 stars to The Immortal City by Amy Kuivalainen https://t.co/hXMdSaxFRj
2019-11-11 16:48:55,"82% done with The Immortal City, by Amy Kuivalainen https://t.co/UvaUeLekvD"
2019-11-11 15:45:57,"On page 30 of 324 of The Immortal City, by Amy Kuivalainen https://t.co/FdRhkIJPPz"
2019-11-11 15:13:00,"On page 16 of 324 of The Immortal City, by Amy Kuivalainen https://t.co/pLrOSCYaZC"
2019-11-10 14:58:58,"75% done with Last Summer, by Kerry Lonsdale: Woah. did NOT see that coming. https://t.co/qHLMmLinju"
2019-11-10 14:11:40,"42% done with Last Summer, by Kerry Lonsdale https://t.co/YizOBizD3r"
2019-11-10 13:41:39,"31% done with Last Summer, by Kerry Lonsdale https://t.co/mPnxNY0ILK"
2019-11-09 23:10:30,4 of 5 stars to Carmilla by Kim Turrisi https://t.co/8fvsbBB552
2019-11-09 21:45:25,"58% done with Carmilla, by Kim Turrisi https://t.co/zmKFXZsWGd"
2019-11-09 14:20:09,"23% done with Carmilla, by Kim Turrisi https://t.co/dpmbq4NVBp"
2019-11-09 01:14:54,4 of 5 stars to Ever Alice by H.J. Ramsay https://t.co/mVMUjKqm0o
2019-11-08 23:30:15,"51% done with Ever Alice, by H.J. Ramsay https://t.co/faBZ5ltZRM"
2019-11-08 22:08:45,"32% done with Ever Alice, by H.J. Ramsay https://t.co/ntJ6rAyVc1"
2019-11-08 01:36:44,5 of 5 stars to Cursed by Karol Ruth Silverstein https://t.co/mGYAiAwder
2019-11-08 00:32:03,"60% done with Cursed, by Karol Ruth Silverstein https://t.co/mQMUKzd3BS"
2019-11-08 00:00:07,"51% done with Cursed, by Karol Ruth Silverstein https://t.co/R9ASy2Zwcg"
2019-11-07 23:27:13,"29% done with Cursed, by Karol Ruth Silverstein https://t.co/nYSgFAWw3L"
2019-11-07 22:40:13,"17% done with Cursed, by Karol Ruth Silverstein https://t.co/UprlIhJWMy"
2019-11-07 21:00:13,I read Vivi's Leading Man by Emily Mims https://t.co/ZKKMhBKh4Y
2019-11-06 20:26:38,"54% done with Vivi's Leading Man, by Emily Mims https://t.co/W2JWWAtHao"
2019-11-05 21:49:10,https://t.co/ZMUEvlcbCw
2019-11-05 21:48:40,@glitzandshadows Retweeted c:
2019-11-05 21:47:59,RT @glitzandshadows: 🗡giveaway🗡 RT/F by 11/11 for one ARC of RUTHLESS GODS *with* the fancy goth jacket.  Int’l okay 👌🏻 https://t.co/KrZuSt…
2019-11-05 21:44:52,I read Skin Hunter by Tania Hutley https://t.co/mTgFSBB4Dg
2019-11-04 19:26:19,"On page 132 of 336 of The Wicked King, by Holly Black https://t.co/fCOqDz41dP"
2019-11-04 16:53:02,"On page 83 of 336 of The Wicked King, by Holly Black https://t.co/1fIdkFy3wT"
2019-11-04 14:03:11,5 of 5 stars to Geekerella by Ashley Poston https://t.co/OR4qZJw7FZ
2019-11-03 16:59:00,"30% done with Geekerella, by Ashley Poston https://t.co/EIy3Fxfwj8"
2019-11-01 01:29:52,RT @bookish_heights: 🎃HALLOWEEN BOOK GIVEAWAY!👻  Win one of the books pictured! (Your choice😊)  To enter: -Follow &amp; RT -INTL as long as Boo…
2019-10-31 10:34:11,@Salsa_Susy Hug &lt;3
2019-10-31 10:34:02,@TheHugFairy Hug &lt;3
2019-10-30 23:11:51,Exhausted.... i need a hug ._. &lt;3
2019-10-29 10:12:23,"So proud tbh, lost almost 2kg after started training!💪💪💜"
2019-10-29 10:10:35,@edwardanddamon Thankful I have such a supportive boyfriend❤
2019-10-26 16:54:11,"54% done with Skin Hunter, by Tania Hutley https://t.co/NBa3dyPXMD"
2019-10-26 15:31:46,"25% done with Skin Hunter, by Tania Hutley: Brugan can go .... somewhere else. https://t.co/CQMBNU1oyO"
2019-10-24 14:03:11,@chaosforcoco @Marie_Lu @CakeForCoco @jenngruenke  @KTsbooknook426 @thebookishchick
2019-10-24 14:02:16,"RT @chaosforcoco: TO WIN, YOU MUST: ⭐️1. Be following BOTH me (@chaosforcoco), and @Marie_Lu! ⭐️2. Retweet! ⭐️3. Tag 3 friends! . For 🔥BONU…"
2019-10-24 14:00:08,RT @KerriManiscalco: ~HALLOWEEN GIVEAWAY~  RT + follow to win a STALKING JACK THE RIPPER series hardcover gift set + double-sided signed po…
2019-10-23 22:24:47,3 of 5 stars to Rose of the Alchemist by L.E. Frost https://t.co/MeJbfER4Yx
2019-10-16 22:15:09,@thebookishchick hugs &lt;3
2019-10-16 22:14:49,@thatdisneychik @daee365 Congratulations!
2019-10-16 22:14:30,@BriarRosette Sending biig hugs &lt;3
2019-10-16 22:13:49,"I want to read, but i'm too tired &lt;.&lt;"
2019-10-15 20:47:48,*Watching Gilmore Girls for 634532 time*
2019-10-15 20:44:21,RT @rachael_emma_89: 🐍 GIVEAWAY!! 🐍  To win a copy of the fantastic KINGDOM OF SOULS by @renathedreamer just follow and retweet.  Open wher…
2019-10-11 19:40:05,4 of 5 stars to The Summer of Sunshine and Margot by Susan Mallery https://t.co/fcUiVqluCK
2019-10-10 20:03:23,"16% done with The Summer of Sunshine and Margot, by Susan Mallery https://t.co/77KbXrCvDZ"
2019-10-10 19:31:28,5 of 5 stars to Flash Point by Shelli Stevens https://t.co/BolPsTNoGo
2019-10-10 18:40:24,"49% done with Flash Point, by Shelli Stevens https://t.co/NGfbX5wZAX"
2019-10-09 23:51:29,"2 of 5 stars to Dumped, Actually by Nick Spalding https://t.co/FvgiCGmSE3"
2019-10-09 22:42:27,"73% done with Templar Silks, by Elizabeth Chadwick https://t.co/Gl9tVRbzML"
2019-10-08 16:20:18,5 of 5 stars to Thief of Cahraman by Lucy Tempest https://t.co/Vp3Jpbge8q
2019-10-08 13:15:43,"56% done with Thief of Cahraman, by Lucy Tempest https://t.co/9T5mrBxZf3"
2019-10-07 21:20:03,Hm the lectures tomorrow and wedensday got cancled! yay!
2019-10-06 14:11:37,3 of 5 stars to All We Knew But Couldn't Say by Joanne Vannicola https://t.co/ytz4ebymzC
2019-10-06 13:58:08,@thebookishchick &lt;3 &lt;3
2019-10-06 13:57:51,@JennieLy Congrats!
2019-10-05 11:35:33,@UtopiaMind The Guinevere Deception! *hope to win* ^^&lt;3
2019-10-05 11:35:00,RT @UtopiaMind: It's time for a November Pre-Order Giveaway! You can win any of the books below OR any YA pre-order in November. INTL as lo…
2019-10-05 11:33:05,@JennieLy Serpent and Dove! &lt;3 *crossing my fingers*  you're so sweet to do this!^^
2019-10-05 11:32:37,"RT @JennieLy: It's #DoSomethingNiceDay, so how about a new giveaway?  Tell me a book you'd love to win down below, winner chosen tomorrow!…"
2019-10-04 14:19:31,@bookish_stars Sending hugs! this must have been so hard to write. You are Awesome! hope you know! &lt;3
2019-10-04 14:10:51,4 of 5 stars to The Women of Dauphine by Deb Jannerson https://t.co/ZwiR7LRT1k
2019-10-04 11:49:42,3 of 5 stars to More Than Anything by Natasha Anders https://t.co/jpCnXL9voC
2019-10-03 22:21:09,"32% done with More Than Anything, by Natasha Anders: Not really sure about this book.... https://t.co/20gstNMLDa"
2019-10-03 21:39:08,2 of 5 stars to Exquisitely Broken by M. Jay Granberry https://t.co/aZvyF398CA
