timestamp,tweet_text
,"🤓Book blogger 🇨🇦Canadian/🇫🇯Fijian/🦅Ravenclaw💙

📸📷Instagram: mybookishbehaviour📷📸",
2019-11-11 22:29:05,"@myreadingisodd She's gonna be like ""my mom loves me!!"" https://t.co/tG4kujVUp6"
2019-11-11 22:27:59,@vanessaleereyes Awesome
2019-11-11 22:26:55,@Tome_Topple The good daughter... poor Charlie https://t.co/LEGFX1icIA
2019-11-11 22:17:07,"I've almost finished my first book for #tometopple ✊🏽✊🏽 btw, this book was awesome and devastating but know I'm pre… https://t.co/eIgK79s57b"
2019-11-11 01:11:35,@StephenKing I'm horrified https://t.co/Nh6Ikixm0H
2019-11-11 01:09:05,@jawsisinmywc @AvaLeeMosley Oh that's a good point. I know! Why do we have to wait for paperbacks which are cheaper… https://t.co/GEMHJqn4gp
2019-11-10 19:31:35,"@jawsisinmywc @AvaLeeMosley 14 or 18 dollars is a price for a paper back here, some are 5 or 8 bucks at the black b… https://t.co/bPglMjyiCH"
2019-11-10 19:29:31,@jawsisinmywc @AvaLeeMosley I live in canada and over here the hard covers for books come out first at 30-50$ and w… https://t.co/JVkvQjmb9m
2019-11-10 17:58:52,"RT @AvaLeeMosley: Okay, I should have clarified... I meant 1.99-5.99 is reasonable for an ebook, although I prefer along the lines of 2.99-…"
2019-11-10 17:58:28,"Ppl just always by the physical book instead. Why? cause it's just a few dollars more &amp; you get to keep it, flippy… https://t.co/aqfWVS61KR"
2019-11-10 17:55:28,@jameslsutter @TheDanWells Fucking Karen
2019-11-10 17:52:55,waiting on more sprints for #tometopple
2019-11-10 17:49:49,I hope this exists in canada too https://t.co/lphmSPavzo
2019-11-10 05:43:35,@csuitesairport Furyborn
2019-11-10 05:41:04,@aMaysn1 @Tome_Topple The twelve by justin Cronin https://t.co/lNOhmIhKg7
2019-11-09 18:40:42,3 of 5 stars to One of Us Is Lying by Karen M. McManus https://t.co/ypYD37iecF
2019-11-09 17:42:43,Read 44/× of 2019 One Of Us Is Lying - Karen M. McManus  3.5/5 stars  So this book has a slightly lower rating due… https://t.co/ChG5pl1bGd
