timestamp,tweet_text
,"Isaac & Rosa, slave children 1863",
2019-11-13 03:38:55,@BreakingBrown Class 6 seems relevant about now. https://t.co/wdKMqsmjsL
2019-11-13 01:32:14,"@WalmartInc My guess is that's one million times more than what Walmart, Inc. paid in taxes in Fremont, Nebraska since 2017."
2019-11-12 17:42:29,@NatUrbanLeague @DebraMChase @HarrietFilm #HarrietMovie  Nothing to celebrate there
2019-11-12 17:24:07,@smac0905 @tonetalks @DevalPatrick He's clearly not our man but their boy.
2019-11-12 17:06:02,@princss6 @tonetalks @DevalPatrick Obama ruined the job prospects for a lot of black people.
2019-11-12 16:48:18,@Augustu70803492 @tonetalks @TomPerez @DNC @BarackObama Sunshine is a good thing. The FBI is slipping. While they w… https://t.co/G1xBtqsjqV
2019-11-12 01:56:53,@mrcrom1 @TRJones2020 @AmbassadorRice @ewarren They scooped up that smart little black boy and thoroughly brainwash… https://t.co/Q7yrhnP1yp
2019-11-11 18:18:17,@__treyslay @princss6 Break them up! Break them up!
2019-11-10 23:23:35,@ava @RealByronAllen @comcast is taking this to the Supreme Court with the hope of throttling the civil rights of b… https://t.co/hSD4bgKqN9
2019-11-10 19:26:57,"@politico @politicomag As atonement for ""What Holocaust Restitution Taught Me About Slavery Reparations,"" publish a… https://t.co/d6RiSE2oWQ"
2019-11-10 18:43:43,@wishbumpycoulda I wish these players would wise up and unite. https://t.co/BIC08buJMd
2019-11-10 18:18:40,"@wishbumpycoulda @BlackGirlGlitt1 In grade school up here with the Yankees, this prodigy was looking at a globe and… https://t.co/bArxr7ZvOY"
2019-11-10 16:52:57,"@dripn2hard @princss6 According to this brief, shopping, going to restaurants, and dealing with businesses as a bla… https://t.co/qgcLP5Kglg"
2019-11-10 16:40:45,@BreakingBrown @princss6 https://t.co/HzbbKaDPUI
2019-11-10 16:30:12,@hatedsaints @BreakingBrown Charles Who?
2019-11-10 15:27:52,@GenieBitcoin @BreakingBrown That says a lot about you.
2019-11-10 14:18:16,"@JoeyTheRedKRoo1 @rwinbush A xenophobic, Russian-financed, robot cult. No arguments just name calling."
2019-11-10 14:09:56,@bryangreene @rwinbush It's hard to read through tears.
2019-11-10 14:03:56,"@rwinbush So sad, #ADOS is ruining your reparations hustle and Pan-African fantasy."
2019-11-10 13:42:17,@wishbumpycoulda The barrier to entry to Rap is too damn low.
2019-11-10 02:42:05,@rolandsmartin @CzarinaHarris @fstockman All accusations. No proof.
2019-11-10 00:26:41,@iamvandal617 @TiffanyDCross https://t.co/65KZYohQDE
2019-11-09 18:46:32,@4everJRocka @Shango5T @lordmarcusvader @YtH8r I got better things to do.
2019-11-09 18:19:12,"@Shango5T @lordmarcusvader @YtH8r You're joking, right?"
2019-11-09 17:50:10,@nasescobar316 @comcast @realDonaldTrump The Republicans happily threw black voters under the horse carts by the 18… https://t.co/RYUkhBqVdC
2019-11-09 17:46:58,@NNonnac No worries. There's always a global catastrophe around the corner. https://t.co/mCIhlRp8n9
2019-11-09 17:40:27,@Shango5T @lordmarcusvader @YtH8r You make no sense.
2019-11-09 17:25:36,"@Shango5T @lordmarcusvader @YtH8r ADOS has people power. People who have an agenda, ask questions, show up at meeti… https://t.co/dLiSuC7g8e"
2019-11-09 14:49:41,@Shango5T @lordmarcusvader @YtH8r ADOS gets things done. They don't let a bill for a STUDY rot in Congress for 30 years.
2019-11-09 14:48:38,@princss6 @BreakingBrown Quite a jump between 2016 and 2017. The Trump Effect. https://t.co/pNjemqGn7J
2019-11-09 14:36:04,@Shango5T @lordmarcusvader @YtH8r All that had nothing to do with you.
2019-11-09 05:00:27,@Shango5T @lordmarcusvader @YtH8r Over a century and Pannies have accomplished nothing.
2019-11-09 04:38:49,Other 100% black-owned companies screwed over by @comcast https://t.co/p1oqKkB9FO
2019-11-09 01:58:12,Watch Dr. Darity. Black Reparations: The ARC of Justice on @Livestream: https://t.co/z8isHCitb9
2019-11-09 01:48:38,"@Chad_Boogie @wishbumpycoulda @kasi_lemmons Since she was in Delaware, you could have called her Josephine Biden."
2019-11-08 22:16:14,@BreakingBrown @oldmanebro @tonetalks Look at what he used to do for money. HOT 97 radio station's Smackfest in NYC https://t.co/1p1Zw9Thz3
2019-11-08 21:46:47,@oldmanebro Who's stopping you?
2019-11-08 20:41:00,"@shieldc14 @fstockman But with fewer ""ADOS attacks"" and more ""ADOS defense against attacks"""
2019-11-08 20:16:58,@oldmanebro Who funds your nonsense? https://t.co/zAQ0djuIxy
2019-11-08 18:29:07,"@hattie2back1 @BreakingBrown Yes, that 'thousands' should have been 'tens of thousands.'"
2019-11-08 17:52:20,@fstockman Insurgents?
2019-11-08 17:50:44,@fstockman The paper of record gets it wrong once again.
