timestamp,tweet_text
,Bookstagrammer • Bibliophile • Teacher• No such thing as too much Coffee or too many books • Owner of too many books and not enough time.,
2019-11-12 11:30:16,5 of 5 stars to Beard Science by Penny Reid https://t.co/LvXUQVHdWJ
2019-11-09 18:26:24,4 of 5 stars to Grin and Beard It by Penny Reid https://t.co/p0hkcEB78l
2019-11-07 16:00:57,5 of 5 stars to Truth or Beard by Penny Reid https://t.co/R4rTXjGRll
2019-11-01 17:00:24,4 of 5 stars to Baking Me Crazy by Karla Sorensen https://t.co/OeH3cGUPiW
2019-11-01 10:37:36,4 of 5 stars to The Girl from the Well by Rin Chupeco https://t.co/pqnHOuHXQD
2019-10-31 20:08:57,4 of 5 stars to Happy Trail by Daisy Prescott https://t.co/3Mb37dWJer
2019-10-31 08:24:00,4 of 5 stars to Kiss the Girl by Tara Sivec https://t.co/itz0HdBo49
2019-10-30 17:57:56,4 of 5 stars to In Bed with the Beast by Tara Sivec https://t.co/RRMinHa9nW
2019-10-30 10:08:39,"51% done with In Bed with the Beast, by Tara Sivec https://t.co/GrU7UqQtC6"
2019-10-30 05:50:13,4 of 5 stars to At the Stroke of Midnight by Tara Sivec https://t.co/jV8KkcFsot
2019-10-29 15:36:40,"33% done with At the Stroke of Midnight, by Tara Sivec https://t.co/eZJSA6NLTr"
2019-10-29 09:50:06,Marked as to-read: At the Stroke of Midnight by Tara Sivec https://t.co/jV8KkcFsot
2019-10-24 09:51:00,Marked as to-read: Up All Night by Laura Silverman https://t.co/skTslkuzlW
2019-10-23 14:23:13,@KerriManiscalco @CityOfBooksYA @jimmy_books Followed @jimmy_books 😍
2019-10-23 14:22:54,RT @KerriManiscalco: ~HALLOWEEN GIVEAWAY~  RT + follow to win a STALKING JACK THE RIPPER series hardcover gift set + double-sided signed po…
2019-10-23 14:18:28,RT @JennieLy: All I want for Halloween is                         🕯               🕯             🕯         🕯       Books.       🕯      🕯…
2019-10-21 16:22:30,💬 Which is your favorite R.S. Grey book? ———————————— ✨Cover Reveal ✨ I’m so excited to be teaming up with… https://t.co/tXdeOYxcZk
2019-10-21 16:16:59,Cover Reveal – His Royal Highness by R.S. Grey https://t.co/YVxG6fYhIR https://t.co/RslWu1woSh
2019-10-21 09:39:02,Happy Monday! 💬 What are you currently reading?   It’s day 1 of the dragonsandteabookclub readalong for the month o… https://t.co/PQ6GRGJ6Z9
2019-10-20 21:21:29,5 of 5 stars to Anna Dressed in Blood by Kendare Blake https://t.co/OJZ5klpYNz
2019-10-19 03:48:55,"On page 276 of 384 of Anna Dressed in Blood, by Kendare Blake https://t.co/erGh4HKOUm"
2019-10-17 15:41:11,"On page 80 of 384 of Anna Dressed in Blood, by Kendare Blake https://t.co/7rcBFOC4z1"
2019-10-16 10:51:38,4 of 5 stars to Final Girls by Riley Sager https://t.co/qOK3YvubAt
2019-10-14 11:33:03,💬 What’s the one spooky read you’d recommend I read?  🎃 HAPPY #SPOOKATHON! 💀👻Today is the first day of #spookathon… https://t.co/V24mM6azWw
2019-10-13 12:46:05,🎊GIVEAWAY🎊 ——— Partner: indiegrambooktours ——— 💬 Tell me about your favorite fairytale and why you love it. ——— Fai… https://t.co/pfrXZDzX5z
2019-10-11 17:47:13,5 of 5 stars to Perfectly Adequate by Jewel E. Ann https://t.co/WfNKlSZQx3
2019-10-11 11:08:22,"32% done with Perfectly Adequate, by Jewel E. Ann https://t.co/JUnxNzXyZH"
2019-10-10 23:00:24,4 of 5 stars to Park Avenue Player by Penelope Ward https://t.co/kktxjwSBGU
2019-10-09 14:49:36,4 of 5 stars to Crystal Crowned by Elise Kova https://t.co/vAEc4QIMab
2019-10-09 06:43:15,"83% done with Crystal Crowned, by Elise Kova https://t.co/oEO3xlaRQk"
2019-10-08 06:55:19,"24% done with Crystal Crowned, by Elise Kova https://t.co/1KBjzwWTwE"
2019-10-07 02:32:49,5 of 5 stars to Water's Wrath by Elise Kova https://t.co/Op97TiVbo8
2019-10-06 14:15:09,"50% done with Water's Wrath, by Elise Kova https://t.co/MVU1ZkfKez"
2019-10-06 07:33:03,5 of 5 stars to Earth's End by Elise Kova https://t.co/MV648ddcXr
2019-10-05 15:31:36,Marked as to-read: Wild at Heart by K.A. Tucker https://t.co/D9nai4l0WN
2019-10-05 06:32:13,"55% done with Earth's End, by Elise Kova https://t.co/43akdhOVaq"
2019-10-04 19:08:42,"30% done with Earth's End, by Elise Kova https://t.co/1pfKAoYoem"
2019-10-04 15:57:29,5 of 5 stars to Fire Falling by Elise Kova https://t.co/YCQ1db9xo8
2019-10-03 18:45:22,"40% done with Fire Falling, by Elise Kova https://t.co/mRl9hO1yWl"
2019-10-03 13:23:34,5 of 5 stars to Air Awakens by Elise Kova https://t.co/QpWDZT3LQP
2019-09-28 15:17:52,@JennieLy Starsight or The Queen of Nothing 😍❤️💜💖
2019-09-28 15:16:12,RT @JennieLy: It's time! GIVEAWAY TIME!   You're all amazing and supporting &amp; I’m giving away a book to one of my followers! Just reply to…
2019-09-27 16:00:28,RT @torteen: Follow us + RT to enter for your chance to win an ARC of #AThousandFires by @spricewrites! #sweepstakes #AThousandFiresSweeps…
2019-09-27 15:53:00,"RT @MeliRobles: Bookish Bloggers &amp; Bookstagrammers! If you ever want to join blog &amp; bookstagram tours, you can sign up to be a host for @mt…"
2019-09-25 23:47:40,5 of 5 stars to My Brother's Billionaire Best Friend by Max Monroe https://t.co/kuM0tTcTWH
2019-09-25 00:27:57,Marked as to-read: The Harvest - A Mermaid Fantasy by K.B. Benson https://t.co/W0xJQVCsYs
2019-09-24 23:11:38,Marked as to-read: Rules for Vanishing by Kate Alice Marshall https://t.co/Crkdmsc3QZ
2019-09-24 22:26:58,"30% done with My Brother's Billionaire Best Friend, by Max Monroe https://t.co/4ms7DTZIv3"
2019-09-23 03:44:48,3 of 5 stars to No Man Can Tame by Miranda Honfleur https://t.co/SCQFBbBI0j
2019-09-20 03:26:51,5 of 5 stars to Look the Part by Jewel E. Ann https://t.co/04dlUgeVpf
2019-09-19 09:20:41,"78% done with Look the Part, by Jewel E. Ann https://t.co/nYi8BcX5WH"
2019-09-19 04:57:18,"54% done with Look the Part, by Jewel E. Ann https://t.co/FdVEyUwMVp"
2019-09-18 06:15:46,Marked as to-read: Look the Part by Jewel E. Ann https://t.co/04dlUgeVpf
2019-09-17 17:30:06,Marked as to-read: Turbulence by Whitney G. https://t.co/K3dhXrYgz2
2019-09-16 17:47:12,Marked as to-read: Feast of the Mother by Miranda Honfleur https://t.co/yir1c5llft
2019-09-16 17:05:22,5 of 5 stars to Mister McHottie by Pippa Grant https://t.co/u92XUoAeMS
2019-09-15 17:17:34,5 of 5 stars to They're a Match by Chloe Liese https://t.co/ejhHf2NDtN
2019-09-15 04:03:49,"43% done with They're a Match, by Chloe Liese https://t.co/0S7kDTAg2l"
2019-09-15 02:12:40,Marked as to-read: Zero Repeat Forever by Gabrielle S. Prendergast https://t.co/1NLB7YPojs
2019-09-14 02:02:09,5 of 5 stars to She's a Spitfire by Chloe Liese https://t.co/lNhXrMKqKy
2019-09-12 16:00:54,5 of 5 stars to He's a Brute by Chloe Liese https://t.co/FCv4iVYJwD
2019-09-12 12:47:54,Marked as to-read: The Bone Houses by Emily Lloyd-Jones https://t.co/jUolwIk9Ks
2019-09-12 11:28:31,"On page 160 of 263 of He's a Brute, by Chloe Liese https://t.co/a0O0nAG64r"
2019-09-11 19:25:04,3 of 5 stars to Hosed by Pippa Grant https://t.co/71EKTJwY5Y
2019-09-11 05:38:54,"45% done with Hosed, by Pippa Grant https://t.co/8GyZ3BRnts"
2019-09-10 04:56:35,5 of 5 stars to Hitched by Pippa Grant https://t.co/wHNDz9xy7P
2019-09-09 19:42:33,"32% done with Hitched, by Pippa Grant https://t.co/fsqhr0ZJVF"
2019-09-09 17:41:23,"On page 120 of 448 of Nevernight, by Jay Kristoff https://t.co/lKCmcmIWOr"
2019-09-09 07:56:28,@thenerdaily Thank you so much for the chance. I’d pick Gideon the Ninth 🖤😍
2019-09-09 07:54:49,I’d pick Gideon the Ninth. Already ordered There will come a darkness and The ten thousand doors of January. https://t.co/n1WppXD7bs
2019-09-08 17:18:47,4 of 5 stars to I Hate You More by Alexandra Moody https://t.co/drVYXPHlBn
2019-09-07 03:27:00,Marked as to-read: Hating to Love You by Erin Rylie https://t.co/TTWuQfwYOj
2019-09-06 18:17:19,3 of 5 stars to Hearts Made for Breaking by Jen Klein https://t.co/KPl19H0VhP
2019-09-06 16:10:33,"On page 216 of 305 of Hearts Made for Breaking, by Jen Klein https://t.co/0Xzr8CLHeP"
2019-09-06 09:35:09,"On page 123 of 305 of Hearts Made for Breaking, by Jen Klein https://t.co/W3eDG1wAG5"
2019-09-06 03:54:09,Marked as to-read: Hearts Made for Breaking by Jen Klein https://t.co/KPl19Hiw9n
2019-09-05 18:28:56,4 of 5 stars to Stud in the Stacks by Pippa Grant https://t.co/pU6hs0LbAT
2019-09-05 10:35:22,4 of 5 stars to Disturbing His Peace by Tessa Bailey https://t.co/gMNpefMOOS
2019-09-05 08:04:50,"76% done with Disturbing His Peace, by Tessa Bailey https://t.co/eUGae8V0W5"
2019-09-05 06:31:01,"55% done with Disturbing His Peace, by Tessa Bailey https://t.co/zTBXcS0az8"
2019-09-04 12:07:50,Marked as to-read: The Turn of the Key by Ruth Ware https://t.co/rJWaj9LjWv
2019-09-04 06:39:37,4 of 5 stars to Tyrant by T.M. Frazier https://t.co/3b6DgFUPPG
2019-09-04 04:41:17,Marked as to-read: The Witch of Willow Hall by Hester Fox https://t.co/kKkD6U2JfE
2019-09-04 03:39:34,Marked as to-read: Tunnel of Bones by Victoria Schwab https://t.co/d2CwU8EfAB
2019-09-04 03:22:57,@adriennebooks Happy Book Birthday ❤️💖🖤💜
2019-09-03 03:01:47,4 of 5 stars to King by T.M. Frazier https://t.co/J0DzpdiiW3
2019-09-02 17:13:36,5 of 5 stars to Crazy Sexy Love by K.L. Grayson https://t.co/n343F6lHqz
2019-09-02 09:10:28,Marked as to-read: Crazy Stupid Love by K.L. Grayson https://t.co/A6GuEF22FZ
2019-09-02 06:55:42,Marked as to-read: The Do-Over by Julie A. Richman https://t.co/fsaPbvQCyk
2019-09-01 18:16:08,5 of 5 stars to Fix Her Up by Tessa Bailey https://t.co/c64YaY9ohD
2019-09-01 05:49:15,💬 How many books did you read this month? Did any make it to your top favorites for 2019?  I read 14 books this mon… https://t.co/kJ95efqbpg
2019-08-31 18:55:14,@NovelKnight_ Thank you so much for this amazing opportunity. I’d choose The Girl the Sea gave back 😍💜💖
2019-08-31 18:54:16,RT @NovelKnight_: 📚 INTL BOOK #GIVEAWAY! 📚  I'm offering 2 WINNERS the chance to win an order for a book of their choice from the photo (as…
2019-08-30 18:11:01,4 of 5 stars to Say You Still Love Me by K.A. Tucker https://t.co/93K14XSnq1
2019-08-30 12:13:21,Marked as to-read: The Queen's Resistance by Rebecca Ross https://t.co/GVXiYe7xlJ
2019-08-29 13:10:35,5 of 5 stars to Vow of Thieves by Mary E. Pearson https://t.co/uq1TSqTmL1
2019-08-29 09:55:37,"On page 302 of 480 of Vow of Thieves, by Mary E. Pearson https://t.co/mLvIPVs8I0"
2019-08-29 05:25:55,"On page 162 of 480 of Vow of Thieves, by Mary E. Pearson https://t.co/SwBKnFjTP2"
2019-08-28 14:29:01,Happy Wednesday lovelies! ————————————————— 💬 If you had the choice to slip into a bookstagrammers photograph or a… https://t.co/8RhbV7mi8h
2019-08-28 12:22:15,"RT @meltotheany: @natsinbookland I love you so much, Natassia. You are such a blessing to me. And I am forever so very thankful for your fr…"
2019-08-27 16:35:29,@meltotheany Sending you all the love and blessings cuz you deserve it all ❤️💖💜😍🥰🤗 https://t.co/1qaXTnULIn
2019-08-27 16:35:14,Happy Birthday @meltotheany one of the sweetest &amp; kindest soul’s  I’ve have the pleasure of calling a friend. I’m s… https://t.co/zk0xfcNXIw
2019-08-27 05:37:58,@KalynJosephson Thank you so much for the opportunity ❤️🖤
2019-08-27 05:37:39,RT @KalynJosephson: RT and F for a chance to win one of these signed versions of THE STORM CROW: - ARC - Final copy  - Alternative cover fi…
2019-08-26 05:29:31,5 of 5 stars to Dance of Thieves by Mary E. Pearson https://t.co/9oXUFMRntI
2019-08-26 03:41:27,"@thebookishchick This is heartbreaking. Sending you and your family all the love, prayers &amp; blessings."
2019-08-25 18:00:16,"On page 406 of 508 of Dance of Thieves, by Mary E. Pearson https://t.co/8dNqnQEH9a"
2019-08-25 17:05:14,"On page 350 of 508 of Dance of Thieves, by Mary E. Pearson https://t.co/GCZ6M4RbS9"
2019-08-25 11:24:02,"On page 201 of 508 of Dance of Thieves, by Mary E. Pearson https://t.co/YcJtR7j8cz"
2019-08-24 19:18:12,I earned the Night Owl badge. Join in the fun with a free Audible trial: https://t.co/2qUgsxloSG https://t.co/l3qMrfJetf
2019-08-24 18:30:38,5 of 5 stars to The Bridge Kingdom by Danielle L. Jensen https://t.co/OmRIC24Rvd
2019-08-24 15:08:20,"82% done with The Bridge Kingdom, by Danielle L. Jensen https://t.co/UdRuaE5HZH"
2019-08-24 09:07:49,Happy Saturday Lovelies! 💬 What are you #currentlyreading ?  I’m super excited to start reading #danceofthieves . I… https://t.co/OmIwp6nZjP
2019-08-23 03:28:40,And I’m super excited &amp; blessed to be a part of this amazing book  #allthestarsandteeth #piratelife #keelhaulsseacrew
2019-08-23 03:28:39,Woohooo! You guys I’m a part of @AdalynGrace_ ‘s All the Stars and Teeth Sea Crew. I feel so blessed to be given th… https://t.co/hfkFqANIYL
2019-08-22 19:06:30,"42% done with The Bridge Kingdom, by Danielle L. Jensen https://t.co/A29BxIJxu4"
2019-08-22 14:31:01,@writerkmc Thanks for this amazing giveaway. Check this out @bellerap1992
2019-08-22 14:30:22,"RT @writerkmc: FLASH GIVEAWAY! Want a chance at an ARC of One of Us Is Next, the sequel to One of Us Is Lying? Follow, RT, &amp; tag a friend i…"
2019-08-22 14:28:55,@jessethereader https://t.co/vx2OtySGKu
2019-08-22 14:26:02,"@kidundercover I agree! I hate it when people yell especially someone whose senior to you at work, just to show you… https://t.co/aDEjQRtHkn"
