timestamp,tweet_text
,Writer of YA & MG contemp. Book blogger. Ravenclaw. Grisha. Rhys/Darkling lover. ISFJ. https://t.co/gnLOfR3hoT,
2019-11-13 03:38:22,"33% done with Demise of a Self-Centered Playboy, by Piper Rayne https://t.co/GZxGop51sX"
2019-11-13 02:00:41,"18% done with Demise of a Self-Centered Playboy, by Piper Rayne https://t.co/WlOzj9PAxO"
2019-11-13 01:14:32,"9% done with Demise of a Self-Centered Playboy, by Piper Rayne https://t.co/ZK9v7yEPJm"
2019-11-13 00:16:07,5 of 5 stars to The Fall of Legend by Meghan March https://t.co/gAEbSjyK2n
2019-11-13 00:00:48,RT @itsedwilliams: Disney released a major streaming service playing more errors than content and we're all still here.  Launch that imperf…
2019-11-12 23:32:11,"RT @JessCluess: Follow and RT by 11/19 to win a signed copy of the HOUSE OF DRAGONS ARC. US/Canada only. Here there be dragons, some powerf…"
2019-11-12 23:31:53,RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a @hottopic exclusive Homer Muumuu Pop!    #Funko #FunkoPop #Giveaway #Di…
2019-11-12 23:29:26,SPECIAL DELIVERY by @LaurenBlakely3 is LIVE! @CandiKanePR   Grab your copy now for just 99¢!! ✦Amazon ➜… https://t.co/8s2kuWEJ7l
2019-11-12 23:15:46,RT @gingerlyreview: 🎉🎊Today is my FOUR YEAR BLOGIVERSARY! So how do I celebrate? TIME FOR A GIVEAWAY! F/RT by 11/15 5PM CST to win a book o…
2019-11-12 22:11:11,4 of 5 stars to Hitching the Cowboy by Kennedy Fox https://t.co/sk0oPM2YrQ
2019-11-12 21:22:33,5 of 5 stars to Trying to Score by Kendall Ryan https://t.co/yKH0AKySEk
2019-11-12 15:07:14,Release Blitz: #TryingtoScore by Kendall Ryan https://t.co/jIKUSLR1XW https://t.co/TGzuovlpyu
2019-11-12 14:01:11,Release Blast: #HitchingtheCowboy by Kennedy Fox @Danichez75 https://t.co/nXsI4WFiDI https://t.co/rVAiBSzuKO
2019-11-12 04:08:57,🔥🔥 COVER REVEAL 🔥🔥  COMING NOVEMBER 15th from @SaraNey &amp; @AuthorMECarter - KISSMAS EVE @Danichez75   ADD TO YOUR TB… https://t.co/D6dh84zwAC
