timestamp,tweet_text
,"No one ever said we'd survive the fire. The heat between us might reduce us to ashes. But for you, Silver...I will gladly burn.",
2019-11-14 04:52:05,"45% done with Shameless King, by Maya Hughes: AVERY DID WHAT? https://t.co/VauYHPBQ9O"
2019-11-14 03:49:33,he's so stupid jahakaaj https://t.co/e3nj6nIM9U
2019-11-14 01:03:17,HELLO??? https://t.co/0dlt5sFKaD
2019-11-13 23:58:05,@eIIesphoenix yeeep https://t.co/YJMlADO7BN
2019-11-13 23:56:54,@eIIesphoenix NINOKIARA
2019-11-13 23:56:49,@eIIesphoenix ALEXSILVER
2019-11-13 23:44:08,&lt;ellenixsephreeceberkjulesmarisaljviciousemiliajaredbanneralexsilverninokiara3
2019-11-13 23:15:03,thinking about Nix blushing
2019-11-13 22:10:04,please jude
2019-11-13 22:00:03,@wiIIjem 🥺🥺🥺 https://t.co/mEXlnlthfF
2019-11-13 21:54:08,@colorsofmaah ily too jahaja 🥺
2019-11-13 21:45:19,@colorsofmaah @viciousmillie I already follow you I think
2019-11-13 21:41:13,😳 https://t.co/wSCRf3VK2d
2019-11-13 21:36:37,&lt;ellenix3 https://t.co/ncukfKrSdR
2019-11-13 20:42:54,obsessed with the results https://t.co/PDAbi4zuP4
2019-11-13 20:42:03,@scarletswolf me odias
2019-11-13 20:35:59,@inikmalikov done 🥺
2019-11-13 20:30:52,@scarletswolf Ilysm muah
2019-11-13 20:30:45,@eIIesphoenix it's therapeutic
2019-11-13 20:06:33,just saw someone on pinterest fc Nix as Shawn Mendes 😔
2019-11-13 20:03:22,@wiIIjem ty 🥺 https://t.co/bPgLozh9hk
2019-11-13 20:00:09,@eIIesphoenix &lt;sephreeceellenixberkjulesmarisaljelianabia3
2019-11-13 19:58:45,oomf drop your pinterest 🥺 https://t.co/6eijTaRMWu
2019-11-13 19:58:30,&lt;sephreece3 https://t.co/1fRa3NlwTj
2019-11-13 19:28:51,@biIIywinston la actuación está muy horrible
