timestamp,tweet_text
,"I enjoy my family, camping, fly fishing, and fishing.
I am also very active with my Church First Federated.",
2019-11-09 17:03:32,4 of 5 stars to Even Brook Trout Get The Blues by John Gierach https://t.co/EKcvgTHAGR
2019-11-06 03:19:52,3 of 5 stars to How Now Shall We Live? by Charles W. Colson https://t.co/pT0I2fo5FI
2019-10-19 15:09:45,3 of 5 stars to Where We Stand by Assemblies of God https://t.co/CFsWLYAkw4
2019-10-12 03:04:10,4 of 5 stars to Letters to the Church by Francis Chan https://t.co/h5dtiDZRws
2019-10-11 02:20:02,3 of 5 stars to The Bible by Bethany L. Sullivan https://t.co/FPfjMlLZq3
2019-10-09 11:35:18,4 of 5 stars to Hebrews by William L. Lane https://t.co/xMtsSeO3jF
2019-10-02 04:10:12,4 of 5 stars to Be Comforted by Warren W. Wiersbe https://t.co/276S3FM0mM
2019-09-30 18:36:27,4 of 5 stars to Lessons from a Father to His Son by John Ashcroft https://t.co/gVOwxg2gUX
2019-09-29 18:44:58,4 of 5 stars to Just As I Am by Billy Graham https://t.co/fNUhE2qV7O
2019-09-20 11:43:33,4 of 5 stars to How the Barbarian Invasions Shaped th... by Thomas J. Craughwell https://t.co/dov9X9Besj
2019-09-13 20:57:14,Marked as to-read: The Inner Life by Eberhard Arnold https://t.co/kNH2d9bedW
2019-09-11 20:37:45,I really don't like the vet if I hide behind dad they won't see me https://t.co/hu3XnTd8OI
2019-09-09 11:23:47,3 of 5 stars to Alone With God by John F. MacArthur Jr. https://t.co/5xssHqJ9D4
2019-08-19 00:52:49,4 of 5 stars to The Wiersbe Bible Study Series by Warren W. Wiersbe https://t.co/FfVBbEtGGp
2019-08-03 11:02:52,"4 of 5 stars to Justice League (2016-), Vol. 6 by Christopher J. Priest https://t.co/nHxqsiE3zl"
2019-08-03 05:25:31,4 of 5 stars to Justice League (2016-2018) Vol. 5 by Bryan Hitch https://t.co/qcITSvELNf
2019-07-28 00:59:57,4 of 5 stars to Erasing Hell by Francis Chan https://t.co/ryLuP9x7tX
2019-07-27 11:09:09,4 of 5 stars to Kingdom Come by Mark Waid https://t.co/sqA4hxz3fN
2019-07-26 21:09:01,3 of 5 stars to Verse Mapping Luke by Kristy Cambron https://t.co/tPzeEUFKsJ
2019-07-19 02:57:11,I'm #reading Kingdom Come by Mark Waid https://t.co/sqA4hxz3fN
2019-07-09 12:20:47,4 of 5 stars to Who Moved My Pulpit? by Thom S. Rainer https://t.co/GWsVCVzUCm
2019-06-06 11:33:38,Marked as to-read: Wrestling Prayer by Eric Ludy https://t.co/FMxlYexSPp
2019-05-29 03:20:13,4 of 5 stars to Avengers by Jonathan Hickman https://t.co/4ENOlvCNn8
2019-05-13 23:05:29,4 of 5 stars to Faith Lessons On The Promised Land (C... by Ray VanderLaan https://t.co/0mEL67rtKL
2019-05-10 11:10:15,4 of 5 stars to The Heart's Necessities by Jane Tyson Clement https://t.co/zabfAHfHid
2019-05-06 02:17:47,4 of 5 stars to Thanos Wins by Donny Cates (Thanos by Donny Cates https://t.co/wFdYW4hLxh
2019-04-29 15:36:29,4 of 5 stars to Multiply by Francis Chan https://t.co/R7KYviqVLQ
2019-04-11 11:43:49,4 of 5 stars to The Sermon On The Mount by John R.W. Stott https://t.co/M0YwObILok
2019-04-02 11:15:45,4 of 5 stars to Owl Girl Archives Vol.2 by Christopher Watts https://t.co/GuyUv7amxk
2019-03-25 04:02:47,3 of 5 stars to Captain Marvel Vol. 2 by Ruth Fletcher Gage https://t.co/Mr0NRe8cM4
2019-03-24 22:27:31,3 of 5 stars to Galatians by Jack Kuhatschek https://t.co/IhkUkO3IHf
2019-03-20 09:58:19,"4 of 5 stars to Captain Marvel, Vol. 1 by Kelly Sue DeConnick https://t.co/lQ9WfxBIJv"
2019-03-20 09:08:27,3 of 5 stars to Anxious for Nothing by John F. MacArthur Jr. https://t.co/tZhk5Hm5T9
2019-03-16 14:21:46,Marked as to-read: The 21 by Martin Mosebach https://t.co/0pwXQyvJR4
2019-03-05 23:44:14,4 of 5 stars to Christ by John R.W. Stott https://t.co/C6s5RxYd9W
2019-03-03 12:22:43,4 of 5 stars to In Praise of Wild Trout by Nick Lyons https://t.co/0nCFV0uLqP
2019-02-26 12:11:54,4 of 5 stars to Securing the Sacred by Andrew P Surace https://t.co/mGM4FPpdBe
2019-02-15 21:19:15,4 of 5 stars to This Is That! by International Center for Sp... https://t.co/3lceh8lyBY
2019-02-06 11:46:00,4 of 5 stars to Knowing Scripture by Carolyn Nystrom https://t.co/uBEbOcqVWU
2019-02-04 17:19:43,4 of 5 stars to Through the Bible Book by Book by Myer Pearlman https://t.co/xxLfLYpPGi
2019-01-28 01:12:03,4 of 5 stars to Through the Bible Book by Book by Myer Pearlman https://t.co/5p1zxnFjk0
2019-01-22 22:59:05,4 of 5 stars to A New Kind of Leader by Reggie Joiner https://t.co/LZBYqLOH1u
2019-01-21 04:56:47,"4 of 5 stars to Know Me Better, Man by Marvin Lumbard https://t.co/e9zMjDTBH0"
2019-01-19 15:19:06,4 of 5 stars to Through the Bible Book by Book by Myer Pearlman https://t.co/vjKBzWXGsC
2019-01-17 23:43:46,4 of 5 stars to Making Your Case for Christ Study Guide by Lee Strobel https://t.co/3GrT2qUQu3
