timestamp,tweet_text
,@pastrnak96 | #nhlbruins,
2019-11-14 04:57:49,oh porra https://t.co/0D06G4Yrgw
2019-11-14 03:12:50,feliz aniversário amigo eu te amo muito @Ioveonstour  https://t.co/d26Z20ZWWs
2019-11-14 02:28:49,🤧 https://t.co/sQVVDW1v6w
2019-11-14 02:25:54,ai coisa chata tem que ter muita paciência pra certas coisas
2019-11-14 02:25:34,cada um ler o que quer eu hein
2019-11-14 02:03:40,é....
2019-11-14 02:02:53,🤧 https://t.co/5pwYwGaNOj
2019-11-14 00:25:14,"35% done with The Bombshell Effect, by Karla Sorensen https://t.co/bTB8YtOkE6"
2019-11-14 00:17:01,lily é muito tóxica
2019-11-13 22:40:18,..... https://t.co/o00rziQRDa
2019-11-13 22:25:43,"@wolfiecindy hello excuse me, can i help u find something?... oh! you’re looking for the follow button??? oh it’s o… https://t.co/KsY8pYZnuK"
2019-11-13 22:25:04,@wolfiecindy hi i love u
2019-11-13 22:24:56,@wolfiecindy hi hows ur day
2019-11-13 22:24:49,@wolfiecindy hello talk to us for a bit
2019-11-13 22:03:22,eu penso na emma e já me bate aquela vontade tomar um cafezinho
2019-11-13 21:57:24,🤠 https://t.co/4Si6ipAyoG
2019-11-13 21:22:35,https://t.co/rBWialxVVh
2019-11-13 21:19:13,o twitter teve audácia de marcar *** como meu interesse sendo que eu nem gosto dessa garota
2019-11-13 21:01:17,reclama de tudo meu deussss nada tá bom
2019-11-13 21:01:08,minha mãe é muito chataaaaaa
2019-11-13 18:07:34,🥰 https://t.co/VvaKo9usr5
2019-11-13 16:46:32,vi todos os vídeos do no context de ferias com o ex 😭
2019-11-13 13:56:03,meu irmão foi pra escola a toa
2019-11-13 03:01:20,we miss u @jdebrusk
2019-11-13 02:57:54,e nem tô com esperanças de que as coisas melhorem porquê todo jogo sai um machucado
2019-11-13 02:57:00,@NHLBruins @CDWCorp vai se fuder todo mundo vai tomar no meio do CU caralho tiu to brava
2019-11-13 02:55:26,estávamos com QUATRO gols na frente e simplesmente perdemos
2019-11-13 02:54:20,inacreditável cara
2019-11-13 02:54:14,quatro derrotas consecutivas
2019-11-13 02:54:00,mano que ódio
2019-11-13 02:38:05,gentekkkkj https://t.co/ou2n5G0tzz
2019-11-13 02:10:36,NÃO ENCOSTA NO MEU NAMORADO https://t.co/ypR7TpbCYP
2019-11-13 02:06:58,todo jogo alguém sai machucado
2019-11-13 02:05:07,... sem condições https://t.co/fuGDh3y04w
2019-11-13 01:53:39,@NHLBruins 🥺
2019-11-13 01:41:13,obg por tudo 🙏🏼🙏🏼😭😭 https://t.co/bZ2NOFgiGm
2019-11-13 01:39:39,nem acredito que estamos ganhando depois de todos aqueles jogos pqp
2019-11-13 01:38:05,bjork 🥰
2019-11-13 01:30:51,🤤🍝 https://t.co/IwAvQ654Fk
2019-11-13 01:28:27,e o pastrnak faz tudo !
2019-11-13 01:25:39,SIM SIM PORRAAAAA
2019-11-13 01:24:13,AAAAAAAAAAAAAHHHHHRHRGRGRGRRRGURBHJB EORWPSOJWPJORGWOIRGWSGODEWPGOHEPW09GJEDPOKSD!!!!!!!!!!!!!!!0924QU8T63095JRGHWP… https://t.co/iQiTlrfBn2
2019-11-13 01:12:16,😭😭😭🥺🥺🥺 https://t.co/ORnG4359r0
2019-11-13 01:11:31,o sorriso dele o jeito que ele olha pro garotinho puta merda ele é meu tudo
2019-11-13 01:09:11,ele é o amor da minha vida eu não aguento https://t.co/iFFHVuH8NT
2019-11-13 01:05:05,"RT @heIeneaquilla: eu perdi o ânimo de interagir com outras bookstans porque o fandom está insuportável, prefiro falar sozinha e não me env…"
2019-11-12 23:41:14,o sorrisinho dele meu deus vou morrer de amor  https://t.co/wY7h3qNB0e
2019-11-12 23:39:55,ele é meu tudo 😭🥺 https://t.co/wY7h3qNB0e
2019-11-12 20:34:43,tá bom flor
2019-11-12 20:32:39,.... https://t.co/TOUkRzSOJ3
2019-11-12 20:30:27,é tão fácil pra homens categorizarem mulheres como loucas
2019-11-12 20:20:20,quem tá colocando ** na minha tl 😡
2019-11-12 19:36:29,🥺🥰 https://t.co/nIlWXYm5kp
2019-11-12 19:11:11,cupim
2019-11-12 18:56:47,🥰 https://t.co/Qchjr3InFc
2019-11-12 18:55:17,relendo the chase
2019-11-12 18:30:36,@keeperish só tô falando a verdade 😌💖
2019-11-12 17:39:38,"@keeperish ahhh para, eu dei uma olhada e amei tudo"
2019-11-12 17:30:58,@keeperish segui de volta aaa obg amiga vc eh um anjo 🥺💖
2019-11-12 17:22:41,"@keeperish tem sim, meu user é literaryrain."
2019-11-12 17:13:13,@keeperish aaa obg!! é o meu pinterest amiga 🥺
2019-11-12 17:02:59,all I have to say is that this is hard work. i’ve worked hard for a long time. https://t.co/qGVJ3K68bj
2019-11-12 16:52:44,"beleza, eu respeito o seu posicionamento mas eu acho que é um posicionamento burro"
2019-11-12 16:04:14,grande dia 👍🏼
2019-11-12 04:57:41,queria...
2019-11-12 03:29:14,a selena é muito linda 😭😭
2019-11-12 02:36:59,ansiedade vá embora
2019-11-12 02:08:04,to igual bosta na água onde a maré leva a bosta eu tô indo
2019-11-12 01:37:58,tô pasma
2019-11-12 01:24:10,gente??? https://t.co/9NItchWSsb
2019-11-12 00:51:03,vai tomar uma água vai
