timestamp,tweet_text
,I am obscessed with Cobra Kai.,
2019-11-11 17:06:07,RT @brihana25: Made a thing.  This is the thing I made.  #CobraKai #CobraKaiSeason3 #FanArtStuffKinda https://t.co/IB7YEC2IYs
2019-11-10 15:59:28,RT @MartinKove: 👊🏻🔥 https://t.co/qWECMaG4LQ
2019-11-09 18:45:48,5 of 5 stars to Carrie by Stephen King https://t.co/w7tmvjhzlF
2019-11-09 17:53:09,@MartinKove 😍🥰😘
2019-11-09 17:52:42,@CobraKaiSeries @MartinKove I must say Miyagi Do whupped the butts of Cobra Kai. 😠😡 Sensei Kreese needs to punish t… https://t.co/2dnmtREJk8
2019-11-09 17:50:52,RT @JesseKove: NEW MOVIE OUT NOW! https://t.co/sYtKPuKcni
2019-11-09 17:50:42,RT @MartinKove: “ YES SENSEI “ https://t.co/DBimClAgW5
2019-11-09 17:50:20,RT @MartinKove: To your Friday and weekend. Go conquer. https://t.co/lL6QS9n5ed
2019-11-07 23:54:27,5 of 5 stars to Backwoods Witchcraft by Jake Richards https://t.co/UGYo5Q6ojx
2019-11-07 12:33:41,RT @Atypical: New season… new Sam? https://t.co/qCXkqhhifF
2019-11-07 12:33:16,RT @Atypical: When you have the whole weekend off to watch Atypical Season 3 https://t.co/O51kddSTh9
2019-11-07 12:33:03,@Atypical she's one of my favorite characters. You know some kind of crazy will happen.
2019-11-07 12:32:40,RT @Atypical: And you thought Halloween was over… 👻 https://t.co/QiYC38hzeF
2019-11-07 12:32:19,"RT @Atypical: We're not crying, YOU'RE crying 😭 https://t.co/KZqKl0puck"
2019-11-07 12:32:08,RT @Atypical: Consider this our full permission to be whatever plant you want 🌱 https://t.co/9crwvZ12we
2019-11-07 12:32:00,RT @Atypical: This would be disgusting if it were anyone but Cazzie 😍 https://t.co/RLMDzNJEFc
2019-11-07 12:31:47,"RT @Atypical: New season, new challenges, same family 💙 Atypical Season 3 is now streaming! https://t.co/a3R9uevcWR"
2019-11-07 12:31:02,RT @dyadproperty: atypical screamed gay rights this season https://t.co/97yFkO0sFg
2019-11-07 12:29:48,@UniquesAnimals @funnyglrls https://t.co/td4AjQr2sV
2019-11-07 12:27:18,@WatchParty1 @CobraKaiSeries Sensei Kreese was right! https://t.co/AjGmZJYC2p
2019-11-07 12:25:29,RT @jonhurwitz: The Season 2 finale of @CobraKaiSeries is now FREE on YouTube. Watch now to see why all 80 second oners should end like thi…
2019-11-07 12:25:23,RT @WatchParty1: @CobraKaiSeries The final segment with Miguel and Robby. Powerful. Intense. Personal.  A wild ride right up to when Miguel…
2019-11-07 12:24:03,RT @CobraKaiSeries: It all comes down to this. Watch the final fight go down between Team #CobraKai and Team #MiyagiDo for FREE on Wednesda…
2019-11-07 12:23:14,"RT @byMorganWright: Attn. #WritingCommunity!!   Let’s make this month #IndieNovember!! In its honor, I’m going to buy 3 indie books next we…"
2019-11-06 00:16:32,4 of 5 stars to It by Stephen King https://t.co/NjURBkopq7
2019-11-05 13:21:32,RT @MartinKove: Out tomorrow #BareKnuckleBrawler https://t.co/vQmEPaCLJd
2019-11-05 13:20:43,RT @byMorganWright: It's my birthday today😍❤️!!  Guess what I got...🎁🎁  #amreading #amwriting #AmOpeningPresents https://t.co/mlyTn1q2JK
2019-11-02 18:02:39,"@Crockett119 none where I am from we have Shop n Save, Giant Eagle"
